save up,"储蓄, 贮存"
spring,"n. 春天, 弹簧, 跳跃, 弹性, 活力, 泉, 源泉
a. 春天的
vi. 跳, 弹跳, 涌出, 生长, 裂开, 高耸
vt. 使跳起, 使爆炸, 突然提出"
mattress,"n. 床垫, 空气垫, 沉床
"
blow up,"v. 炸掉；爆炸；充气；放大
"
gust,"n. 突然一阵, 趣味, 爱好"
courtyard,"n. 庭院, 天井"
smash,"n. 打碎, 粉碎, 打碎时哗啦声, 猛击, 扣球, 杀球, 经营失败, 破产, 硬币, 假硬币
a. 非常轰动的, 了不起的
vt. 打碎, 粉碎, 击溃, 使破产, 使裂变, 使用假硬币
vi. 碎裂, 猛撞, 破产, 扣球, 杀球
adv. 轰隆一声, 哗啦一声"
miraculously,"adv. 超自然, 非凡, 不可思议, 令人惊叹, 象奇迹一样, 奇迹般, 能创造奇迹"
unhurt,"a. 没有受害的, 没有负伤的"
promptly,"adv. 敏捷地, 迅速地"
indoors,adv. 在户内
open air,"露天
"
rebuild,"vt. 改建, 重建, 改造
vi. 重建"
normally,"adv. 正规地, 合规则, 正常地"
in that case, 如果是那样的话
terminus,"n. 终点, 界标, 终点站
"
confident,"a. 有信心的, 有把握的"
be confident about sth.,无
be confident about sb.,无
be confident of sth.,确信...
be confident of sb.,确信...
transport,"n. 运输, 运输工具, 激动, 狂喜, 流放犯
vt. 传送, 运输, 流放
"
Latin,"n. 拉丁人, 拉丁语
a. 拉丁人的, 拉丁语的"
novel,"n. 小说, 长篇故事
a. 新奇的, 异常的"
detest,"vt. 厌恶, 憎恨"
tighten,"vt. 勒紧, 使变紧
vi. 变紧, 绷紧"
doorknob,n. 球形门拉手
reward,"n. 报酬, 酬谢, 赏金
vt. 奖赏, 酬谢, 给...应有报应"
virtue,"n. 德行, 美德, 优点, 功效, 效力
"
go on a diet,"用规定食谱, 节食"
be on a diet,"进规定的饮食, 节食"
hurriedly,adv. 仓促地；匆忙地
guiltily,"adv. 罪地, 有罪地"
strict,"a. 严厉的, 绝对的, 详尽的, 严格的, 精确的
"
weight,"n. 重, 重量, 体重, 砝码, 重大, 影响, 力量
vt. 加重量于, 压迫, 使加权, 称重量
"
positive,"a. 肯定的, 积极的, 有把握的
"
negative,"n. 否定, 否定语, 负数, 底片
a. 否定的, 消极的, 负的, 阴性的
n. 负数, 负值
"
habit,"n. 习惯, 嗜好, 习性
vt. 使穿衣"
the habit of a lifetime,无
lifetime,"n. 一生, 终生
a. 一生的, 终生的"
break out,"突发, 爆发, 叫嚷, 倒空, 取出, 使作准备
"
grass,"n. 草, 草原, 牧场
"
steer,"vt. 引导, 驾驶, 航行, 控制
vi. 驾驶, 掌舵, 行驶
n. 驾驶指示, 劝告"
shameful,"a. 可耻的, 丢脸的, 不道德的, 淫猥的, 猥亵的, 不体面的"
temporarily,"adv. 暂时, 一时, 临时"
bookcase,"n. 书架, 书柜"
gaze,"n. 注视, 凝视
vi. 注视, 凝视"
gaze at sth.,盯住
