enhance environmental awareness,无
environmental protection,
keep ecological balance,无
ecosystem,"n. 生态系统
"
nature reserve,n. 自然保护区
sustainable development strategy,无
pleasant living environment,无
save energy,节能
reduce the emission of greenhouse gases,无
slow down the rate of resource degradation,无
environment-friendly products,无
global warming,n. 全球变暖
low carbon economy,[网络] 低碳经济；低碳经济体；经济社会
clean renewable energy,无
nuclear energy,
solar energy,[医] 太阳能
high-power electrical appliance,无
carbon dioxide,"二氧化碳
"
climate change, 气候变化
environmental deterioration,环境恶化
deforestation,"n. 采伐森林, 森林开伐
"
protect forests from overexploitation,无
water and soil erosion,水土流失
desertification,"n. （土壤）荒漠化, 沙漠化"
population growth,[经] 人口的增长
wildlife protection,无
endangered species,[法] 会造成危害的物件
wild species,野生种
commercial fishing,"商业性捕鱼,经济鱼类捕获"
overfishing,v. 对（鱼、渔场）捕捞过度( overfish的现在分词 ); 渔捞过度
reckless exploitation,无
natural disasters,天灾
catastrophe,"n. 大灾难, 大祸
"
destructive and disastrous earthquake,无
sandstorm,n. (沙漠地带的)沙暴
sand dune,"n. 沙丘, 风吹积成的沙丘"
sand hill,沙丘
drought,"n. 干旱, 缺乏"
flood,"n. 洪水, 大量之水, 涨潮
vt. 淹没, 使泛滥, 注满
vi. 被淹, 溢出, 涌进"
snowstorm,"n. 暴风雪
"
"""the-polluters-pay"" policy",无
law enforcement inspection,无
undertake treatment within a prescribed limit of time,无
white pollution,[网络] 白色污染；噪音污染；净化
limit the use of disposable plastic bags,无
ban the use of disposable plastic bags,无
prohibit the use of disposable plastic bags,无
throwaway bio-degradable plastic bags,无
disposable chopsticks,n. 一次性筷子
litter,"n. 垃圾, 杂乱, 轿, 担架
vt. 乱丢, 铺草, 弄乱
vi. 产仔, 乱丢垃圾"
garbage classification,无
throw,"vt. 投, 掷, 抛, 发射, 摔下, 匆匆穿上(或脱下), 抛弃, 摆脱
vi. 丢, 掷, 抛
n. 投掷, 掷骰子, 冒险"
discard,"vt. 丢弃, 抛弃
vi. 垫牌
n. 垫牌, 抛弃"
trash,"n. 垃圾, 废物
vt. 丢弃"
rubbish,"n. 废物, 垃圾, 胡说"
garbage,"n. 垃圾, 废物
"
decontamination of urban refuse,无
three types of wastes,无
waste water,
waste gas,[化] 工业废气
solid waste,固体废料;固体垃圾
industrial waste,
multipurpose use,综合利用
water resource conservation zone,无
sewage treatment,[医] 污水处理法
recycled water,循环水
air pollution concentration,大气污染浓度
motor vehicle exhaust,无
exhaust purifier,排气净化器
lead-free gasoline,无铅汽油
gas-fueled vehicles,无
cell-driven vehicles,无
small-engine vehicles,无
industrial dust discharge,无
soot emissions,无
fossil fuels,n. 化石燃料( fossil fuel的名词复数 )
coal,"n. 煤, 木炭
v. 加煤"
oil,"n. 油, 石油, 油画颜料
vt. 涂油于, 使融化成油状, 加油于
vi. 加燃油, 融化"
natural gas, 天然气
bachelor's degree,学士学位
master's degree,硕士学位
doctor's degree,博士学位
acquire degree,无
arts,n. 文科
science,"n. 科学, 学科, 学问, 自然科学
"
Master of Arts,"文学硕士, 文科硕士"
MA,瘤
Master of Science,理科硕士
MS,"abbr. 多发性硬化
n. “M”的复数
"
Master of Business Administration,[网络] 工商管理硕士；工商管理学硕士；企业管理硕士
MBA,[网络] 工商管理硕士；工商管理硕士研究生；工商管理硕士学位
Master of Public Administration,无
MPA,[计] MPEG相关文件，MIME“mpeg类型”
Master of Engineering, 工学硕士；工程硕士
ME,[网络] -我-
Master of Professional Accounting,无
MPAcc,无
Master of Science in Finance,无
MSF,[计] 大容量存储装置; 海量存储装置
nursery,"n. 托儿所, 苗圃, 温床
"
kindergarten,n. 幼稚园
primary school,"n. 小学, 初等学校; 参见：elementary school"
elementary school,小学
middle school,"n. 中等学校, 中学"
university,n. 大学
institute,"n. 学会, 学院, 协会
vt. 创立, 开始, 制定, 任命"
higher education,na. 高等教育
college students,[网络] 大学生；在什么都没听清的情况下；大专学生
university students,[网络] 大学生；大学学生；高校学生
college graduates,[网络] 大学毕业生；大学生；高校毕业生
university graduates,[网络] 大学毕业生；高校毕业生；本科毕业生
business school,[经] 商业学校
law school,"[法] 法学院, 法律学校, 法律学校"
graduate school,研究生院
professor,n. 教授
faculty,"n. 才能, 能力, 全体教员, (大学的)系
"
department,"n. 部门, 系, 机关
"
major,"n. 主修课, 成年人, 陆军少校
a. 主要的, 较多的, 大部分的, 成年的, 严重的
vi. 主修
"
teaching facilities,无
dining hall, 大餐厅，食堂; 饭厅; 大食堂
dormitory,n. 宿舍
elective course, 选修课
optional course,选修课
tuition fees and other expenses,无
life-long education,终身教育
education for all-round development,无
compulsory education,[法] 义务教育
exam-oriented education,[网络] 应试教育
adult education,成人教育
theoretical knowledge,"un. 理论知识
"
practical skills,[网络] 实用技能；实用技巧；实践技能
information era, 信息时代
era of knowledge explosion,无
affect school achievements,无
skip classes,n. 逃课
academic performance,学业成绩;学术成就
academic atmosphere, 学业风气
broaden one's horizon, 开阔眼界
stimulate one's interest,无
tap one's potential,无
reduce study load,无
separation between liberal arts and science,无
relaxing college life,无
recruitment,"n. 新兵征召
"
enrollment,"n. 登记, 注册, 入伍
"
apply for admission to ...,无
apply for admission into ...,无
College Entrance Examination,n. 高考
National Entrance Test for MA Candidates,无
National Entrance Test for MS Candidates,无
job market,工作市场
employer,"n. 雇主, 老板
"
employee,"n. 职员, 员工, 受雇人员
"
vocational training,[经] 职业训练
cultural exchanges, 文化交流
cultural blending,无
cultural integration,文化整合
traditional Chinese culture, 中国传统文化
Confucianism,"n. 孔子思想, 儒家思想"
Buddhism,n. 佛教
Daoism,n. 道教
Taoism,n. 道教
Peking Opera, 京剧
Chinese calligraphy,[网络] 中国书法；名人书法；书法班
western cultures,西方文化
