alliance,"n. 联盟, 联合
"
assert,"vt. 主张, 坚称, 断言
"
campus,"n. 校园, 大学生活"
characterize,"vt. 描绘...的特性, 刻划...的性格"
clash,"n. 冲突, 撞击声, 抵触
vi. 冲突, 抵触
vt. 使发出撞击声
"
destruction,"n. 破坏, 毁灭
"
drop out,"掉出, 退出, 离队
"
economy,"n. 经济, 理财, 节约
"
employment,"n. 雇用, 职业, 工作
"
era,"n. 时代, 纪元, 时期"
establishment,"n. 确立, 制定, 设施
"
gender,"n. 性
vt. 产生"
governor,"n. (美)州长, (英)总督, 统治者, 管理者, 理事
"
issue,"n. 发行, 问题, 后果, 流出, 出口, 争端
vi. 发行, 流出, 造成...结果, 传下
vt. 使流出, 放出, 发行, 发布, 发给"
industrial,"a. 工业的, 供工业用的, 工业高度发展的, 产业的
n. 工业工人, 工业股票"
launch,"n. 下水, 汽艇, 发射
vt. 使下水, 发射, 发动
vi. 起飞, 下水, 投入, 开始"
liberal,"n. 自由主义者
a. 慷慨的, 不拘泥的, 宽大的, 自由主义的"
liberating,"v. 解放, 释放( liberate的现在分词 )"
opportunity,"n. 机会, 时机"
passion,"n. 激情, 酷爱, 热爱, 强烈感情, 耶稣受难(故事)"
philosophy,"n. 哲学, 人生观, 哲学思想, 哲理, 基本原理, 见解, 达观, 沉着"
prospects,n. 预期；前景；潜在顾客；远景展望
protest,"n. 抗议, 反对, 抗议书, 断言
v. 反对, 抗议, 断言"
rebel,"n. 叛徒, 反叛者
vi. 造反, 反抗, 抵抗, 反感
a. 造反的, 反抗的"
beam,"n. 横梁, 杆, 光线, 容光焕发
vi. 用梁支承, 微笑, 射出光线
vt. 照耀, 感到欣喜
"
catalog,"n. 目录, 大学概况手册
vt. 编目录
"
clip,"n. 修剪, 夹子, 回形针, 剪下来的东西
vt. 修剪, 痛打, 夹牢, 剪报
vi. 剪报"
couch,"n. 长沙发, 睡椅, 卧榻
vt. 横躺, 表达
vi. 躺下, 蹲伏"
crawl,"n. 爬行, 匍匐而行, 养鱼池
v. 爬行"
discipline,"n. 训练, 纪律
vt. 训练, 惩罚"
distinct,"a. 清楚的, 显著的, 不同的"
distress,"n. 苦恼, 贫困, 痛苦
vt. 使苦恼
a. 亏本出售的"
drama,"n. 戏剧, 戏剧艺术"
honorable,"a. 值得尊敬的, 荣耀的, 高贵的"
imitate,"vt. 模仿, 效法, 冒充, 仿造"
infant,"n. 婴儿, 儿童, 初学者
a. 婴儿的, 幼稚的"
knot,"n. 结, 群, 难题
v. 打结, (使)纠缠"
mostly,"adv. 大概, 大部分, 主要
"
