headache,"n. 头痛, 令人头痛之事
"
toothache,"n. 牙痛
"
cold,"n. 感冒, 寒冷
a. 寒冷的, 冷淡的, 冷静的
adv. 完全地"
fever,"n. 发烧, 发热, 热病
"
stomachache,"n. 胃痛, 肚子痛"
take some medicine, 服药；吃药
see the dentist,无
stay in bed, 呆在床上，卧床休息
should,"aux. 应该, 将要"
hurt,"n. 伤害, 创伤, 损害
v. 伤害, (使)伤心, 危害, 刺痛"
be careful,[网络] 小心；当心；注意
next time,"下次, 下次"
dig,"vt. 挖, 翻土, 发掘
vi. 挖掘
n. 挖掘
"
well,"n. 井, 泉水, 源泉, 好
v. 涌出
a. 健康的, 良好的, 适宜的, 恰当的
adv. 很好地, 适当地, 好意地, 很, 完全
interj. 好啦"
them,"pron. 他们, 她们, 它们"
worry,"n. 担心, 烦恼, 忧虑, 苦恼, 撕咬
vt. 使烦恼, 使焦虑, 使苦恼, 困扰, 折磨, 撕咬
vi. 烦恼, 担心, 撕咬"
easy,"a. 容易的, 缓缓的, 舒适的, 从容的, 宽容的, 流畅的, 随便的, 自在的, 疲软的
adv. 容易地, 慢慢地"
turn left,"向左转,向左拐弯"
turn right,v. 向右转
go straight,"笔直走, 正直做人
"
across from,在...对面
street,"n. 街道, 马路, 街区
a. 街道的"
corner,"n. 角落, 转角, 窘境
vt. 迫至一隅, 垄断, 使陷入绝境
vi. 相交成角, 垄断
"
traffic light,"红绿灯
"
bus stop,公共汽车站
find,"vt. 发现, 感到, 找到, 认为, 得到
vi. 裁决
n. 发现
"
cross,"n. 十字架, 十字架形物件, 交叉, 十字标, 交叉路, 磨难, 杂交
a. 生气的, 交叉的, 相反的
v. 交叉, 横过, 越过
"
hamburger,"n. 汉堡(德国港口), 肉饼, 汉堡包, 纯精牛肉, 汉堡牛排"
please,"adv. 请
vt. 使高兴, 合...的心意, 取悦
vi. 使人满意, 讨好, 愿意, 敬请"
enough,"n. 充足, 够, 很多
a. 充足的, 足够
adv. 足够
interj. 够了"
not enough,[网络] 爱不够；不足；还远远不够
plenty of,许多的
too much,"太多, 太高"
healthy,"a. 健康的, 有益健康的, 卫生的
"
unhealthy,a. 不健康的
chocolate,"n. 巧克力
a. 巧克力制的"
candy,"n. 糖果, 冰糖
vt. 用糖煮, 使结晶为砂糖
vi. 结晶为砂糖"
cheese,"n. 乳酪
"
jelly,"n. 果冻, 果冻甜食, 胶状物
v. (使)结冻, (使)成胶状"
all,"a. 所有的, 全部的, 一切的
adv. 全部, 全然
pron. 全部
n. 全部"
a lot of,许多的
yuck,"int. [美俚]啐（表示反感等, 等于yuk）"
from now on,从现在开始
only,"a. 唯一的, 仅有的, 最佳的
adv. 只有, 仅仅, 只能
conj. 但是, 不过"
cola,"结肠, 冒号, 科朗
"
else,"a. 别的, 其他的
adv. 另外, 否则, 不然"
water,"n. 水, 雨水, 海水, 水位, 水面, 流水
vt. 给...浇水, 供以水, 注入水, 使湿
vi. 流泪, 流口水, 加水
a. 水的, 水上的, 水生的, 含水的"
warm,"a. 暖和的, 暖的, 温暖的, 热烈的, 兴奋的, 激烈的, 多情的, 色情的
vt. 使温暖, 弄热, 使兴奋, 使充满仇恨
vi. 变暖和, 变温暖, 取暖, 激动, 同情, 爱好
n. 暖, 保暖物"
cool,"n. 凉爽, 凉爽的空气
a. 凉爽的, 冷淡的, 冷静的
vi. 冷却, 平息
vt. 使冷却, 使平静"
wet,"n. 湿气, 潮湿, 水分, 雨天
a. 湿的, 潮的, 搞错的, 下雨的, 反对禁酒的
vi. 变湿
vt. 使...湿"
dry,"a. 干的, 无酒的, 枯燥无味的, 干燥的
vt. 把...弄干
vi. 变干
n. 干, 干涸"
clean,"a. 干净的, 清白的, 简洁的
adv. 清洁地, 完全地
vt. 清理, 使干净, 出空
vi. 被搞干净
n. 打扫"
dirty,"a. 肮脏的, 卑鄙的
vt. 弄脏
vi. 变脏"
tidy,"n. 椅子的背罩, 装杂物的容器
a. 整齐的, 有条理的
vt. 弄整齐, 收拾, 整理
vi. 整理, 收拾"
messy,"a. 散乱的, 污秽的, 麻烦的"
was,be的过去式
were,be的过去式
trash,"n. 垃圾, 废物
vt. 丢弃"
museum,n. 博物馆
yesterday,"n. 昨天
adv. 昨天"
good,"n. 善行, 好处, 利益
a. 好的, 优良的, 上等的, 愉快的, 有益的, 好心的, 慈善的, 虔诚的"
bad,"a. 坏的
n. 坏
adv. 坏地"
tasty,"a. 好吃的, 可口的"
yucky,"a. 令人讨厌的, 难以下咽的"
snowy,"a. 多雪的, 雪的, 被雪所覆盖着的, 下雪的"
spicy,"a. 香的, 多香料的, 辛辣的, 下流的"
Canada,n. 加拿大
Thailand,n. 泰国
food,"n. 食物, 养料
"
Here comes ...,[网络] 来了；来这里；日出
circus,"n. 马戏团, 马戏, 竞技场"
week,"n. 星期, 周"
month,"n. 月
"
planted,vbl. 种植
plant,"n. 植物, 作物, 工厂, 树枝, 生长, 设施, 成套设备
vt. 种植, 栽培, 播种, 培养, 安置, 殖民于, 使位于
vi. 种植"
listened,v. 倾听( listen的过去式和过去分词 ); 留心听; 听信; （让对方注意）听着
listen,"vi. 听, 倾听, 听从
n. 听, 倾听"
watched,"vt. 注视, 注意（watch的过去式与过去分词形式）"
watch,"n. 观察, 手表, 看守, 守护, 监视, 值班人
vt. 看, 注视, 照顾, 看守, 守护, 监视
vi. 观看, 注视, 守侯"
helped,v. 帮助（help的过去分词）
help,"n. 帮忙, 帮助者, 补救办法, 有益的东西
vt. 帮助, 帮忙, 接济, 治疗, 款待
vi. 有用, 救命, 招待
"
washed,a. 洗过的
wash,"n. 洗, 洗涤, 冲洗, 洗的衣服, 冲积物, 洼地
vt. 洗, 洗涤, 洗清, 用水冲洗, 流过, 弄湿, 粉刷, 镀金属薄层于
vi. 洗涤, 洗澡, 被冲蚀, 漂浮"
painted,"a. 描画的, 着色的, 刷上油漆的, 涂脂抹粉的, 矫揉造作的"
paint,"n. 油漆, 颜料, 绘画作品, 涂漆
vt. 油漆, 绘, 画, 描绘, 装饰, 点缀
vi. 绘画, 涂漆"
cooked,"a. 精疲力竭的, 被揍得昏厥的, 未达到目的就完蛋的, 喝醉了的"
cook,"n. 厨子, 厨师
vt. 烹调, 煮饭, 加热
vi. 在煮着"
called,a. 被呼叫的
call,"n. 呼叫, 访问, 打电话, 号召, 召集, 要求
vt. 呼叫, 召集, 打电话
vi. 叫喊, 访问, 叫牌
"
did,do的过去式
do,"v. 做, 进行, 完成"
tree,"n. 树, 木料, 树状物
vt. 把...赶上树
"
the Tree Planting Day,无
last,"a. 最后的, 末尾的, 最近的
vi. 持续, 支持, 维持
vt. 使维持, 够...用
adv. 最后, 后来
n. 最后, 末尾, 鞋楦头"
year,"n. 年, 年度, 年龄
"
walk,"n. 走, 散步, 步行, 行走的路程, 竞走, 散步场所
vi. 走路, 步行, 处世
vt. 走过, 遛, 使走, 护送...走"
