raise,"n. 上升, 高地, 增高
vt. 升起, 举起, 唤起, 提高, 使出现, 使复活, 提出, 筹集, 饲养"
permission,"n. 许可, 允许
"
disabled,"a. 残废的, 有缺陷的, 失效的
"
teenager,n. 十三岁到十九岁的少年
offer,"n. 给予(物), 出价, 提议, 意图, 报价
vt. 提供, 出价, 奉献, 试图, 使出现, 演出
vi. 出现, 献祭, 提议, 求婚"
suffer,"vt. 遭受, 经历, 忍受
vi. 受痛苦, 受损害"
serious,"a. 严肃的, 认真的, 重要的, 严重的
"
illness,"n. 疾病, 恶意
"
organize,"vt. 组织, 有机化, 给予生机
vi. 组织起来"
express,"n. 快车, 快递, 专使
a. 明确的, 丝毫不差的, 专门的, 快的
vt. 表达, 表示, 表露"
pain,"n. 痛苦, 疼痛, 辛苦
vt. 使痛苦, 痛苦
vi. 作痛, 疼"
lonely,"a. 孤单的, 孤寂的, 荒凉的"
friendship,"n. 友谊, 友爱, 友善"
difficulty,"n. 困难, 难点"
joy,"n. 欢喜, 乐事, 高兴
vt. 使快乐, 令人高兴
vi. 欢喜"
peace,"n. 和平, 和约, 治安, 和睦, 安宁, 静寂
vi. 安静下来, 不作声"
hurt,"n. 伤害, 创伤, 损害
v. 伤害, (使)伤心, 危害, 刺痛"
courage,"n. 勇气, 胆量"
spirits,"n. 情绪, 兴致, 心情, 烈酒, 酒精"
pay,"n. 薪资, 付款, 补偿
vt. 支付, 付清, 补偿, 偿还, 对...有利, 为...涂防水物
vi. 付款, 付出代价, 偿还, 得到报应, 获得好处"
community,"n. 社区, 公众, 共有, 共同体
"
in need,"在急需时,在贫困时,在危难中"
voluntary work,[网络] 义工；义务工作；志愿工作
ask permission,无
suffer from,"忍受, 遭受
"
raise one's spirits,无
in order to, 为了…
language,"n. 语言, 文字, 措辞
"
communication,"n. 交流, 交通, 通讯
"
ballet,n. 芭蕾舞
accept,"vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍
vi. 同意"
reject,"n. 被拒之人, 被弃之物, 不合格品, 次品
vt. 拒绝, 抵制, 否决, 驳回, 丢弃, 呕出"
meaning,"n. 意义, 含义, 目的, 意图
a. 意味深长的"
gesture,"n. 手势, 姿态
vi. 作手势, 作姿态"
message,"n. 消息, 通讯, 讯息, 教训, 预言, 广告词
vt. 通知
vi. 通报, 报告, 报信
"
bored,a. 无聊的；烦人的；无趣的
part-time,n. 兼任，部分时间
well-dressed, 衣着入时的；穿着讲究的
lady,"n. 淑女, 夫人, 女士, 贵妇"
sigh,"n. 叹息
vi. 叹息, 渴望
vt. 叹息着说"
matter,"n. 事件, 物质, 原因, 素材, 实体, 重要
vi. 有关系"
expression,"n. 表达, 表现, 词语, 措辞
"
appearance,"n. 出现, 露面, 外观, 外表, 出版
"
impression,"n. 印象, 意念, 盖印, 印记, 印数, 底色, 效果
"
towards,"prep. 向, 对于, 为了"
hold,"n. 把握, 把持力, 柄, 控制, 掌握, 监禁
vt. 保存, 握住, 拿住, 占据, 持有, 拥有
vi. 支持, 持续, 有效
n. 保留
"
later,"adv. 以后, 随后"
remind,"vt. 提醒, 使想起"
neck,"n. 脖子, 衣领, 颈
vi. 拥抱, 拥吻, 收缩
vt. 割颈"
cross,"n. 十字架, 十字架形物件, 交叉, 十字标, 交叉路, 磨难, 杂交
a. 生气的, 交叉的, 相反的
v. 交叉, 横过, 越过
"
nod,"n. 点头, 打盹, 晃动
vi. 点头, 打盹
vt. 点头表示, 点(头)"
shake,"n. 摇动, 震动
vt. 摇动, 动摇, 使震动, 挥舞
vi. 震动, 发抖, 动摇"
sure,"a. 确信, 必然的, 必定的
adv. 当然, 确实地, 无疑地"
body language,"n. 身体语言, 手势语言（由手势或姿态无意中传递的讯息）, 肢体语言"
take place,"na. 发生；举行
"
sit up,"坐起, 端坐, 熬夜, 诧异"
make a good impression on ...,[网络] 留下好印象；留一个好的印象；给……留下好印象
remind sb. about sth.,就…提醒…
description,"n. 描述, 说明, 种类
"
describe,"vt. 描述, 描绘, 画"
fisherman,"n. 渔夫, 钓鱼者, 渔船"
net,"n. 网, 网状物, 罗网, 净利, 净价
a. 净的, 最终的
vt. 用网捕, 撒网, 净赚, 得到
vi. 编网
"
although,"conj. 虽然, 尽管"
fit,"n. 适宜, 合身, 发作, 痉挛
a. 适宜的, 对的, 准备好的
vt. 适合, 安装, 使合身, 使适应, 使合格
vi. 适合, 符合, 合身
"
cormorant,"n. 鸬鹚, 贪婪的人
a. 贪婪的"
dive,"n. 潜水, 跳水
vi. 跳水, 俯冲, 猛冲
vt. 把...突然伸入"
ready,"n. 预备好的状态, 现款
a. 准备好的, 备用的, 可以使用的
adv. 预先, 迅速
vt. 使准备好"
reach,"n. 伸出, 延伸, 区域, 范围, 流域, 岬
vt. 到达, 达到, 伸出, 延伸, 影响
vi. 达到, 延伸, 伸出手, 传到"
attract,"vt. 吸引, 诱惑
vi. 有吸引力"
hang,"n. 悬挂, 诀窍, 意义
vt. 悬挂, 附着, 装饰, 垂下, 踌躇, 绞死, 使悬而未决
vi. 悬着, 垂下, 被绞死, 悬而不决"
post,"n. 柱, 杆, 准星, 邮件, 邮政, 标竿, 职位, 岗位, 哨所, 兵营
vt. 张帖, 邮递, 公布, 登入帐, 使熟悉, 布置
vi. 快速行进
adv. 急速地
"
require,"vt. 需要, 命令, 要求
"
practise,"v. 实践, 实行, 练习, 实习, 从事(职业)"
tool,"n. 工具, 机床, 傀儡
vt. 用工具加工
vi. 使用工具"
scissors,"pl. 剪刀
"
pattern,"n. 模范, 典型, 式样, 样品, 图案, 格调, 模式
vt. 模仿, 仿造, 以图案装饰
vi. 形成图案
"
character,"n. 个性, 字符, 人物, 性质, 品格, 资格
"
health,"n. 健康, 卫生, 蓬勃, 健康状态
"
luck,"n. 运气, 幸运, 好运, 侥幸
vi. 靠好运成功"
wedding,"n. 婚礼, 结婚, 结婚周年纪念日, 结合
"
dough,"n. 生面团
"
