award,"n. 奖品, 裁定, 判决
vt. 授予, 给予"
conservationist,n. 自然资源保护论者
environmentalist,n. 环保人士
film,"n. 软片, 薄膜, 胶卷, 电影
vt. 覆以薄膜, 拍摄
vi. 生薄膜, 拍电影"
SCUBA,n. 自携式水中呼吸器
take after,"像, 学样
"
especially,"adv. 尤其, 特别, 格外"
in second place,无
percent,"n. 百分比, 百分数, 部分
"
researcher,n. 研究人员
worldwide,a. 全世界的
cereal,"n. 谷类食品, 谷类植物
a. 谷类的"
mess,"n. 食堂, 伙食, 用膳, 一份食品, 混乱, 乱七八糟, 困境
vt. 将...弄糟, 妨碍, 使紊乱, 使就餐
vi. 陷入困境, 搞乱, 用膳"
inspire,"vt. 使感动, 激发, 启示, 吸入, 鼓舞, 产生, 使生灵感
vi. 吸入, 赋予灵感"
orphan,"n. 孤儿
a. 无双亲的, 孤儿的
vt. 使成孤儿
"
pup,"n. 小狗, 幼畜, 令人讨厌的年轻人
v. 生小狗"
raise,"n. 上升, 高地, 增高
vt. 升起, 举起, 唤起, 提高, 使出现, 使复活, 提出, 筹集, 饲养"
Antarctica,n. 南极洲
bucket list,[网络] 遗愿；人生目标清单；人生清单
camp,"n. 露营, 帐篷
vi. 露营, 扎营
vt. 使扎营"
definitely,"adv. 明确无疑地, 清楚地"
hiking,n. 徒步旅行
penguin,"n. 企鹅, 空军地勤人员"
scenery,"n. 风景, 景色, 舞台布景"
trail,"n. 踪迹, 痕迹, 一串, 尾部, 小径, 持枪姿势
vt. 拖, 尾随, 追踪, 落后于, 开出路
vi. 拖曳, 垂下, 落后, 飘出, 蔓生"
come on,"偶遇, 进步, 发生, 开始, 出场, 快来"
connected,"a. 连接的, 连贯的, 有联系的, 关联的, 连结的, 有关系的
"
improve,"vt. 改良, 提高...的价值, 改善, 利用
vi. 变得更好, 增加"
integral,"n. 整体, 积分, 整数
a. 固有的, 整体的, 整数的, 积分的
"
outdoors,"n. 户外, 野外活动
adv. 在户外, 在野外"
