flight,"n. 飞行, 射程, 逃走, 飞跃, 飞机航程, 班机, 迁徙, 飞逝
vi. 迁徙
vt. 射击(飞禽), 为(箭)装上羽毛, 使惊飞"
because of,因为
direct,"a. 直接的, 坦白的
vt. 指示, 指挥, 命令, 导演
vi. 指导, 指挥
adv. 直接地"
pilot,"n. 飞行员, 领航员, 航船者, 导向器, 驾驶仪, 向导, 领导人
vt. 领航, 驾驶, 引导, 试用
a. 引导的, 控制的, 试点的
"
succeed,"vi. 成功, 继承, 继续
vt. 继承, 接替"
as long as,只要...
school-leaver,n. 毕业生；应届生
exactly,"adv. 确切地, 精确地, 恰好, 完全地, 确实, 恰恰正是, 确实如此"
take care," 当心, 小心; 坚持到底"
sir,"n. 先生, 阁下"
officer,"n. 军官, 主管, 官员, 公务员
vt. 指挥"
stupid,"a. 愚蠢的, 麻木的"
take off,"v. (飞机)起飞；出去；拿掉；移送
"
jacket,"n. 夹克, 外套, 护套
vt. 给...穿夹克, 给...装护套"
ours,pron. 我们的
tie,"n. 带子, 线, 鞋带, 领带, 领结, 关系, 束缚, 平局, 不分胜负
vt. 系, 打结, 扎, 约束, 与...成平局
vi. 结合, 打结, 不分胜负"
row,"n. 排, 行, 街道, 划船, 吵闹
vt. 使成排, 划, 划船, 参加(赛船), 痛骂
vi. 划船, 划动, 争吵
"
pool,"n. 池, 水塘, 石油层, 联营
vt. 合伙经营, 共享, 采掘, 汇聚成
vi. 汇合成塘, 淤积, 联营"
pass,"n. 经过, 要隘, 途径, 通行, 护照, 及格
vt. 经过, 越过, 通过, 批准, 度过, 传递, 忽略
vi. 经过, 变化, 流通, 及格, 宣判, 终止, 消逝, 被忽略, 不叫牌, 传递
"
secondary,"a. 中级的, 中等的, 次要的, 第二的, 从属的, 辅助的
"
secondary school,n. 中学
absent,"a. 缺席的, 不在的, 缺乏的, 漫不经心的
vt. 使缺席"
bell,"n. 铃, 钟
"
wealthy,"a. 富有的, 丰裕的, 充分的"
fear,"n. 恐怖, 害怕, 担心
v. 害怕, 恐惧, 为...担心, 敬畏"
used to,"过去经常(做)..., 过去有规律地发生"
wealth,"n. 财富, 资源, 财产, 丰富, 富裕, 大量
"
double,"n. 两倍
a. 两倍的, 双重的
vt. 使加倍
vi. 加倍, 代替, 快步走
"
seldom,"a. 不常的, 稀少的
adv. 很少, 不常"
spare,"n. 剩余, 备用品, 备件, 备用零件, 备用轮胎
a. 多余的, 备用的, 空闲的, 节约的, 瘦的
vi. 节约, 省掉, 宽恕
vt. 节约, 省用, 剩下, 饶恕, 赦免"
spare time,n. 消遣时间; 闲空; 余; 工余
speak up,"更大声地说, 大胆说出, 无保留地说出"
deaf,"a. 聋的
"
tiny,"a. 很少的, 微小的"
electric,"a. 电的, 导电的, 电动的
"
