a,"第一个字母 A; 一个; 第一的
art. "
actually,"adv. 事实上, 竟然, 如今, 现在"
am,"be的单数第一人称
"
are,be的现在时复数或第二人称单数
beautiful,a. 美丽的
big,"a. 大的, 重要的
adv. 大量地"
birthday,n. 生日
bow,"n. 弓, 眼睛框
v. 用弓拉琴, 弯成弓形
n. 鞠躬, 屈服"
brother,n. 兄弟
cafeteria,"n. 自助餐厅
"
chemistry,"n. 化学, 化学过程
"
city,"n. 城市, 市
"
class,"n. 班级, 阶级, 种类, 课
vt. 分类
"
classmate,n. 同班同学
club,"n. 俱乐部, 木棍, 球棒
vt. 用棍棒打, 缴纳
vi. 联合起来
a. 俱乐部的"
common,"a. 通常的, 共同的, 通俗的, 公共的
"
cool,"n. 凉爽, 凉爽的空气
a. 凉爽的, 冷淡的, 冷静的
vi. 冷却, 平息
vt. 使冷却, 使平静"
exciting,"a. 令人兴奋的, 刺激的
"
family,"n. 家庭, 家人, 族
a. 家庭的"
famous,"a. 出名的, 极好的"
friend,"n. 朋友, 支持者, 赞助者
"
friendly,"a. 友好的, 亲切的, 互助的
adv. 友善地, 温和地"
good,"n. 善行, 好处, 利益
a. 好的, 优良的, 上等的, 愉快的, 有益的, 好心的, 慈善的, 虔诚的"
here,"adv. 在这里, 此时, 这里
n. 这里"
hobby,"n. 嗜好, 癖好, 爱好"
hug,"n. 紧抱, 拥抱
vt. 紧抱, 坚持, 使沾沾自喜"
interesting,a. 有趣的
is,"be的现在式第三人称
"
love,"n. 爱, 恋爱, 爱情, 爱好, 性爱
vt. 爱, 爱好, 爱慕
vi. 爱"
member,"n. 成员, 会员
"
Miss,"n. 失误, 避免, 失败, 小姐
vt. 未得到, 未达到, 未听到, 未觉察, 逃脱, 遗漏, 错过, 思念
vi. 失败, 击不中"
Mr.,"abbr. （用于男子的姓氏或姓名前）先生；（用于称呼要员）先生
"
Mrs.,n. 先生
Ms.,"abbr. 多发性硬化
n. “M”的复数
"
name,"n. 名字, 名称, 姓名, 名义, 名誉, 文件名
vt. 命名, 称呼, 任命, 提名, 列举
a. 姓名的, 据以取名的
"
new,"a. 新的, 陌生的, 最近的, 不熟悉的
"
next,"n. 下一个
a. 下一个的, 其次的, 贴近的
adv. 然后, 下次, 次于
"
nice,"a. 美好的, 和蔼的, 正派的, 做得好的, 精密的, 细微的, 挑剔的, 谨慎的"
now,"adv. 现在, 刚才, 目前
n. 现在
a. 现在的
conj. 由于"
old,"n. 以前, 往昔
a. 老的, 旧的, 古老的, 年长的, 老练的"
over there,在那边
parent,"n. 父母, 父母亲, 根源
"
pat,"n. 轻拍
v. 轻拍
adv. 适时, 正好, 恰好, 毫不迟疑, 熟记地
a. 恰好的, 合适的, 熟练的, 坚定的, 人为的"
person,"n. 人, 人身, 人称
"
really,"adv. 实际上, 真实地, 实在"
same,"a. 相同的, 同样的
pron. 相同的人(或事物)
adv. 同样地"
semester,n. 学期
shy,"n. 惊跳, 惊避
a. 胆怯的, 畏缩的, 迟疑的, 羞怯的
vi. 惊退, 乱投, 乱掷, 厌恶, 避开
vt. 乱投, 乱掷"
sister,"n. 姐妹, 姐, 妹, 护士, 修女
vt. 姐妹般对待"
student,"n. 学生, 研究者, 学者"
teacher,"n. 教师, 老师, 导师"
too,"adv. 也, 非常, 太"
university,n. 大学
unusual,"a. 不寻常的, 罕见的, 与众不同的"
vacation,"n. 假期, 休假
"
very,"a. 真正的, 恰好的, 十足的, 特有的
adv. 非常, 完全"
year,"n. 年, 年度, 年龄
"
after,"prep. 在...之后, 由于
conj. 在...之后
adv. 后来"
airline,"n. 航线, 航线的设备, 航空公司"
a lot,"大量, 很, 非常"
announcer,"n. 节目报告员, 宣告者"
answer the phone,接电话
around,"prep. 包围, 在...周围, 四处
adv. 兜着圈子, 在附近, 到处"
assist,"n. 帮助, 协助
vt. 帮助, 促进
vi. 协助, 参加"
before,"prep. 在...之前
conj. 在...之前
adv. 在前"
breakfast,n. 早餐
build,"v. 建立, 建筑
n. 构造, 体格"
care for,"喜欢, 照顾, 为...操心, 尊重"
carpenter,n. 木匠
cashier,"n. 出纳员
"
chef,n. 厨师
clothes,n. 衣服
company,"n. 公司, 友伴, 交往, 连队, 朋友, 一群
vt. 陪伴
vi. 交往"
construction,"n. 建筑, 构造, 建筑物
"
cook,"n. 厨子, 厨师
vt. 烹调, 煮饭, 加热
vi. 在煮着"
country,"n. 国家, 乡村, 地区, 故乡
a. 乡下的, 农村的
"
cowboy,"n. 牛仔, 牛郎, 牧童"
dancer,"n. 舞蹈演员, 跳舞者"
dangerous,"a. 危险的
"
department store,"百货公司
"
design,"n. 设计, 图样, 方案, 企图
v. 设计, 计划"
different,"a. 不同的
"
difficult,a. 困难的
dinner,"n. 晚餐, 正餐, 宴会"
director,"n. 主管, 导演, 董事
"
doctor,"n. 医生, 博士
vt. 授以博士学位, 诊断, 修改
vi. 行医"
drink,"n. 饮料, 酒
v. 喝, 喝酒"
during,prep. 在...的时候
entertainment business,娱乐业
exactly,"adv. 确切地, 精确地, 恰好, 完全地, 确实, 恰恰正是, 确实如此"
fantastic,"a. 奇妙的, 稀奇的, 空想的"
fisherman,"n. 渔夫, 钓鱼者, 渔船"
flight attendant,n. 飞行服务员
food,"n. 食物, 养料
"
full-time,"专职,全部工作时间的,全日制"
get up,"na. 起床；起身；站起来；叫…起床
"
guide,"n. 引导者, 导游, 指南, 路标
vt. 指导, 支配, 管理, 带领, 操纵
vi. 任向导
"
hospital,"n. 医院
"
house,"n. 房子, 住宅, 机构, 议院, 家族, 家庭
vt. 给...房子住, 收藏
vi. 住, 躲藏"
job,"n. 工作, 零活, 职业, 事情
vi. 做零工, 打杂, 做股票经纪, 假公济私
vt. 代客买卖, 批发, 承包, 欺骗
"
late,"a. 迟的, 晚的, 已故的
adv. 很晚, 很迟, 晚"
like,"a. 相似的, 同样的
vt. 喜欢, 愿意, 想
vi. 喜欢, 希望
n. 爱好, 同样的人(或物)
prep. 象, 如同
adv. 可能"
live,"a. 活的, 生动的, 精力充沛的, 实况转播的
vi. 活, 生存, 居住
vt. 过着, 度过, 经历
adv. 实况地"
lumberjack,"n. 伐木工人, 板材上垛装置"
music,"n. 音乐, 乐曲"
musician,"n. 音乐家, 乐师, 作曲家"
