feather,"n. 羽毛
vi. 长羽毛
vt. 用羽毛装饰"
speed,"n. 速率, 速度, 迅速
vi. 加速, 超速, 快进
vt. 快速传送, 促进, 使加速
"
information,"n. 消息, 知识, 通知, 情报, 信息, 问讯处, 起诉
"
together,"adv. 一起, 共同, 彼此"
baseball,"n. 棒球
"
crop,"n. 农作物, 产量, 平头
vt. 收割, 修剪, 种植
vi. 收获
"
scissors,"pl. 剪刀
"
performance,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出
"
kick,"n. 踢, 反冲, 后座力, 凹底
vi. 踢, 反抗, 反冲
vt. 踢, 反冲"
pink,"n. 粉红色, 石竹花, 化身, 典范, 头面人物, 极度
a. 粉红的, 石竹科的, 比较激进的, 脸色发红的, 精致的, 有点下流的
vt. 刺, 扎, 刺痛, 射伤, 使面红耳赤, 使变粉红色
vi. 变粉红色"
graduate,"n. 毕业生, 量杯
a. 已得学位的, 研究生的, 毕业的
vi. 毕业, 得学位, 逐渐变为
vt. 准予...毕业, 授予...学位, 分等级, 刻刻度"
never,"adv. 从不, 决不, 不曾
"
guitar,n. 吉他
fear,"n. 恐怖, 害怕, 担心
v. 害怕, 恐惧, 为...担心, 敬畏"
risk,"n. 冒险, 危险, 保险额
vt. 冒...的危险, 冒险干"
straight,"n. 直线, 直
a. 直的, 笔直的, 正直的, 直接的, 连续的, 整齐的
adv. 直接地, 立即, 不断地"
pill,"n. 药丸, 弹丸, 屈辱, 胡说
v. 做成药丸, 形成丸状, 服药丸, 挫败, 抢劫"
compare,"vt. 比较, 比喻, 对照
vi. 相比
n. 比较
"
bamboo,"n. 竹子
"
scientist,"n. 科学家
"
shoot,"n. 射击, 狩猎, 芽, 射伤, 发射, 发芽, 急流, 推力, 摄影, 急送, 滑运道, 浪费
vt. 射击, 射中, 损毁, 拍摄, 喷出, 投射, 挥出, 飞速行进, 挥霍, 给...注射
vi. 射出, 射击, 发出, 拍电影, 射门, 发芽"
icon,"n. 画像, 肖像, 偶像, 图标, 像标
"
reef,"n. 暗礁, 礁, 缩帆
v. 缩(帆)"
address,"n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
"
secretary,"n. 秘书, 书记, 大臣
"
worst,"n. 最坏, 最坏的时候
a. 最坏的, 最恶劣的, 最不利的
adv. 最坏, 最糟"
playground,"n. 运动场, 操场, 度假胜地, 活动场所"
choose,"vt. 选择, 宁愿, 欲
vi. 作出选择, 愿意
"
model,"n. 模型, 模范, 模特儿
a. 模范的, 作模型用的
vi. 做模型, 做模特儿
vt. 使模仿, 塑造
"
grass,"n. 草, 草原, 牧场
"
attention,"n. 注意, 注意力
"
improve,"vt. 改良, 提高...的价值, 改善, 利用
vi. 变得更好, 增加"
bathroom,"n. 浴室, 厕所"
rail,"n. 横杆, 围栏, 栏杆, 铁轨, 扶手, 秧鸡
vt. 以横木围栏, 给...铺铁轨
vi. 责骂, 抱怨"
worth,"n. 价值, 财产
a. 值...的, 值得的"
sound,"n. 声音, 语音, 吵闹, 声调, 听力范围, 探条, 海峡
a. 健全的, 可靠的, 合理的, 健康的, 彻底的, 资金充实的
adv. 彻底地, 充分地
vi. 发出声音, 回响, 测深, 试探, 听起来
vt. 使发声, 宣告, 听诊, 测...深, 试探
"
palace,"n. 宫, 宫殿, 华丽大厦"
laugh,"n. 笑, 笑声
vi. 笑, 大笑
vt. 以笑表示"
granny,"n. 奶奶, 老奶奶, 老婆婆, 外婆, 婆婆妈妈的人, 唠叨挑剔的人, 接生婆"
punish,"vt. 处罚, 惩罚, 严厉对待
vi. 惩罚"
through,"adv. 穿越, 从头至尾, 到底, 因为
prep. 经过, 穿过
a. 对穿的, 直达的, 完结的"
able,"a. 能干的, 能够的"
university,n. 大学
competition,"n. 竞争, 竞赛
"
suppose,"vt. 推想, 假设, 以为, 想像, 假定
vi. 料想"
widely,adv. 广泛地
aloud,"adv. 出声地, 大声地"
perhaps,"adv. 也许, 大概"
swing,"n. 摇摆, 振幅, 音律, 节奏, 涨落, 秋千, 旋转, 行动自由
vi. 摇摆, 悬挂, 旋转, 大摇大摆地走, 转向
vt. 挥舞, 使旋转, 使转向, 悬挂, 吊运
a. 旋转的, 悬挂的, 强节奏爵士音乐的"
memory,"n. 记忆, 记忆力, 回忆, 纪念, 存储
n. 内存
"
whatever,pron. 无论什么
ugly,"a. 丑陋的, 邪恶的, 险恶的, 不祥的
n. 丑陋的人(或物)"
wonderful,"a. 令人惊奇的, 奇妙的, 极好的"
accept,"vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍
vi. 同意"
retell,"vt. 再讲, 重复, 重说"
frustrate,"vt. 挫败, 击败, 破坏
a. 无益的, 挫败的, 挫折的"
realize,"vt. 了解, 实现, 使显得逼真, 变卖
vi. 变卖"
shout,"n. 呼喊, 喊声
vi. 呼喊, 喊叫, 嚷
vt. 高喊"
escape,"n. 逃亡, 避难设备, 逃跑
vi. 逃脱, 避开, 溜走
vt. 逃避, 避免, 被...忘掉"
trade,"n. 贸易, 商业, 交易, 生意, 职业, 顾客, 信风
vi. 进行交易, 做买卖, 经商, 对换, 购物
vt. 用...进行交换"
party,"n. 宴会, 党, 政党, 团体, 当事人, 聚会
v. 举办聚会"
spread,"n. 传播, 散布, 伸展
a. 双唇展开的, 伸展的
vt. 展开, 铺开, 传播, 推广, 伸出, 涂, 敷, 延伸
vi. 展开, 扩大, 传开, 延伸
"
study,"n. 学习, 研究, 学科, 论文, 求学, 书房, 试作
vt. 学习, 读书, 研究, 考虑, 计划
vi. 学习, 思索"
maths,n. 数学
riddle,"n. 谜, 谜语, 粗筛
vt. 解谜, 给...出谜, 筛, 寻根究底地检验, 充满于
vi. 出谜"
delicious,a. 美味的
notice,"n. 注意, 布告, 通知, 预告, 短评
vt. 注意, 通知, 评论, 提及, 关注
vi. 注意"
least,"n. 最少, 最小, 最小限度
a. 最少的, 最小的
adv. 最小, 最少"
painter,"n. 画家, 油漆匠
"
pleased,"a. 高兴的, 喜欢的, 满足的"
gun,"n. 枪
"
reason,"n. 理由, 原因, 理智, 道理, 前提, 理性
vt. 说服, 推论, 辩论
vi. 推论, 劝说, 思考"
pay,"n. 薪资, 付款, 补偿
vt. 支付, 付清, 补偿, 偿还, 对...有利, 为...涂防水物
vi. 付款, 付出代价, 偿还, 得到报应, 获得好处"
yard,"n. 码, 庭院, 工场
"
flight,"n. 飞行, 射程, 逃走, 飞跃, 飞机航程, 班机, 迁徙, 飞逝
vi. 迁徙
vt. 射击(飞禽), 为(箭)装上羽毛, 使惊飞"
secret,"n. 秘密, 机密, 秘诀, 秘方
a. 秘密的, 极机密的, 隐蔽的, 暗中的, 神秘的, 偏僻的"
fill,"vt. 装满, 填充, 弥漫, 供给, 满足, 供应
vi. 充满, 变得沉重
n. 满足, 装满, 充分, 填方
vt. 填充
vi. 填充
"
arrive,"vi. 到达, 抵达"
whether,"conj. 是否, 不论
pron. 两个中的哪一个"
