short-term,[经] 短期
long-term, 长期的
rainfall,"n. 降雨, 降雨量
"
Ethiopia,n. 埃塞俄比亚
gravity,"n. 地心引力, 重力
"
headline,"n. 大标题, 新闻摘要
vt. 为...做标题, 写标题"
put pressure on somebody,无
put pressure on somebody to do something,无
politician,"n. 政客, 政治家, 从事党派政治的人
"
statesman,n. 政治家
wrestle,"n. 摔跤, 角力, 扭斗
vi. 摔跤, 搏斗, 斗争, 斟酌
vt. 与(对手)摔跤"
dilemma,"n. 困境, (进退两难的)窘境"
agency,"n. 代理机构, 经销商, 中介
"
pregnant,"a. 怀孕的, 充满的, 思想丰富的, 成果丰硕的
"
beyond,"prep. 超过, 在那一边, 迟于
adv. 在远处
n. 更远处"
at a crossroads, 处于关键时刻，在紧要关头
loaf,"n. 一条面包, 块, 游荡
v. 游手好闲, 虚度光阴"
permanent,"a. 永久的, 不变的, 固定的, 持久的
n. 烫发
"
infrastructure,"n. 基础结构, 基础设施
"
irrigation,"n. 灌溉, 冲洗
"
framework,"n. 结构, 骨架, 参照标准, 准则, 观点
"
enterprise,"n. 企业, 事业心, 进取心, 干事业
"
housewife,"n. 主妇, 家庭妇女"
Nigeria,n. 尼日利亚
problem-solving,[计] 问题求解
work of art,n. 艺术作品
conventional,"a. 传统的, 习惯的, 约定的
"
water buffalo,水牛
ox,n. 牛
tractor,"n. 牵引器, 拖拉机, 拉纸器
"
dam,"n. 水坝, 障碍
v. 控制, 筑坝
"
expense,"n. 费用, 代价, 开支, 损失
"
repay,"v. 偿还, 报答, 报复"
repayment,"n. 付还, 偿还, 报复, 付还的钱
"
catch up on,补做(工作)
weaken,"vt. 削弱, 减弱, 使虚弱
vi. 变弱, 变软弱"
moreover,"adv. 而且, 此外"
squeeze,"n. 紧握, 挤, 榨, 榨取, 佣金
vt. 紧握, 挤, 榨取
vi. 压榨, 榨"
fascinating,"a. 迷人的, 吸引人的, 使人神魂颠倒的"
fashion,"n. 流行, 风尚, 时样
vt. 形成, 造, 作"
fashionable,"a. 时髦的, 上流社会的, 流行的"
basement,"n. 地下室, 墙脚
"
creativity,"n. 创造力, 创造性"
catering,n. 给养；承办酒席；[医]提供饮食及服务
alarm bell,"警铃, 警钟
"
adjustment,"n. 调整, 调节, 校正
"
sustainable,"a. 足可支撑的, 养得起的, 可以忍受的"
health care, 卫生保健
housing,"n. 遮盖, 住房供给, 居留(处), 房屋, 装饰
"
put something into practice,无
grandchild,"n. 孙, 外孙女, 外孙, 孙女, 孙子"
deposit,"n. 存款, 定金, 堆积物
vt. 存放, 堆积
vi. 沉淀"
oilfield,n. 油田
on top of,"熟练掌握, 在...之上, 完全控制着, 另外, 紧接着"
push for something,[网络] 推东西
solar,"a. 太阳的, 日光的, 源自太阳的
"
hydroelectricity,"n. 水力电气
"
flour,"n. 面粉, 粉沫, 碎粉
"
tentative,"n. 试验
a. 试验性的, 暂时的"
Costa Rica,n. 哥斯达黎加
hopefully,"adv. 有希望地, 如果希望能实现的话"
systematic,"a. 有系统的, 分类上的, 体系的
"
edition,"n. 版本, 版, 翻版"
be on the move,[网络] 流转；在移动之中
the Midwest,"n. （美国）中西部
"
retire,"n. 隐居
vi. 引退, 退役, 退休, 退去, 撤退, 退却
vt. 使...撤退, 辞退"
pension,"n. 养老金, 退休金, 津贴, 年金, 抚恤金, 膳宿学校, 膳宿费
vt. 发给退休金, 用津贴拉拢"
hurricane,"n. 飓风, 暴风, 暴风雨"
tough,"n. 恶棍
a. 强硬的, 艰苦的, 坚固的, 坚韧的, 粗暴的, 咬不动的"
turn into,[网络] 了解
