admission,"n. 准许进入, 入场费, 录用, 承认
"
accessible,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的"
attend,"vt. 参加, 照料, 伴随
vi. 专心于, 照顾, 服侍, 出席"
blend,"vt. 混合
n. 混合"
blessed,"a. 神圣的, 受祝福的
bless的过去式和过去分词"
campus,"n. 校园, 大学生活"
catwalk,n. 狭小通道
collaboration,"n. 合作, 勾结
"
community,"n. 社区, 公众, 共有, 共同体
"
competitively,adv. 好竞争地；有竞争力地
comprehensive,"a. 广泛的, 有理解力的, 综合的
"
concentration,"n. 集中, 专心
"
costume,"n. 装束, 服装"
declare,"v. 宣布, 声明, 申报, 断言"
diversity,"n. 差异, 多样性
"
enroll,"vt. 登记, 使加入
vi. 参军, 注册"
explore,"v. 探险, 探测, 探究"
fest,n. 集会；节日
frequent,"a. 时常发生的, 频繁的, 快速的
vt. 时常来访, 常常聚集, 常与...交往"
freshman,"n. 新手, 生手, 大学一年级学生, (美)中学一年级学生"
fright,"n. 惊骇, 吃惊
"
inbox,[计] 入站
incredible,a. 难以置信的
inspiration,"n. 灵感, 鼓舞人心的人或物, 妙计, 吸气
"
institution,"n. 机构, 惯例, 制度
"
keen,"a. 锋利的, 敏锐的, 强烈的, 敏捷的, 热心的, 渴望的
n. 挽歌, 痛哭
v. 唱挽歌, 痛哭"
leadership,"n. 领导能力, 领导阶层"
munchies,n. 小点心
newfound,a. 新发现的
option,"n. 选择权, 挑选, 选项
"
overloaded,a. 超负荷的；超载的；超重的
overlook,"vt. 俯瞰, 远眺, 没注意到
n. 眺望, 俯瞰到的景色"
overwhelming,"a. 压倒性的, 无法抵抗的"
passion,"n. 激情, 酷爱, 热爱, 强烈感情, 耶稣受难(故事)"
phase,"n. 时期, 局面, 方面, 位相, 相, 阶段
vt. 使调整相位, 使定相, 使一致, 逐步执行, 实行
"
pizza,n. 比萨饼
pre-med,"n. 医学预科（课程）；医学预科生
adj. 〈美〉医科大学预科的"
prestigious,a. 享有声望的
primal,"a. 主要的, 最初的, 原始的"
proctor,"n. 代理人, 监考人, 代诉人
"
pure,"a. 纯的, 纯净的, 纯洁的, 清白的, 完美的, 无瑕的, 抽象的
"
renew,"vt. 使更新, 使恢复, 复兴, 修补, 补充, 继续, 重订, 重申, 续借
vi. 更新, 重新开始"
section,"n. 区段, 部分, 区域, 节, 截面, 处, 科, 区, 扇区
vt. 把...分段, 把...切片
vi. 被切成片
"
semester,n. 学期
stark-naked, 一丝不挂的; 光屁股; 赤条精光
suite,"n. 随员, 套房, (一)组, (一)套, 组曲, 继之而来的事
"
supplemental,"a. 补足的, 追加的
"
thrilled,"a. 非常兴奋的; 极为激动的
vt. “thrill”的过去式和过去分词"
tough,"n. 恶棍
a. 强硬的, 艰苦的, 坚固的, 坚韧的, 粗暴的, 咬不动的"
via,"prep. 经由, 经过, 通过
"
virtually,adv. 事实上
at the thought of,一想起
aware of, 意识到，知道
be aware of,知道
be set on doing sth.,无
consist of,由...组成
have no idea, 不知道，不了解; 没谱儿
kick off,"踢脱, 中线开球"
look to do sth.,无
make up,"na. 弥补；起草；定；签订
"
pass out,"v. 昏倒；分发；主要用于英式英语
"
pop up,突然站起(或跳起)
set foot in,进入
acknowledge,"vt. 承认, 告知收悉, 答谢, 报偿
"
appropriate,"a. 适当的
"
autonomous,"a. 自治的
"
autonomy,"n. 自治, 自治权
"
behavioral,a. 行为的
cafeteria,"n. 自助餐厅
"
career,"n. 事业, 生涯, 成功
"
characteristic,"n. 特性, 特征, 特色
a. 特性的, 特有的, 有特色的
"
clarify,"vi. 澄清, 阐明
vt. 使明晰"
cognitive,"a. 认知的, 认识的"
competence,"n. 胜任, 职称, 能力
"
conceal,"vt. 隐藏, 掩盖, 隐瞒
"
consistency,"n. 坚硬性, 黏稠度, 一致性
"
contemplate,"vt. 注视, 沉思, 盘算
vi. 冥思苦想"
corollary,"n. 必然的结果, 系, 推论"
counsel,"n. 商议, 忠告, 法律顾问
v. 商议, 劝告"
critical,"a. 批评的, 决定性的, 危险的, 临界的
"
defer,"vi. 推迟, 延期, 听从
vt. 使推迟, 使延期"
depression,"n. 不景气, 消沉, 沮丧, 洼地
"
discomfort,"n. 困苦, 不适
"
emotional,"a. 情绪的, 情感的
"
energizing,"v. 给予…精力, 能量( energize的现在分词 ); 使通电"
environment,"n. 环境, 外界, 围绕
"
establish,"vt. 建立, 确立, 制定
vi. 移植生长"
ethical,"a. 伦理的, 民族的, 民族特有的
"
exhausted,a. 耗尽的；疲惫的
extensive,"a. 广的, 广泛的, 多方面的
"
extracurricular,"a. 课外的, 业余的"
fatigue,"n. 疲乏, 疲劳
vt. 使疲劳, 使心智衰弱
vi. 疲劳
a. 疲劳的"
formulate,"vt. 用公式表示, 明确叙述, 制订
"
humane,"a. 有人情的, 人道的, 仁慈的"
identification,"n. 识别, 身份证明, 认同
"
individual,"n. 人, 个人, 个体
a. 个别的, 个人的, 独特的"
individuality,"n. 个性, 个人, 特征"
initial,"n. 字首, 首字母
a. 开始的, 最初的, 字首的
vt. 用姓名的首字母签名"
instrumental,"a. 仪器的, 器具的, 可作为手段的
"
integrate,"vt. 综合, 使完整, 使成整体
vi. 成一体
a. 完整的, 完全的"
integrity,"n. 正直, 廉正, 完整
"
intellectual,"n. 有知识者, 知识分子, 凭理智做事者
a. 智力的, 用脑力的, 聪明的"
interdependence,n. 互相依赖
internal,"a. 内在的, 国内的
"
interpersonal,"a. 人与人之间的, 人际(关系)的
"
involve,"vt. 包括, 使陷于, 潜心于, 包围
"
leisure,"n. 空闲, 闲暇, 悠闲
a. 空闲的, 有闲的"
lessen,"vt. 减少, 缩小, 减轻
vi. 变小"
literal,"a. 逐字的, 字面上的, 文字的, 字母的
n. 印刷错误
"
maintain,"vt. 维持, 维修, 保持, 坚持, 供养, 主张
"
manual,"n. 手册, 指南
a. 手的, 手动的, 手工的, 体力的
"
mature,"a. 成熟的, 到期的, 充分考虑的
vt. 使成熟
vi. 成熟, 到期"
meditation,"n. 沉思, 冥想"
mobilization,"n. 动员, 调动, 活动法
"
opportunity,"n. 机会, 时机"
orientation,"n. 定方位, 适应, 向东方
n. 方向
"
participation,"n. 参与, 分享
"
pressing,"a. 紧迫的, 迫切的, 热切的
n. 压, 压榨, 冲压件, 唱片"
prioritize,"vt. 按优先次序列出, 优先考虑"
purposefulness,"n. 果断, 意志坚定"
range,"n. 排, 行, 山脉, 范围, 行列, 射程
vt. 排列, 归类于, 使并列, 放牧
vi. 平行, 延伸, 漫游
"
reassurance,"n. 安心, 放心, 再保证"
reciprocal,"a. 互惠的, 相互的, 相等的, 倒数的, 彼此相反的
n. 倒数, 互相起作用的事物"
relaxation,"n. 松弛, 放松, 减轻, 缓和, 休息, 休养
"
seek,"vt. 寻求, 寻找, 探索, 追求, 搜索, 请求
vi. 寻找, 搜索
"
setting,"n. 环境, 背景, 布景, 镶嵌, 调整, 沉落, 一副餐具
"
significant,"a. 重要的, 有效的, 有含义的, 暗示的, 值得注意的"
simultaneously,"adv. 同时发生, 一齐, 同时, 同时存在"
stress,"n. 压力, 紧迫, 强调, 重音, 重点, 应力
vt. 加压力于, 着重, 重读"
structure,"n. 结构, 构造, 建筑物
vt. 构成, 组织"
trigger,"n. 触发器, 扳机
vt. 触发, 发射, 引起
vi. 松开扳柄
"
valid,"a. 有确实根据的, 有法律效力的, 正当的, 正确的
"
well-being,n. 健康; 幸福; 保持良好状态
adapt to,适应…;适合…
adjust to,[计] 调整至
conducive to, [医]adj.有助于…的，有益于…的
be conducive to,"对…有帮助,有益于…"
conform to,"符合, 遵照"
contribute to,捐献
cope with,"与...竞争, 应付, 处理"
focus on, 致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心
in accordance with,"与...一致, 依照"
make one's way,"前进, 行进, 成功, 发迹"
on the line,"处于中间, 立即"
relevant to, [医]adj.有关的
be relevant to,与...有关
take into account,"na. 考虑
"
couch,"n. 长沙发, 睡椅, 卧榻
vt. 横躺, 表达
vi. 躺下, 蹲伏"
dinosaur,n. 恐龙
driveway,n. 车道
engrave,"vt. 刻上, 雕刻, 铭记"
figurine,n. 小雕像
fingerprint,"n. 指纹
vt. 采指纹"
freezer,"n. 冰库, 冰箱, 冷冻库"
fryer,"n. 做油煎食物的人, 可供油炸的食品, 油炸锅"
gash,"n. 深长的伤口, 很深的裂缝
v. (使)负深伤, 划开, 砍入很深"
item,"n. 项目, 条款, 一则, 项
"
mysteriously,adv. 神秘地; 不可思议地; 诡秘地; 故弄玄虚地
outfit,"n. 用具, 配备, 机构
vt. 配备, 供应
vi. 得到装备"
ponder,"v. 沉思, 考虑"
ponytail,n. 马尾辫
residence,"n. 住宅, 居留, 驻扎, 居住期间
"
scrub,"n. 用力擦洗, 矮树, 矮人, 渺小之物
vt. 用力擦洗, 擦掉, 摩擦
vi. 擦洗干净, 进行手臂消毒
a. 次等的, 矮小的, 非正规球队的, 临时凑合的"
sink,"n. 藏垢的场所, 沟渠, 污水槽
vi. 下沉, 沉没, 下陷, 减弱, 衰退, 消沉, 堕落, 渗透
vt. 使低落, 使下沉, 陷于, 投入(资金等), 挖掘"
skeleton,"n. 骨骼, 骨瘦如柴的人, 梗概, 骨干, 残骸
a. 骨骼的, 概略的, 基层的, 骨干的
"
slip,"n. 滑, 滑行, 事故, 溜, 差错, 滑台, 下降, 插条, 后裔, 板条, 瘦长的年轻人
vi. 滑动, 滑倒, 失足, 溜走, 滑落, 犯错, 变坏
vt. 使滑动, 滑过, 摆脱, 闪开, 塞入, 从...取接枝
a. 滑动的, 滑移的, 活络的, 有活结的
"
stain,"n. 污染, 污点, 着色剂
vt. 沾染, 染污, 着色
vi. 变脏"
straighten,"vt. 弄直, 整顿, 清理, 使改正
vi. 直起来, 改正, 好转"
stressful,"a. 着重, 强调, 重读, 使受应力"
stuffed,已经喂饱了的；塞满了的
toss,"n. 投掷, 抛, 摇摆, 震荡, 掷钱币决定
vt. 投掷, 猛抬, 摇荡, 使不安, 掷钱币决定
vi. 被到处扔, 摇摆, 颠簸, 辗转, 掷钱币决定某事"
turkey,"n. 火鸡, 无用的家伙, 土耳其"
wiggle,"v. 扭动着行进, 摆动
n. 扭动, 摆动"
at the sound of,一听到…的声音
drive off, 驾车离去; 驶去; 赶走; 击退
due to,"由于, 应归于"
in particular,特别
kind of," <口>稍微, 有点儿, 有几分"
last but not least,最后但并不是最不重要的(一点)
leave behind,"na. 遗留；留下；追过；留在后头
"
look back on,"回头看,回顾,追忆"
pick up,"v. 拾起；探出；重新开始
"
remind sb. of sth.,"v. 提醒
"
sort through,"v. 寻遍
"
think back to,回想，回忆；重新思考(往事)
attest,"vi. 证明, 表明, 作证
vt. 为...作证"
attribute,"n. 属性, 标志, 定语
vt. 把...归于, 认为...属于
"
bond,"n. 捆绑物, 结合, 债券, 契约, 粘合剂, 保证人, 键, 关栈保留
vt. 存入关栈, 使黏合
vi. 结合"
bushwalking,n. 丛林徒步旅行
catch-up,"na. 与…并驾齐驱 (to with)；扰乱(说话人)
"
clinical,"a. 临床的, 门诊部的
"
colleague,"n. 同事, 同僚"
consumption,"n. 消费, 消费量, 痨病
"
detail,"n. 细节, 详情
vt. 详述, 选派
vi. 画详图
"
divorced,a. 离婚的
dose,"n. 剂量, 服用量
vt. 给药, (用药)医治
vi. 服药"
drain,"n. 排水沟, 消耗, 排水
vt. 排出, 喝光, 耗尽
vi. 排水, 流干"
dramatically,"adv. 戏剧地, 引人注目地, 突然地"
encounter,"n. 相会, 相遇, 遭遇
vt. 遇见, 邂逅, 会战
vi. 偶然相遇"
enhance,"vt. 提高, 加强, 增加"
eventually,"adv. 最后, 终于"
exhibit,"n. 显示, 显现, 展览品, 陈列品, 展览
vt. 展现, 陈列, 展览
vi. 开展览会"
expand,"vt. 使膨胀, 详述, 扩张
vi. 张开, 发展
vt. 展开
vi. 展开
"
factor,"n. 因素, 因数, 系数, 基因, 代理人
"
flesh-and-blood,"肉体, 情欲, 人类, 现实"
fluid,"n. 液体, 分泌液, 流体
a. 流动的, 可改变的"
goal,"n. 目标, 终点, 得分, 球门, 守门员
vi. 攻门, 射门得分"
gossip,"n. 闲聊, 随笔, 流言, 爱讲闲话的人
vi. 说闲话, 闲聊"
