potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
senior,"n. 年长者, 资深者, 毕业班学生
a. 年长的, 高级的, 资深的"
path,"n. 路径, 小路, 道路, 途径, 路线, 轨道
"
challenge,"n. 挑战, 盘问
vt. 向...挑战, 要求, 怀疑
vi. 挑战, 对(证据等)表示异议"
thinking,"n. 思考, 思想
a. 思考的, 有理性的"
positive,"a. 肯定的, 积极的, 有把握的
"
opportunity,"n. 机会, 时机"
lie in,"在于..., 分娩, 睡懒觉"
rise to, 上升到
acquire,"vt. 获得, 学到
"
effort,"n. 努力, 成就"
advance,"n. 前进, 进展, 行过的路程
vi. 前进, 进展, 提高, 上涨
vt. 使前进, 促进, 提出, 提高, 使提前, 预付
a. 前面的, 预先的"
amazing,a. 令人惊异的
confidence,"n. 信心
"
make a difference,"有区别,有很大关系"
make the most of,尽量利用
resource,"n. 资源, 财力, 办法, 策略, 急智, 消遣
"
take advantage of,"v. 利用
 欺骗, 占…的便宜"
facility,"n. 容易, 灵巧, 设备
"
equal,"n. 对手, 匹敌, 同辈
a. 相等的, 平等的, 胜任的, 合适的, 平静的, 不相上下的
vt. 等于, 比得上
"
attitude,"n. 态度, 看法, 姿势
"
goal,"n. 目标, 终点, 得分, 球门, 守门员
vi. 攻门, 射门得分"
balance,"n. 平衡, 差额
vi. 平衡, 相等
vt. 称, 权衡, 比较, 使平衡, 结算, 抵消"
improve,"vt. 改良, 提高...的价值, 改善, 利用
vi. 变得更好, 增加"
last but not least,最后但并不是最不重要的(一点)
well-rounded, [体]技术全面的
individual,"n. 人, 个人, 个体
a. 个别的, 个人的, 独特的"
character,"n. 个性, 字符, 人物, 性质, 品格, 资格
"
responsible,"a. 有责任的, 负责的, 责任重大的
"
ahead,"a. 领先的, 预先的, 向前的
adv. 领先, 预先, 向前, 胜于, 在前面, 在将来"
junior,"n. 年少者, 地位较低者, 大学三年级学生
a. 年少的, 下级的, 后进的"
forward,"a. 向前的, 早的, 迅速的, 在前的, 进步的
vt. 促进...的生长, 转寄, 运送
adv. 向前地
"
look forward to," 期望, 盼望; 瞩望; 属望; 企"
independent,"n. 独立自主者, 无党派者
a. 独立的, 有主见的, 不须依赖的, 不受约束的"
focus,"n. 焦点, 焦距
vi. 聚焦, 注视
vt. 使聚焦, 调焦, 集中
"
detail,"n. 细节, 详情
vt. 详述, 选派
vi. 画详图
"
as a result of,作为结果
tip,"n. 顶, 尖端, 梢, 末端, 倾斜, 垃圾场, 小费, 轻击, 指点, 秘密消息
vt. 装顶端, 使倾斜, 使翻倒, 泄露, 告诫, 暗示, 给...小费, 轻击
vi. 倾斜, 翻倒, 倾覆, 踮脚走, 给小费
"
base,"n. 底部, 垒, 基础, 基地
vt. 以...作基础
a. 卑鄙的, 低劣的
"
remind,"vt. 提醒, 使想起"
stick to,粘住
