accustom,vt. 使习惯于
addiction,"n. 入迷, 瘾
"
blot,"n. 污点, 墨水渍
vt. 乱涂, 使模糊, 吸干
vi. 弄上墨渍, 吸墨水"
civil,"a. 市民的, 公民的, 有礼貌的
"
clasp,"n. 扣子, 钩, 紧握
v. 扣紧, 紧握"
commemorate,vt. 纪念
condolence,"n. 哀悼, 吊唁"
decorate,v. 装饰
decoration,"n. 装饰, 装饰品"
discontent,n. 不满
discontented,a. 不满意的
disillusion,"n. 觉醒, 幻灭
vt. 使醒悟, 使幻想破灭"
disillusioned,"a. 幻想破灭了的, 大失所望的, 醒悟了的"
domestic,"a. 家庭的, 国内的, 驯养的
"
durable,"a. 持久的, 耐用的"
duration,"n. 持续时间, 持续
"
dwell,"vi. 居住, 居住(于), 存在(于)"
dwelling,"n. 住处
"
effusive,"a. 感情横溢的, 奔放的, 流出的"
embarrass,"vt. 使困窘, 使局促不安, 阻碍"
embarrassment,"n. 困难, 阻碍, 困窘
"
embrace,"n. 拥抱
vt. 拥抱, 互相拥抱, 包含, 收买
vi. 拥抱"
emerge,"vi. 浮现, 形成, 出现, (事实)显露"
emergence,"n. 出现, 浮现, 发生"
encounter,"n. 相会, 相遇, 遭遇
vt. 遇见, 邂逅, 会战
vi. 偶然相遇"
enrich,"vt. 使富足, 使肥沃"
enthusiasm,"n. 巨大的热情, 热心"
enthusiast,"n. 热心家, 狂热者, 爱好者"
enthusiastic,"a. 狂热的, 热心的, 热烈的"
enthusiastically,"adv. 热心地, 狂热地"
frugal,"a. 节俭的, 朴素的"
furnish,"vt. 供给, 提供, 装设
"
gossip,"n. 闲聊, 随笔, 流言, 爱讲闲话的人
vi. 说闲话, 闲聊"
habitual,"a. 习惯的, 惯常的, 平常的
"
hammer,"n. 锤, 铁锤, 钉锤
vt. 锤打, 敲打, 钉
vi. 连续锤打
"
hardware,"n. 硬件, 五金器具, 零件
"
household,"n. 一家人, 家庭, 家族, 王室
a. 家庭的, 家常的, 王室的"
illuminate,"vt. 照明, 用灯装饰, 阐明, 说明, 使灿烂
vi. 照亮, 用灯装饰"
illuminating,a. 有启发性的
inhabit,"vt. 居住于, 占据, 栖息"
inhabited,a. 有人居住的
kid,"n. 小山羊, 小山羊肉, 小孩, 欺骗
a. 小山羊皮制的
v. 哄骗, 嘲弄"
lease,"n. 租约, 租期, 租
vt. 出租, 租出, 租得"
lie,"n. 谎言, 假象, 位置
vi. 躺着, 说谎, 位于, 展现, 存在, 停泊
vt. 谎骗"
live,"a. 活的, 生动的, 精力充沛的, 实况转播的
vi. 活, 生存, 居住
vt. 过着, 度过, 经历
adv. 实况地"
lounge,"n. 闲逛, 休闲室, 长沙发
vi. 闲混, (懒洋洋地)躺
vt. 闲混"
mess,"n. 食堂, 伙食, 用膳, 一份食品, 混乱, 乱七八糟, 困境
vt. 将...弄糟, 妨碍, 使紊乱, 使就餐
vi. 陷入困境, 搞乱, 用膳"
nonsense,"n. 无意义的事, 荒谬言行, 荒唐"
no-nonsense,"adj. 严肃的
"
ornament,"n. 装饰, 点缀品, 教堂用品
vt. 装饰, 修饰"
overhear,"vt. 无意中听到, 偷听"
pad,"n. 填补, 衬垫, 印色盒, 路
vt. 填补, 走, 夸大
vi. 步行
"
parcel,"n. 包裹, 部分, 片
vt. 分配, 打包
a. 部分的
adv. 局部地"
peep,"n. 一瞥, 偷看, 不完全的景象, 初现, 吱吱声, 嘀咕抱怨声, 汽车喇叭声
vi. 窥视, 出现, 吱吱叫
vt. 使隐约显现"
present,"n. 现在, 礼品, 瞄准
a. 现在的, 出席的
vt. 介绍, 引见, 赠送, 提出, 呈现, 上演
vi. 举枪瞄准"
privacy,"n. 隐私, 隐居, 秘密
"
private,"a. 私人的, 秘密的, 私立的, 隐蔽的
n. 士兵, 隐士, 阴部
"
privately,adv. 秘密地；私下地
property,"n. 财产, 所有权, 性质, 属性
"
rack,"n. 架, 行李架, 饲草架, 搁物架, 痛苦, 折磨, 齿条, 行云团
vt. 把...放在架上, 在架上制作, 折磨, 使痛苦, 压榨, 榨取, 猛烈撕拉, 拷问
vi. 变形, 倾斜, (云)随风飘, (马)小步跑
"
rag,"n. 碎布, 抹布, 碎片, 碎屑, 少量, 破旧衣服
vt. 责骂, 揶揄, 戏弄
vi. 喧闹"
