heated,"a. 热的, 激昂的, 兴奋的"
unexpected,"a. 料想不到的, 突然的, 意外的
"
naturalist,n. 自然主义者
shortly,"adv. 不久, 简短, 唐突地"
colonial,"a. 殖民的, 殖民地的
"
spacious,"a. 广大的, 宽广的"
bare,"a. 赤裸的, 缺少的, 无遮蔽的, 坦率的
vt. 使赤裸, 露出"
marble,"n. 大理石, 石弹, 雕刻品
a. 大理石的, 冷酷无情的, 有大理石花纹的"
rafter,"n. 椽, 筏夫
vt. 装椽于"
veranda,"n. 阳台, 走廊"
spirited,"a. 有精神的, 活泼的, 生气勃勃的"
outgrow,"vt. 过大而不适于, 长得比...高(或大、快), 成长得不再具有..."
era,"n. 时代, 纪元, 时期"
reaction,"n. 反应, 反作用, 反动
"
react,"vi. 起反应, 起作用, 反攻
"
crisis,"n. 危机, 危险期, 紧要关头
"
ounce,"n. 盎司, 少量, 雪豹
"
argument,"n. 争论, 论证, 论据, 自变量
"
hostess,"n. 女主人, 女房东, 女老板"
muscle,"n. 肌肉, 臂力
"
contract,"n. 合约, 婚约, 契约
vt. 使皱缩, 使缩短, 感染, 订约, 缔结
vi. 皱缩, 订约, 收缩"
contraction,"n. 收缩, 缩写式, 害病
"
motion,"n. 移动, 手势, 动作, 意向, 请求, 提议
v. 打手势"
widen,"vt. 弄宽, 加宽, 扩大
vi. 变宽, 扩大"
bait,"n. 饵
vt. 以饵引诱, 欺负
vi. 中途休息"
cobra,"n. 眼镜蛇
"
likely,"a. 有可能的, 合适的, 前途有望的
adv. 或许, 可能"
impulse,"n. 冲动, 驱使, 刺激, 推动, 冲力, 建议, 脉冲
vt. 推动"
commotion,"n. 骚动, 暴乱
"
commanding,"a. 指挥的, 威风凛凛的, 居高临下的"
forfeit,"n. 没收物, 罚金, 丧失
vt. 没收, 丧失
a. 丧失了的"
rupee,n. 卢比(印、巴等国货币单位)
