abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
ability,"n. 能力, 才干
"
abnormal,"a. 反常的, 不规则的, 变态的, 畸形的
n. 畸形的人"
aboard,"adv. 在船上, 在火车上, 在飞机上
prep. 在...之上"
abolish,"vt. 废止, 革除, 消灭
"
abortion,"n. 流产, 堕胎, 失败, 夭折, 中止
"
abrupt,"a. 突然的, 唐突的, 陡峭的, 不连贯的"
absence,"n. 缺席, 缺乏, 没有
"
absent,"a. 缺席的, 不在的, 缺乏的, 漫不经心的
vt. 使缺席"
absolute,"a. 绝对的, 专制的, 完全的, 独立的
n. 绝对事物"
absorb,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担
"
absorbed,"a. 全神贯注的, 一心一意的
"
abstract,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
"
abundant,"a. 丰富的, 充分的, 大量的"
abuse,"n. 滥用, 虐待, 恶习, 辱骂
vt. 滥用, 辱骂, 虐待"
academy,"n. 学院, 院校, 学会"
accelerate,"v. 加速, 促进"
accent,"n. 重音, 口音, 特点, 注重点
vt. 重读, 加重音号于, 强调"
acceptable,"a. 可接受的, 合意的, 可忍受的"
acceptance,"n. 接受, 接纳, 承认, 同意, 赞同, 容忍, 相信
"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
accessible,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的"
accompany,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱"
accomplish,"vt. 完成, 达到, 实现, 使完美"
accord,"n. 一致, 调和, 协定
vt. 给与, 使一致
vi. 相符合"
accordance,"n. 一致, 和谐"
according to,"根据, 按照；取决于；据…所说"
accordingly,"adv. 相应地, 因此, 于是"
account,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目
vi. 报帐, 解释, 导致, 报偿, 占, 杀死
vt. 认为
"
accountant,"n. 会计人员, 会计师
"
accumulate,"v. 积聚, 堆积"
accuracy,"n. 精确, 正确
"
accurate,"a. 正确的, 精确的
"
accuse,"vt. 指责, 控告, 归咎于
vi. 指责, 控告"
accustomed,"a. 惯常的, 习惯了的"
achievement,"n. 完成, 成就, 功业"
acknowledge,"vt. 承认, 告知收悉, 答谢, 报偿
"
acquaint,"vt. 使认识, 介绍"
acquaintance,"n. 认识, 相识者"
acquire,"vt. 获得, 学到
"
acquisition,"n. 获得, 获得物
"
action,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼
vt. 对...起诉
"
activity,"n. 活动, 行动, 活跃, 活力
"
acute,"a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的
"
adapt,"vt. 使适应, 改编
vi. 适应"
addition,"n. 加法, 增加的人(或物)
"
additional,"a. 附加的, 另外的, 额外的
"
adequate,"a. 适当的, 足够的
"
adjust,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应"
administration,"n. 行政, 管理, 政府机关
"
admission,"n. 准许进入, 入场费, 录用, 承认
"
adopt,"vt. 采用, 正式通过, 收养, 接受
"
advanced,"a. 在前的, 高级的, 先进的, 年老的
"
advisable,"a. 适当的, 明智的"
advisory,"a. 顾问的, 咨询的, 劝告的
"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
affair,"n. 事件, 事务, 恋爱事件"
affect,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于
n. 自觉感情"
affection,"n. 影响, 病, 喜爱, 情感, 倾向
"
affirmative,"a. 肯定的, 赞成的, 积极的
n. 肯定语"
agency,"n. 代理机构, 经销商, 中介
"
agenda,"pl. 议程, 日常工作事项
"
agent,"n. 代理商, 政府代表, 动原, 媒介
"
aggressive,"a. 侵略的, 挑畔的, 进取的
"
agony,"n. 极大的痛苦, 挣扎
"
agreement,"n. 同意, 合约, 协议
"
aid,"n. 帮助, 外援, 助手
vt. 援助, 帮助, 有助于
vi. 帮助
"
alarm,"n. 惊恐, 警报, 警钟
vt. 使惊恐, 警告
"
alert,"a. 警觉的, 灵敏的, 留心的
n. 警报
vt. 使警觉, 通知, 使意识到"
allergic,"a. 对...过敏的, 极反感的
"
alliance,"n. 联盟, 联合
"
allowance,"n. 津贴, 零用钱, 限额, 折扣, 允许
vt. 定量供应"
ally,"n. 同盟者, 同盟国, 助手
vt. 使联盟, 使联合, 使有关系
vi. 结盟"
alongside,"adv. 在旁边, 靠拢着
prep. 在...旁边, 与...在一起"
alphabet,"n. 字母
"
alter,v. 改变
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
"
altitude,"n. 高度, 海拔, 高处
"
amateur,"n. 业余爱好者, 外行, 爱好者
"
amaze,vt. 使吃惊
amazing,a. 令人惊异的
ambassador,"n. 大使
"
ambition,"n. 野心, 志向"
ambitious,"a. 有野心的, 抱负不凡的, 雄心勃勃的"
amid,"prep. 在其间, 在其中
"
amount,"n. 总数, 总额
vi. 总计, 等同"
amuse,"vt. 消遣, 娱乐, 使发笑"
amusement,"n. 兴味, 娱乐, 消遣
"
analyse,"vt. 分析, 细察, 分解
"
analyze,"vt. 分析, 细察, 分解
"
analysis,"n. 分析
"
ancestor,"n. 祖先, 祖宗"
anchor,"n. 锚
vt. 抛锚停泊, 使固定
"
ancient,"a. 古代的, 古老的, 年老的, 旧的"
angle,"n. 角, 角度, 角落
vi. 钓鱼, 谋取, 博取, 斜向移动, 转变角度
vt. 使转动角度, 在...钓鱼, 获取"
ankle,"n. 踝
"
anniversary,n. 周年纪念
announce,"vt. 宣布, 声称, 显示, 预告
vi. 当报幕员, 宣布参加竞选"
annoy,"vt. 使恼怒, 骚扰"
annual,"n. 年刊, 年报
a. 每年的, 一年一次的, 全年的, 一年生的"
anticipate,"vt. 预期, 占先, 加速, 提前使用
"
anxiety,"n. 焦虑, 忧虑, 令人焦虑的事
"
anyway,"adv. 无论如何, 至少"
apart,"adv. 成零碎, 成距离, 分别地, 分离着
a. 分离的"
apartment,"n. 房间, 公寓"
apologize,"vi. 道歉, 辩解"
apologise,vi. 道歉（等于apologize）
apology,"n. 道歉, 辩护
"
apparent,"a. 清晰可见的, 显然的, 表面上的
"
appeal,"n. 恳求, 诉请, 上诉, 吸引力
vi. 呼吁, 诉请, 要求, 上诉, 有吸引力
vt. 将...上诉"
appealing,"a. 有感染力的, 动人的, 恳求的"
appetite,"n. 食欲, 欲望, 爱好
"
applaud,"v. 拍手喝彩, 称赞, 赞同"
applause,"n. 鼓掌, 喝彩, 赞许"
appliance,"n. 器械, 用具, 应用
"
applicable,"a. 合适的, 可应用的
"
applicant,"n. 申请者
"
application,"n. 应用, 申请, 志愿书, 应用程序
"
applied,"a. 应用的
"
apply,"vt. 涂, 应用
vi. 申请, 适用"
appoint,"vt. 任命, 指定, 下令
"
appointment,"n. 约会, 委任的职位, 委派
"
appreciate,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏
vi. 增值, 涨价"
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
appropriate,"a. 适当的
"
approve,"vt. 赞同, 核准, 为...提供证据
vi. 赞许"
approximate,"a. 大约的, 接近的, 近似的
vt. 接近, 使接近, 粗略估计
vi. 接近于"
approximately,"adv. 大约, 大致, 近于
"
archive,"vt. 把...存档
n. 档案馆, 档案文件
"
arise,"vi. 站立, 出现, 起来"
arouse,"vt. 唤醒, 鼓励, 引起
vi. 醒来"
arrange,"v. 安排, 排列, 达成协议
"
arrangement,"n. 排列, 整齐, 安排
"
arrest,"n. 逮捕, 监禁
vt. 拘捕, 抑制, 吸引, 阻止"
artificial,"a. 人造的, 假的, 非原地产的
"
aside,"n. 小声说的话, 旁白
adv. 在一边, 离开, 另外"
aspect,"n. 外观, 方面, 面貌, 方向
"
aspiration,"n. 热望, 志向, 渴望
"
assemble,"vt. 集合, 收集, 装配
vi. 集合
"
assembly,"n. 与会者, 集会, 装配, 组件
"
assert,"vt. 主张, 坚称, 断言
"
assess,"vt. 估定, 对...征税, 评定
"
asset,"n. 资产, 有益的东西"
assign,"vt. 分配, 指派, 赋值
"
assignment,"n. 分配, 功课, 任务, 转让, 归因, 陈述
"
assist,"n. 帮助, 协助
vt. 帮助, 促进
vi. 协助, 参加"
assistance,"n. 协助, 援助
"
associate,"n. 同伴, 伙伴, 关联的事物
vt. 使联合, 使发生联系
vi. 交往
"
association,"n. 协会
"
assume,"vt. 假定, 承担, 呈现
vi. 装腔作势, 僭越"
assumption,"n. 假定, 自负, 担任, 假装
"
assure,"vt. 保证, 使确信, 弄清楚, 担保
"
atmosphere,"n. 大气, 空气, 气氛
"
attach,"vt. 附上, 使依附, 使附属, 使喜爱, 系, 缚
vi. 附属, 归属, 联系在一起
"
attain,"vt. 达到, 获得
vi. 达到"
attempt,"n. 尝试, 企图
vt. 尝试, 企图"
attendance,"n. 出席, 出席的人数, 照料
"
attitude,"n. 态度, 看法, 姿势
"
attorney,"n. 代理人, 律师
"
attraction,"n. 吸引, 吸引人的事物, 吸引力
"
attractive,"a. 吸引人的, 有魅力的
"
attribute,"n. 属性, 标志, 定语
vt. 把...归于, 认为...属于
"
auction,"n. 拍卖
vt. 拍卖"
audience,"n. 听众, 观众, 读者
"
authentic,"a. 可靠的, 可信的, 真正的
"
authority,"n. 权力, 当权者, 当局, 权威, 专家
"
automate,"vt.vi. (使)自动化
"
automatic,"n. 自动手枪, 自动机械
a. 自动的, 机械的, 必然的, 无意识的"
available,"a. 可利用的, 可获得的, 有效的
"
avenue,"n. 大街, 途径, 林荫路"
avoid,"vt. 避免, 防止, 撤消
"
await,"vt. 等候
vi. 等待着"
awake,"a. 醒着的
vt. 唤醒, 唤起, 使意识到
vi. 醒来, 被唤起, 意识到"
award,"n. 奖品, 裁定, 判决
vt. 授予, 给予"
aware,"a. 知道的, 有觉悟的"
awareness,"n. 意识, 认识
"
awkward,"a. 笨拙的, 棘手的"
bachelor,"n. 单身汉, 学士
"
backup,"n. 倒车, 后退, 后援, 支持, 阻塞
vt. 做备份
a. 候补的, 支持的
"
backward,"adv. 向后地, 相反地
a. 向后的, 相反的
"
balance,"n. 平衡, 差额
vi. 平衡, 相等
vt. 称, 权衡, 比较, 使平衡, 结算, 抵消"
ban,"n. 禁令
vt. 禁止, 取缔"
band,"n. 带子, 队, 乐队
v. 联合, 结合
"
bandage,"n. 绷带
"
bang,"n. 重击, 突然巨响, 刘海
v. 发巨响, 重击
adv. 砰然地, 突然巨响地, 直接地
"
bankrupt,"n. 破产者
a. 破产的
vt. 使破产"
banner,"n. 旗帜
a. 显著的, 特别好的"
banquet,n. 宴会
