divulge,"vt. 泄露, 透露"
inadvertent,"a. 漫不经心的, 非故意的"
panegyric,"n. 赞颂, 颂词, 推崇备至"
draconian,"a. 严厉的, 残酷的"
hodgepodge,"n. 杂烩菜, 混杂物"
incontrovertible,"a. 无争论余地的, 无疑的, 明白的
"
impartial,"a. 公平的, 不偏不倚的
"
endemic,"n. 地方病
a. 某地(或某些人中)流行的, 地方的"
minuscule,"n. 小书写体, 小写字
a. 用小书写体的, 小写字的"
lucrative,"a. 有利益的, 获利的, 合算的"
compensate,"v. 偿还, 补偿, 付报酬"
discursive,"a. 离题的, 东拉西扯的"
presuppose,"vt. 预先假定, 预料, 以...为先决条件"
intermediary,"n. 仲裁者, 调解者, 媒介物, 中间人
a. 中间的, 媒介的"
derogate,"v. 贬损, 毁损"
overbearing,"a. 傲慢的, 骄傲自大的, 蛮横的, 压倒一切的
"
zealous,"a. 热衷的, 热诚的, 热心的, 热情的"
extraneous,"a. 外来的, 非必要的, 无关的
"
rehash,"vt. 重讲, 改头换面地重复
n. 改头换面的作品"
perfunctory,"a. 敷衍的, 随随便便的, 得过且过的"
compound,"n. 混合物, 复合词, 化合物, 院子
a. 复合的, 混合的, 化合的
vi. 化合, 和解, 妥协
vt. 使复合, 使化合"
envy,"n. 羡慕, 嫉妒
vt. 羡慕, 嫉妒"
defensive,"a. 防卫的, 防备用的, 自卫的
n. 守势, 防卫姿势, 防卫物"
unbounded,"a. 无边的, 无限的, 无节制的"
specious,"a. 徒有其表的, 似是而非的, 外表美观的"
aimless,"a. 无目的的, 没有目标的"
ingenuous,"a. 坦白的, 正直的, 天真的"
intrinsic,"a. 本质的, 原有的, 真正的
"
inevitable,"a. 不可避免的, 必然的
"
intransigent,"a. 非妥协性的
n. 不妥协的人"
detached,"a. 超然的, 分离的, 冷淡的
"
inveterate,"a. 根深的, 成癖的, 积习的
"
backhanded,a. 间接的
affable,"a. 和蔼可亲的, 友善的, 亲切的, 慈祥的"
whimsy,"n. 怪念头, 离奇的东西, 反复无常, 绞盘"
tenacious,"a. 紧握的, 固执的, 不屈不挠的, 黏着力强的
"
sardonic,"a. 嘲笑的, 冷笑的, 讥讽的
"
skullduggery,"n. 欺骗, 诡计, 诈骗"
legitimate,"a. 合法的, 正当的, 婚生的
vt. 认为正当, 立为嫡嗣, 使合法"
plagiarize,"v. 剽窃, 抄袭"
disavow,"vt. 否认, 否定, 拒绝对...承担责任
"
deplete,"vt. 耗尽, 使衰竭
"
ridicule,"n. 嘲笑, 愚弄, 笑柄
vt. 嘲笑, 嘲弄, 愚弄"
undermine,"vt. 在...下面挖, 渐渐破坏, 暗地里破坏
"
self-serving,"adj. 为个人利益服务的；图私利的
"
perishable,"a. 易腐坏的, 会枯萎的, 易毁灭的, 不经久的
n. 易腐坏的东西"
capricious,"a. 反复无常的, 多变的, 任性的"
egotism,"n. 自我中心癖, 自负
"
unqualified,"a. 不合格的, 无资格的, 不胜任的
"
magisterial,"a. 长官的, 威严的, 有权威的
"
chauvinistic,"a. 本民族(或本性别)第一主义的, 沙文主义的"
sleek,"a. 光滑的, 油嘴滑舌的, 线条明快的, 圆滑的, 时髦的
vt. 使光滑, 掩盖
vi. 打扮漂亮, 滑动"
astringent,"n. 收敛剂
a. 收敛性的, 严厉的, 涩的"
ambivalent,"a. 矛盾的, 模棱两可的
"
ameliorate,"v. 改善, 改良, 改进"
exemplar,"n. 模范, 榜样, 原型, 标本"
grudge,"n. 怨恨, 恶意
vt. 怀恨, 嫉妒, 吝惜"
sweeping,"n. 扫除, 垃圾
a. 扫荡的, 彻底的, 广泛的"
extirpate,"vt. 连根拔起, 消灭, 根除, 毁灭"
parity,"n. 同等, 同位, 平价, 奇偶性
"
utilitarian,"a. 有效用的, 实利主义的, 功利主义的
n. 功利主义者"
elicit,"vt. 引出, 推导出, 引起"
intoxicate,"vt. 使陶醉, 使喝醉"
inchoate,"a. 刚开始的, 不成熟的, 未发达的
"
rebuff,"n. 断然拒绝, 严厉拒绝, 漠不关心
vt. 严厉拒绝"
construe,"vt. 解释, 分析, 对...逐字直译
vi. 作句法分析
n. 直译"
fallacy,"n. 错误的观念(或信念), 谬见, 谬论
"
increment,"n. 增加, 增值, 盈余
"
deteriorate,v. (使)恶化
grandiose,"a. 宏伟的, 壮丽的, 夸张的
"
truncate,"vt. 切去头端, 缩短, 截棱, 使成平面
a. 切去了头的, 缩短了的"
haphazard,"n. 偶然性, 偶然事件
a. 无计划的, 偶然的, 随便的
adv. 偶然地"
quizzical,"a. 戏弄的, 探询的, 古怪的"
provincial,"n. 外地人, 粗野的人
a. 省的, 外地的, 偏狭的"
insensitive,"a. 对...没有感觉的, 感觉迟钝的
"
shackle,"n. 桎梏, 束缚物
vt. 加枷锁, 束缚"
cumbersome,"a. 笨重的, 麻烦的, 累赘的"
encomium,"n. 赞辞, 称赞, 赞美"
decelerate,v. (使)减速
revitalize,"vt. 使恢复生气, 使复活, 使复兴"
indisputable,a. 无争论之余地的
roost,"n. 栖木, 休息所, 群栖的禽鸟
vi. 栖息, 安歇
vt. 使栖息"
corroborate,"vt. 巩固, 确证
"
proclivity,"n. 倾向, 癖性"
hysteria,"n. 歇斯底里症, 不正常的兴奋, 癔病
"
speculate,"vi. 深思, 推测, 投机
"
conducive,"a. 有益于...的, 有助于...的, 助长的"
vexation,"n. 恼怒, 烦恼, 令人恼火的事情
"
disdain,"n. 蔑视
vt. 蔑视, 鄙弃"
caterwaul,"n. 猫叫春声, 象猫叫春的声音
vi. 叫春, (象猫一样)号叫"
efficacious,"a. 有效的, 灵验的"
alienate,"vt. 使疏远, 离间, 转让
"
analgesic,"a. 止痛的, 痛觉缺失的
n. 止痛剂"
anatomize,"vt. 解剖, 仔细分析
"
embargo,"n. 封港令, 禁运
vt. 禁止出入港口, 禁运"
contemplate,"vt. 注视, 沉思, 盘算
vi. 冥思苦想"
dogmatic,"a. 教条的, 武断的"
concrete,"n. 凝结物, 混凝土
a. 具体的, 实在的, 混凝土的
v. (使)凝结, 用混凝土浇筑"
equitable,"a. 公平的, 公正的
"
fervent,"a. 热的, 炎热的, 热心的"
alleviate,"vt. 减轻, 使缓和"
contagious,"a. 触染性的, 会蔓延的
"
pedantic,"a. 卖弄学问的, 学究式的, 假装学者的"
unwieldy,"a. 难处理的, 笨大难使用的, 笨拙的"
vociferous,"a. 大声叫的, 喊叫的, 喧嚷的"
profess,"vt. 声称, 以...为业, 伪称, 讲授
vi. 表白, 承认, 当教授"
obeisance,"n. 敬礼, 鞠躬, 敬重"
diffuse,"v. 散播, 传播
a. 散开的, 弥漫的"
fulminate,"vt. 使爆发, 以严词谴责
vi. 爆炸, 怒喝, 电闪
n. 雷酸盐, 烈性炸药"
voluble,"a. 流利的, 健谈的, 易旋转的, 缠绕的"
sterling,"n. 英国货币, 标准纯银
a. 英国货币的, 标准纯银的, 含标准成分的"
surmount,"vt. 战胜, 超越, 克服"
prying,a. 窥探
inhibit,"vt. 禁止, 抑制
vi. 起抑制作用"
censure,"n. 责难
vt. 非难, 指责"
peripatetic,"a. 徒步的, 漫游的
n. 走来走去的人, 游历"
stringent,"a. 迫切的, 严厉的, 银根紧的
"
dwindle,"vi. 减少, 缩小, 衰落
vt. 使缩小"
underrate,"vt. 低估, 对...估计过低, 看轻"
incursion,"n. 侵入, 侵略, 奇袭"
pastiche,"n. 模仿作品, 东拼西凑的杂烩"
dishearten,"vt. 使...气馁, 使...沮丧"
emulate,"vt. 效法, 尽力赶上, 同...竞争
"
adduce,"vt. 引证, 举出
"
emblematic,"a. 象征的, 典型的"
indict,"vt. 起诉, 控告, 指控
"
discontinue,"vi. 中断, 终止, 停止
vt. 使中止"
wary,"a. 谨慎的, 小心的, 机警的, 周到的, 唯恐的"
opprobrium,"n. 污名, 耻辱, 咒骂
"
aesthetic,"a. 美学的, 审美的, 有美感的"
expedite,"vt. 加快, 促进, 发出
a. 畅通的, 无阻碍的, 迅速的, 方便的"
captivate,"vt. 迷住, 迷惑"
irreversible,"a. 不可逆的, 不可改变的, 不能倒置的, 不能翻转的, 不能倒转的, 不可撤销的
"
emotive,"a. 使感动的, 动感情的, 感情的
"
refine,"vt. 精炼, 净化, 使优雅, 使精炼
vi. 被精炼, 被净化"
exhilarate,"vt. 使高兴, 使愉快, 鼓励"
solitary,"n. 独居者
a. 孤独的, 独居的"
jar,"n. 广口瓶, 震动, 刺耳声
vi. 震惊, 冲突, 发刺耳声, 不一致
vt. 震动, 刺激"
unfettered,"a. 自由自在的, 无拘无束的"
flummery,"n. 麦片粥, 蛋奶甜点心, 假恭维"
implacable,"a. 不能安抚的, 难和解的, 不变的"
arduous,"a. 费力的, 努力的, 险峻的"
conciliatory,"a. 安抚的, 和好的, 调和的"
optimism,"n. 乐观主义, 乐观, 乐天
"
vindicate,"vt. 辩护, 证明...无辜, 维护
"
