advance,"n. 前进, 进展, 行过的路程
vi. 前进, 进展, 提高, 上涨
vt. 使前进, 促进, 提出, 提高, 使提前, 预付
a. 前面的, 预先的"
proponent,"n. 建议者, 支持者
"
visible,"a. 看得见的, 明显的, 显然的
n. 可见物"
diameter,"n. 直径
"
sphere,"n. 球, 球面, 球体, 天体, 地球仪, 范围
vt. 包围, 使成球体, 放入球内"
compact,"a. 紧凑的, 紧密的, 简洁的
vt. 使紧密结合, 压缩
vi. 变坚实"
overlap,"n. 重叠, 重复, 部分的同时发生
vt. 重叠, 重复, 与...同时发生
vi. 迭盖, 部分的同时发生
"
predator,"n. 食肉动物, 掠夺者
"
disperse,"vt. 分散, 传播, 散开
vi. 分散
a. 分散的
"
critic,"n. 批评家, 鉴定家"
abundant,"a. 丰富的, 充分的, 大量的"
detect,"vt. 发现, 察觉, 探测
"
confusion,"n. 混乱, 混淆, 无秩序
"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
supposedly,"adv. 想象上, 看上去像, 被认为是, 恐怕, 按照推测"
preference,"n. 偏爱, 优先, 喜爱物
"
identical,"a. 同一的, 恒等的, 完全相同的
"
sensory,"a. 知觉的, 感觉的, 传递感觉的
"
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
ecoefficiency,[网络] 生态效率；生态效益
worldwide,a. 全世界的
innovation,"n. 改革, 创新
"
laudable,"a. 值得赞赏的, 值得佩服的
"
discard,"vt. 丢弃, 抛弃
vi. 垫牌
n. 垫牌, 抛弃"
guarantee,"n. 担保, 抵押品, 保证书
vt. 保证, 担保"
vast,"a. 巨大的, 广大的, 非常的, 大量的"
habitat,"n. 栖息地, 居留地, 自生地, 聚集处
"
preserve,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
sustain,"vt. 承受, 支持, 供养, 继续, 忍受, 蒙受, 证实, 准许
"
systemic,"a. 系统的, 体系的, 全身的
"
accumulate,"v. 积聚, 堆积"
exclusively,"adv. 排他地, 仅仅, 专门, 只, 仅, 唯一地, 专有地"
compelling,"a. 强制的, 强迫性的, 激发兴趣的"
distract,"vt. 转移, 分心, 使发狂"
radical,"n. 激进分子, 词根, 基础, 根式, 根
a. 激进的, 根本的, 基本的, 根的"
established,"a. (被)建立的, 固定的, 既定的, 确定的, 确认的, 确立的, (被)制定的
"
inadvertent,"a. 漫不经心的, 非故意的"
foster,"a. 收养的, 养育的
vt. 养育, 抚育, 培养, 鼓励, 抱(希望)"
incentive,"n. 动机
a. 激励的"
vulnerable,"a. 易受伤害的, 有弱点的, 易受影响的, 脆弱的, 成局的
"
archaeology,n. 考古学
excavate,"v. 挖空, 挖出, 凿通"
priceless,"a. 无价的, 极贵重的"
bidder,"n. 出价人, 投标人
"
outrageous,"a. 暴虐的, 极无礼的, 可恶的"
stroke,"n. 笔划, 打, 中风, 抚, 摩, 冲程
vt. 划尾桨, 抚, 摩, 划去
"
authorities,"n. 当局, 官方（authority的复数）"
grip,"n. 紧握, 柄, 握力, 握手方式, 手提包, 掌握, 支配, 控制
vt. 抓紧, 抱住, 吸住, 掌握
vi. 握牢, 有吸引力"
inducement,"n. 诱因, 动机, 吸引力, 刺激物
"
ancient,"a. 古代的, 古老的, 年老的, 旧的"
unique,"a. 独一无二的, 独特的, 稀罕的"
part,"n. 部分, 局部, 零件, 要素, 等分, 职责, 角色, 部位
vt. 分开, 分离, 断绝, 区别, 分配
vi. 分开, 断裂, 分手
a. 部分的, 局部的
adv. 部分地, 有些"
potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
pottery,"n. 陶器, 陶器厂
"
duplicate,"n. 副本, 复本, 复制品
a. 复制的, 二重的
vt. 复制, 使加倍
"
uncover,"vt. 揭露, 揭开, 暴露, 脱帽致敬
vi. 脱帽致敬, 揭去盖子"
undistinguishable,"a. 难辨别的, 难区分的"
jug,"n. 水壶, 监牢, 模仿夜莺的叫声
vt. 放入壶中, 炖, 关押
vi. 模仿夜莺叫"
precious,"a. 宝贵的, 珍贵的, 过于精致的, 珍爱的"
basement,"n. 地下室, 墙脚
"
catalog,"n. 目录, 大学概况手册
vt. 编目录
"
inaccessible,"a. 难得到的, 难接近的, 难达成的"
maintain,"vt. 维持, 维修, 保持, 坚持, 供养, 主张
"
unrealistic,"a. 不切实际的, 幻想的"
clandestine,"a. 偷偷摸摸的
"
provenance,"n. 起源, 出处"
display,"n. 显示, 陈列, 炫耀, 显示器
vt. 陈列, 显示, 表现, 夸示
"
curb,"n. 抑制, 勒马绳, 边石
vt. 抑制, 束缚, 勒住"
humidity,"n. 湿气, 潮湿, 湿度
"
Io,[网络] 输入输出；输出设置；输入输出设置菜单
Europa,[经] 欧罗巴
Ganymede,"n. 木星的最大卫星；伽倪墨得斯（为众神酌酒的美少年, 等于Ganymedes）；侍童"
Callisto,"n. 木卫四（木星最亮的四颗卫星之一, 是距木星第六远的卫星）；卡利斯托（希腊神话中宙斯心爱的女神, 被赫拉所憎恨并被她变为一只熊）"
compose,"vt. 组成, 写作, 作曲, 使平静
vi. 创作, 排字
"
roughly,"adv. 概略地, 粗糙地, 粗暴地"
analogous,"a. 类似的, 相似的
"
distinct,"a. 清楚的, 显著的, 不同的"
outermost,"a. 最外面的, 最远离中心的"
parallel,"n. 平行, 对比, 相匹敌之物
a. 平行的, 相似的
vt. 与...平行, 与...相似, 相比, 使平行
"
modest,"a. 谦逊的, 羞怯的, 端庄的, 适度的
"
bout,"n. 一回, 回合, 较量
"
crater,"n. 火山口, 环行山, 弹坑
"
asteroid,"n. 小行星, 海盘车
a. 星状的"
comet,n. 彗星
bombardment,"n. 炮击
"
resurfacing,[化] 表面重修
Jamaican,a. 牙买加的；牙买加人的
constituency,"n. 选民, 顾客, 读者
"
unity,"n. 一致, 联合, 单一(性), 个体
"
ethos,n. 气质；民族精神；社会思潮
enthusiasm,"n. 巨大的热情, 热心"
subject,"n. 科目, 主题, 臣民, 主语, 题目, (事物的)经受者, 学科, 受治疗者, 原因, 理由
a. 服从的, 易患...的, 隶属的, 受支配的
adv. 在...条件下
vt. 使隶属, 使受到
"
indignity,"n. 侮辱
"
anthropologist,n. 人类学家
perceptible,"a. 可察觉的, 能感觉得到的, 看得见的"
inspire,"vt. 使感动, 激发, 启示, 吸入, 鼓舞, 产生, 使生灵感
vi. 吸入, 赋予灵感"
revitalization,"[医] 复苏, 回生, 复新"
fulfill,"vt. 实践, 履行, 实行, 完成, 结束, 满足
"
conscious,"a. 有意识的, 知觉的, 觉察的
"
long-standing,维持；存在已久的
obscure,"a. 模糊的, 昏暗的, 难解的, 晦涩的, 偏僻的, 微贱的, 无名的
vt. 使变暗, 隐藏, 使变模糊, 使难解"
protest,"n. 抗议, 反对, 抗议书, 断言
v. 反对, 抗议, 断言"
civilian,"n. 平民, 民法专家
a. 平民的, 百姓的, 民用的"
repudiate,"vt. 声明离婚, 拒绝, 拒付, 拒绝履行
"
foothold,"n. 立足处, 据点, 根据地"
terrestrial,"n. 地球上的人
a. 地球的, 陆生的, 陆地的, 人间的"
circulate,"v. (使)流通, (使)循环, (使)传播"
vertical,"a. 垂直的, 直立的
"
gradient,"n. 倾斜度, 梯度, 坡度, 斜率
a. 渐升的, 渐降的, 步行的"
counteract,"vt. 抵消, 阻碍, 中和
"
tilt,"n. 倾斜, 倾向, 船篷, 车篷
vt. 使倾斜, 使倾侧, 用帆布篷遮盖
vi. 倾斜, 翘起, 冲, 评击
"
proximity,"n. 接近, 亲近"
arboreal,"a. 树的, 栖于树木的
"
assume,"vt. 假定, 承担, 呈现
vi. 装腔作势, 僭越"
wiggle,"v. 扭动着行进, 摆动
n. 扭动, 摆动"
indigenous,"a. 本土的, 国产的, 固有的
"
cardiovascular,"a. 心血管的
"
neutralize,"vt. 使中立, 使成中立地带, 使中和, 抵销
vi. 中立化, 变无效, 中和"
adaptation,"n. 适应, 改编, 改编本
"
regardless,"a. 不管, 不注意, 不顾"
minimize,"vt. 将...减到最少
vt. 最小化
vi. 最小化
"
posture,"n. 姿势, 态度, 情形, 形势
vt. 作...的姿势
vi. 作姿势"
contraction,"n. 收缩, 缩写式, 害病
"
torso,"n. 躯干, 裸体躯干雕像
"
susceptible,"a. 易受影响的, 易感动的, 容许...的
"
venous,"a. 静脉的, 在静脉中的, 有脉的
"
supplement,"n. 补充物, 增刊, 补充, 补遗, 补编, 附录, 补角
vt. 补充, 增补"
vulnerable,"a. 易受伤害的, 有弱点的, 易受影响的, 脆弱的, 成局的
"
superior,"n. 长者, 占优势的人, 上级
a. 上级的, 出众的, 高傲的"
ahead,"a. 领先的, 预先的, 向前的
adv. 领先, 预先, 向前, 胜于, 在前面, 在将来"
intangible,"a. 难以明了的, 无形的
"
utility,"n. 功用, 有用之物, 实用, 公用事业, 实用程序
a. 实用的, 有多种用途的
"
practical,"a. 实际的, 现实的, 实用性的
"
residual,"a. 残渣的, 剩余的
n. 残渣, 剩余, 余数"
conceptual,"a. 概念的
"
categorize,"vt. 分类, 归类"
bookkeeper,"n. 簿记员
"
janitor,"n. 守卫, 门警, 管理人
"
ambiguity,"n. 不明确, 含糊
"
arbitrariness,"n. 任意, 武断, 专断, 反复无常"
clarify,"vi. 澄清, 阐明
vt. 使明晰"
pragmatic,"a. 忙碌的, 爱管闲事的, 自负的, 固执己见的, 实际的, 务实的, 国事的, 国务的
"
underestimate,"n. 低估
vt. 低估, 看轻"
diversity,"n. 差异, 多样性
"
flaw,"n. 缺点, 裂纹, 瑕疵, 一阵狂风
"
validate,"vt. 使有效, 使生效, 确认, 证实, 验证
"
narrative,"n. 叙述, 故事
a. 叙述的, 叙事的, 故事体的"
autobiography,n. 自传
represent,"vt. 表现, 表示, 描绘, 讲述, 代表, 象征, 回忆, 再赠送, 再上演
vi. 提出异议"
furnish,"vt. 供给, 提供, 装设
"
cautious,"a. 谨慎的, 小心的"
commentary,"n. 注释, 评论, 说明
"
rhetoric,"n. 修辞, 修辞学, 雄辩(术)"
pivotal,"a. 枢轴的, 关键的, 起中心作用的"
unwittingly,adv. 不知情地；不知不觉地；不经意地
inherent,"a. 固有的, 与生俱来的
"
refrain,"n. 重复的话, 叠句, 副歌
vi. 节制, 避免, 克制"
acknowledge,"vt. 承认, 告知收悉, 答谢, 报偿
"
depict,"vt. 描述, 描写"
scale,"n. 刻度, 衡量, 比例, 比例尺, 数值范围, 等级, 规模, 天平, 秤, 鳞, 积垢
vt. 依比例决定, 攀登, 测量, 绘制, 刮鳞, 使生垢, 过秤
vi. 剥落, 生水垢, 重量为, 攀登, 衡量
"
capacity,"n. 容量, 能力, 才能, 资格
"
output,"n. 输出, 产品, 产量
"
throughput,"n. 生产量, 通过量
"
optimal,"a. 最佳的, 最理想的
"
wholesaler,"n. 批发商
"
sunk,"a. 凹陷的
sink的过去式和过去分词"
consequently,adv. 所以
sophisticated,"a. 复杂的, 久经世故的
"
exploit,"n. 功绩, 勋绩
vt. 开发, 利用, 开拓, 剥削"
comparable,"a. 可比较的, 比得上的"
breakdown,"n. 崩溃, 故障
"
segregation,"n. 隔离, 偏析, 被隔离的部分, 种族隔离
"
acquisition,"n. 获得, 获得物
"
eligible,"a. 有资格当选的, 合格的
n. 有资格者, 合格者, 适任者"
interruption,"n. 打扰, 中断, 障碍物
"
acquire,"vt. 获得, 学到
"
concentration,"n. 集中, 专心
"
combing,"n. 梳理, 梳下的毛或发
"
posit,"vt. 假设, 安置, 布置"
flexible,"a. 易曲的, 灵活的, 柔顺的, 能变形的, 可通融的
"
accommodate,"vt. 使适应, 调和, 通融, 容纳, 向...提供
vi. 适应"
devote,"vt. 投入于, 献身"
articulate,"a. 发音清晰的, 口才好的
vt. 明白地说, 以关节连接, 使成为系统的整体"
substantiate,"vt. 使实体化, 证实
"
dramatic,"a. 戏剧性的, 生动的"
temporary,"a. 暂时的, 临时的
n. 临时工, 临时雇员
"
statistical,"a. 统计的, 统计上的, 统计学的
"
demographic,"a. 人口统计的
"
correlate,"n. 有相互关系的东西, 相关物
vt. 使有相互关系
vi. 相关"
fluctuate,"vi. 变动, 起伏, 动摇
vt. 使波动, 使动摇"
overall,"a. 全部的, 全体的, 从头至尾的, 一切在内的
adv. 从头到尾, 总的说来
n. 罩衫, 工作服"
bargaining,"n. 讨价还价, 谈判, 交涉
"
explainable,"a. 可说明的, 可辩解的, 可解释的"
entry,"n. 登录, 条目, 进入, 入口, 报关
"
discourage,"vt. 使气馁, 阻碍"
excessive,"a. 过度的, 过多的, 极端的
"
mandate,"n. 命令, 指令, 要求
vt. 委任统治"
coverage,"n. 覆盖的范围, 保险总额, 新闻报导
"
promote,"vt. 促进, 晋升, 创办, 推销
"
permanent,"a. 永久的, 不变的, 固定的, 持久的
n. 烫发
"
assist,"n. 帮助, 协助
vt. 帮助, 促进
vi. 协助, 参加"
explicit,"a. 详述的, 清楚的, 直言的"
favor,"n. 好意, 喜爱
vt. 赐予, 支持, 喜欢, 证实"
beneficial,"a. 有益的, 受益的
"
regulation,"n. 规则, 管理, 调整
"
compliance,"n. 遵从, 顺从, 屈从
"
unevenly,adv. 不平坦地；不均衡地；不平行地
uniform,"n. 制服
a. 统一的, 一律的, 始终如一的"
situate,"vt. 使位于, 使处于"
revenue,"n. 收入, 岁入, 税收, 税务局
"
provision,"n. (政府提供的)钱和设备, 准备, 供应品, 规定, 条款
vt. 供给...食物及必需品"
virtue,"n. 德行, 美德, 优点, 功效, 效力
"
toxic,"a. 有毒的, 中毒的
"
impose,"vt. 征(税), 把...强加于, 以...欺骗
vi. 利用, 欺骗, 施加影响"
burner,"n. 火炉, 烧火的人
"
discretion,"n. 慎重, 辨别力, 考虑, 处理权
"
address,"n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
"
hazardous,"a. 危险的, 冒险的, 碰运气的
"
adjacent,"a. 毗连的, 邻近的, 连接的
"
reservation,"n. 保留, 预定, 保留品, 保留地
"
