agony,"n. 极大的痛苦, 挣扎
"
agony aunt,n. 在读者来信专栏回答来信的人
help out,"v. 帮助…摆脱困境；救出；协助
"
let down,"na. 使失望；放下；丢面子
"
steam,"n. 蒸汽, 精力
a. 蒸汽的
vi. 蒸发, 行驶, 发怒
vt. 蒸, 煮, 散发"
let off steam,"放掉多余的蒸汽, 花掉多余的精力, 发泄强烈的感情, 发脾气"
loose,"n. 发射, 放任, 放纵
a. 宽松的, 松的, 宽的, 不牢固的, 散漫的, 自由的, 不精确的
vt. 释放, 放枪, 开船
vi. 变松, 开火
adv. 松散地"
lip,"n. 唇, 口缘, 唇状构造
vt. 以嘴唇碰, 轻轻说出
a. 口头上的
"
sink,"n. 藏垢的场所, 沟渠, 污水槽
vi. 下沉, 沉没, 下陷, 减弱, 衰退, 消沉, 堕落, 渗透
vt. 使低落, 使下沉, 陷于, 投入(资金等), 挖掘"
loose lips sink ships,[网络] 口风不紧船舰沉；言多必失；口风不紧船舰沈
fault,"n. 过错, 故障, 毛病
vt. 挑剔
vi. 产生断层, 弄错
"
resolve,"vi. 决定, 分解, 决心
vt. 使分解, 解析, 解决, 消除, 决心
n. 决定之事, 决心, 坚决"
strategy,"n. 战略, 策略
"
signal,"n. 信号, 暗号, 近因, 导火线
vt. 向...作信号, 标志, 用信号通知
vi. 发信号
a. 作为信号的, 显著的
"
breath,"n. 呼吸, 气息, 瞬间
"
take a breath, 深深地吸一口气
pull one's weight,尽力工作
concern,"n. 关心, 忧虑
vt. 与...有关, 使担心, 使挂念"
annoyed,a. 恼怒的；烦闷的
adjust,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应"
duty,"n. 责任, 关税, 职务, 尊敬
"
accident,"n. 意外事件, 机遇, 事故, 次要方面
"
by accident,偶然
core,"n. 核心, 果心, 要点
vt. 挖...的核
"
ensure,"vt. 确定, 保证, 担保, 保护
"
complexity,"n. 复杂, 复杂性, 复杂的事物"
forgive,"vt. 原谅, 宽恕, 免除
"
criticise,"v. 批评, 吹毛求疵, 非难"
embarrassment,"n. 困难, 阻碍, 困窘
"
boxing,"n. 拳击
"
tangled,"a. 纠缠的, 紊乱的
"
web,"n. 网, 蛛丝, 蹼, 织物, 圈套, 卷筒纸
vi. 结网, 形成网
vt. 织蜘蛛网于, 使落入圈套"
weave,"n. 编法, 织法, 编织式样
vt. 编织, 组合, 编排, 使迂回前进
vi. 纺织, 迂回行进"
deceive,"v. 欺骗, 行骗"
justify,"vt. 替...辩护, 证明
vi. 证明合法
"
frank,"a. 坦白的, 率直的, 老实的
vt. 免费邮寄
n. 免费邮寄特权"
tear,"n. 泪滴, 眼泪, 撕, 扯, 裂缝, 激怒, 飞奔
vi. 流泪, 撕破, 赶快, 飞奔, 被撕破
vt. 撕裂, 戳破, 拉掉, 撕掉, 使分裂, 使精神不安, 折磨"
latter,"a. 后者的, 较后的, 近来的"
moreover,"adv. 而且, 此外"
independent,"n. 独立自主者, 无党派者
a. 独立的, 有主见的, 不须依赖的, 不受约束的"
apart,"adv. 成零碎, 成距离, 分别地, 分离着
a. 分离的"
fence,"n. 围墙, 栅栏, 买卖赃物的人, 剑术
vt. 用篱笆围住, 练习剑术, 防护
vi. 击剑, 搪塞"
contribution,"n. 捐助, 捐助之物, 贡献
"
relief,"n. 减轻, 解除, 救济, 安慰, 调剂, 浮雕, 换班, (地势的)起伏
"
shortage,"n. 不足, 缺乏
"
internal,"a. 内在的, 国内的
"
effective,"a. 有效的, 有力的, 实际的
n. 有生力量"
fund,"n. 基金, 资金, 存款, 财源, 贮藏
vt. 提供资金, 积累"
recycle,"vt. 使再循环, 重新利用, 再制
n. 再循环"
fountain,"n. 水源, 源, 喷泉, 泉水, 本源
"
earn,"vt. 赚得, 获得, 博得
"
donate,v. 捐赠
break into a smile,无
foundation,"n. 基础, 根据, 建立
"
insight,"n. 察看, 洞察力, 见识
"
perseverance,"n. 毅力, 忍耐, 锲而不舍, 不屈不挠"
reality,"n. 实在, 事实, 实体, 逼真
"
extend,"v. 扩充, 延伸, 伸展, 扩大
"
mission,"n. 任务, 代表团, 使命, 传教团
vt. 派遣, 向...传教"
disease,"n. 疾病, 弊病
"
disability,"n. 无力, 无能, 残疾
"
territory,"n. 领土, 领地, 版图, 地区, 活动范围
"
sensitive,"a. 敏感的, 易感的, 灵敏的, 感光的
"
generous,"a. 慷慨的, 有雅量的, 大量的, 丰富的"
hesitate,"vi. 犹豫, 迟疑, 踌躇, 支吾, 停顿"
cancer,"n. 癌, 恶性肿瘤
"
royal,"n. 王室, 皇族
a. 王室的, 皇家的, 盛大的, 庄严的"
institution,"n. 机构, 惯例, 制度
"
assistance,"n. 协助, 援助
"
registration,"n. 登记, 挂号, 注册
"
confirmation,"n. 证实, 证明, 批准, 确认
"
Nazi,"n. 纳粹党人；纳粹主义信徒
adj. 纳粹党的；纳粹主义的
n. (Nazi)人名；(布基)纳齐；(俄)娜济"
Jewish,"a. 犹太人的, 犹太族的"
aid,"n. 帮助, 外援, 助手
vt. 援助, 帮助, 有助于
vi. 帮助
"
temporary,"a. 暂时的, 临时的
n. 临时工, 临时雇员
"
military,"n. 军队
a. 军事的, 军人的, 适于战争的"
rise to one's feet,站起来
achievement,"n. 完成, 成就, 功业"
knighthood,"n. 骑士身分, 骑士气质, 骑士"
chief,"n. 领袖, 酋长, 长官, 主要部分
a. 主要的, 首位的"
major,"n. 主修课, 成年人, 陆军少校
a. 主要的, 较多的, 大部分的, 成年的, 严重的
vi. 主修
"
treatment,"n. 治疗, 待遇, 处理
"
obtain,"vt. 获得, 达到
vi. 流行, 得到公认"
drug,"n. 药, 麻药, 麻醉药
vi. 吸毒
vt. 使服麻醉药, 使麻木"
certificate,"n. 证书, 证明书
vt. 发给证明书, 用证书批准, 用证书证明"
ministry,"n. 部, 内阁, 服务
"
further,"a. 更远的, 此外的, 更多的
vt. 促进, 增进, 助长
adv. 更进一步地, 更远地, 此外"
press,"n. 压, 揿, 按, 人群, 印刷机, 压力, 出版社, 记者, 报刊, 新闻舆论, 紧迫
vt. 压, 压榨, 紧抱, 逼迫, 推进, 强迫征募, 催逼
vi. 压, 重压, 催促, 拥挤, 奋力前进, 受压"
shoot,"n. 射击, 狩猎, 芽, 射伤, 发射, 发芽, 急流, 推力, 摄影, 急送, 滑运道, 浪费
vt. 射击, 射中, 损毁, 拍摄, 喷出, 投射, 挥出, 飞速行进, 挥霍, 给...注射
vi. 射出, 射击, 发出, 拍电影, 射门, 发芽"
gunpowder,"n. 火药
"
compass,"n. 指南针, 范围, 音域
vt. 包围, 达到, 图谋, 理解"
virtual,"a. 实际上起作用的, 虚的, 实质的, 有效的, 事实上生效的
"
virtual reality,n. [计]虚拟现实
wearable tech,可穿戴技术（wearable technology）
flexible,"a. 易曲的, 灵活的, 柔顺的, 能变形的, 可通融的
"
battery,"n. 电池, 殴打
"
in addition,另外
compute,"v. 计算, 估算
n. 计算, 估算"
capable,"a. 有能力的, 能的, 能干的"
stuff,"n. 原料, 要素, 东西, 材料, 素质, 织品, 废物, 废话
vt. 装填
vi. 狼吞虎咽"
desire,"n. 欲望, 要求
vt. 想要, 请求
vi. 渴望"
never say never,[网络] 永不言败；永不说不；永不放弃
passive,"a. 消极的, 被动的, 冷漠的, 顺从的, 无源的
"
beyond,"prep. 超过, 在那一边, 迟于
adv. 在远处
n. 更远处"
instance,"n. 建议, 情况, 例子, 场合
vt. 引以为例, 举例说明"
significant,"a. 重要的, 有效的, 有含义的, 暗示的, 值得注意的"
injure,"vt. 伤害, 损害, 使受冤屈
"
chemist,"n. 化学家, 药剂师
"
astronomer,n. 天文学家
biologist,"n. 生物学家
"
accurate,"a. 正确的, 精确的
"
Gregorian calendar,"格列高利历, 公历"
minor,"n. 未成年人, 副修科目
a. 较小的, 二流的, 未成年的
vi. 副修
"
origin,"n. 起源, 起因, 出身, 开端
"
species,"n. 种, 类, 外形
"
natural selection,"[医] 自然选择, 自然淘汰"
field research,"实际教学,现场调查研究"
stream,"n. 水流, 小河, 流出, 趋势, 人潮
vt. 流出, 流动, 展开
vi. 流, 涌, 飘扬
"
extraordinary,"a. 非常的, 特别的, 非凡的
"
brilliant,"a. 光辉的, 灿烂的, 有才气的
"
radium,"n. 镭
"
Goldbach's Conjecture,[网络] 哥德巴赫猜想；猜想的
theory,"n. 理论, 学说, 原理, 意见, 推测
"
mental,"a. 心智的, 精神病的, 心理的, 颏的
n. 精神病患者"
cure,"n. 治疗, 治愈, 治疗法
vt. 治疗, 治愈, 改正, 腌制, 加工处理, 使硫化
vi. 受治疗, 被加工处理, 被硫化"
draft,"n. 气流, 草稿, 汇票, 草案
vt. 起草, 征兵
"
declaration,"n. 宣告, 说明, 宣布
"
experiment,"n. 实验, 试验, 实验仪器
vi. 实验, 尝试"
lightning,"n. 闪电
vi. 闪电
a. 闪电的"
fiction,"n. 小说, 虚构故事
"
metal,"n. 金属, 金属制品, 合金, 本质, 质料
a. 金属制的
vt. 以金属覆盖"
attach,"vt. 附上, 使依附, 使附属, 使喜爱, 系, 缚
vi. 附属, 归属, 联系在一起
"
flash,"n. 闪光, 闪现, 一瞬间
vi. 闪光, 闪现, 反射
vt. 使闪光, 反射"
conduct,"n. 行为, 举动, 指导
vt. 为人, 指挥, 管理, 实施
vi. 领导, 传导, 指挥"
scientific,"a. 科学的, 系统的, 符合科学规律的
"
entirely,"adv. 完全, 全然, 一概"
gravity,"n. 地心引力, 重力
"
account,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目
vi. 报帐, 解释, 导致, 报偿, 占, 杀死
vt. 认为
"
proof,"n. 证据, 证明, 试验, 检验, 考验
a. 不能透入的, 证明用的, 防...的, 耐...的
vt. 检验, 试验, 校对, 使不被穿透
"
procedure,"n. 程序, 过程, 手续
"
greet,"vt. 问候, 致敬, 欢迎, 映入眼帘"
broadcast,"n. 广播, 传播
a. 广播的
v. 广播
adv. 经广播, 四散地
"
stair,"n. 梯级, 楼梯, 阶梯"
load,"n. 负荷, 担子, 重担, 装载量, 负载, 工作量, 加载
vt. 装载, 装填, 使担负
vi. 装货, 上客, 装料
"
get a load of ...,仔细看
battle,"n. 战役
v. 战斗"
fold,"n. 折层, 折, 羊栏, 折痕, 信徒
vt. 折叠, 包, 合拢, 交迭
vi. 折叠起来, 彻底失败
"
sculptor,n. 雕刻家
portrait,"n. 肖像, 人像, 半身像, 描写, 竖排格式
"
selfie,n. 自拍照
exhibition,"n. 表现, 展览会, 展览品
"
neighbourhood,"n. 邻接, 周围, 附近一带, 邻近, 邻居关系, 地区, 街道, 街坊, 四邻
"
embroidery,"n. 刺绣品, 粉饰, 刺绣"
seal,"n. 印章, 封条, 海豹, 海豹皮, 火漆, 封蜡, 玺, 保证, 批准, 象征, 标志
vt. 封闭, 盖印, 盖章
vi. 猎海豹"
seal cutting, 篆刻
calligraphy,"n. 笔迹, 书法"
porcelain,"n. 瓷器, 瓷
a. 瓷制的"
demonstrate,"vt. 示范, 证明
vi. 示威"
vividly,"adv. 鲜艳, 强烈, 明亮, 鲜明, 活泼, 有生气, 生动, 清晰, 逼真"
needle,"n. 针, 尖
vt. 用针缝
vi. 缝纫
"
elegant,"a. 优雅的, 端庄的, 高雅的"
carve,"v. 雕刻, 切开"
contemporary,"n. 同时代的人
a. 同时代的, 属于同一时期的"
cigarette,"n. 香烟, 纸烟"
lack,"n. 缺乏, 无, 不足
vt. 缺乏, 短少, 不足, 需要
vi. 缺乏"
stimulate,"vt. 刺激, 激励, 鼓舞
vi. 起刺激作用"
magnificent,"a. 华丽的, 高尚的, 宏伟的"
bare,"a. 赤裸的, 缺少的, 无遮蔽的, 坦率的
vt. 使赤裸, 露出"
hoof,"n. 蹄, (人的)脚
vt. 以蹄踢, 行走, 步行
vi. 走, 踢, 踏"
wine,"n. 葡萄酒, 果酒, 暗红色
v. (请)喝酒"
dirt,"n. 污垢, 泥土
"
sponsor,"n. 保证人, 赞助者, 发起者, 倡议者, 教父
vt. 发起, 赞助, 倡议"
emperor,"n. 皇帝, 君主"
fond,"a. 喜欢的, 宠爱的, 温柔的"
be fond of ...,"喜爱, 爱好"
frequent,"a. 时常发生的, 频繁的, 快速的
vt. 时常来访, 常常聚集, 常与...交往"
majesty,"n. 最高权威, 威严, 王权, 雄伟, 庄严"
