live,"a. 活的, 生动的, 精力充沛的, 实况转播的
vi. 活, 生存, 居住
vt. 过着, 度过, 经历
adv. 实况地"
quite,"adv. 相当, 完全, 十分"
scarf,"n. 围巾, 头巾, 领带, 领巾, 嵌接
vt. 用围巾围, 嵌接"
airport,"n. 飞机场
"
pupil,"n. 学生, 门生, 未成年人, 瞳孔
"
arrive,"vi. 到达, 抵达"
meet,"n. 会, 集会
a. 适宜的, 合适的
vt. 遇见, 引见, 认识, 满足, 对付
vi. 相遇, 接触"
wardrobe,"n. 衣橱, 衣室, 全部衣服"
show ... around,"v. 带…参观
"
Queen's Park,[网络] 皇后公园；女王公园；女王公园酒店
art gallery,"美术馆,画廊"
public library,[计] 公用程序库
downtown,"n. 市中心区
a. 市中心的
adv. 往闹市区"
Lake Ontario,安大略湖
stadium,"n. 露天大型运动场
"
volunteer,"n. 志愿者
a. 志愿的
v. 自愿"
sandwich,"n. 三明治, 夹心面包, 夹层板
vt. 插入, 夹入, 把...制成三明治"
top,"n. 顶部, 顶端, 极点, 上面, 上部, 顶篷, 最高地位, 首位, 陀螺
a. 最高的, 顶上的, 头等的
vt. 盖, 加以顶, 高达, 超越
vi. 结束, 达到顶点, 高出
"
habit,"n. 习惯, 嗜好, 习性
vt. 使穿衣"
idea,"n. 主意, 办法, 理想, 思想, 概念, 意见
"
less,"n. 较少, 较小
a. 少的, 小的
adv. 较少, 较小, 较差
"
at least,"至少
"
talk about," 讨论, 谈论; 考虑（做…）; 唠; 话"
hockey,"n. 冰球, 曲棍球"
together,"adv. 一起, 共同, 彼此"
special,"n. 专辑, 专车, 号外, 特别的东西, 负有特别任务的人员
a. 特别的, 专门的, 特殊的, 额外的, 附加的, 特别亲密的"
beaver,"n. 海狸(毛皮)
"
raccoon,"n. 浣熊, 浣熊毛皮"
moose,"n. 麋, 驼鹿"
countryside,"n. 乡下地方, 乡下居民"
Thanksgiving,n. 感谢
roast turkey, 烤火鸡
squirrel,"n. 松鼠, 松鼠毛皮
vt. 贮藏"
swan,"n. 天鹅, 天鹅星座, 有才华的诗人
vi. 闲荡, 蜿蜒而行"
wild goose,雁
frog,"n. 青蛙
"
English-Chinese dictionary,[网络] 英汉字典；辞典；氏英字典
shopping centre,n. 商业区; 购物中心
shopping mall,n. 大型购物中心
amazing,a. 令人惊异的
hot pot,n. 火锅
