song,"n. 歌, 曲, 鸣声, 歌唱, 歌曲, 诗歌"
TV,"n. 电视；电视机
abbr. (=television)
"
favourite,"n. 喜欢的事物
a. 喜爱的, 宠爱的"
colour,"n. 颜色, 面色, 颜料, 外貌
vt. 把...涂上颜色, 粉饰, 使脸红, 歪曲
vi. 变色"
Here you are.,"你已经到了,你要的东西在这儿!"
they,"pron. 他们, 它们"
they're,abbr. they are 他们是
they are,无
monkey,"n. 猴子, 猿, 打桩锤
vi. 淘气, 胡闹
vt. 嘲弄"
baby,"n. 婴孩
"
all,"a. 所有的, 全部的, 一切的
adv. 全部, 全然
pron. 全部
n. 全部"
zoo,n. 动物园
tiger,"n. 老虎, 虎, 凶暴的人"
lion,"n. 狮子, 狮子(星)座, 国际狮子会会员"
elephant,n. 象
fat,"n. 脂肪, 脂油, 肥肉
a. 肥的, 胖的, 油腻的
n. 文件分配表
"
man,"n. 男人, 人类, 人
vt. 为...配备人手, 操纵, 使振奋
"
short,"a. 短的, 近的, 矮的, 短期的, 简短的, 少量的
adv. 简短地, 突然
n. 扼要, 短片, 缺乏
vt. 故意少给, 使短路"
tall,"a. 高的, 长的, 夸大的
adv. 夸大地"
small,"a. 小的, 少的, 小型的, 低微的, 小气的, 细微的
adv. 些微地
n. 狭小部分"
thin,"a. 薄的, 细的, 瘦的, 稀疏的, 稀薄的, 淡的, 弱的, 空洞的
vt. 使变薄, 使变细, 使稀少, 使淡
vi. 变薄, 变细, 变少, 变淡
adv. 薄地, 稀疏地, 微弱地
n. 细小部分"
big,"a. 大的, 重要的
adv. 大量地"
like,"a. 相似的, 同样的
vt. 喜欢, 愿意, 想
vi. 喜欢, 希望
n. 爱好, 同样的人(或物)
prep. 象, 如同
adv. 可能"
football,"n. 足球, 橄榄球"
them,"pron. 他们, 她们, 它们"
ouch,"interj. 哎唷(表剧痛)
n. 扣环, 胸针, 珠宝饰物"
basketball,n. 篮球
table tennis,乒乓球
morning exercises, 早操
ride,"n. 骑马, 乘坐, 乘车, 搭便车
vt. 骑, 乘坐, 压迫, 控制
vi. 骑马, 乘车, 漂游"
bike,"n. 自行车, 脚踏车"
swim,"n. 游泳, 漂浮, 潮流, 眩晕
vi. 游泳, 游, 漂浮, 浸, 覆盖, 充溢, 大量拥有, 旋转, 眩晕
vt. 游过, 使浮起"
skip,"n. 跳跃, 跳读
vi. 跳越, 跳读, 跳绳, 遗漏, 跳级
vt. 跳过, 遗漏
"
meat,"n. 肉, 餐, 食物
"
pass,"n. 经过, 要隘, 途径, 通行, 护照, 及格
vt. 经过, 越过, 通过, 批准, 度过, 传递, 忽略
vi. 经过, 变化, 流通, 及格, 宣判, 终止, 消逝, 被忽略, 不叫牌, 传递
"
rice,"n. 米, 米饭, 稻
vt. 将...压成米粒状"
mum,"n. 菊花, 沉默
a. 沉默的
vi. 演哑剧
interj. 别说话"
noodles,"n. 面条, 挂面（noodle的复数形式）"
fish,"n. 鱼, 鱼肉, 鱼类, 接合板
vt. 钓, 钓鱼, 查出, 用接合板连接
vi. 捕鱼, 钓鱼, 用钩捞取, 摸索寻找"
but,"prep. 除了
conj. 但是
adv. 仅仅"
milk,"n. 奶, 乳状物
vt. 挤乳, 榨取
vi. 产乳"
mm,"毫米
"
does,v. 做；工作；有用（do的第三人称单数形式）
do,"v. 做, 进行, 完成"
orange,"n. 柑橘, 桔子, 橘色
a. 橘色的"
apple,"n. 苹果, 家伙
"
banana,n. 香蕉
pear,"n. 梨子, 梨树, 梨木
"
doesn't,aux. 表示否定
does not, 不
goes,v. 前进；行走（go的第三人称单数形式）
go,"vi. 去, 走, 达到, 运转, 查阅, 消失, 结束, 放弃, 花费, 流传, 趋于, 打算, 剩下
vt. 以...打赌, 对付, 忍受, 出产, 为被捕者出(保释金)
n. 去, 尝试, 进行"
go to school,上学
on,"prep. 在...之上
adv. ...上去
a. 正起作用的
"
Monday,n. 星期一
play,"n. 游戏, 游玩, 玩笑, 运动, 比赛, 赌博, 跳动, 表演, 剧本
v. 玩, 游戏, 假装, 开玩笑, 比赛, 扮演, 演奏, 演戏, 传摇曳, (使)跳动
"
phone,"n. 电话, 受话器, 耳机
vt. 打电话给
vi. 打电话"
on the phone, <口>在打电话，在接电话
with,"prep. 和...在一起, 以, 由于"
friend,"n. 朋友, 支持者, 赞助者
"
at,"prep. 在, 向, 对
"
home,"n. 家, 避难所, 故乡
a. 家庭的, 国内的, 打中目标的
adv. 在家, 在本国, 打中目标地
"
at home,"在家, 在本地, 在国内, 熟悉"
who,pron. 谁
only,"a. 唯一的, 仅有的, 最佳的
adv. 只有, 仅仅, 只能
conj. 但是, 不过"
year,"n. 年, 年度, 年龄
"
work,"n. 工作, 劳动, 职业, 行为, 功, 作品, 成果, 产品, 工程
vi. 工作, 劳动, 做, 运转, 起作用, 被加工
vt. 使工作, 使转动, 开动, 使用, 经营, 使逐渐变得, 造成"
go to work,上班
Saturday,n. 星期六
shopping,"n. 买东西, 购物
"
go shopping,去买东西
dad,"n. 爸爸, 爹爹"
do,"v. 做, 进行, 完成"
Sunday,太阳日(太阳能动力鼓吹者选定的每年5月的一天，宣传大力研究和利用太阳能)
swimming,"n. 游泳, 眩晕"
go swimming, （去）游泳
eat,"v. 吃, 腐蚀"
in,"prep. 在...期间, 在...之内, 处于...之中, 从事于, 按照, 穿着
adv. 进入, 朝里, 在里面, 在屋里
a. 在里面的, 在朝的
n. 执政者, 交情"
sleep,"n. 睡眠, 静止, 昏迷, 麻木, 长眠, 冬眠
vi. 睡觉, 睡眠, 静止
vt. 睡"
watch,"n. 观察, 手表, 看守, 守护, 监视, 值班人
vt. 看, 注视, 照顾, 看守, 守护, 监视
vi. 观看, 注视, 守侯"
TV,"n. 电视；电视机
abbr. (=television)
"
watch TV, 看电视
have,"vt. 有, 怀有, 拿, 进行
aux. 已经"
class,"n. 班级, 阶级, 种类, 课
vt. 分类
"
today,"n. 今天, 当今, 现在
adv. 今天, 当今"
music,"n. 音乐, 乐曲"
has,have的第三人称单数现在式
have,"vt. 有, 怀有, 拿, 进行
aux. 已经"
Chinese,"n. 中文, 中国话, 中国人
a. 中国的, 中国话的"
maths,n. 数学
art,"n. 艺术, 人文科学, 技术, 巧妙, 诡计, 美术
"
PE,"n. 体育（课）（全写为 physical education）
"
physical education,[医] 体育
science,"n. 科学, 学科, 学问, 自然科学
"
we,pron. 我们
fly,"n. 苍蝇, 两翼昆虫, 飞行
vi. 飞, 飞翔, 飘扬, 逃走
vt. 飞, 飞越, 使飘扬, 逃出
a. 敏捷的"
spring,"n. 春天, 弹簧, 跳跃, 弹性, 活力, 泉, 源泉
a. 春天的
vi. 跳, 弹跳, 涌出, 生长, 裂开, 高耸
vt. 使跳起, 使爆炸, 突然提出"
summer,"n. 夏季, 全盛时期
vi. 避暑, 过夏天
"
