intellect,"n. 智力, 出众的才华, 知识分子
"
contempt,"n. 轻视, 轻蔑
"
ultimate,"n. 终极, 根本, 顶点, 基本原则
a. 终极的, 根本的, 极限的, 最远的, 最后的, 最大的"
yield,"n. 生产量, 投资收益
vt. 出产, 给予, 让出, 放弃, 使屈服
vi. 出产, 屈服, 投降, 倒塌"
contend,"vi. 奋斗, 斗争, 竞争
vt. 为...斗争"
oblige,"vt. 强制, 施恩惠于, 使感激
vi. 施恩惠, 帮忙"
radical,"n. 激进分子, 词根, 基础, 根式, 根
a. 激进的, 根本的, 基本的, 根的"
context,"n. 上下文, 背景, 来龙去脉
n. 上下文
"
unaffordable,"a. 买不起的, 负担不起的"
abdicate,"vt. 正式放弃
vi. 退位, 退出, 辞职"
transmission,"n. 传输, 传送, 变速器
"
disruptive,"a. 分裂的, 破坏(性)的
"
flattering,"a. 谄媚的, 讨人欢喜的"
statistical,"a. 统计的, 统计上的, 统计学的
"
ignore,"vt. 不理睬, 忽视, 驳回, 忽略
"
contradict,"vt. 反驳, 与...抵触, 与...矛盾
vi. 反驳"
provision,"n. (政府提供的)钱和设备, 准备, 供应品, 规定, 条款
vt. 供给...食物及必需品"
contribute,"vt. 有助于, 捐助, 投稿
vi. 出力, 捐献, 投稿"
illiterate,"n. 文盲
a. 目不识丁的, 没受教育的"
allowance,"n. 津贴, 零用钱, 限额, 折扣, 允许
vt. 定量供应"
distinction,n. 区别
diffuse,"v. 散播, 传播
a. 散开的, 弥漫的"
extraordinarily,"adv. 非凡, 破例, 特别, 非常, 离奇, 使人惊奇, 惊人, 特命, 特派"
abstract,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
"
controversy,"n. 论争, 辩论, 论战, 争论
"
psychiatry,"n. 精神病学, 精神病治疗
"
convey,"vt. 传达, 运输, 转让
"
illustrate,"vt. 举例说明, 作图解, 阐明
vi. 举例说明"
capable,"a. 有能力的, 能的, 能干的"
elaborate,"a. 精细的, 详尽的, 精心计划(或制作)的
vt. 详细地说明, 用心地制作, 发挥
vi. 变复杂, 作详细说明"
manipulate,"vt. 操纵, 利用, 操作, 巧妙地处理, 假造"
strike,"n. 罢工, 打击, 殴打
vt. 打, 撞击, 冲击, 侵袭, 取消, 结算, 打掉, 罢工, 刺透, 使生根, 遇见
vi. 打, 打击, 抓, 罢工, 搏动, 触礁, 敲, 响, 穿透, 打动"
coalition,"n. 结合体, 结合, 联合
"
constituent,"n. 成分, 选民, 构成物
a. 构成的, 组织的, 选举的"
transparency,"n. 透明, 透明度, 透过性, 透明物, 清晰
"
coordinate,"n. 同等的人(或物), 坐标
a. 同等的, 并列的
v. (使)协调"
saturate,"vt. 使渗透, 浸透, 使充满, 使饱和
a. 浸透的, 饱和度高的, 深颜色的
n. 饱和化合物, 饱和脂肪酸"
acclaim,"n. 喝彩, 欢呼, 赞同
v. 欢呼, 喝彩, 称赞"
fancy,"n. 想象力, 幻想, 喜好
a. 想象的, 精美的, 新奇的, 奇特的, 高价的, 特级的
vt. 想象, 设想, 相信, 喜爱
vi. 想象, 幻想"
immediate,"a. 立即的, 直接的, 接近的
"
paralyse,"vt. 使麻痹, 使瘫痪, 使无力, 使气馁, 终止
"
underestimate,"n. 低估
vt. 低估, 看轻"
accompany,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱"
correlate,"n. 有相互关系的东西, 相关物
vt. 使有相互关系
vi. 相关"
neurology,"n. 神经病学
"
council,"n. 会议, 委员会
"
temporary,"a. 暂时的, 临时的
n. 临时工, 临时雇员
"
eliminate,"vt. 除去, 排除, 剔除, 消除"
scholar,"n. 学者, 奖学金获得者, 有文化者, 学习者"
submission,"n. 屈服, 服从, 谦恭, 呈递, 提交, 意见
"
hierarchical,"[计] 分级的, 分层的, 层次的"
subsidiary,"n. 子公司, 附件, 辅助者
a. 辅助的, 次要的, 津贴的"
