nursery,"n. 托儿所, 苗圃, 温床
"
appetite,"n. 食欲, 欲望, 爱好
"
physiological,"a. 生理学的, 生理学上的, 生理机能的
"
recycle,"vt. 使再循环, 重新利用, 再制
n. 再循环"
commerce,"n. 商业, 商务, 贸易
"
commercial,"a. 商业的, 商用的, 商品化的
n. 商业广告节目"
commercialise,"vt. 使商业化, 使经营化, 使成为营利手段"
govern,"v. 统治, 支配, 管理"
vast,"a. 巨大的, 广大的, 非常的, 大量的"
disturb,"vt. 扰乱, 妨碍, 使不安
"
scholar,"n. 学者, 奖学金获得者, 有文化者, 学习者"
enhance,"vt. 提高, 加强, 增加"
triumph,"n. 凯旋, 胜利, 欢欣
vi. 得胜, 成功"
chew,"vt. 咀嚼, 嚼碎
vi. 咀嚼, 细想
n. 咀嚼, 咀嚼物"
chef,n. 厨师
persuade,"vt. 劝, 使相信, 恳求, 敦促, 说服
vi. 劝服, 被说服"
monster,"n. 怪物, 恶人, 巨物
"
orchestra,"n. 管弦乐队, 乐队演奏处"
orchestral,a. 管弦乐队的
fossil,"n. 化石, 古物
a. 化石的, 陈腐的, 守旧的"
conduct,"n. 行为, 举动, 指导
vt. 为人, 指挥, 管理, 实施
vi. 领导, 传导, 指挥"
conductor,"n. 领导者, 指挥者, 售票员, 向导
"
semiconductor,"n. 半导体
"
herd,"n. 兽群, 人群, 牧人
vt. 群集, 使成群, 放牧
vi. 聚在一起"
enrol,"vt. 登记, 使加入
vi. 参军, 注册"
calculate,"v. 计算, 预测, 计划, 打算"
military,"n. 军队
a. 军事的, 军人的, 适于战争的"
secure,"a. 无虑的, 安心的, 安全的, 可靠的, 保险的
vt. 固定, 获得, 保证, 使安全, 掩护, 招致
vi. 停止操作, 船抛锚"
security,"n. 安全, 安全性, 防护物, 保安, 可靠性, 担保人, 抵押品, 保证金
"
criticise,"v. 批评, 吹毛求疵, 非难"
criticism,"n. 批评, 评论, 非难
"
visible,"a. 看得见的, 明显的, 显然的
n. 可见物"
invisible,"a. 看不见的, 无形的
"
visibility,"n. 可见性, 能见度, 能见距离
"
moral,"n. 道德, 品行, 寓意
a. 道德的, 品性端正的, 精神上的"
glance,"n. 一瞥, 闪光, 掠过, 辉矿类
vi. 扫视, 闪光, 掠过, 提到, 略说
vt. 扫视, 反射, 使掠过"
achievement,"n. 完成, 成就, 功业"
negative,"n. 否定, 否定语, 负数, 底片
a. 否定的, 消极的, 负的, 阴性的
n. 负数, 负值
"
recommend,"vt. 推荐, 介绍, 劝告, 使受欢迎, 托付
"
recommendation,"n. 推荐, 介绍, 推荐信, 劝告
"
advance,"n. 前进, 进展, 行过的路程
vi. 前进, 进展, 提高, 上涨
vt. 使前进, 促进, 提出, 提高, 使提前, 预付
a. 前面的, 预先的"
warn,"vt. 警告, 提醒, 通知
vi. 发出警告"
warning,"n. 警告, 预告, 预兆, 通知
"
outdated,"a. 旧式的, 落伍的, 过时的"
pursue,"vt. 追赶, 追踪, 追随, 追求, 实行, 继续, 从事
vi. 追赶, 继续"
household,"n. 一家人, 家庭, 家族, 王室
a. 家庭的, 家常的, 王室的"
involve,"vt. 包括, 使陷于, 潜心于, 包围
"
currency,"n. 货币, 通货, 流通, 通用
"
absolute,"a. 绝对的, 专制的, 完全的, 独立的
n. 绝对事物"
ceremony,"n. 典礼, 仪式, 礼节
"
ceremonial,"n. 仪式
a. 正式的"
machinery,"n. 机器, 机械装置, 机构
"
toxic,"a. 有毒的, 中毒的
"
widespread,"a. 充分伸展的, 广布的, 普及的, 流传广的"
ancestor,"n. 祖先, 祖宗"
classify,"vt. 分类, 归类, 分等
"
attempt,"n. 尝试, 企图
vt. 尝试, 企图"
effective,"a. 有效的, 有力的, 实际的
n. 有生力量"
appreciate,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏
vi. 增值, 涨价"
maintain,"vt. 维持, 维修, 保持, 坚持, 供养, 主张
"
maintenance,"n. 维护, 保持, 维修, 生活费用, 坚持, 扶养
"
devote,"vt. 投入于, 献身"
vary,"vt. 改变, 使多样化
vi. 变化, 有不同, 违反"
variable,"n. 易变的事物, 变数, 可变物, 变量
a. 可变的, 不定的, 易变的, 变量的
"
variation,"n. 变更, 变化, 变种, 变奏
"
variant,"n. 变体, 异体
a. 不同的, 有差别的
"
digest,"n. 文摘
vi. 消化
vt. 消化, 理解
"
fade,"vi. 褪色, 消失, 凋谢
vt. 使褪色
n. 淡入, 淡出
a. 平淡的"
overcome,"vt. 战胜, 克服, 胜过
vi. 得胜"
enrich,"vt. 使富足, 使肥沃"
volcano,n. 火山
volcanic,"a. 火山的, 猛烈的
n. 火山岩"
mean,"a. 低劣的, 卑贱的, 简陋的, 吝啬的, 惭愧的, 平均的, 中间的, 普通的
vt. 意谓, 想要, 意欲, 预定
vi. 用意, 有意义
n. 平均数, 中间, 中庸"
means,"n. 方法, 手段, 工具, 财产, 收入
"
meaningful,a. 意味深长的
series,"n. 串联, 序列, 连续, 系列, 丛书, 套, 级数, 组
"
satellite,"n. 人造卫星
"
vote,"n. 投票, 选举, 选票, 表决, 选举权, 得票数
vi. 投票, 选举
vt. 投票选举, 投票决定, 公认, 使投票"
voter,"n. 选民, 投票人
"
laboratory,"n. 实验室, 研究室, 化工厂
"
misfortune,"n. 不幸, 灾祸, 坏运气
"
content,"n. 内容, 满足, 意义, 要旨
a. 满足的, 满意的
vt. 使...满足, 使...安心
"
adapt,"vt. 使适应, 改编
vi. 适应"
adaptive,"a. 适应的, 能适应的"
adaptable,"a. 能适应的, 适合的, 可修改的"
barrier,"n. 障碍, 栅栏
"
association,"n. 协会
"
associate,"n. 同伴, 伙伴, 关联的事物
vt. 使联合, 使发生联系
vi. 交往
"
standard,"n. 标准, 规格, 旗, 军旗, 本位
a. 标准的, 合规格的
"
standardise,"vt. 使与标准比较, 用标准校验, 使符合标准, 使统一, 使标准化"
masterpiece,"n. 杰作, 名著"
mammal,"n. 哺乳动物
"
signature,"n. 签字, 识别标志, 调号
"
organise,"vt. 组织, 有机化, 给予生机"
organisation,"n. 组织, 团体, 体制, 编制"
heroic,"a. 英勇的, 英雄式的, 壮丽雄伟的
n. 英雄诗, 史诗, 英勇行为"
hook,"n. 钩, 钩状, 镰刀, 陷阱
vt. 挂...于钩上, 钩住, 引上钩, 偷窃
vi. 弯成钩状, 钩紧
"
rural,"a. 乡下的, 田园的, 乡村风味的
"
electronic,"a. 电子的
"
electronics,"n. 电子学
"
illustrate,"vt. 举例说明, 作图解, 阐明
vi. 举例说明"
illustration,"n. 例证, 插图
"
fiction,"n. 小说, 虚构故事
"
urban,"a. 都市的, 住在都市的, 习惯于都市的
"
urbanisation,n. 城市化（等于urbanization）
somewhat,"n. 某物, 几分
adv. 多少, 几分"
target,"n. 目标, 靶子, 指标
vt. 对准, 订指标"
endure,"vt. 忍受, 忍耐, 容忍, 耐
vi. (正式)持久, 持续
"
navigate,"vi. 航行
vt. 航行于, 驾驶, 操纵, 使通过"
raw,"n. 擦伤处, 半成品
a. 生的, 未加工的, 生疏的, 不成熟的, 阴冷的, 刺痛的, 擦掉皮的
vt. 擦伤
"
regulate,"vt. 管理, 控制, 调节, 调整, 校准
"
regulation,"n. 规则, 管理, 调整
"
seek,"vt. 寻求, 寻找, 探索, 追求, 搜索, 请求
vi. 寻找, 搜索
"
strength,"n. 力量, 实力, 强度, 浓度, 人数, 抵抗力
"
strengthen,"vt. 加强, 变坚固
vi. 变强, 股票上涨"
