academic,"a. 学院的, 学术的, 不切实际的
n. 大学生, 大学教师, 学者, 学会会员"
province,"n. 省, 地方, 职权, 领域
"
enthusiastic,"a. 狂热的, 热心的, 热烈的"
amazing,a. 令人惊异的
information,"n. 消息, 知识, 通知, 情报, 信息, 问讯处, 起诉
"
website,n. 网站（全球资讯网的主机站）
brilliant,"a. 光辉的, 灿烂的, 有才气的
"
comprehension,"n. 理解, 包含"
instruction,"n. 指令, 教导, 命令
"
method,"n. 方法, 办法, 条理, 秩序
"
bored,a. 无聊的；烦人的；无趣的
embarrassed,a. 尴尬的；窘迫的
attitude,"n. 态度, 看法, 姿势
"
behaviour,"n. 行为, 举止
"
previous,"a. 早先的, 前面的, 过急的
"
description,"n. 描述, 说明, 种类
"
amazed,"a. 吃惊的, 惊奇的"
embarrassing,"a. 令人为难的, 麻烦的"
technology,"n. 技术, 工业技术, 术语
"
impress,"n. 印象, 特征, 印记
vt. 使有印象, 印, 铭刻, 传送, 影响, 强征
vi. 给人印象"
correction,"n. 订正, 改正, 改正的地方
"
encouragement,"n. 鼓励, 激励, 奖励
"
enjoyment,"n. 享乐, 快乐, 享受
"
fluency,"n. 流畅, 雄辩, 善辩"
misunderstanding,"n. 误会, 误解
"
disappointed,a. 失望的
disappointing,"a. 使失望的, 期待落空的, 令人沮丧的"
system,"n. 系统, 体系, 制度, 方式, 秩序, 分类原则
"
teenager,n. 十三岁到十九岁的少年
disappear,"vi. 消失, 不见"
move,"n. 移动, 迁居, 步骤
vt. 移动, 开动, 感动, 搬(家)
vi. 移动, 离开, 运行, 迁移, 摇动, 搬家, 交往, 进展, 脱手
"
assistant,"n. 助手, 助理, 助教
a. 有帮助的, 辅助的, 助理的"
cover,"n. 盖子, 封面, 藉口
vt. 覆盖, 掩饰, 保护, 掩护, 包括
vi. 覆盖"
diploma,"n. 文凭, 毕业证书
"
amusing,"a. 有趣的, 引人发笑的"
energetic,"a. 精力充沛的, 积极的"
intelligent,"a. 聪明的, 智能的, 了解的"
nervous,"a. 神经紧张的, 不安的, 神经的
"
organised,"a. 有组织的, 组织起来的"
patient,"n. 病人, 承受者
a. 忍耐的, 容忍的, 有耐性的, 坚忍的"
serious,"a. 严肃的, 认真的, 重要的, 严重的
"
shy,"n. 惊跳, 惊避
a. 胆怯的, 畏缩的, 迟疑的, 羞怯的
vi. 惊退, 乱投, 乱掷, 厌恶, 避开
vt. 乱投, 乱掷"
strict,"a. 严厉的, 绝对的, 详尽的, 严格的, 精确的
"
impression,"n. 印象, 意念, 盖印, 印记, 印数, 底色, 效果
"
avoid,"vt. 避免, 防止, 撤消
"
hate,"n. 憎恨, 恨, 厌恶
vt. 憎恨, 憎恶
vi. 仇恨"
incorrectly,adv. 错误地；不适当地
completely,"adv. 完全地, 十分地, 圆满地"
immediately,"adv. 直接地, 立刻, 立即"
appreciate,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏
vi. 增值, 涨价"
admit,"vt. 承认, 接受, 允许进入, 容许
vi. 开向, 容许, 承认"
scientific,"a. 科学的, 系统的, 符合科学规律的
"
literature,"n. 文学, 文艺, 著作
"
loudly,"adv. 高声地, 大声地, 吵闹地"
wave,"n. 波, 波浪, 波动, 起伏, 高潮, 潮涌, 挥手致意, (气压)突变
vi. 波动, 飘动, 挥手示意, 起伏
vt. 使波动, 使飘扬, 挥舞, 使成波浪形"
joke,"n. 笑话, 玩笑, 笑柄
v. 开玩笑, 取笑, 作弄"
summary,"n. 摘要, 概要
a. 摘要的, 简略的
"
respect,"n. 尊敬, 尊重, 问候
vt. 尊敬, 注意, 遵守"
headmaster,"n. (中小学)校长, 监工"
headmistress,n. (中小学)女校长
period,"n. 时期, 节段, 节, 句点, 学时, 周期
a. 当时特有的, 过去某段时期的
interj. 就是这话, 就是这么回事"
revision,"n. 校订, 修正, 修订本, 修订版
"
translation,"n. 翻译, 译文, 转化, 调任, 平移, 转译
"
timetable,n. 时间表
topic,"n. 主题, 论题, 话题"
vacation,"n. 假期, 休假
"
revise,"n. 校订, 修正, 改样
vt. 校订, 修正, 校正"
discipline,"n. 训练, 纪律
vt. 训练, 惩罚"
relationship,"n. 关系, 关联
"
formal,"a. 正式的, 形式的, 礼仪的, 拘于礼节的, 拘谨的
n. 正式的社交活动"
relaxed,"a. 松懈的, 不严密的, 不严格的, 放松的, 得到休息的, 随意的, 不拘束的, 自在的"
similarly,"adv. 相像地, 类似于"
helicopter,"n. 直升机
vt. 由直升机运送
vi. 乘直升机"
motorbike,"n. 机动脚踏两用车, 摩托车"
tram,"n. 电车轨道, 煤车, 纬纱, 纬丝
vt. 用煤车运载
vi. 乘电车"
distance,"n. 距离, 远方, 遥远
"
abandoned,"a. 被抛弃的, 无约束的, 恣意放荡的"
camel,"n. 骆驼, 打捞浮筒"
cassette,"n. 盒式磁带, 珠宝箱, 暗盒
"
desert,"n. 沙漠, 应得的赏罚, 功劳
a. 沙漠的, 不毛的
vt. 放弃, 遗弃, 擅离
vi. 逃掉"
diamond,"n. 钻石, 菱形
"
expert,"n. 专家, 行家
a. 老练的, 内行的, 专门的
"
midnight,"n. 午夜, 子夜, 半夜
a. 午夜的, 半夜的"
product,"n. 产品, 结果, 乘积
"
scenery,"n. 风景, 景色, 舞台布景"
shoot,"n. 射击, 狩猎, 芽, 射伤, 发射, 发芽, 急流, 推力, 摄影, 急送, 滑运道, 浪费
vt. 射击, 射中, 损毁, 拍摄, 喷出, 投射, 挥出, 飞速行进, 挥霍, 给...注射
vi. 射出, 射击, 发出, 拍电影, 射门, 发芽"
soil,"n. 土壤, 土地, 国家, 国土, 温床, 污物, 粪便, 水池
vt. 弄脏, 污辱
vi. 变脏"
journey,"n. 旅程, 旅行, 行程
vi. 旅行
vt. 游历"
train,"n. 火车, 列车, 行列, 长队, 一连串的后果, 顺序
vt. 训练, 教育, 对准
vi. 受训练, 锻炼"
circus,"n. 马戏团, 马戏, 竞技场"
seaside,"a. 海边的, 海滨的
n. 海滨"
stadium,"n. 露天大型运动场
"
eagle,"n. 鹰, 鹰状标饰"
frighten,"vt. 使惊吓
vi. 惊恐"
kindergarten,n. 幼稚园
apartment,"n. 房间, 公寓"
cartoon,"n. 卡通画, 漫画
v. 画漫画"
interview,"n. 面谈, 访问, 接见, 面试
vt. 接见, 对...进行面谈(试)"
interviewer,"n. 会见者, 面谈者, 进行面试者"
event,"n. 事件, 结果, 事情的进程, 竞赛项目
"
exhausted,a. 耗尽的；疲惫的
downtown,"n. 市中心区
a. 市中心的
adv. 往闹市区"
vacuum,"n. 真空, 空间, 真空吸尘器
a. 真空的, 产生真空的, 利用真空的
vt. 用吸尘器打扫"
rail,"n. 横杆, 围栏, 栏杆, 铁轨, 扶手, 秧鸡
vt. 以横木围栏, 给...铺铁轨
vi. 责骂, 抱怨"
ceremony,"n. 典礼, 仪式, 礼节
"
track,"n. 轨迹, 足迹, 径迹, 小道, 轨道, 磁轨, 途径
vt. 循路而行, 追踪, 通过, 用纤拉
vi. 追踪, 留下足迹, 沿轨道运行
"
souvenir,n. 纪念品
survey,"n. 纵览, 视察, 测量, 俯瞰, 调查
vt. 审视, 视察, 俯瞰, 通盘考虑
vi. 测量土地"
neighbourhood,"n. 邻接, 周围, 附近一带, 邻近, 邻居关系, 地区, 街道, 街坊, 四邻
"
local,"a. 地方性的, 当地的, 局部的, 乡土的, 本地的
n. 当地居民, 本地新闻, 局部
"
suburb,"n. 市郊住宅区, 郊区, 边缘"
hometown,"n. 故乡, 家乡"
attractive,"a. 吸引人的, 有魅力的
"
fortunate,"a. 幸运的, 幸福的"
pretty,"a. 漂亮的, 优美的, 机灵的, 狡猾的, 恰当的
adv. 相当, 颇"
sound,"n. 声音, 语音, 吵闹, 声调, 听力范围, 探条, 海峡
a. 健全的, 可靠的, 合理的, 健康的, 彻底的, 资金充实的
adv. 彻底地, 充分地
vi. 发出声音, 回响, 测深, 试探, 听起来
vt. 使发声, 宣告, 听诊, 测...深, 试探
"
tourist,"n. 观光客, 旅行者
a. 旅游的"
bother,"vt. 烦扰, 迷惑
vi. 烦恼, 操心
n. 麻烦, 纠纷, 讨厌的人"
nuisance,"n. 讨厌的东西, 讨厌的人, 损害
"
rent,"n. 租金, 房租, 出租物, 裂缝, 破裂处, 分裂
vt. 租用, 租出
vi. 出租
a. 分裂的, 破裂的
rend的过去式和过去分词"
district,"n. 区域, 地方
"
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
harbour,"n. 港, 避难所
v. 庇护, 藏匿, (使)入港停泊"
gorgeous,"a. 华丽的, 灿烂的"
architecture,"n. 建筑学, 建筑式样
"
starve,"v. (使)饿死, (使)挨饿"
park,"n. 公园, 停车处
vt. 停车, 置于
vi. 停车"
traffic,"n. 交通, 通行, 运输, 交通量, 贸易, 交易, 交往, 通信量
vi. 交易, 做买卖
vt. 用...作交换
"
committee,"n. 委员会
"
organisation,"n. 组织, 团体, 体制, 编制"
unemployed,"a. 失业的, 未被利用的
"
household,"n. 一家人, 家庭, 家族, 王室
a. 家庭的, 家常的, 王室的"
occupation,"n. 职业, 占有, 占有期, 占领, 占领军
"
professional,"n. 专业人才
a. 专业的, 职业的"
manual,"n. 手册, 指南
a. 手的, 手动的, 手工的, 体力的
"
employment,"n. 雇用, 职业, 工作
"
gallery,"n. 走廊, 最高楼座, 画廊, 收集, 图库
"
exchange,"n. 交换, (电话)交换局, 交换机, 汇兑, 交易所
v. 交换, 交易, 兑换
"
fascinating,"a. 迷人的, 吸引人的, 使人神魂颠倒的"
afford,"vt. 买得起, 足以, 给予"
survive,"vt. 比...活得长, 生存, 生还, 幸免于
vi. 活下来, 幸存"
contact,"n. 联系, 交际, 熟人, 接触
vi. 接触, 联系
vt. 使接触"
liquid,"n. 液体, 流体, 流音
a. 液体的, 透明的, 明亮的, 流动的, 易变的"
