watch,"n. 观察, 手表, 看守, 守护, 监视, 值班人
vt. 看, 注视, 照顾, 看守, 守护, 监视
vi. 观看, 注视, 守侯"
whose,pron. 谁的
think,"vt. 想, 考虑, 想起, 想像, 打算, 认为
vi. 思考, 料想
n. 想法
a. 思想的"
man,"n. 男人, 人类, 人
vt. 为...配备人手, 操纵, 使振奋
"
ask,"vi. 问, 要求
vt. 问, 要求, 邀请, 需要"
beautiful,a. 美丽的
right,"n. 权利, 右边, 正义, 右派, 公正
a. 正确的, 对的, 恰当的, 正常的, 正直的, 正面的, 右方的
adv. 正确地, 以有利结果, 一直, 直接, 向右
vt. 扶直, 整理, 纠正, 伸冤, 使昭雪
vi. 恢复平衡
"
remember,"vt. 记得, 回忆起, 记住, 铭记, 纪念
vi. 记得"
very much, 非常; 良; 无可不可
shirt,"n. 衬衫, 内衣, 汗衫"
trousers,"pl. 裤子, 长裤"
hair,"n. 头发, 毛发, 些微
"
sock,"n. 短袜, 鞋垫, 一击
vt. 重击, 猛投, 给...穿袜
vi. 打击
adv. 正着地, 不偏不倚地
a. 非常成功的"
his,"pron. 他的
"
shorts,"n. 短裤, (美)男人的短衬裤
"
orange,"n. 柑橘, 桔子, 橘色
a. 橘色的"
shoe,"n. 鞋, 靴, 外胎
vt. 给...穿鞋, 为马钉蹄铁"
term,"n. 术语, 专有名词, 期限, 学期, 任期, 条件, 价钱, 关系, 地位, 项, 界石
vt. 称, 呼
"
really,"adv. 实际上, 真实地, 实在"
nut,"n. 坚果, 核心, 螺帽
"
a pair of,"一对..., 一付..."
class,"n. 班级, 阶级, 种类, 课
vt. 分类
"
behind,"adv. 在后地
prep. 在...背后"
grade,"n. 等级, 年级, 阶段, 成绩, 程度, 坡度, 斜坡
vt. 分等, 分级, 评分
vi. 属于某等级, 逐渐变化"
glass,"n. 玻璃, 玻璃杯, 透镜
vt. 装玻璃于, 反射, 反映
vi. 成玻璃状"
glasses,n. 眼镜；双筒望远镜；玻璃（glass的复数形式）
about,"prep. 在...周围, 大约, 有关, 关于
adv. 大约, 四处, 在附近, 周围"
welcome,"n. 欢迎, 欢迎词
a. 受欢迎的, 可随意的, 可喜的
vt. 欢迎, 接待
interj. 欢迎"
to,"prep. 到, 向, 趋于
adv. 向前"
our,pron. 我们的
school,"n. 学校, 鱼群, 门派, 学派
vt. 教育, 训练, 培养
vi. 成群地游"
at,"prep. 在, 向, 对
"
be,"v. 是, 表示, 在
"
all,"a. 所有的, 全部的, 一切的
adv. 全部, 全然
pron. 全部
n. 全部"
Chinese,"n. 中文, 中国话, 中国人
a. 中国的, 中国话的"
be from,来自于
these,pron. 这些
those,pron. 那些
tiger,"n. 老虎, 虎, 凶暴的人"
walk,"n. 走, 散步, 步行, 行走的路程, 竞走, 散步场所
vi. 走路, 步行, 处世
vt. 走过, 遛, 使走, 护送...走"
jump,"n. 跳跃, 跳动, 暴涨, 惊跳
vt. 跳跃, 跃过, 突升, 使跳跃
vi. 跳跃, 跳, 跳动, 暴涨
"
mom,n. 妈妈
talk,"n. 谈话, 交谈, 会谈, 讲话, 演讲, 空谈, 谣言, 方言, 语言
vi. 讲话, 演讲, 说话, 谈话, 交流, 闲聊, 说闲话
vt. 讲, 说, 讨论, 谈论
"
parrot,"n. 鹦鹉, 应声虫
vt. 学舌, 机械地模仿"
sure,"a. 确信, 必然的, 必定的
adv. 当然, 确实地, 无疑地"
meet,"n. 会, 集会
a. 适宜的, 合适的
vt. 遇见, 引见, 认识, 满足, 对付
vi. 相遇, 接触"
Friday,n. 星期五
evening,"n. 傍晚, 晚间, 末期"
call,"n. 呼叫, 访问, 打电话, 号召, 召集, 要求
vt. 呼叫, 召集, 打电话
vi. 叫喊, 访问, 叫牌
"
up,"a. 向上的, 起床的, 涨的
adv. 向上, 上涨
prep. 在...上面, 向...的较高处"
very,"a. 真正的, 恰好的, 十足的, 特有的
adv. 非常, 完全"
tomorrow,"n. 明天, 未来
adv. 明天, 未来地"
ill,"n. 疾病, 坏事, 罪恶, 灾难
a. 生病的, 邪恶的, 不吉利的, 敌意的, 不良的, 不顺利的
adv. 有害地, 不幸地, 几乎不"
study,"n. 学习, 研究, 学科, 论文, 求学, 书房, 试作
vt. 学习, 读书, 研究, 考虑, 计划
vi. 学习, 思索"
free,"a. 自由的, 享受政治权力的, 允许的, 免费的, 丰富的
vt. 释放, 解放, 使自由
adv. 自由地, 免费"
shall,aux. 将
homework,"n. 家庭作业, 家里做的工作
"
go swimming, （去）游泳
do one's homework,做家庭作业; 做必要的准备工作
just then," 就在这时候, 那时候; 方才"
call up,"na. 传；动员；打电话给；【电讯】呼唤
"
at home,"在家, 在本地, 在国内, 熟悉"
of course,当然
ruler,"n. 统治者, 管理者, 尺, 直尺
n. 划线板
"
long,"a. 长的, 长久的, 冗长的, 做多头的
vi. 渴望, 热望, 极想
adv. 长久, 始终
n. 长时间, 长信号, 长整型
"
use,"n. 使用, 习惯, 使用价值, 用法, 使用权
vt. 使用, 利用, 运用, 耗费
vi. 惯常"
say,"vt. 说, 讲, 念, 说明, 指明
vi. 说, 讲
n. 意见, 发言权"
of,"prep. 的, 属于"
foot,"n. 脚, 步调, 英尺, 底部, 末尾, 步兵
vt. 走在...上, 给...换底, 支付
vi. 跳舞, 步行, 总计"
body,"n. 身体, 人, 尸体, 主要部分, 团体
vt. 赋以形体
"
people,"n. 人, 人民, 民族, 平民
vt. 使住满人, 居住于"
also,"adv. 也, 并且, 同样地"
deer,n. 鹿
donkey,"n. 驴子, 笨蛋, 顽固者, 辅助发动机, 辅助泵"
come up,"走上前来, 发芽, 发生, 被提到, 流行
"
snow,"n. 雪, 积雪, 下雪, 雪花形干扰
vi. 下雪, 似雪般落下
vt. 使雪白, 用雪覆盖, 使像雪般落下"
winter,"n. 冬季, 萧条期, 衰退期
a. 冬天的
vt. 使度过冬天
vi. 过冬"
favourite,"n. 喜欢的事物
a. 喜爱的, 宠爱的"
season,"n. 季节, 时节, 当令期, 时期
vt. 给...调味, 使成熟, 使老练, 缓和
vi. 变干燥"
summer,"n. 夏季, 全盛时期
vi. 避暑, 过夏天
"
spring,"n. 春天, 弹簧, 跳跃, 弹性, 活力, 泉, 源泉
a. 春天的
vi. 跳, 弹跳, 涌出, 生长, 裂开, 高耸
vt. 使跳起, 使爆炸, 突然提出"
autumn,"n. 秋天, 成熟期"
busy,"a. 忙碌的, 热闹的, 没空的
vt. 使忙
vi. 忙碌
"
because,conj. 因为
wash,"n. 洗, 洗涤, 冲洗, 洗的衣服, 冲积物, 洼地
vt. 洗, 洗涤, 洗清, 用水冲洗, 流过, 弄湿, 粉刷, 镀金属薄层于
vi. 洗涤, 洗澡, 被冲蚀, 漂浮"
face,"n. 脸, 面容, 正面, 外观
vt. 面对, 朝, 正视, 面临
vi. 朝, 向
"
cook,"n. 厨子, 厨师
vt. 烹调, 煮饭, 加热
vi. 在煮着"
clean,"a. 干净的, 清白的, 简洁的
adv. 清洁地, 完全地
vt. 清理, 使干净, 出空
vi. 被搞干净
n. 打扫"
draw,"vi. 拉, 拖, 拔剑
vt. 拖拉, 挨近, 领取, 打成平局, 引导, 抽签决定, 画, 描写, 制订, 草拟, 吸引
n. 拉, 拖, 拔出, 抽签, 平局
"
picture,"n. 图画, 照片, 景色, 美丽如画的人(或物), 化身, 生动的描述, 想像, 形象思维
vt. 画, 拍摄, 用图说明, 描写, 想像
"
supper,n. 晚餐
give,"n. 弹性, 适应性
vt. 给, 授予, 供给, 产生, 发表, 付出, 献出, 让出
vi. 捐赠, 支持不住, 让步"
have supper, 吃晚餐
ball,"n. 球, 舞会, 球状物
v. 捏成球形"
football,"n. 足球, 橄榄球"
basketball,n. 篮球
them,"pron. 他们, 她们, 它们"
their,pron. 他们的
water,"n. 水, 雨水, 海水, 水位, 水面, 流水
vt. 给...浇水, 供以水, 注入水, 使湿
vi. 流泪, 流口水, 加水
a. 水的, 水上的, 水生的, 含水的"
heavy,"a. 重的, 巨大的, 沉重的, 笨重的, 过度的
adv. 沉重地
n. 重物, 严肃角色"
flower,"n. 花, 开花植物, 精华, 盛时
vi. 开花, 发育, 旺盛, 成熟
vt. 用花装饰, 使开花"
garden,"n. 花园, 果园, 菜园
vi. 栽培花木
vt. 造园
a. 花园的, 普通的"
carry,"n. 进位, 射程, 运载
vt. 携带, 运送, 支持, 传送, 包含
vi. 被携带, 能达到
"
idea,"n. 主意, 办法, 理想, 思想, 概念, 意见
"
computer,"n. 电脑, 电子计算机
"
lunch,n. 午餐
fast,"a. 快速的, 紧的
adv. 很快地, 紧紧地, 彻底地
n. 绝食, 斋戒
vi. 绝食, 斋戒"
outside,"n. 外面, 外表, 外界
a. 外面的, 外表的, 外界的
adv. 外面, 外表, 外界"
rabbit,"n. 兔子
vi. 猎兔
vt. 让...见鬼去"
catch,"n. 捕捉, 陷阱, 捕捉之物, 抓, 拉手
vt. 捕捉, 赶上, 感染, 听清楚
vi. 抓住, 燃着"
go away,走开
