stimulate,"vt. 刺激, 激励, 鼓舞
vi. 起刺激作用"
acquire,"vt. 获得, 学到
"
cultivate,"vt. 培养, 耕作"
pierce,"vt. 刺穿, 穿透, 打眼于, 洞悉, (声音)响彻, (亮光)照进, 深深地打动
vi. 刺入, 穿入, 透入, 进入"
retell,"vt. 再讲, 重复, 重说"
feed,"n. 饲料, 一餐, 饲养
vt. 喂, 饲养, 放牧, 靠...为生
vi. 吃东西, 用餐, 流入
"
glimpse,"n. 一瞥, 一闪
vi. 投以一瞥, 闪烁不定
vt. 瞥见"
review,"n. 检讨, 复习, 回顾, 检阅, 评论
vt. 温习, 检讨, 评论, 再检察, 复审
vi. 复习功课, 写评论"
claim,"n. 要求, 要求权, 断言, 权利
vt. 要求, 认领, 主张
vi. 提出要求, 主张, 断言"
abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
exploit,"n. 功绩, 勋绩
vt. 开发, 利用, 开拓, 剥削"
frighten,"vt. 使惊吓
vi. 惊恐"
sting,"n. 叮, 刺痛, 刺激, 讽刺
vt. 叮, 刺痛, 刺激, 使苦恼
vi. 叮, 刺痛"
whitewash,"n. 白色涂料, 粉饰, 得零分的惨败"
reap,"vt. 收割, 收获, 获得
vi. 收割, 得到报应"
declare,"v. 宣布, 声明, 申报, 断言"
reveal,"vt. 露出, 显示, 透露, 揭露, 泄露, (神)启示
n. 窗侧, 门侧"
hire,"n. 租金, 租用, 雇用
vt. 雇请, 出租
vi. 受雇"
defeat,"n. 败北, 失败
vt. 击败, 使落空"
transform,"vt. 使转换, 改变, 改造, 使...变形
vi. 改变, 转化, 变换
"
compose,"vt. 组成, 写作, 作曲, 使平静
vi. 创作, 排字
"
approve,"vt. 赞同, 核准, 为...提供证据
vi. 赞许"
accomplish,"vt. 完成, 达到, 实现, 使完美"
notice,"n. 注意, 布告, 通知, 预告, 短评
vt. 注意, 通知, 评论, 提及, 关注
vi. 注意"
refer,"vt. 提交, 归诸于, 把...提交, 使求助于
vi. 提到, 涉及, 查阅, 查询, 咨询"
excite,"vt. 刺激, 使兴奋, 激励"
arrange,"v. 安排, 排列, 达成协议
"
submit,"vt. 使服从, 使受到, 委托, 提交, 认为
vi. 屈服, 服从"
modify,"vt. 修正, 变更, 修饰, 缓和, 减轻
vi. 被修改
"
assume,"vt. 假定, 承担, 呈现
vi. 装腔作势, 僭越"
accommodate,"vt. 使适应, 调和, 通融, 容纳, 向...提供
vi. 适应"
count,"vt. 计算, 视为
vi. 计数
n. 计算, 合计, 计数, 伯爵
"
owe,"vt. 亏欠, 负...债, 归功于, 怀有, 应给予, 感恩
vi. 欠钱"
attribute,"n. 属性, 标志, 定语
vt. 把...归于, 认为...属于
"
settle,"n. 有背长椅
vt. 决定, 整理, 安放, 使定居, 使平静, 支付, 安排, 解决, 结算
vi. 停留, 下陷, 沉淀, 澄清, 安下心来, 结清, 定居, 安家"
isolate,"vt. 使隔离, 使孤立, 使绝缘
n. 隔离种群"
filter,"n. 滤波器, 过滤器, 滤光器, 过滤嘴, 去尘器
vt. 过滤, 渗透, 走漏
vi. 滤过, 渗入
"
justify,"vt. 替...辩护, 证明
vi. 证明合法
"
despise,vt. 轻视
locate,"vt. 找出, 设于, 位于
vi. 定居"
check,"n. 检查, 支票, 阻止物, 寄物牌, 象棋中将军
vt. 检查, 阻止, 核对, 寄存, 托运
vi. 逐项相符, 开支票
"
dash,"n. 冲撞, 破折号, 短跑
vi. 猛冲, 冲撞
vt. 泼溅, 使猛撞, 搀和, 使破灭, 使沮丧"
chew,"vt. 咀嚼, 嚼碎
vi. 咀嚼, 细想
n. 咀嚼, 咀嚼物"
inhabit,"vt. 居住于, 占据, 栖息"
export,"n. 输出品, 输出
vt. 输出, 出口
vi. 输出物资
"
classify,"vt. 分类, 归类, 分等
"
contribute,"vt. 有助于, 捐助, 投稿
vi. 出力, 捐献, 投稿"
toss,"n. 投掷, 抛, 摇摆, 震荡, 掷钱币决定
vt. 投掷, 猛抬, 摇荡, 使不安, 掷钱币决定
vi. 被到处扔, 摇摆, 颠簸, 辗转, 掷钱币决定某事"
devote,"vt. 投入于, 献身"
scratch,"n. 抓痕, 搔, 抓, 擦伤, 刮擦声, 乱写, 零分, 起跑线
vt. 搔, 抓, 挖出, 擦, 刮, 乱涂, 勾抹掉
vi. 搔, 抓, 发刮擦声, 勉强糊口
a. 碰巧的, 凑合的, 打草稿用的
"
draw,"vi. 拉, 拖, 拔剑
vt. 拖拉, 挨近, 领取, 打成平局, 引导, 抽签决定, 画, 描写, 制订, 草拟, 吸引
n. 拉, 拖, 拔出, 抽签, 平局
"
discourage,"vt. 使气馁, 阻碍"
mislead,vt. 误导
knit,"v. 编织, 结合"
rock,"n. 岩石, 岩礁, 石头, 基石, 暗礁, 摇动, 摇滚乐
vt. 摇摆, 摇动, 使摇晃, 使动摇
vi. 摇, 摇动"
scare,"n. 惊吓, 恐慌
vt. 惊吓, 使恐慌
vi. 受惊"
chop,"n. 肋条肉, 排骨, 砍, 戳记, 商标
vt. 剁碎, 砍, 切击, 割断
vi. 砍, 突然转向"
subtract,"vt. 减去, 扣掉, 减少
vi. 做减法
"
derive,"vt. 得自
vi. 起源"
suspect,"n. 被怀疑者, 嫌疑犯
a. 令人怀疑的, 不可信的, 可疑的
v. 怀疑, 猜想"
dictate,"vi. 听写, 口述, 口授
vt. 口述, 使听写, 命令
n. 命令, 指挥, 指令"
wear,"n. 穿着, 戴, 使用, 耗损, 服装, 耐久性
vt. 穿着, 戴, 留(须、发等), 呈现, 磨损, 磨成, 耗损, 使疲乏, 消磨
vi. 磨损, 变旧, 耐久, 渐变, 渐渐消失"
rid,"vt. 免除, 以...清除, 使获自由, 使摆脱
"
