accomplishment,"n. 成就, 完成"
acronym,"n. 首字母缩拼词, 首字母组合词
"
acute,"a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的
"
adhere,"vi. 依附, 粘着, 坚持, 追随, 拥护
vt. 使粘附"
aggression,"n. 侵犯, 侵略
"
artistic,"a. 艺术的, 艺术家的, 富有艺术性的"
awareness,"n. 意识, 认识
"
balance,"n. 平衡, 差额
vi. 平衡, 相等
vt. 称, 权衡, 比较, 使平衡, 结算, 抵消"
brochure,"n. 小册子, 小册"
careless,"a. 粗心的, 不关心的, 无忧无虑的"
chimpanzee,"n. 黑猩猩
"
collective,"a. 集体的, 聚集的, 共同的
"
conductivity,"n. 导电率, 传导率, 传导性
"
congestion,"n. 拥挤, 充血
"
convince,"vt. 说服, 使相信
"
council,"n. 会议, 委员会
"
crevice,"n. 裂缝
"
crossing,"n. 横越, 横渡, 交叉点, 渡口
"
curriculum,"n. 课程
"
debate,"n. 辩论, 讨论
v. 争论, 辩论"
deficiency,"n. 缺乏, 不足
"
devotion,"n. 热爱, 投入"
discharge,"vt. 卸下, 放出, 解雇, 拔染, 履行, 放电
vi. 卸货, 流出
n. 卸货, 流出, 放电"
dispute,"n. 争论
v. 争论"
diverse,"a. 不同的, 变化多的"
doctrine,"n. 教条, 学说
"
endless,"a. 不停的, 无穷尽的, 无尽的
"
enforce,"vt. 强迫, 执行, 坚持
"
essentially,"adv. 本质上, 本来"
expire,"vi. 期满, 呼气, 断气
vt. 呼出"
fare,"n. 费用, 旅客, 食物
vi. 进展, 进步, 经营, 过活"
flat,"a. 平坦的, 单调的, 无力的, 浅的, 萧条的, 干脆的, 无聊的
adv. 平直地, 断然地
n. 扁平物, 平面, 平地, 平原, 平板车
v. (使)变平"
forward,"a. 向前的, 早的, 迅速的, 在前的, 进步的
vt. 促进...的生长, 转寄, 运送
adv. 向前地
"
foul,"a. 污秽的, 邪恶的, 恶臭的, 肮脏的, 恶劣的, 淤塞的
vt. 弄脏, 妨害, 污蔑, 犯规, 淤塞
vi. 腐烂, 犯规, 缠结
adv. 违反规则地, 不正当地
n. 犯规, 缠绕"
glow,"n. 赤热, 光辉, 热情, 热烈, 红光
vi. 发红光, 红光焕发, 发热, 洋溢, 激动"
gym,"n. +体育馆, 体育训练, 体育课, 体操"
honest,"a. 诚实的, 坦直的, 可靠的"
improve,"vt. 改良, 提高...的价值, 改善, 利用
vi. 变得更好, 增加"
interest,"n. 兴趣, 嗜好, 利息, 利益, 爱好, 趣味, 势力
vt. 使感兴趣, 与...有关系"
investigate,"v. 调查, 审查"
juvenile,"n. 少年, 少年读物
a. 少年的, 不成熟的, 适于少年的"
load,"n. 负荷, 担子, 重担, 装载量, 负载, 工作量, 加载
vt. 装载, 装填, 使担负
vi. 装货, 上客, 装料
"
log,"n. 记录, 圆木, 日志, 计程仪
vt. 伐木, 切, 航行
vi. 伐木
"
manage,"vi. 处理
vt. 管理, 控制, 维持, 达成, 经营, 运用"
maritime,"a. 海的, 海上的, 海事的, 沿海的, 海员的
"
mat,"n. 垫, 丛, 衬边
a. 粗糙的, 无光泽的
vi. 纠缠在一起
vt. 铺席于...上, 使无光泽, 使缠结"
obstruct,"vt. 阻隔, 妨碍, 阻塞, 遮没
vi. 设障碍"
overcharge,"v. 讨价过高, 装载过多, 过度充电, 渲染
n. 超载, 装药过多, 过度充电"
partly,"adv. 部分地, 在一定程度上"
pollen,"n. 花粉
vt. 传授花粉给"
