fray,"n. 磨损, 打架, 争论
vt. 使磨损
vi. 被磨损"
obsolete,"a. 荒废的, 成废物的, 陈旧的, 老式的
n. 废词, 废物"
slavish,"a. 奴隶的, 奴性的, 盲从的"
strained,"a. 紧张的, 滤过的, 矫饰的
"
groom,"n. 马夫, 新郎, 男仆
vt. 喂马, 使...整洁, 推荐
vi. 打扮, 穿戴"
shun,"vt. 避开, 规避, 避免"
civility,"n. 礼貌, 礼仪"
gentility,"n. 出身高贵, 绅士们, 上流阶层, 斯文, 有教养, 彬彬有礼, 文雅, 装体面, 假斯文"
loutish,"a. 粗野的, 无礼的"
cumulative,"a. 累积的
"
trivial,"a. 琐碎的, 不重要的, 轻微的, 平常的"
offensive,"a. 令人不快的, 侮辱的, 攻击性的
"
manifest,"n. 载货单, 运货单, 旅客名单
a. 显然的, 明白的
vi. 显示, 出现
vt. 表明, 表现, 证明"
resonance,"n. 共鸣, 回声, 反响, 谐振, 共振
"
feminism,"n. 女权主义, 男女平等主义
"
blur,"vt. 使模糊, 弄脏
vi. 弄脏, 模糊"
derision,n. 嘲笑
imbecile,"a. 低能的, 愚钝的, 虚弱的
n. 低能者, 痴呆, 蠢人"
parasite,"n. 寄生生物, 寄生虫, 食客
"
villainous,"a. 坏人似的, 恶棍的, 罪恶的, 极坏的
"
toff,"n. 花花公子, 有钱人, 爱打扮的人"
constraint,"n. 强制, 约束
"
failing,"n. 失败, 缺点
prep. 如果没有...
a. 失败的"
trendy,"a. 随潮流的, 时髦的, 赶潮流的"
bemoan,"vt. 哀悼, 惋惜, 认为遗憾, 哀叹"
deliberate,"a. 深思熟虑的, 故意的, 从容的
v. 仔细考虑"
sartorial,"a. 裁缝匠的, 缝工的, 裁缝的"
aspiration,"n. 热望, 志向, 渴望
"
ubiquitous,"a. 无所不在的, 到处存在的, 普遍存在的"
utilitarian,"a. 有效用的, 实利主义的, 功利主义的
n. 功利主义者"
impoverishment,"n. 贫穷, 穷困"
taboo,"n. 禁忌, 禁止接近, 禁止使用
a. 禁忌的, 忌讳的
vt. 禁忌, 忌讳, 禁止"
erode,"vt. 腐蚀, 侵蚀
vi. 受腐蚀"
orientation,"n. 定方位, 适应, 向东方
n. 方向
"
oxidize,"vt. 使氧化, 使生锈
vi. 氧化"
nectar,"n. 神酒, 甜美饮料, 甘露"
flex,"vt. 弯曲, 伸缩, 折曲
vi. 弯曲
n. 屈曲, 折曲"
abyss,"n. 深渊, 深邃, 地狱"
crook,"n. 钩, 弯曲部分, 坏蛋
vt. 使弯曲, 诈骗
vi. 弯曲"
aerosol,"n. 烟, 雾
"
prowess,"n. 英勇, 勇敢, 超凡技术"
detest,"vt. 厌恶, 憎恨"
defraud,"vt. 欺骗
"
zest,"n. 兴趣, 热情, 风味, 热心
vt. 给...调味"
rigging,"n. 索具, 装备
"
swirl,"n. 漩涡, 涡动
vt. 使成漩涡
vi. 打漩, 盘绕, 眩晕"
trudge,"n. 沉重的步伐, 长途跋涉
vi. 步履艰难地走, 蹒跚地走
vt. 跋涉"
tributary,"a. 支流的, 纳贡的, 从属的, 辅助的
n. 支流, 纳贡者, 属国"
stub,"n. 断肢, 烟蒂, 树桩, 残余, 存根
vt. 连根拔除, 踩熄
"
truce,"n. 停战, 休战
vi. 停战, 休止
vt. 以休战结束"
fetter,"n. 脚镣, 羁绊, 束缚
vt. 束缚, 加脚镣"
languish,"vi. 憔悴, 凋萎, 苦思"
inhibit,"vt. 禁止, 抑制
vi. 起抑制作用"
being,"n. 存在, 性质, 生命, 人, 生物, be的现在分词"
merge,"vt. 使合并, 使消失, 吞没
vi. 合并, 渐渐消失
"
subliminal,"a. 下意识的, 潜在意识的
"
draught,"n. 气流, 草稿, 汇票, 通风, 拉, 牵引
vt. 起草, 征兵, 选派"
chimpanzee,"n. 黑猩猩
"
generate,"vt. 产生, 发生, 导致
"
subvert,"vt. 推翻, 颠覆, 毁灭
"
cynic,"n. 犬儒学派的人, 玩世不恭的人, 愤世嫉俗者, 好挖苦人的人
a. 犬儒学派的"
filial,"a. 子女的, 当做子女的, 孝顺的
"
legislate,"vi. 制定法律
vt. 用立法规定"
inexorable,"a. 无情的, 冷酷的"
tinge,"n. 色调, 色彩, 气味, 气息
vt. 染, 使带气息"
complacency,"n. 满足, 自鸣得意, 自满"
destitute,"a. 穷困的, 缺乏的"
affluent,"a. 丰富的, 富裕的
n. 支流, 富人"
deride,"vt. 嘲弄, 嘲笑"
reaffirm,"vt. 重申, 再确认"
shirk,"vi. 溜掉, 逃避, 推卸
vt. 逃避"
mediate,"a. 居间的, 间接的
vt. 斡旋, 调停
vi. 处于中间, 调解"
conciliator,"n. 抚慰者, 调和人
"
amicable,"a. 友善的, 友好的
"
recalcitrant,"a. 反抗的, 反对的, 顽抗的
n. 反抗者, 顽抗者"
demographic,"a. 人口统计的
"
affluence,"n. 富裕, 丰富, 流注
"
