abase,"vt. 降低...的地位, 降低...的品格, 贬抑, 使谦卑"
abate,"vt. 减少, 减轻, 减弱, 废除, 打折扣
vi. 减轻, 减弱, 减少, 失效, 被废除"
abbreviate,"vt. 缩写, 使...简略, 缩短
vi. 使用缩写词"
abdicate,"vt. 正式放弃
vi. 退位, 退出, 辞职"
abduct,"vt. 诱拐, 绑架, 使外展
"
abhor,"vt. 憎恶, 痛恨, 回避, 拒绝"
abide,"vi. 停留, 遵守, 居留, 继续下去
vt. 忍受, 经受, 屈从于"
abject,"a. 绝望无助的, 可怜的, 糟透的, 卑鄙的, 自卑的
"
ablaze,"a. 着火的, 闪亮的, 激昂的
adv. 着火, 闪耀"
abominable,"a. 讨厌的, 令人憎恶的"
abort,"vi. 流产, 中途失败
vt. 使流产, 使失败, 使中止"
aboveboard,"adv. 光明正大地, 率直地
a. 光明正大的, 率直的"
abrasive,"n. 研磨料
a. 有研磨作用的"
abreast,"adv. 并肩地, 并列地"
abstain,"vi. 自制, 戒绝, 弃权, 回避"
accede,"vi. 同意, 正式加入, 就任, 继任"
accentuate,"vt. 以重音念, 强调, 重读"
accession,"n. 到达, 即位, 增加, 同意, 发作, 正式接受
vt. 登记入册"
acclaim,"n. 喝彩, 欢呼, 赞同
v. 欢呼, 喝彩, 称赞"
accomplice,"n. 共犯, 同谋
"
accountable,"a. 负有责任的, 可说明的, 可解释的
"
accredit,"vt. 信托, 确认, 归结于, 委派
"
accrue,"vi. 自然增加, 产生
"
acquiesce,"vi. 默许, 默然同意"
acquit,"vt. 无罪释放, 表现, 使履行
"
adamant,"n. 坚硬的东西
a. 非常坚硬的, 坚强的, 固执的"
adept,"a. 熟练的, 老练的, 巧妙的
n. 能手, 内行"
adjoin,"v. 邻接, 毗连"
adjourn,"vi. 休会, 换地方
vt. 使中止, 推迟"
adjudicate,"v. 判决, 宣告, 裁定"
admonish,"vt. 警告, 劝告, 训诫, 告诫"
adorn,"vt. 装饰, 使生色"
adrift,"adv. 漂流地, 漂浮着, 随波逐流地
a. 漂浮着的"
adroit,"a. 灵巧的, 敏捷的, 聪明的"
adulterate,"vt. 掺杂
a. 掺假的, 假的, 通奸的"
advent,"n. 来到, 来临"
adversary,"n. 敌手, 对手
a. 敌手的, 敌对的"
adverse,"a. 不利的, 敌对的, 相反的, 逆的
"
adversity,"n. 逆境, 不幸, 灾祸, 灾难"
advocacy,"n. 拥护, 支持, 鼓吹, 辩护, 辩护术
"
affable,"a. 和蔼可亲的, 友善的, 亲切的, 慈祥的"
affiliate,"vt. 使紧密联系, 使附属, 接纳, 收养
vi. 发生联系, 参加"
affinity,"n. 吸引, 姻亲关系, 类同
"
afflict,"vt. 使苦恼, 折磨"
affront,"n. 公开侮辱, 轻蔑
vt. 公开侮辱, 冒犯, 面对"
afield,"adv. 离开着, 偏离着, 在战场上"
afoot,"a. 徒步的, 在进行中的, 活动中的
adv. 徒步, 在进行中"
afresh,adv. 重新
aggravate,"vt. 使恶化, 使更严重, 加重"
aggregate,"n. 合计, 总计, 聚集体
a. 合计的, 聚集的
v. 聚集, 集合, 合计达
"
aggrieved,"a. 受委屈的, 权利受到不法侵害的"
agitate,"vt. 使摇动, 搅动, 使激动, 使不安
vi. 鼓动, 煽动"
agitation,"n. 激动, 焦虑, 煽动, 搅动, 摇动
"
aground,"adv. 搁浅地, 地面上"
airborne,"a. 升空的, 空运的, 空中传播的, 空降的"
