rot,"n. 腐烂, 腐蚀, 败坏
vi. 腐烂, 烂, 堕落, 憔悴
vt. 使腐烂, 使腐朽, 使堕落"
inventor,"n. 发明家
"
statesman,n. 政治家
philosopher,"n. 哲学家, 哲人, 思想开创人, 达观的人
"
economist,"n. 经济学者, 经济家
"
found,"vt. 建立, 创立, 铸造
find的过去式和过去分词"
puritan,"n. 清教徒
a. 清教徒的"
persecution,"n. 虐待, 迫害运动, 迫害, 烦扰
"
almanac,"n. 年历, 历书
"
ambulance,"n. 救护车
"
volunteer,"n. 志愿者
a. 志愿的
v. 自愿"
puzzle,"n. 难题, 迷惑
vt. 使困惑, 使为难
vi. 迷惑, 苦思"
terrified,a. 受惊吓的；感到恐惧的
tuck,"n. 缝褶, 活力, 鼓声, 船尾突出部, 食品
vt. 打褶, 卷起, 挤进, 塞, 收藏
vi. 缝褶裥, 缩拢"
avoid,"vt. 避免, 防止, 撤消
"
midlife,n. 中年
funk,"n. 怯懦, 恐惧, 臭味
vt. 畏缩, 害怕, 使闻到臭味
vi. 惊恐, 发出臭味"
local,"a. 地方性的, 当地的, 局部的, 乡土的, 本地的
n. 当地居民, 本地新闻, 局部
"
firehouse,n. 消防站
cowardly,"a. 怯懦的, 懦弱的；胆小的"
scare,"n. 惊吓, 恐慌
vt. 惊吓, 使恐慌
vi. 受惊"
hospice,"n. 旅客住宿处, 收容所"
colleague,"n. 同事, 同僚"
printout,"n. 打印输出
"
seizure,"n. 捕获, 夺取, 占领, 捕获物, 没收, 充公
"
curse,"n. 咒骂, 诅咒
vt. 诅咒, 咒骂"
offense,"n. 犯罪, 伤感情, 攻击"
previous,"a. 早先的, 前面的, 过急的
"
kin,"n. 亲戚, 同族, 血缘关系, 家族
a. 有亲属关系的, 性质类似的, 同类的"
symptom,"n. 症状, 征候, 征兆
"
gospel,"n. 福音, 信仰, 真理"
performance,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出
"
stun,"vt. 使昏迷, 使震惊, 打昏
n. 昏迷, 猛击"
unthinkable,"a. 不能考虑的, 不能想像的, 想像不到的, 不合理的"
wheel,"n. 轮子, 车轮, 轮, 方向盘, 旋转, 机构, 重要人物
vt. 使旋转, 转动, 使转向
vi. 旋转, 转弯, 盘旋"
trace,"n. 痕迹, 踪迹, 微量, 迹线, 缰绳
vt. 追踪, 回溯, 描绘
vi. 追溯, 沿路走"
sanitize,"vt. 对...采取卫生措施, 消毒, 使无害
"
