fourteenth,"num. 第十四, 十四分之一"
season,"n. 季节, 时节, 当令期, 时期
vt. 给...调味, 使成熟, 使老练, 缓和
vi. 变干燥"
dentist,"n. 牙科医生
"
worth,"n. 价值, 财产
a. 值...的, 值得的"
blood,"n. 血, 血统, 流血, 气质, 生命
vt. 使出血, 用血涂"
scared,"a. 害怕的, 担惊受怕的, 惊慌的, 吓坏了的"
area,"n. 区域, 面积, 范围, 空地
"
lend,"vt. 借, 贷款给, 增添, 提供, 出租
vi. 贷款"
tourist,"n. 观光客, 旅行者
a. 旅游的"
uncomfortable,"a. 不舒服的, 不自在的, 不安的"
scientist,"n. 科学家
"
mile,"n. 英里, 很大距离
"
example,"n. 例子, 样本, 实例
"
aim,"n. 目标, 瞄准, 击中目标的能力
vi. 对准目标, 致力, 打算
vt. 瞄准
"
see,"vt. 看见, 查看, 参观, 游览, 理解, 知道, 同意
vi. 看, 观看, 注意, 知道, 考虑
n. 主教的职位"
chew,"vt. 咀嚼, 嚼碎
vi. 咀嚼, 细想
n. 咀嚼, 咀嚼物"
reply,"n. 答复, 回答, 答辩
vi. 答复, 回答, 回击, 反响, 答辩
vt. 回答
"
achieve,"vt. 完成, 达到
vi. 如愿以偿"
die,"vi. 死亡, 消逝, 平息, 熄灭, 漠然, 渴望
vt. 死
n. 骰子, 冲模"
fresh,"a. 新鲜的, 新奇的, 另外的, 淡的, 精神饱满的, 冒失的
adv. 最新地, 刚刚
n. 开始, 泛滥"
top,"n. 顶部, 顶端, 极点, 上面, 上部, 顶篷, 最高地位, 首位, 陀螺
a. 最高的, 顶上的, 头等的
vt. 盖, 加以顶, 高达, 超越
vi. 结束, 达到顶点, 高出
"
nothing,"n. 无, 不关紧要之事, 零
adv. 毫不, 决不
interj. 什么也没有, 无"
boss,"n. 老板, 上司, 岩瘤, 浮雕, 母牛
vt. 指挥, 控制, 浮雕"
depend,"vi. 靠, 视...而定, 信赖"
silent,"a. 沉默的, 安静的, 无声的, 静止的
"
honor,"n. 荣誉, 头衔, 信用, 尊敬, 名誉, 阁下, 勋章
vt. 尊敬, 授予荣誉, 承兑, 实践"
rude,"a. 粗鲁无礼的, 粗陋的, 粗暴的, 原始的, 未开化的, 大略的, 崎岖不平的, 狂暴的"
thief,"n. 小偷, 贼
"
junk,"n. 垃圾, 乌七八糟的东西, 舢板
"
weight,"n. 重, 重量, 体重, 砝码, 重大, 影响, 力量
vt. 加重量于, 压迫, 使加权, 称重量
"
think,"vt. 想, 考虑, 想起, 想像, 打算, 认为
vi. 思考, 料想
n. 想法
a. 思想的"
activity,"n. 活动, 行动, 活跃, 活力
"
captain,"n. 船长, 指挥官, 海军上校, 首领
vt. 率领, 指挥"
brave,"a. 勇敢的, 美好的, 华丽的
n. 勇敢者
vt. 勇敢地面对"
still,"n. 蒸馏室, 寂静, 剧照
v. 蒸馏, (使)平静, (使)静止
a. 静止的, 不动的, 静寂的, 不起泡的, 静物摄影的
adv. 仍然, 更, 静止地
conj. 然而, 但是"
hang,"n. 悬挂, 诀窍, 意义
vt. 悬挂, 附着, 装饰, 垂下, 踌躇, 绞死, 使悬而未决
vi. 悬着, 垂下, 被绞死, 悬而不决"
happen,"vi. 发生, 发生, 恰巧"
sixteen,"num. 十六, 十六个"
thirteenth,"num. 第十三, 十三分之一"
heaven,"n. 天堂, 上帝, 天空"
empty,"a. 空的, 空虚的, 空腹的, 空洞的
n. 空的东西, 空车
vt. 倒空, 使变空, 使排出
vi. 流空
"
neither,"adv. 皆不, 两个都不
a. (两者)都不的
pron. 两者都不
conj. 既非, 既不"
sky,"n. 天空, 天色, 天堂
vt. 击向空中, 挂在高处
vi. 高涨"
toward,"prep. 向, 对于, 为了
a. 即将来临的, 进行中的"
towards,"prep. 向, 对于, 为了"
third,"num. 第三, 三分之一
"
newspaper,n. 报纸
volleyball,n. 排球
pupil,"n. 学生, 门生, 未成年人, 瞳孔
"
fantastic,"a. 奇妙的, 稀奇的, 空想的"
dare,"n. 挑战, 挑动, 大胆
v. 敢, 胆敢"
treat,"n. 宴请, 款待
vt. 视为, 对待, 论述, 治疗, 款待
vi. 讨论, 谈判, 作东"
us,"pron. 我们
"
should,"aux. 应该, 将要"
engineer,"n. 工程师, 工兵
vt. 设计, 监造, 精明地处理, 策划"
connect,"v. 连接, 联合, 联系"
hobby,"n. 嗜好, 癖好, 爱好"
wear,"n. 穿着, 戴, 使用, 耗损, 服装, 耐久性
vt. 穿着, 戴, 留(须、发等), 呈现, 磨损, 磨成, 耗损, 使疲乏, 消磨
vi. 磨损, 变旧, 耐久, 渐变, 渐渐消失"
memory,"n. 记忆, 记忆力, 回忆, 纪念, 存储
n. 内存
"
dish,"n. 盘子, 碟, 菜肴
"
include,"vt. 包括, 把...算入, 包住
"
race,"n. 种族, 人种, 赛跑, 比赛, 急流, 人类, 同道, 姜根
vi. 赛跑, 竞赛, 疾走
vt. 与...赛跑, 使疾走, 使猛转
"
tonight,"n. 今晚, 今夜
adv. 今晚, 今夜"
map,"n. 地图, 天体图, 映像
vt. 映射, 绘制...地图, 计划
"
refuse,"vt. 拒绝, 谢绝
vi. 拒绝
n. 废物
a. 扔掉的, 无用的"
step,"n. 步骤, 步, 步幅, 脚步声, 踏级, 步伐, 短距离, 步态, 手段, 等级
vt. 踏, 以步测量, 跨步, 使成阶梯状
vi. 跨步, 轻快地走, 跳舞, 踩, 踏上, 行走
"
difference,"n. 不同, 差异
"
seventeenth,"num. 第十七, 十七分之一"
strategy,"n. 战略, 策略
"
uncle,"n. 叔父, 伯父, 姨丈"
complain,"v. 抱怨, 抗议, 控诉"
green,"n. 绿色, 绿色颜料
a. 绿色的, 未成熟的, 新鲜的, 青春的, 无经验的, 脸色发青的"
bike,"n. 自行车, 脚踏车"
effort,"n. 努力, 成就"
grammar,"n. 语法学, 入门书
"
pancake,"n. 薄烤饼, 薄煎饼, 烙饼"
essay,"n. 随笔, 短文, 评论, 企图
vt. 试图"
abroad,"adv. 往国外, 到室外, 到处
a. 往国外的, 在室外的, 广泛四散的"
cough,"n. 咳嗽
vi. 咳嗽
vt. 咳出"
like,"a. 相似的, 同样的
vt. 喜欢, 愿意, 想
vi. 喜欢, 希望
n. 爱好, 同样的人(或物)
prep. 象, 如同
adv. 可能"
join,"vi. 参加, 结合, 加入
vt. 连接, 结合, 参加, 加入
n. 连接, 结合, 接合点
"
without,"prep. 没有, 不, 在...之外
adv. 在外面, 户外
n. 外面, 外部"
nervous,"a. 神经紧张的, 不安的, 神经的
"
soon,"adv. 不久, 早, 快, 宁可"
only,"a. 唯一的, 仅有的, 最佳的
adv. 只有, 仅仅, 只能
conj. 但是, 不过"
poster,"n. 海报, 招贴, 驿马"
restaurant,"n. 餐馆, 饭店"
destroy,"vt. 破坏, 毁坏, 消灭"
finish,"n. 完成, 结束, 末道漆, 磨光, 完美
vt. 完成, 结束, 用完, 毁掉
vi. 结束
"
deep,"a. 深的
adv. 深入地
n. 深渊, 深处"
elder,"n. 年长者, 老人, 前辈
a. 年长的, 资深的"
photo,"n. 相片, 照片, 逼真的描绘
v. 照相
a. 照相的, 摄影用的, 详细记录的, 逼真的, 酷似的"
weekday,"n. 周日, 平日
"
bush,"n. 矮树丛
"
wind,"n. 风, 气息, 气味, 呼吸, 风声, 趋势, 空谈, 卷绕, 弯曲
vt. 使通风, 嗅出, 使喘气, 吹号角, 上发条, 缠绕, 包, 绞起, 吊起, 使弯曲, 使迂回
vi. 嗅出猎物, 吹响号角, 卷曲, 蜿蜒, 迂回, 缠绕"
fox,"n. 狐狸, 狡猾的人
vi. 奸狡地行动, (书页)生斑, 变酸
vt. 欺骗, 使变酸, 为(鞋等)换面, 使生黄斑"
grape,"n. 葡萄, 葡萄树
"
new,"a. 新的, 陌生的, 最近的, 不熟悉的
"
divide,"vi. 分开, 分配, 分裂
vt. 分, 分开, 分裂, 除
n. 分配, 分水岭
"
company,"n. 公司, 友伴, 交往, 连队, 朋友, 一群
vt. 陪伴
vi. 交往"
listen,"vi. 听, 倾听, 听从
n. 听, 倾听"
want,"n. 需要的东西, 缺乏, 贫困, 需要
vt. 要, 希望, 应该, 缺少
vi. 生活困苦, 需要, 缺少"
iron,"n. 铁, 熨斗, 铁器, 坚强, 烙铁, 镣铐
vt. 烫平, 熨, 用铁包
vi. 烫平"
can,"vt. 装罐
n. 罐头, 容器
aux. 能, 可以
"
kilometer,"n. 千米, 公里
"
extra,"n. 额外的事物, 另外的收费
a. 额外的, 特别的
adv. 额外地, 特别地, 非常地"
cigarette,"n. 香烟, 纸烟"
fruit,"n. 水果, 果类, 结果
"
environment,"n. 环境, 外界, 围绕
"
thirtieth,"num. 第三十, 三十分之一"
is,"be的现在式第三人称
"
lesson,"n. 课, 课业, 教训"
attention,"n. 注意, 注意力
"
I,"pron. 我
n. 英语字母表的第9个字母；（罗马数字）1
abbr. 岛，群岛
"
anymore,"adv. 再也不, 不再"
shake,"n. 摇动, 震动
vt. 摇动, 动摇, 使震动, 挥舞
vi. 震动, 发抖, 动摇"
correct,"a. 正确的, 合适的
vt. 改正, 订正"
lap,"n. 膝盖, 舔, 一圈, 下摆, 衣兜, 山坳
vi. 重叠, 围住, 轻拍, 舔
vt. 包围, 抱...在膝上, 使重叠, 舔, 拍打, 泼溅
"
next,"n. 下一个
a. 下一个的, 其次的, 贴近的
adv. 然后, 下次, 次于
"
early,"a. 早的, 早熟的
adv. 很早, 初"
shine,"n. 光泽, 阳光
vt. 使发光
vi. 照耀, 发光, 发亮"
value,"n. 价值, 价格, 购买力, 评价, 估价, 计算结果
vt. 评价, 估价, 重视
"
review,"n. 检讨, 复习, 回顾, 检阅, 评论
vt. 温习, 检讨, 评论, 再检察, 复审
vi. 复习功课, 写评论"
eastern,"n. 东方人, 东正教徒
a. 东方的, 向东的, 自东的"
outside,"n. 外面, 外表, 外界
a. 外面的, 外表的, 外界的
adv. 外面, 外表, 外界"
December,n. 十二月
board,"n. 木板, 甲板, 膳食, 会议桌
vt. 乘船, 供膳食, 用板覆盖
vi. 搭伙
"
tutor,"n. 家庭教师, 导师, 助教, 监护人
vt. 当...的教师, 教, 指导, 约束, 克制
vi. 当家庭教师, 受家庭教师的指导"
sandwich,"n. 三明治, 夹心面包, 夹层板
vt. 插入, 夹入, 把...制成三明治"
design,"n. 设计, 图样, 方案, 企图
v. 设计, 计划"
worse,"n. 更坏的事, 更恶劣的事, 败局
a. 更坏的, 更恶劣的
adv. 更坏地, 更恶劣地"
