ethic,"n. 道德规范, 伦理"
cooperative,a. 合作的；合作社的
committed,"a. 献身于某种事业的
"
genuinely,adv. 真诚地；诚实地
duty,"n. 责任, 关税, 职务, 尊敬
"
impress,"n. 印象, 特征, 印记
vt. 使有印象, 印, 铭刻, 传送, 影响, 强征
vi. 给人印象"
supervisor,"n. 管理者, 监督者, 指导者, 视导员
"
employment,"n. 雇用, 职业, 工作
"
truly,"adv. 真实地, 不假"
appear,"vi. 出现, 显得, 来到
"
distract,"vt. 转移, 分心, 使发狂"
vice,"n. 恶习, 恶行, 罪恶, 堕落, 缺陷, 恶癖, 老虎钳
vt. 钳住
prep. 代替"
session,"n. 期间, 开庭期, 会议, 学期
"
screen,"n. 幕, 银幕, 屏风, 掩蔽物, 屏蔽, 筛子
vt. 掩蔽, 放映, 拍摄, 掩护, 筛, 甄别
vi. 拍电影
"
co-worker,"n. 共同工作者
"
overemphasize,v. 过分强调
workplace,"n. 工作场所, 工厂, 车间"
differ,"vi. 不一致, 不同
"
thoughtful,"a. 深思的, 体贴的"
impose,"vt. 征(税), 把...强加于, 以...欺骗
vi. 利用, 欺骗, 施加影响"
suggestion,"n. 提议, 意见
"
demonstrate,"vt. 示范, 证明
vi. 示威"
appropriately,"adv. 适当的, 恰如其分的, 恰当的, 合适的"
teamwork,"n. 协同作业, 协力
"
warehouse,"n. 仓库, 货栈, 大商店
vt. 储入仓库"
aware,"a. 知道的, 有觉悟的"
dedicate,"vt. 献出, 贡献"
get involved in, 涉及
prepare oneself for,[网络] 准备；为……作准备；准备做某事
stand out,"突出, 坚持抵抗"
care about,担心
ahead of schedule,提前
become aware of,v. 知道
pitch in,"投入, 动手干, 作出贡献"
point out,"na. 指出
"
related,"a. 讲述的, 叙述的；有关系的, 有关联的"
brush,"n. 刷子, 毛笔, 争吵
vt. 刷
vi. 擦过, 掠过
"
literacy,"n. 读写能力, 识字, 精通文学"
authoritative,"a. 权威性的, 官方的, 命令式的
"
institution,"n. 机构, 惯例, 制度
"
nonprofit,"a. 非赢利的, 无利可图的
"
agency,"n. 代理机构, 经销商, 中介
"
detect,"vt. 发现, 察觉, 探测
"
bias,"n. 偏见, 斜纹
a. 偏斜的
adv. 偏斜
vt. 使有偏见
"
overwhelming,"a. 压倒性的, 无法抵抗的"
analyze,"vt. 分析, 细察, 分解
"
time-consuming,adj. 耗费时间的，旷日持久的
candidate,"n. 候选人, 投考者
"
minimal,"a. 最小的, 极微的, 最小限度的
"
productivity,"n. 生产力
"
software,"n. 软件
"
proficiency,"n. 精通, 熟练, 精练"
process,"n. 程序, 进行, 过程
vt. 加工, 使...接受处理, 对...处置, 对...起诉
a. 经加工的, 有特殊光效的
"
spreadsheet,"n. 空白表格程序, 电子制表软件, 电子数据表
"
résumé,无
expense,"n. 费用, 代价, 开支, 损失
"
