physiology,"n. 生理学, 生理机能
"
artemisinin,n. 青蒿素（抗疟药）；青蒿提取物
crucial,"a. 决定性的, 重要的, 严厉的
"
malaria,"n. 疟疾, 瘴气
"
vital,"a. 生命的, 重要的, 充满活力的, 生死攸关的, 致命的
"
committed,"a. 献身于某种事业的
"
commit,"vt. 委托(托付), 犯罪, 指派...作战, 使承担义务
"
commit oneself to do,无
academy,"n. 学院, 院校, 学会"
academic,"a. 学院的, 学术的, 不切实际的
n. 大学生, 大学教师, 学者, 学会会员"
objective,"n. 目的, 目标, 宗旨, 宾格, 实物
a. 客观的, 如实的, 无偏见的, 宾格的"
botanical,"a. 植物学的
n. 植物性药材"
evaluate,"vt. 评估, 评价, 赋值"
property,"n. 财产, 所有权, 性质, 属性
"
distinct,"a. 清楚的, 显著的, 不同的"
extract,"n. 榨出物, 精汁, 摘录, 选段
vt. (费力地)取出, 采掘, 榨取, 摘录, 吸取
"
wormwood,"n. 苦艾, 苦恼
"
boil,"n. 煮沸, 沸腾, 疖
v. 煮沸, 激动"
liquid,"n. 液体, 流体, 流音
a. 液体的, 透明的, 明亮的, 流动的, 易变的"
obtain,"vt. 获得, 达到
vi. 流行, 得到公认"
acknowledge,"vt. 承认, 告知收悉, 答谢, 报偿
"
defeat,"n. 败北, 失败
vt. 击败, 使落空"
analyse,"vt. 分析, 细察, 分解
"
analyze,"vt. 分析, 细察, 分解
"
apparently,"adv. 表面上, 清楚地, 显然地"
substance,"n. 物质, 实质, 主旨, 资产, 本质, 牢固
"
insist,"v. 坚持, 坚决主张, 强调"
insist on,"坚持, 坚决要求"
scientific,"a. 科学的, 系统的, 符合科学规律的
"
mostly,"adv. 大概, 大部分, 主要
"
wear and tear,"磨损, 折磨
"
conclusion,"n. 结论, 结尾, 推论
"
penicillin,"n. 盘尼西林, 青霉素
"
flee,"vt. 逃避, 逃跑, 逃走
vi. 逃, 消失"
circumstance,"n. 环境, 状况, 事件"
novelist,n. 小说家
novel,"n. 小说, 长篇故事
a. 新奇的, 异常的"
flow,"n. 流程, 流动, 流量, 洋溢, 泛滥, 涨潮
vi. 流动, 流泄, 畅流, 川流不息, 飘扬, 涌出
vt. 使流动, 淹没, 流出"
chart,"n. 图表, 海图
vt. 制成图表
"
flow chart,
found,"vt. 建立, 创立, 铸造
find的过去式和过去分词"
infer,"vt. 推论出, 推断
vi. 作推论"
politician,"n. 政客, 政治家, 从事党派政治的人
"
numerous,"a. 很多的, 数目众多的, 多数的
"
theory,"n. 理论, 学说, 原理, 意见, 推测
"
relativity,"n. 有关系, 相关性, 相对性
"
formula,"n. 客套语, 公式, 准则
"
genius,"n. 天才, 天赋, 精神, 神魔
"
gentle,"a. 温和的, 文雅的"
patent,"n. 专利权, 许可证, 执照, 专利品, 素质
a. 专利的, 特许的, 显著的, 新奇的
vt. 取得...的专利权, 请准专利"
passion,"n. 激情, 酷爱, 热爱, 强烈感情, 耶稣受难(故事)"
doctorate,n. 博士头衔
extraordinary,"a. 非常的, 特别的, 非凡的
"
gradually,adv. 逐渐地
photoelectric,"a. 光电的, 灯光摄影装置的
"
come to power,"上台,夺取政权"
institution,"n. 机构, 惯例, 制度
"
institute,"n. 学会, 学院, 协会
vt. 创立, 开始, 制定, 任命"
consequence,"n. 结果, 重要性
"
take up a position,选好位置
moustache,"n. 髭, 小胡子, 触须"
mustache,"n. 髭, 胡子"
peculiarity,"n. 特质, 特性, 怪癖"
encounter,"n. 相会, 相遇, 遭遇
vt. 遇见, 邂逅, 会战
vi. 偶然相遇"
professor,n. 教授
mourn,"v. 哀悼, 忧伤, 服丧"
remarkable,"a. 不平常的, 值得注意的, 显著的"
device,"n. 装置, 设计, 策略, 发明物, 设备
"
sum,"n. 总数, 总和, 金额, 概要, 顶点
vt. 总计, 概括
vi. 合计
"
sum up,"na. 〈口〉概括；总结
"
draft,"n. 气流, 草稿, 汇票, 草案
vt. 起草, 征兵
"
Nobel Prize,诺贝尔奖
Alexander Fleming,弗莱明
Albert Einstein,"阿尔伯特·爱因斯坦（著名物理学家, 相对论的提出者）"
Hitler,n. 希特勒（纳粹德国元首）
Elon Musk,无
Florence Nightingale,弗洛伦斯·南丁格尔（英国护士）
SARS,非典型肺炎（Severe Acute Respiratory Syndromes）
Switzerland,n. 瑞士
Swiss,"n. 瑞士人, 瑞士腔调
a. 瑞士的, 瑞士风格的"
Isaac Newton,艾萨克·牛顿（英国物理学家和数学家以及天文学家）
Jewish,"a. 犹太人的, 犹太族的"
Princeton,n. 普林斯顿
phrase,"n. 惯用语, 词组, 成语, 措词, 乐句
vt. 用短语表达, 把(乐曲)分成短句
"
persuade,"vt. 劝, 使相信, 恳求, 敦促, 说服
vi. 劝服, 被说服"
switch,"n. 开关, 电闸, 转换, 软枝, 鞭子, 道岔
vt. 转变, 切换, 摆动, 转换, 使转轨
vi. 转换, 变换, 摆动
"
switch off,"切断
"
switch on,"v. 打开；接通；参见
"
distant,"a. 远的, 疏远的
"
secure,"a. 无虑的, 安心的, 安全的, 可靠的, 保险的
vt. 固定, 获得, 保证, 使安全, 掩护, 招致
vi. 停止操作, 船抛锚"
knob,"n. 把手, 瘤, 旋钮, 球形突出物
vt. 使有球形突出物
vi. 鼓起"
appliance,"n. 器械, 用具, 应用
"
remote,"a. 遥远的, 偏僻的, 疏远的, 微少的
"
remote control,
air conditioner,[化] 空调器; 空气调节器
automatic,"n. 自动手枪, 自动机械
a. 自动的, 机械的, 必然的, 无意识的"
integrated,"a. 综合的, 完整的, 互相协调的
"
integrate,"vt. 综合, 使完整, 使成整体
vi. 成一体
a. 完整的, 完全的"
sensor,"n. 传感器
"
efficient,"a. 有效率的, 能干的"
mode,"n. 模态, 调式, 样式, 文体, 状态, 方式, 风尚
"
routine,"n. 常规, 日常工作, 惯例, 例行公事
a. 日常的, 常规的
"
daily routine,日常工作
preference,"n. 偏爱, 优先, 喜爱物
"
instant,"n. 立即, 瞬间
a. 紧急的, 立即的, 即时的"
command,"n. 命令, 指挥, 控制, 部队, 司令部
v. 命令, 指挥, 控制
"
obey,"vt. 服从, 遵从, 顺从
vi. 服从"
warning,"n. 警告, 预告, 预兆, 通知
"
constant,"n. 常数, 恒量
a. 不变的, 一定的, 时常的
"
early on, 在早期; 前一阵子
abnormal,"a. 反常的, 不规则的, 变态的, 畸形的
n. 畸形的人"
critical,"a. 批评的, 决定性的, 危险的, 临界的
"
cancer,"n. 癌, 恶性肿瘤
"
potentially,"adv. 可能地, 潜在地"
potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
leak,"n. 漏洞, 漏处, 漏出, 泄漏
vi. 漏, 泄漏
vt. 使渗漏"
electrical,"a. 电的, 有关电的
"
wiring,"n. 线路, 接线
"
wire,"n. 电线, 电报, 电信, 铁丝网, 金属丝
vt. 用金属丝捆扎, 拍电报
vi. 打电报"
detect,"vt. 发现, 察觉, 探测
"
relevant,"a. 有关联的, 有关系的, 适当的, 相应的
"
catch fire, 着火着火; 失火; 发火; 走水
fantasy,"n. 幻想, 想象的产物
"
innovation,"n. 改革, 创新
"
available,"a. 可利用的, 可获得的, 有效的
"
in this sense,无
in ... sense,[网络] 从某种意义上说；从某种意义上说转
nevertheless,"adv. 然而, 虽然如此
conj. 然而"
structure,"n. 结构, 构造, 建筑物
vt. 构成, 组织"
security,"n. 安全, 安全性, 防护物, 保安, 可靠性, 担保人, 抵押品, 保证金
"
crime,"n. 犯罪, 罪行, 罪恶
"
combine,"v. (使)联合, (使)结合
n. (企业的)联合, 联合收割机"
nanobot,n. 超微型机械人装置
artificial,"a. 人造的, 假的, 非原地产的
"
artificial intelligence,[计] 人工智能
AI,"n. 【动】三趾树懒；【女名】女子名
int. 唉
"
clone,"n. 无性系
"
predict,"v. 预知, 预言, 预报"
prediction,"n. 预言, 预报
"
forecast,"n. 预想, 预测, 预报
vt. 预想, 预测, 预报
"
occupation,"n. 职业, 占有, 占有期, 占领, 占领军
"
oppose,"vt. 反对, 以...对抗, 抗争
vi. 反对"
hence,"adv. 因此, 从此"
