again,"adv. 再一次, 又, 到原处"
glad,"a. 高兴的, 喜欢的, 情愿的"
why,"adv. 为什么
n. 原因, 理由"
book,"n. 书, 书籍, 帐簿, 名册, 工作簿
v. 登记, 预订
"
sad,"a. 忧愁的, 悲哀的"
surprised,a. 感到惊讶的
look for,"寻找, 期待"
get well, 康复
upset,"a. 弄翻的, 混乱的, 心烦的
vt. 弄翻, 颠覆, 推翻, 打乱, 使不适, 使心烦
vi. 翻倒"
speak,"vi. 说, 说话, 演说, 发言
vt. 说, 讲, 说出"
robot,"n. 机械人, 自动机械, 机械般工作的人
"
housework,"n. 家事, 家务"
Ms,"abbr. 多发性硬化
n. “M”的复数
"
Mrs,n. 先生
there,adv. 在那里
really,"adv. 实际上, 真实地, 实在"
bring,"vt. 带来, 产生, 促使, 提出
vi. 生产"
school,"n. 学校, 鱼群, 门派, 学派
vt. 教育, 训练, 培养
vi. 成群地游"
bad,"a. 坏的
n. 坏
adv. 坏地"
cold,"n. 感冒, 寒冷
a. 寒冷的, 冷淡的, 冷静的
adv. 完全地"
drink,"n. 饮料, 酒
v. 喝, 喝酒"
word,"n. 话, 消息, 词, 诺言, 命令
vt. 用言辞表达
"
computer,"n. 电脑, 电子计算机
"
easy,"a. 容易的, 缓缓的, 舒适的, 从容的, 宽容的, 流畅的, 随便的, 自在的, 疲软的
adv. 容易地, 慢慢地"
light,"n. 光, 光亮, 灯, 日光, 发光体, 光源, 杰出人物, 火花, 眼光
a. 轻的, 少量的, 轻微的, 轻快的, 轻浮的, 明亮的, 淡色的, 容易的
vt. 点燃, 照亮
vi. 点着, 变亮, 突降, 偶然碰到
adv. 轻地"
door,n. 门
kind,"n. 种类, 性质, 方式
a. 亲切的, 仁慈的, 和蔼的"
window,"n. 窗户, 窗子, 窗口
vt. 给...开窗
"
glass,"n. 玻璃, 玻璃杯, 透镜
vt. 装玻璃于, 反射, 反映
vi. 成玻璃状"
take,"vt. 拿, 取, 抓, 带领, 获得, 就座, 接受, 吃, 吸引, 采取, 乘, 需要, 花费
vi. 吃掉对方棋子, 抓住, 起作用, 依法获得财产
n. 拿, 取, 收成, 奏效"
fine,"n. 罚款, 罚金, 晴天, 精细
a. 好的, 晴朗的, 健康的, 细小的, 精细的
vt. 罚款, 精炼, 澄清
vi. 变清, 变细
adv. 很好
"
get,"vt. 得到, 获得, 变成, 使得, 收获, 接通, 抓住, 染上
vi. 到达, 成为, 变得
n. (网球等)救球, 生殖, 幼兽
"
pen,"n. 钢笔, 笔, 笔调, 笔杆子, 作家, 围栏, 栅栏, 禽畜
vt. 写, 关入栏中, 囚禁
vi. 动笔, 写作"
kind,"n. 种类, 性质, 方式
a. 亲切的, 仁慈的, 和蔼的"
brown,"n. 褐色
a. 褐色的
v. (使)变褐色"
think,"vt. 想, 考虑, 想起, 想像, 打算, 认为
vi. 思考, 料想
n. 想法
a. 思想的"
pair,"n. 一双, 一对, 一副
v. (使)成对"
shoe,"n. 鞋, 靴, 外胎
vt. 给...穿鞋, 为马钉蹄铁"
how much,"多少, 什么价钱, 到什么程度"
buy,"vt. 买, 获得
vi. 买
n. 购买, 买得的东西"
shop,"n. 商店, 工厂, 车间
vi. 购物, 到处寻找
vt. 选购"
sell,"vt. 卖, 背叛, 销售, 出卖
vi. 卖, 销售
n. 卖, 推销术, 失望"
eat,"v. 吃, 腐蚀"
healthy,"a. 健康的, 有益健康的, 卫生的
"
sour,"a. 酸的, 酸臭的, 发酵的, 愠怒的, 讨厌的, 拙劣的, 不健全的
vi. 变酸, 发酵, 厌烦, 变坏
vt. 使变酸, 使失望
n. 酸味, 酸饮料"
cook,"n. 厨子, 厨师
vt. 烹调, 煮饭, 加热
vi. 在煮着"
duck,"n. 鸭子
vi. 没入水中, 闪避
vt. 猛按...入水, 躲避"
soup,"n. 汤, 马力
vt. 加速, 增加马力"
sorry,"a. 难过的, 悲哀的, 遗憾的"
pie,"n. 馅饼, 财富, 总额, 贪污受贿, 杂乱, 喜鹊
"
chicken,"n. 小鸡, 鸡肉"
hamburger,"n. 汉堡(德国港口), 肉饼, 汉堡包, 纯精牛肉, 汉堡牛排"
change,"n. 变化, 找回的零钱, 找头, 更换
vt. 改变, 更换, 兑换"
money,"n. 金钱, 一笔款, 财富, 货币, 金额
"
become,"vi. 变成, 变得
vt. 适合"
clever,"a. 聪明的, 精明的"
ice,"n. 冰, 冰淇淋, 糖衣, 冷若冰霜, 矜持, 贿赂
vt. 使结冰, 冰镇, 覆以糖衣
vi. 结冰"
walk,"n. 走, 散步, 步行, 行走的路程, 竞走, 散步场所
vi. 走路, 步行, 处世
vt. 走过, 遛, 使走, 护送...走"
interesting,a. 有趣的
close,"n. 结束, 完结
a. 靠近的, 亲近的, 亲密的, 严密的, 关闭的, 狭窄的, 秘密的
vt. 关, 结束, 使靠近, 封闭, 使接近
vi. 关闭, 结束, 靠近
adv. 接近地, 紧密地
"
farmer,"n. 农夫, 农场主
"
lake,"n. 湖, 池, 色淀
v. (使)血球溶解"
say,"vt. 说, 讲, 念, 说明, 指明
vi. 说, 讲
n. 意见, 发言权"
air,"n. 空气, 旋律, 态度
vt. 晾, 使通风, 夸耀"
live,"a. 活的, 生动的, 精力充沛的, 实况转播的
vi. 活, 生存, 居住
vt. 过着, 度过, 经历
adv. 实况地"
