pair,"n. 一双, 一对, 一副
v. (使)成对"
correct,"a. 正确的, 合适的
vt. 改正, 订正"
spelling,"n. 拼, 拼字, 拼法
"
word,"n. 话, 消息, 词, 诺言, 命令
vt. 用言辞表达
"
practise,"v. 实践, 实行, 练习, 实习, 从事(职业)"
match,"n. 比赛, 火柴, 对手
vt. 使相配, 使比赛, 与...竞争
vi. 结婚, 相配
"
meaning,"n. 意义, 含义, 目的, 意图
a. 意味深长的"
complete,"a. 完全的, 十足的, 完成的
vt. 完成, 完工, 使圆满"
sentence,"n. 句子, 命题, 宣判
vt. 宣判, 判决
"
dictionary,"n. 字典, 词典
"
grammar,"n. 语法学, 入门书
"
letter,"n. 信, 字母, 证书, 字面意义, 铅字, 学问, 出租人
vt. 写字母于, 在...上刻字母, 用字母标明
vi. 写印刷体字
"
look up,"v. 查找；查阅；探望；看望
"
mistake,"n. 错误, 误会
vi. 犯错, 误认
vt. 误解, 弄错
"
make a mistake,犯错误
understand,"vt. 理解, 了解, 领会, 听说, 懂
vi. 懂得, 认为"
advice,"n. 忠告, 劝告, 意见, 报道, 通知
"
should,"aux. 应该, 将要"
possible,"a. 可能的, 潜在的, 合适的
n. 可能性, 可能的事物"
write down,"na. 记下来；贬低；减低账面价值；把…拨作公积金
"
notebook,"n. 笔记本, 手册, 期票簿"
forget,"vt. 忘记, 忽略, 忘
vi. 忘记"
pronounce,"v. 发音, 宣告, 断言"
aloud,"adv. 出声地, 大声地"
radio,"n. 无线电, 收音机, 无线电报, 无线电广播, 无线电台
v. 用无线电发送"
pronunciation,"n. 发音, 读法"
key,"n. 钥匙, 键, 解答, 关键, 要害, 基调, 线索, 答案, 暗礁
vt. 调音, 锁上, 提供线索
vi. 使用钥匙
"
main,"n. 主要部分, 干线, 体力, 力量, 主群组
a. 主要的, 重要的, 全力的
"
excellent,"a. 优良的, 杰出的, 出色的"
agree,"vi. 同意, 赞成, 应允, 适合
vt. 承认, 认定, 同意"
agree with sb.,"同意…,与…意见一致;适应…"
vocabulary,"n. 词汇(量), 词汇表
"
ask for,"na. 要(价)；来找
"
improve,"vt. 改良, 提高...的价值, 改善, 利用
vi. 变得更好, 增加"
basic,"n. 基本原理, 要素, 基本规律
a. 基本的, 碱性的
(计算机)BASIC语言"
time,"n. 时间, 时侯, 时机, 时期, 期限, 次数, 节拍, 暂停, 规定时间
vt. 测定...的时间, 记录...的时间, 计时, 定时
a. 时间的, 记时的, 定时的, 定期的, 分期的
"
advise,"vt. 劝告, 给...出主意, 通知, 建议
vi. 提意见, 商量"
shy,"n. 惊跳, 惊避
a. 胆怯的, 畏缩的, 迟疑的, 羞怯的
vi. 惊退, 乱投, 乱掷, 厌恶, 避开
vt. 乱投, 乱掷"
conversation,"n. 会话, 说话, 交谈
"
quickly,adv. 很快地
natural,"n. 白痴
a. 自然的, 自然界的, 本能的, 天然的, 物质的, 正常的, 原始的, 自然数的"
suggest,"vt. 提议, 建议, 促成, 暗示, 启发, 使人想起
"
place,"n. 地方, 地点, 位置, 住所, 座位, 地位, 处境, 特权, 空间, 余地, 职务, 位
vt. 放置, 寄予, 认出, 评定, 任命
vi. 名次列前"
hill,"n. 小山, 丘陵, 小土堆
vt. 作成土堆, 堆成小丘"
population,"n. 人口, 人口数
"
wide,"a. 宽的, 广阔的, 普遍的, 宽阔的, 广泛的, 一般的
adv. 广阔地, 遍及各处地, 广泛地
n. 大千世界"
million,"n. 百万, 无数
num. 百万"
pretty,"a. 漂亮的, 优美的, 机灵的, 狡猾的, 恰当的
adv. 相当, 颇"
pretty good, 可以；不离儿
than,"conj. 比, 除...外
prep. 比"
get,"vt. 得到, 获得, 变成, 使得, 收获, 接通, 抓住, 染上
vi. 到达, 成为, 变得
n. (网球等)救球, 生殖, 幼兽
"
north,"n. 北方, 北
a. 北的, 北方的
adv. 向北方, 在北方"
south,"n. 南方, 南
a. 南的, 向南的
adv. 在南方
vi. 转向南方"
west,"n. 西方, 西部
a. 西方的, 向西的
adv. 向西, 自西方, 在西方"
home town,"故乡,家乡,祖国"
especially,"adv. 尤其, 特别, 格外"
be famous for,"因…而出名,以…着称"
university,n. 大学
island,"n. 岛, 岛屿, 孤立地区, 安全岛
vt. 使成岛状, 孤立"
area,"n. 区域, 面积, 范围, 空地
"
low,"n. 低点, 低价, 低, 牛叫声
a. 低的, 消沉的, 低等的, 浅的, 卑贱的
adv. 低下地, 谦卑地, 低
vi. 牛叫"
mountain,"n. 山, 山脉, 大堆"
countryside,"n. 乡下地方, 乡下居民"
umbrella,"n. 伞, 雨伞, 保护伞
a. 伞的, 包罗万象的
vt. 用伞遮掩"
baseball,"n. 棒球
"
volleyball,n. 排球
boring,"a. 烦人的, 无聊的, 无趣的
"
exciting,"a. 令人兴奋的, 刺激的
"
relaxing,a. 令人轻松的
score,"n. 得分, 抓痕, 二十个, 刻痕, 帐目, 乐谱, 起跑线, 终点线, 大量
vt. 刻划, 划线, 获得, 评价, 把...记下
vi. 刻痕, 记分, 得分
"
already,"adv. 已经, 早已"
matter,"n. 事件, 物质, 原因, 素材, 实体, 重要
vi. 有关系"
What's the matter ?,"na. 发生了什么事?
"
hurt,"n. 伤害, 创伤, 损害
v. 伤害, (使)伤心, 危害, 刺痛"
enjoyable,"a. 可从中得到乐趣的, 令人愉快的"
Olympics,n. 奥林匹克运动会
stadium,"n. 露天大型运动场
"
miss,"n. 失误, 避免, 失败, 小姐
vt. 未得到, 未达到, 未听到, 未觉察, 逃脱, 遗漏, 错过, 思念
vi. 失败, 击不中"
mind,"n. 思想, 愿望, 智力, 记忆, 心理, 情绪, 理智, 主意, 心意
vi. 介意, 注意, 留心
vt. 注意, 留意, 专心于, 照看, 介意"
