abase,"vt. 降低...的地位, 降低...的品格, 贬抑, 使谦卑"
abdicate,"vt. 正式放弃
vi. 退位, 退出, 辞职"
abolition,"n. 废除, 废奴运动
"
abreast,"adv. 并肩地, 并列地"
abstain,"vi. 自制, 戒绝, 弃权, 回避"
accede,"vi. 同意, 正式加入, 就任, 继任"
additive,"a. 添加的, 附加的, 加法的, 累积的
n. 添加物"
adept,"a. 熟练的, 老练的, 巧妙的
n. 能手, 内行"
aeronautics,"n. 航空学, 飞行术
"
affinity,"n. 吸引, 姻亲关系, 类同
"
airborne,"a. 升空的, 空运的, 空中传播的, 空降的"
akin,"a. 同类的, 同族的, 同源的"
allegation,"n. 断言, 主张, 申辩
"
allergic,"a. 对...过敏的, 极反感的
"
allot,"vt. 分配, 分摊指定
"
amber,"n. 琥珀, 琥珀色
a. 琥珀色的, 琥珀似的"
amphibian,"a. 两栖类的, 水陆两用的
n. 两栖动物, 水旱两生植物, 水陆两用飞机"
anabolism,"n. 合成代谢
"
anarchism,"n. 无政府主义
"
anatomy,"n. 剖析, 解剖学, 骨骼, 结构
"
anew,"adv. 重新, 再"
annex,"n. 附加物, 附属建筑物
vt. 附加, 盖(印), 并吞"
antagonist,"n. 敌手, 对手
"
anthropological,"a. 人类学的, 人类学上的"
anthropology,"n. 人类学
"
antibacterial,"a. 抗菌的
n. 抗菌剂"
appraise,"vt. 评价, 估价
"
apprehensive,"a. 惴惴不安的, 敏悟的, 知晓的"
aquatic,"n. 水生动物, 水生植物
a. 水生的, 水中的, 水上的"
archaeologist,n. 考古学家
arduous,"a. 费力的, 努力的, 险峻的"
arid,"a. 干燥的, 不毛的"
artifice,"n. 诡计, 技巧, 巧妙"
artillery,"n. 火炮, 炮兵, 炮术
"
arthritis,"n. 关节炎
"
ascribe,"vt. 归因于, 归咎于
"
aspiration,"n. 热望, 志向, 渴望
"
aspirin,"n. 阿斯匹林
"
assent,"n. 赞成
vi. 同意"
assort,"vt. 把...分类, 把...归为一类
vi. 协调, 交往"
astrology,"n. 占星术, 占星学"
astrophysicist,n. 天体物理学家
attentively,"adv. 注意地, 留心地"
authorize,"vt. 授权, 批准, 委托
"
avenge,"vt. 为...报复, 报仇"
backbone,"n. 脊椎, 志气, 骨干, 支柱
"
backdrop,"n. 背景幕, 背景"
baffle,"vt. 困惑, 为难, 使挫折
vi. 徒作挣扎
n. 迷惑, 挡板"
bakery,n. 面包店
barrenness,"n. 贫瘠, 不妊, 不孕, 不生育, 不毛, 荒芜, 思想贫乏, 空洞, 无用, 无聊
"
barter,"n. 物物交换, 实物交易
v. 物物交换, 交换"
berry,"n. 浆果
vi. 采集浆果"
besiege,"vt. 围攻, 包围"
biomedical,a. 生物医学
blanch,"vt. 漂白, 使变白
vi. 发白"
bland,"a. 温和的, 乏味的, 冷漠的
"
blockade,"n. 阻塞
vt. 封锁"
blockage,"n. 封锁, 妨碍
"
blot,"n. 污点, 墨水渍
vt. 乱涂, 使模糊, 吸干
vi. 弄上墨渍, 吸墨水"
bluff,"n. 断崖, 绝壁, 吓唬
a. 直率的
v. 吓唬, 欺骗"
bombard,"vt. 炮击, 攻击, 轰击
n. 射石炮"
bravery,n. 勇敢
breakout,"n. 爆发, 越狱, 突围
"
breakthrough,"n. 突破
"
brood,"n. 一窝, 一伙
vt. 孵, 沉思"
brotherhood,"n. 手足情谊, 兄弟关系"
Buddhist,"n. 佛教徒
a. 佛教的"
bust,"n. 半身像, 胸部, 失败, 殴打
vt. 使爆裂, 使破产
vi. 爆裂, 破产
"
by-product, 副产品，副产物
calamity,"n. 灾难, 不幸事件"
calculus,n. 结石；微积分学
