attract one's attention,无
destroy,"vt. 破坏, 毁坏, 消灭"
deadly,"a. 致命的, 致死的
adv. 非常, 如死一般地"
disappearance,"n. 看不见, 失踪, 消失"
agree on,"就…取得一致意见,商定"
asteroid,"n. 小行星, 海盘车
a. 星状的"
hydrogen,"n. 氢
"
bomb,"n. 炸弹
vt. 轰炸, 投弹于
vi. 失败"
create,"vt. 创造, 建造, 引起, 任命"
at least,"至少
"
entire,"n. 整个, 全部
a. 全体的, 完全的, 全部的"
block out,"na. 画略图；拟大纲；同“block in ”
"
organism,"n. 生物, 有机体, 社会组织
"
meteor,"n. 流星, 大气现象"
darkness,"n. 黑暗, 暗, 深色, 隐密, 模糊, 无知"
devastating,"a. 毁灭性的, (非正式)很好的, 引人注目的"
depend on,"依靠, 依赖"
constantly,"adv. 不变地, 不断地, 时常地"
hibernate,"vi. 过冬, 冬眠, 避寒"
therefore,"adv. 因此, 所以"
survive,"vt. 比...活得长, 生存, 生还, 幸免于
vi. 活下来, 幸存"
layer,"n. 层, 产卵鸡, 放置者
vt. 分层堆积, 压植
"
iridium,"n. 铱
"
element,"n. 元件, 元素, 要素
"
evidence,"n. 根据, 证据, 迹象
"
acid,"n. 酸, 酸类物质, 尖刻, 迷幻药
a. 酸的, 酸性的, 尖刻的, 敏锐的
"
as well as,"也, 又"
experience,"n. 经历, 经验, 体验
vt. 经历, 经验, 体验"
along with,"与…一道,与…一起,连同…"
reptile,"n. 爬行动物, 爬虫, 卑鄙的人
a. 爬行的, 爬虫类的, 卑鄙的"
allow,"vt. 允许, 同意给予, 承认
vi. 容许, 猜想
"
lizard,"n. 蜥蜴
"
lead to,"导致, 通向"
dominant,"a. 占优势的, 支配的
"
biodiversity,n. 生物多样性
fungi,"pl. 真菌, 突然发生而迅速生长的东西
"
towering,"a. 高耸的, 激烈的"
algae,"pl. 藻类, 海藻
"
microscope,"n. 显微镜
"
tropical,"a. 热带的, 热情的
"
temperate,"a. 温和的, 适度的, 有节制的, 温带的"
equator,"n. 赤道
"
diverse,"a. 不同的, 变化多的"
Quebec,n. 魁北克（加拿大港市省名）
adapt,"vt. 使适应, 改编
vi. 适应"
evolve,"vi. 进展, 进化, 展开
vt. 使发展, 使推断出, 使进化"
thrive,"vi. 繁荣, 兴旺, 茁壮成长
"
synonymous,"a. 同义词的, 同义的"
ecosystem,"n. 生态系统
"
stability,"n. 安定, 稳定性, 坚实, 巩固
"
resistance,"n. 抵抗力, 反抗, 耐力, 阻力, 电阻
"
invasion,"n. 侵犯, 侵入, 侵害
"
disturbance,"n. 扰乱, 不安, 忧虑
"
biome,n. 生物群落区
decompose,"v. 分解, (使)腐烂"
fertilize,"vt. 施肥, 使丰饶, 使受精"
pollen,"n. 花粉
vt. 传授花粉给"
chestnut,"n. 栗子, 栗树, 栗色
a. 栗色的"
blight,"n. 枯萎病
vt. 使染上枯萎病, 破坏
vi. 枯萎"
fiber,"n. 纤维, 构造, 纤维制品
"
pharmaceutical,"a. 药学的, 制药的, 药用的, 药物的, 药剂师的, 药师的
n. 药品, 成药, 药剂"
reliever,"n. 解除痛苦的人, 接替者, 救济者"
aspirin,"n. 阿斯匹林
"
bark,"n. 树皮, 吠声
vi. 吠, 叫骂
vt. 喊出, 剥树皮"
periwinkle,"n. 小长春花, 长春花, 玉黍螺"
Madagascar,n. 马达加斯加岛
extinct,"a. 熄灭的, 灭绝的, 耗尽的
"
belong to,属于
junkie,"n. 有毒瘾者, 废旧品商人"
reform,"n. 改革, 改正, 改造
vt. 改革, 改过, 革新, 重整
vi. 革新, 改过"
switch on,"v. 打开；接通；参见
"
view,"n. 视野, 风景, 见解, 视力, 观看, 视图, 指望, 意图, 印象
vt. 看, 考虑, 视察, 查看, 估量
"
cartoon,"n. 卡通画, 漫画
v. 画漫画"
comedy,"n. 喜剧, 有趣的事情"
pop,"n. 砰然声, 枪击, 含气饮料, 流行音乐, 通俗艺术
a. 流行的, 热门的, 通俗的
vt. 使发出爆裂声, 开枪打, 突然伸出
vi. 发出爆裂声, 射击, 突然出现, 瞪大
adv. 突然, 砰地
"
