shirt,"n. 衬衫, 内衣, 汗衫"
skirt,"n. 裙子, 下摆, 边缘, 郊区
vt. 位于...边缘, 绕过, 回避
vi. 位于边缘"
trousers,"pl. 裤子, 长裤"
sweater,"n. 毛衣, 毛线衫, 运动衫, 出汗者
"
this,"pron. 这, 本
a. 这, 本
adv. 这么"
these,pron. 这些
is,"be的现在式第三人称
"
are,be的现在时复数或第二人称单数
new,"a. 新的, 陌生的, 最近的, 不熟悉的
"
old,"n. 以前, 往昔
a. 老的, 旧的, 古老的, 年长的, 老练的"
it,"pron. 它
"
they,"pron. 他们, 它们"
coat,"n. 外套
vt. 外面覆盖, 给...穿外套"
cap,"n. 盖子, 帽子
vt. 戴帽子, 覆盖, 胜过
vi. 脱帽致意
"
Miss,"n. 失误, 避免, 失败, 小姐
vt. 未得到, 未达到, 未听到, 未觉察, 逃脱, 遗漏, 错过, 思念
vi. 失败, 击不中"
dress,"n. 服装, 覆盖物
vi. 穿着
vt. 给...穿衣, 整理"
shoe,"n. 鞋, 靴, 外胎
vt. 给...穿鞋, 为马钉蹄铁"
sock,"n. 短袜, 鞋垫, 一击
vt. 重击, 猛投, 给...穿袜
vi. 打击
adv. 正着地, 不偏不倚地
a. 非常成功的"
shorts,"n. 短裤, (美)男人的短衬裤
"
not,"adv. 不, 非, 未
"
day,"n. 天, 日子, 白天, 工作日
"
today,"n. 今天, 当今, 现在
adv. 今天, 当今"
week,"n. 星期, 周"
do,"v. 做, 进行, 完成"
my,"pron. 我的
"
homework,"n. 家庭作业, 家里做的工作
"
read,"v. 读, 阅读, 理解
a. 有学问的
n. 读取, 阅读
"
book,"n. 书, 书籍, 帐簿, 名册, 工作簿
v. 登记, 预订
"
watch,"n. 观察, 手表, 看守, 守护, 监视, 值班人
vt. 看, 注视, 照顾, 看守, 守护, 监视
vi. 观看, 注视, 守侯"
TV,"n. 电视；电视机
abbr. (=television)
"
bed,"n. 床, 睡眠处, 河床, 底座, 路基, 一层
vt. 提供宿处, 栽种, 安装
vi. 睡, 形成坚实的一层"
clean,"a. 干净的, 清白的, 简洁的
adv. 清洁地, 完全地
vt. 清理, 使干净, 出空
vi. 被搞干净
n. 打扫"
listen,"vi. 听, 倾听, 听从
n. 听, 倾听"
listen to,听
wash,"n. 洗, 洗涤, 冲洗, 洗的衣服, 冲积物, 洼地
vt. 洗, 洗涤, 洗清, 用水冲洗, 流过, 弄湿, 粉刷, 镀金属薄层于
vi. 洗涤, 洗澡, 被冲蚀, 漂浮"
face,"n. 脸, 面容, 正面, 外观
vt. 面对, 朝, 正视, 面临
vi. 朝, 向
"
toy,"n. 玩具, 小玩艺儿, 小型的东西, 消遣
a. 供玩耍的, 作为玩具的
vi. 玩弄, 戏弄, 调情"
ball,"n. 球, 舞会, 球状物
v. 捏成球形"
kite,"n. 风筝, 筝帆, 空头支票, 骗子
vi. 象风筝一样飞, 轻快地移动, 使用空头支票
vt. 使上升, 骗钱"
fly,"n. 苍蝇, 两翼昆虫, 飞行
vi. 飞, 飞翔, 飘扬, 逃走
vt. 飞, 飞越, 使飘扬, 逃出
a. 敏捷的"
play,"n. 游戏, 游玩, 玩笑, 运动, 比赛, 赌博, 跳动, 表演, 剧本
v. 玩, 游戏, 假装, 开玩笑, 比赛, 扮演, 演奏, 演戏, 传摇曳, (使)跳动
"
with,"prep. 和...在一起, 以, 由于"
play with,"和…一起玩耍,漫不经心地摆弄,玩弄"
school,"n. 学校, 鱼群, 门派, 学派
vt. 教育, 训练, 培养
vi. 成群地游"
classroom,n. 教室
library,"n. 图书馆, 藏书, 库
"
playground,"n. 运动场, 操场, 度假胜地, 活动场所"
where,"adv. 在哪里
pron. 哪里
n. 地点"
near,"a. 近的, 近亲的, 近似的
adv. 接近, 亲近
prep. 靠近, 近似于
v. 接近, 走近"
far,"a. 远的, 久远的, 遥远的
adv. 甚远地, 很, 到很深的程度, 到很远的距离"
from,"prep. 从, 来自, 根据"
far from,"远离, 远非"
the,art. 那
street,"n. 街道, 马路, 街区
a. 街道的"
bike,"n. 自行车, 脚踏车"
taxi,"n. 出租车
vi. 乘出租车
vt. 用出租车送"
car,"n. 汽车, 客车
"
bus,"n. 公共汽车
"
thirty,"num. 三十, 三十个"
