about,"prep. 在...周围, 大约, 有关, 关于
adv. 大约, 四处, 在附近, 周围"
activity,"n. 活动, 行动, 活跃, 活力
"
be,"v. 是, 表示, 在
"
best,"a. 最好的
adv. 最好地
n. 最好的人"
boring,"a. 烦人的, 无聊的, 无趣的
"
clothes,n. 衣服
country,"n. 国家, 乡村, 地区, 故乡
a. 乡下的, 农村的
"
jacket,"n. 夹克, 外套, 护套
vt. 给...穿夹克, 给...装护套"
love,"n. 爱, 恋爱, 爱情, 爱好, 性爱
vt. 爱, 爱好, 爱慕
vi. 爱"
many,"n. 多数, 多数人
a. 许多的
pron. 许多"
pig,"n. 猪, 猪肉, 贪婪的人, 猪一样的人
v. 生小猪, 象猪般地生活"
place,"n. 地方, 地点, 位置, 住所, 座位, 地位, 处境, 特权, 空间, 余地, 职务, 位
vt. 放置, 寄予, 认出, 评定, 任命
vi. 名次列前"
trousers,"pl. 裤子, 长裤"
uniform,"n. 制服
a. 统一的, 一律的, 始终如一的"
school uniform,校服
weather,"n. 天气, 气象, 处境
a. 迎风的
vt. 使受风吹雨打, 侵蚀, 使风化, 经受住
vi. 风化, 受侵蚀, 经受风雨"
year,"n. 年, 年度, 年龄
"
correct,"a. 正确的, 合适的
vt. 改正, 订正"
er,[医] 铒(68号元素)
half,"n. 一半, 半场, 不完全
a. 一半的, 不完全的, 部分的, 半场的
adv. 一半地, 部分地, 在某种程度上地, 几乎"
homework,"n. 家庭作业, 家里做的工作
"
midnight,"n. 午夜, 子夜, 半夜
a. 午夜的, 半夜的"
minute,"n. 分, 分钟, 片刻, 备忘录, 笔记
vt. 记录, 摘录, 测定时间
a. 微小的, 详细的"
o'clock,"n. ...点钟, 钟头"
slow,"a. 慢的, 缓慢的, 迟缓的, 迟钝的, 冷漠的, 落后的
adv. 慢地, 迟缓地
v. (使)慢下来"
strike,"n. 罢工, 打击, 殴打
vt. 打, 撞击, 冲击, 侵袭, 取消, 结算, 打掉, 罢工, 刺透, 使生根, 遇见
vi. 打, 打击, 抓, 罢工, 搏动, 触礁, 敲, 响, 穿透, 打动"
tick tock, [电影]激情风暴
watch,"n. 观察, 手表, 看守, 守护, 监视, 值班人
vt. 看, 注视, 照顾, 看守, 守护, 监视
vi. 观看, 注视, 守侯"
What time is it?,现在几点钟
American football,美国式足球
Chinese,"n. 中文, 中国话, 中国人
a. 中国的, 中国话的"
Chinese leaves,大白菜
classmate,n. 同班同学
cucumber,"n. 黄瓜
"
family name,"姓
"
fruit,"n. 水果, 果类, 结果
"
grape,"n. 葡萄, 葡萄树
"
group,"n. 团体, 组, 团, 群
v. 聚合, 成群
"
hmm,abbr. 隐马尔可夫模型（Hidden Markov Model）；Hardware Maintenance Manual；Hyundai Merchant Marine
hour,"n. 小时, 钟头, 时间, ...点钟, 课时"
L. A. Lakers,无
later,"adv. 以后, 随后"
maths,n. 数学
message,"n. 消息, 通讯, 讯息, 教训, 预言, 广告词
vt. 通知
vi. 通报, 报告, 报信
"
music,"n. 音乐, 乐曲"
over,"adv. 结束, 越过, 从头到尾
prep. 在...之上, 遍于...之上, 越过
a. 上面的
vt. 越过"
PE,"n. 体育（课）（全写为 physical education）
"
physical education,[医] 体育
pear,"n. 梨子, 梨树, 梨木
"
pepper,"n. 胡椒粉, 胡椒, 辣椒
"
pineapple,"n. 凤梨, 菠萝, 失业救济金
"
potato,n. 马铃薯
rat,"n. 鼠, 卑鄙的人, 破坏者, 变节者
vi. 捕鼠, 变节
vt. 弄蓬松"
science,"n. 科学, 学科, 学问, 自然科学
"
silly,"a. 愚蠢的, 糊涂的"
So what?,那又怎么样呢?那又有什么关系呢?
spider,"n. 蜘蛛, 设圈套者
"
subject,"n. 科目, 主题, 臣民, 主语, 题目, (事物的)经受者, 学科, 受治疗者, 原因, 理由
a. 服从的, 易患...的, 隶属的, 受支配的
adv. 在...条件下
vt. 使隶属, 使受到
"
