look like, 看起来与（某人或某物）相像[相似]; 很可能出现[引起]（某事、做某事）; 伣; 似
which,"pron. 哪一个, 那一个"
with,"prep. 和...在一起, 以, 由于"
glasses,n. 眼镜；双筒望远镜；玻璃（glass的复数形式）
her,"pron. 她的, 她"
know,"v. 知道, 了解, 认识, 确信"
him,pron. 他
policewoman,"n. 女警察
"
policewomen,n. 女警察( policewoman的复数形式 )
uniform,"n. 制服
a. 统一的, 一律的, 始终如一的"
its,pron. 它的
their,pron. 他们的
kind,"n. 种类, 性质, 方式
a. 亲切的, 仁慈的, 和蔼的"
What is ... like?,[网络] 怎么说；怎麽说；还是什么样
shy,"n. 惊跳, 惊避
a. 胆怯的, 畏缩的, 迟疑的, 羞怯的
vi. 惊退, 乱投, 乱掷, 厌恶, 避开
vt. 乱投, 乱掷"
round,"n. 圆, 圆形物, 巡回, 循环, 一轮, 一回合, 一局, 范围, 轮唱
a. 圆的, 球形的, 丰满的, 肥胖的, 完全的, 大概的, 完美的, 圆润的
prep. 围着, 附近, 绕过, 在...周围
adv. 围绕着, 在周围, 迂回地, 挨个, 朝反方向
vt. 弄圆, 使成圆形, 绕行, 完成, 围捕, 把...四舍五入
vi. 变圆, 发胖, 环行, 拐弯, 进展"
friendly,"a. 友好的, 亲切的, 互助的
adv. 友善地, 温和地"
daily,"a. 每日的, 日常的
adv. 每日地, 日常地
n. 日报"
routine,"n. 常规, 日常工作, 惯例, 例行公事
a. 日常的, 常规的
"
time,"n. 时间, 时侯, 时机, 时期, 期限, 次数, 节拍, 暂停, 规定时间
vt. 测定...的时间, 记录...的时间, 计时, 定时
a. 时间的, 记时的, 定时的, 定期的, 分期的
"
It's time to ..., 是 … 的时候了
It's time for ...,无
up,"a. 向上的, 起床的, 涨的
adv. 向上, 上涨
prep. 在...上面, 向...的较高处"
get up,"na. 起床；起身；站起来；叫…起床
"
o'clock,"n. ...点钟, 钟头"
half,"n. 一半, 半场, 不完全
a. 一半的, 不完全的, 部分的, 半场的
adv. 一半地, 部分地, 在某种程度上地, 几乎"
past,"n. 过去, 昔时, 往事, 早年经历, 过去时
a. 过去的, 结束的, 卸任的, 过去时的
prep. 越过, 晚于, 超越, 超出...的可能性(能力、范围等)
pass的过去分词"
half past ...,[网络] 点半；半点；踏半
quarter,"n. 四分之一, 一刻钟, 季度, 地区
vt. 四等分, 肢解
vi. 驻扎, 住宿"
to,"prep. 到, 向, 趋于
adv. 向前"
a quarter to ...,无
sleep,"n. 睡眠, 静止, 昏迷, 麻木, 长眠, 冬眠
vi. 睡觉, 睡眠, 静止
vt. 睡"
tired,"a. 疲累的, 疲乏的, 厌倦的"
lunch,n. 午餐
back,"a. 后面的
vt. 使后退, 支持
vi. 倒退, 背靠
adv. 向后地
n. 背部, 后面"
home,"n. 家, 避难所, 故乡
a. 家庭的, 国内的, 打中目标的
adv. 在家, 在本国, 打中目标地
"
dinner,"n. 晚餐, 正餐, 宴会"
teach,"vt. 教, 讲授, 教导, 教育
vi. 教书, 教学, 可以教"
paint,"n. 油漆, 颜料, 绘画作品, 涂漆
vt. 油漆, 绘, 画, 描绘, 装饰, 点缀
vi. 绘画, 涂漆"
have class,[网络] 上课；指上课；该上课了
