alphabet,"n. 字母
"
numbers,n. 数字（number的复数）；算术
name,"n. 名字, 名称, 姓名, 名义, 名誉, 文件名
vt. 命名, 称呼, 任命, 提名, 列举
a. 姓名的, 据以取名的
"
address,"n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
"
telephone number,[电] 电话号码
phone number,电话号码
name,"n. 名字, 名称, 姓名, 名义, 名誉, 文件名
vt. 命名, 称呼, 任命, 提名, 列举
a. 姓名的, 据以取名的
"
first name,"名
"
last name,姓
address,"n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
"
e-mail address,[网络] 电邮
telephone number,[电] 电话号码
phone number,电话号码
apartment number,无
fax number,n. 传真号码，传真机号
Hello.,"int. 喂；哈罗
n. 表示问候， 惊奇或唤起注意时的用语
n. (Hello)人名；(法)埃洛"
Hi.,[网络] 可移动磁盘
My name is ...,[网络] 我叫；我的名字是；我的名字叫
I'm ...,"na. 'im = him
"
Nice to meet you.,[网络] 很高兴见到你；很高兴认识你；见到你很高兴
Nice to meet you too.,无
pen,"n. 钢笔, 笔, 笔调, 笔杆子, 作家, 围栏, 栅栏, 禽畜
vt. 写, 关入栏中, 囚禁
vi. 动笔, 写作"
pencil,"n. 铅笔, 色笔, 眉笔, 画笔, 光线束
vt. 用铅笔写或涂, 草拟"
book,"n. 书, 书籍, 帐簿, 名册, 工作簿
v. 登记, 预订
"
desk,"n. 书桌, 办公桌, 工作台"
computer,"n. 电脑, 电子计算机
"
bank,"n. 银行, 堤, 岸
"
supermarket,"n. 超级市场
"
post office,"邮局
"
restaurant,"n. 餐馆, 饭店"
library,"n. 图书馆, 藏书, 库
"
living room,"客厅, 起居室"
dining room,饭厅
kitchen,"n. 厨房, 全套炊具
"
bedroom,n. 卧室
bathroom,"n. 浴室, 厕所"
pen,"n. 钢笔, 笔, 笔调, 笔杆子, 作家, 围栏, 栅栏, 禽畜
vt. 写, 关入栏中, 囚禁
vi. 动笔, 写作"
book,"n. 书, 书籍, 帐簿, 名册, 工作簿
v. 登记, 预订
"
pencil,"n. 铅笔, 色笔, 眉笔, 画笔, 光线束
vt. 用铅笔写或涂, 草拟"
notebook,"n. 笔记本, 手册, 期票簿"
bookshelf,n. 书架
globe,"n. 球, 球状物, 地球仪, 天体
v. (使)成球状"
map,"n. 地图, 天体图, 映像
vt. 映射, 绘制...地图, 计划
"
board,"n. 木板, 甲板, 膳食, 会议桌
vt. 乘船, 供膳食, 用板覆盖
vi. 搭伙
"
wall,"n. 墙, 墙壁, 垣, 内壁, 分界物, 屏障
a. 墙的
vt. 给...建墙, 禁闭, 用墙围住
"
clock,"n. 时钟, 计时器, (袜子上的)绣花边花
vt. 绣花样, 记时, 记录
vi. 记录时间
"
bulletin board,布告栏
computer,"n. 电脑, 电子计算机
"
table,"n. 桌子, 餐桌, 工作台, 铭文, 表格, 表, 高原, 平地层
vt. 搁置, 嵌合, 制表, 把...列入议事日程
"
chair,"n. 椅子, 显要的席位, 主席
vt. 使入座, 使就任要职"
ruler,"n. 统治者, 管理者, 尺, 直尺
n. 划线板
"
desk,"n. 书桌, 办公桌, 工作台"
dictionary,"n. 字典, 词典
"
living room,"客厅, 起居室"
dining room,饭厅
kitchen,"n. 厨房, 全套炊具
"
bedroom,n. 卧室
bathroom,"n. 浴室, 厕所"
attic,"n. 阁楼, 顶楼
"
yard,"n. 码, 庭院, 工场
"
garage,"n. 车库, 汽车修理厂, 机库
vt. 把车送入修车场"
basement,"n. 地下室, 墙脚
"
board,"n. 木板, 甲板, 膳食, 会议桌
vt. 乘船, 供膳食, 用板覆盖
vi. 搭伙
"
book,"n. 书, 书籍, 帐簿, 名册, 工作簿
v. 登记, 预订
"
bookshelf,n. 书架
bulletin board,布告栏
chair,"n. 椅子, 显要的席位, 主席
vt. 使入座, 使就任要职"
clock,"n. 时钟, 计时器, (袜子上的)绣花边花
vt. 绣花样, 记时, 记录
vi. 记录时间
"
computer,"n. 电脑, 电子计算机
"
desk,"n. 书桌, 办公桌, 工作台"
dictionary,"n. 字典, 词典
"
globe,"n. 球, 球状物, 地球仪, 天体
v. (使)成球状"
map,"n. 地图, 天体图, 映像
vt. 映射, 绘制...地图, 计划
"
notebook,"n. 笔记本, 手册, 期票簿"
pen,"n. 钢笔, 笔, 笔调, 笔杆子, 作家, 围栏, 栅栏, 禽畜
vt. 写, 关入栏中, 囚禁
vi. 动笔, 写作"
pencil,"n. 铅笔, 色笔, 眉笔, 画笔, 光线束
vt. 用铅笔写或涂, 草拟"
ruler,"n. 统治者, 管理者, 尺, 直尺
n. 划线板
"
table,"n. 桌子, 餐桌, 工作台, 铭文, 表格, 表, 高原, 平地层
vt. 搁置, 嵌合, 制表, 把...列入议事日程
"
wall,"n. 墙, 墙壁, 垣, 内壁, 分界物, 屏障
a. 墙的
vt. 给...建墙, 禁闭, 用墙围住
"
attic,"n. 阁楼, 顶楼
"
basement,"n. 地下室, 墙脚
"
bathroom,"n. 浴室, 厕所"
bedroom,n. 卧室
dining room,饭厅
garage,"n. 车库, 汽车修理厂, 机库
vt. 把车送入修车场"
kitchen,"n. 厨房, 全套炊具
"
living room,"客厅, 起居室"
yard,"n. 码, 庭院, 工场
"
bank,"n. 银行, 堤, 岸
"
hospital,"n. 医院
"
library,"n. 图书馆, 藏书, 库
"
movie theater,电影院
park,"n. 公园, 停车处
vt. 停车, 置于
vi. 停车"
post office,"邮局
"
restaurant,"n. 餐馆, 饭店"
supermarket,"n. 超级市场
"
zoo,n. 动物园
Hi. How are you?,无
Fine. And you?,无
"Fine, thanks.",无
eating,"n. 吃, 食物
a. 侵蚀的, 腐蚀性的"
drinking,"n. 喝, 喝酒"
cooking,"n. 烹饪
"
reading,"n. 阅读, 知识, 读物
a. 阅读的"
studying,v. 学习；研究（study的ing形式）
teaching,"n. 教学, 学说, 教导"
singing,"n. 歌唱, 歌声
"
sleeping,"n. 睡眠
a. 睡着的"
swimming,"n. 游泳, 眩晕"
planting,"n. 种植, 栽培, 播种, 人工林, 花圃, 苗圃"
watching TV, 看电视
listening to music,无
playing cards,"un. 打克牌
"
playing baseball,无
playing the piano,无
cooking dinner,[网络] 做饭；做晚餐；正在做饭
drinking milk,[网络] 喝牛奶比赛
drinking lemonade,无
eating breakfast,无
eating lunch,无
eating dinner,无
listening to music,无
listening to the radio,无
planting flowers,无
playing cards,"un. 打克牌
"
playing baseball,无
playing the guitar,无
playing the piano,无
reading a book,无
reading the newspaper,无
singing,"n. 歌唱, 歌声
"
sleeping,"n. 睡眠
a. 睡着的"
studying English,无
swimming,"n. 游泳, 眩晕"
teaching,"n. 教学, 学说, 教导"
watching TV, 看电视
In the kitchen?,无
brushing,
