abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
abbreviate,"vt. 缩写, 使...简略, 缩短
vi. 使用缩写词"
abnormal,"a. 反常的, 不规则的, 变态的, 畸形的
n. 畸形的人"
abolition,"n. 废除, 废奴运动
"
abort,"vi. 流产, 中途失败
vt. 使流产, 使失败, 使中止"
abound,"vi. 大量存在, 富于, 充满"
abrasion,"n. 磨擦, 磨损, 磨损处
"
abreast,"adv. 并肩地, 并列地"
abrupt,"a. 突然的, 唐突的, 陡峭的, 不连贯的"
absence,"n. 缺席, 缺乏, 没有
"
absolutely,"adv. 完全地, 绝对地, 确确实实地"
absorb,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担
"
abstract,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
"
absurd,"a. 荒谬的, 不合理的, 可笑的
n. 荒诞"
abundant,"a. 丰富的, 充分的, 大量的"
academy,"n. 学院, 院校, 学会"
accelerate,"v. 加速, 促进"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
accessible,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的"
accessory,"n. 附件, 零件, 附加物, 从犯, 同谋
a. 附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的
"
acclaim,"n. 喝彩, 欢呼, 赞同
v. 欢呼, 喝彩, 称赞"
accommodate,"vt. 使适应, 调和, 通融, 容纳, 向...提供
vi. 适应"
accompany,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱"
accomplish,"vt. 完成, 达到, 实现, 使完美"
accomplished,"a. 完成的, 实现的, 有造诣的, 熟练的, 善社交的"
accord,"n. 一致, 调和, 协定
vt. 给与, 使一致
vi. 相符合"
account,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目
vi. 报帐, 解释, 导致, 报偿, 占, 杀死
vt. 认为
"
accumulate,"v. 积聚, 堆积"
accuracy,"n. 精确, 正确
"
accurate,"a. 正确的, 精确的
"
accuse,"vt. 指责, 控告, 归咎于
vi. 指责, 控告"
accustom,vt. 使习惯于
acid,"n. 酸, 酸类物质, 尖刻, 迷幻药
a. 酸的, 酸性的, 尖刻的, 敏锐的
"
acknowledge,"vt. 承认, 告知收悉, 答谢, 报偿
"
acoustic,"a. 听觉的, 声学的, 音响的
"
acquaint,"vt. 使认识, 介绍"
acquire,"vt. 获得, 学到
"
acting,"n. 演戏, 装腔作势
a. 代理的, 演出用的, 起作用的"
action,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼
vt. 对...起诉
"
activity,"n. 活动, 行动, 活跃, 活力
"
acute,"a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的
"
adapt,"vt. 使适应, 改编
vi. 适应"
additional,"a. 附加的, 另外的, 额外的
"
additive,"a. 添加的, 附加的, 加法的, 累积的
n. 添加物"
address,"n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
"
adequate,"a. 适当的, 足够的
"
adhere,"vi. 依附, 粘着, 坚持, 追随, 拥护
vt. 使粘附"
adhesive,"a. 粘着的, 涂有粘性物质的
n. 粘合剂, 橡皮膏"
adjacent,"a. 毗连的, 邻近的, 连接的
"
adjunct,"n. 附属物, 附件, 助手, 修饰语
a. 附属的"
adjust,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应"
administer,"vt. 管理, 料理, 执行
vi. 执行遗产管理人的职责, 给予帮助"
admire,"vt. 赞美, 钦佩, 爱慕
vi. 称赞, 惊奇"
admission,"n. 准许进入, 入场费, 录用, 承认
"
admit,"vt. 承认, 接受, 允许进入, 容许
vi. 开向, 容许, 承认"
adobe,"n. 风干土坯
"
adolescence,"n. 青春期
"
adopt,"vt. 采用, 正式通过, 收养, 接受
"
adorn,"vt. 装饰, 使生色"
advanced,"a. 在前的, 高级的, 先进的, 年老的
"
advent,"n. 来到, 来临"
adventure,"n. 冒险, 冒险经历
v. 冒险"
adverse,"a. 不利的, 敌对的, 相反的, 逆的
"
advertise,"vt. 做广告, 通知, 公布
vi. 做广告"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
aerial,"a. 空中的, 航空的, 空气的, 空想的
n. 天线"
aerobic,"a. 需氧的, 需氧菌产生的, 增氧健身法的
"
aesthetic,"a. 美学的, 审美的, 有美感的"
affection,"n. 影响, 病, 喜爱, 情感, 倾向
"
affirm,"v. 断言, 确认"
afflict,"vt. 使苦恼, 折磨"
afford,"vt. 买得起, 足以, 给予"
agency,"n. 代理机构, 经销商, 中介
"
aggregate,"n. 合计, 总计, 聚集体
a. 合计的, 聚集的
v. 聚集, 集合, 合计达
"
aggressive,"a. 侵略的, 挑畔的, 进取的
"
agreeable,"a. 令人愉快的, 同意的
"
airborne,"a. 升空的, 空运的, 空中传播的, 空降的"
alarm,"n. 惊恐, 警报, 警钟
vt. 使惊恐, 警告
"
alchemist,"n. 炼金术士
"
alert,"a. 警觉的, 灵敏的, 留心的
n. 警报
vt. 使警觉, 通知, 使意识到"
alga,"n. 藻类, 海藻
"
algebra,n. 代数学
alien,"n. 外国人, 外侨
a. 外国的, 相异的"
alkali,"n. 碱
a. 碱性的"
allay,"vt. 使平静, 使缓和"
allegory,n. 寓言
allergy,"n. 变应性, 反感, 厌恶
"
alleviate,"vt. 减轻, 使缓和"
allocation,"n. 配置, 分配, 拨给
"
alloy,"n. 合金
vt. 将...铸成合金, 减低成色
vi. 合铸"
alphabet,"n. 字母
"
alter,v. 改变
alternate,"a. 交替的, 轮流的, 间隔的
v. 轮流, (使)交替"
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
"
altitude,"n. 高度, 海拔, 高处
"
aluminum,"n. 铝
"
alumnus,"n. 男毕业生, 男校友"
amass,"vt. 积聚, 堆积"
amateur,"n. 业余爱好者, 外行, 爱好者
"
amid,"prep. 在其间, 在其中
"
amino,"a. 氨基的
"
ammonia,"n. 氨水, 阿摩尼亚
"
