private,"a. 私人的, 秘密的, 私立的, 隐蔽的
n. 士兵, 隐士, 阴部
"
conversation,"n. 会话, 说话, 交谈
"
theatre,"n. 戏院, 电影院, 剧场, 全体观众, 戏剧, 戏剧效果, 阶梯式讲堂, 场所"
seat,"n. 座, 座位, 位子, 席位, 所在地
vt. 使坐下, 使就座, 为...设座于, 使就职
vi. 安装在底座上"
play,"n. 游戏, 游玩, 玩笑, 运动, 比赛, 赌博, 跳动, 表演, 剧本
v. 玩, 游戏, 假装, 开玩笑, 比赛, 扮演, 演奏, 演戏, 传摇曳, (使)跳动
"
loudly,"adv. 高声地, 大声地, 吵闹地"
angry,"a. 生气的, 愤怒的"
angrily,adv. 愤怒地
attention,"n. 注意, 注意力
"
bear,"n. 熊
vt. 忍受, 支承, 产生, 怀有, 通过卖空使跌价
vi. 忍受, 结果实, 压挤, 行进, 转向"
business,"n. 生意, 事情, 业务, 商业, 商行, 职责
"
rudely,"adv. 无礼地, 粗鲁地, 粗陋地"
until,"prep. 直到, 在...以前
conj. 直到...时, 在...以前"
outside,"n. 外面, 外表, 外界
a. 外面的, 外表的, 外界的
adv. 外面, 外表, 外界"
ring,"n. 环, 环形物, 拳击场, 戒指, 角逐, 小集团, 铃声, 钟声, 声调
vt. 包围, 套住, 按铃, 敲钟
vi. 成环形, 响, 鸣, 按铃, 敲钟, 回响"
aunt,"n. 阿姨, 姨妈, 舅妈, 姑妈, 伯母"
repeat,"n. 重复, 反复
vt. 重做, 重复, 复述, 使再现, 复制
vi. 重复
"
send,"vt. 发送, 使进入, 寄, 派遣, 发射, 使陷于
vi. 寄信, 派人, 播送
n. (船的)上升运动
"
postcard,n. 明信片
spoil,"n. 战利品, 赃物, 奖品, 变质, 次品
vt. 损坏, 破坏, 溺爱
vi. 腐坏, 掠夺"
museum,n. 博物馆
public,"n. 公众, 民众
a. 公众的, 公共的, 公立的, 公用的"
friendly,"a. 友好的, 亲切的, 互助的
adv. 友善地, 温和地"
waiter,n. 侍者
lend,"vt. 借, 贷款给, 增添, 提供, 出租
vi. 贷款"
decision,"n. 决定, 决心, 决断
"
whole,"n. 全部, 全体, 整体, 完全之体系
a. 所有的, 完整的, 完全的, 纯粹的"
single,"a. 单身的, 单程的, 单一的, 个别的, 孤独的, 专一的
n. 一个, 单打, 单程票
vt. 选出
vi. 击出一垒打
"
exciting,"a. 令人兴奋的, 刺激的
"
receive,"vt. 收到, 接到, 得到, 接待, 迎接, 承受
vi. 收到, 会客
"
firm,"n. 公司, 商号
a. 坚定的, 坚强的, 牢固的, 结实的, 坚硬的, 坚挺的, 严格的, 确定的
vt. 使牢固, 使坚定
vi. 变稳固, 变坚实
adv. 稳固地"
different,"a. 不同的
"
centre,"n. 中心, 中心点, 中锋
a. 中央的, 位在正中的
vt. 集中, 定中心
vi. 居中"
abroad,"adv. 往国外, 到室外, 到处
a. 往国外的, 在室外的, 广泛四散的"
pigeon,"n. 鸽子, 易上当受骗的人, 年轻女子"
message,"n. 消息, 通讯, 讯息, 教训, 预言, 广告词
vt. 通知
vi. 通报, 报告, 报信
"
cover,"n. 盖子, 封面, 藉口
vt. 覆盖, 掩饰, 保护, 掩护, 包括
vi. 覆盖"
distance,"n. 距离, 远方, 遥远
"
request,"n. 请求, 需要, 申请书
vt. 请求, 要求, 邀请
"
spare part,备件
service,"n. 服务, 贡献, 雇佣, 公职, 服役, 功劳, 仪式, 送达, 行政部门
vt. 保养, 维修
a. 武装部队的, 服务性的, 仆人的, 耐用的
"
beggar,"n. 乞丐
vt. 使贫穷, 使成乞丐"
food,"n. 食物, 养料
"
pocket,"n. 口袋, 钱袋, 钱, 容器
vt. 装...在口袋里, 隐藏, 抑制, 私吞, 搁置, 击...入袋
a. 袖珍的, 小型的, 压缩的, 金钱上的"
call,"n. 呼叫, 访问, 打电话, 号召, 召集, 要求
vt. 呼叫, 召集, 打电话
vi. 叫喊, 访问, 叫牌
"
detective,"n. 侦探
a. 侦探的"
airport,"n. 飞机场
"
expect,"vt. 预期, 盼望, 期待"
valuable,"a. 有价值的, 贵重的, 宝贵的, 可估价的
"
parcel,"n. 包裹, 部分, 片
vt. 分配, 打包
a. 部分的
adv. 局部地"
diamond,"n. 钻石, 菱形
"
steal,vt. 剽窃；偷偷地做；偷窃；vi. 窃取；偷偷地行动；[棒球]偷垒；n. [口]偷窃；便宜货；偷垒；[篮球]断球
main,"n. 主要部分, 干线, 体力, 力量, 主群组
a. 主要的, 重要的, 全力的
"
airfield,n. 飞机场
guard,"n. 守卫者, 警戒, 护卫队, 防护装置
vt. 保卫, 看守, 当心
vi. 防止, 警惕, 警卫, 看守"
precious,"a. 宝贵的, 珍贵的, 过于精致的, 珍爱的"
stone,"n. 石头, 宝石, 果核, 纪念碑, 结石
vt. 投扔石子, 铺石头
a. 石的, 石制的, 完全的"
