bear,"n. 熊
vt. 忍受, 支承, 产生, 怀有, 通过卖空使跌价
vi. 忍受, 结果实, 压挤, 行进, 转向"
forest,"n. 森林, 林区
vt. 植树于"
there,adv. 在那里
house,"n. 房子, 住宅, 机构, 议院, 家族, 家庭
vt. 给...房子住, 收藏
vi. 住, 躲藏"
soup,"n. 汤, 马力
vt. 加速, 增加马力"
just right," 恰好, 正好; 不失毫厘; 不差毫发; 初写黄庭"
room,"n. 房间, 空位, 场所
vi. 住宿, 居住
vt. 留宿"
hard,"a. 坚硬的, 硬的, 难的, 艰苦的, 困难的, 坚固的, 猛烈的, 艰难的, 结实的, 确实的
adv. 坚硬地, 努力地, 辛苦地, 接近地, 猛烈地, 牢固地"
soft,"a. 软的, 温和的, 柔和的, 柔滑的, 温柔的, 软弱的, 坡度小的, 笨的, 纸币的
n. 柔软的东西, 笨人, 纸币
adv. 柔软地, 温和地"
afraid,"a. 害怕的, 恐怕的, 遗憾的"
in front of,在...前面
her,"pron. 她的, 她"
Help!,"n. 帮忙, 帮助者, 补救办法, 有益的东西
vt. 帮助, 帮忙, 接济, 治疗, 款待
vi. 有用, 救命, 招待
"
beside,prep. 在旁边
between,prep. 在...之间
really,"adv. 实际上, 真实地, 实在"
then,"adv. 然后, 当时
conj. 然后, 当时
n. 那时"
find,"vt. 发现, 感到, 找到, 认为, 得到
vi. 裁决
n. 发现
"
their,pron. 他们的
student,"n. 学生, 研究者, 学者"
show ... around,"v. 带…参观
"
classroom,n. 教室
second,"n. 秒, 瞬间, 第二名, 支持者, 助手
a. 第二的, 其次的, 次要的, 附加的, 辅助的
num. 第二
vt. 当...助手, 支持"
floor,"n. 地板, 楼层, 底部, 底价
vt. 铺地板, 打倒
n. 地面, 地板, 基底
"
computer,"n. 电脑, 电子计算机
"
third,"num. 第三, 三分之一
"
first,"adv. 首先, 第一, 优先
a. 第一的
num. 第一
n. 开始, 第一"
swing,"n. 摇摆, 振幅, 音律, 节奏, 涨落, 秋千, 旋转, 行动自由
vi. 摇摆, 悬挂, 旋转, 大摇大摆地走, 转向
vt. 挥舞, 使旋转, 使转向, 悬挂, 吊运
a. 旋转的, 悬挂的, 强节奏爵士音乐的"
push,"n. 推, 推动, 奋斗, 攻击, 进取心
vt. 推, 推动, 使伸出, 推行, 逼迫, 增加
vi. 推, 推进, 增加, 努力争取"
heavy,"a. 重的, 巨大的, 沉重的, 笨重的, 过度的
adv. 沉重地
n. 重物, 严肃角色"
stop,"n. 停止, 车站, 逗留, 填塞, 障碍, (风琴的)音栓
vi. 停止, 被塞住
vt. 塞住, 堵塞, 阻止, 击落, 停止, 终止, 断绝"
high,"n. 高度, 高处
a. 高的, 高级的, 主要的, 高尚的, 高原的, 高音的, 昂贵的, 傲慢的
adv. 高度地, 奢侈地"
great,"a. 大的, 非常的, 主要的, 重大的, 崇高的, 伟大的
adv. 顺利地, 得意地
n. 全部, 大人物, 大师"
"one ..., the other ...",[网络] 一个…另一个；其他中的一个；一套的
body,"n. 身体, 人, 尸体, 主要部分, 团体
vt. 赋以形体
"
no,"n. 不, 拒绝, 否决票
a. 没有, 不是, 绝非
adv. 不"
leg,"n. 腿, 假腿, 路程
vi. 走, 跑"
or,"conj. 或, 或者
"
arm,"n. 手臂, 袖子, 狭长港湾, 武器
vt. 武装, 装备
vi. 武装起来
"
wing,"n. 翅膀, 翼, 机翼, 派别
vt. 给...装上翼, 飞过, 使飞, 空运, 增加...速度
vi. 飞行"
foot,"n. 脚, 步调, 英尺, 底部, 末尾, 步兵
vt. 走在...上, 给...换底, 支付
vi. 跳舞, 步行, 总计"
rabbit,"n. 兔子
vi. 猎兔
vt. 让...见鬼去"
give,"n. 弹性, 适应性
vt. 给, 授予, 供给, 产生, 发表, 付出, 献出, 让出
vi. 捐赠, 支持不住, 让步"
finger,"n. 手指, 指状物, (手套的)手指部分, 指针
v. 用手指拨弄, 伸出
"
hobby,"n. 嗜好, 癖好, 爱好"
be good at,擅长
with,"prep. 和...在一起, 以, 由于"
also,"adv. 也, 并且, 同样地"
read,"v. 读, 阅读, 理解
a. 有学问的
n. 读取, 阅读
"
story,"n. 故事, 小说, 传奇, 描述, 阅历, 经历, 层"
a lot of,许多的
play the piano, 弹钢琴
dance,"n. 跳舞, 舞蹈, 舞会
v. 跳舞"
watch films,无
both,"a. 两者的
adv. 两者都
pron. 两者"
sing,"vi. 唱, 唱歌, 演唱, 鸣, 啼
vt. 唱, 歌颂
n. 嗖嗖声"
group,"n. 团体, 组, 团, 群
v. 聚合, 成群
"
about,"prep. 在...周围, 大约, 有关, 关于
adv. 大约, 四处, 在附近, 周围"
idea,"n. 主意, 办法, 理想, 思想, 概念, 意见
"
ice,"n. 冰, 冰淇淋, 糖衣, 冷若冰霜, 矜持, 贿赂
vt. 使结冰, 冰镇, 覆以糖衣
vi. 结冰"
hole,"n. 孔, 洞, 穴, 漏洞
vt. 挖洞, 掘坑
vi. 进洞, 凿洞"
Look out!,"na. 挑选；注意；看外头；展望 (on；over)
"
wet,"n. 湿气, 潮湿, 水分, 雨天
a. 湿的, 潮的, 搞错的, 下雨的, 反对禁酒的
vi. 变湿
vt. 使...湿"
teacher,"n. 教师, 老师, 导师"
teach,"vt. 教, 讲授, 教导, 教育
vi. 教书, 教学, 可以教"
writer,"n. 作家, 撰稿者, 抄写员
"
write,"vt. 书写, 著述, 写, 写满, 写信给
vi. 写, 写字, 写信, 写作, 作曲
"
work,"n. 工作, 劳动, 职业, 行为, 功, 作品, 成果, 产品, 工程
vi. 工作, 劳动, 做, 运转, 起作用, 被加工
vt. 使工作, 使转动, 开动, 使用, 经营, 使逐渐变得, 造成"
