indicate,"vt. 显示, 象征, 指示, 指出
"
region,"n. 区域, 地带, 地区, 领域, 范围, 区
"
fossil,"n. 化石, 古物
a. 化石的, 陈腐的, 守旧的"
essential,"n. 要素, 要点, 本质
a. 必要的, 重要的, 本质的
"
atmosphere,"n. 大气, 空气, 气氛
"
organism,"n. 生物, 有机体, 社会组织
"
element,"n. 元件, 元素, 要素
"
predator,"n. 食肉动物, 掠夺者
"
agriculture,"n. 农业
"
structure,"n. 结构, 构造, 建筑物
vt. 构成, 组织"
sediment,"n. 沉淀物, 沉积
"
stream,"n. 水流, 小河, 流出, 趋势, 人潮
vt. 流出, 流动, 展开
vi. 流, 涌, 飘扬
"
glacier,n. 冰川
available,"a. 可利用的, 可获得的, 有效的
"
deposit,"n. 存款, 定金, 堆积物
vt. 存放, 堆积
vi. 沉淀"
relatively,"adv. 相对地, 比较地, 相当地, 相关地
"
characteristic,"n. 特性, 特征, 特色
a. 特性的, 特有的, 有特色的
"
extinction,"n. 消失, 消灭, 废止
"
establish,"vt. 建立, 确立, 制定
vi. 移植生长"
generally,"adv. 通常, 逐渐地, 普遍地"
formation,"n. 形成, 构造, 编队
"
evolve,"vi. 进展, 进化, 展开
vt. 使发展, 使推断出, 使进化"
complex,"n. 综合体, 情结, 络合物
a. 复杂的, 组合的"
feature,"n. 面孔的一部分(如眼、口等), 特征, 容貌, 特色, 特写
vt. 是...的特色, 特写, 放映
vi. 起重要作用
"
significant,"a. 重要的, 有效的, 有含义的, 暗示的, 值得注意的"
construction,"n. 建筑, 构造, 建筑物
"
marine,"n. 舰队, 水兵, 海景画
a. 海的, 海产的, 海底的, 船舶的, 海运的"
pottery,"n. 陶器, 陶器厂
"
locate,"vt. 找出, 设于, 位于
vi. 定居"
mineral,"n. 矿物, 无机物, 苏打水
a. 矿物的, 似矿物的"
grain,"n. 谷粒, 颗粒, 谷类, 纹理, 本质
v. (使)成谷粒"
maintain,"vt. 维持, 维修, 保持, 坚持, 供养, 主张
"
mammal,"n. 哺乳动物
"
continent,"n. 大陆, 洲
a. 自制的"
origin,"n. 起源, 起因, 出身, 开端
"
primarily,"adv. 主要地, 首先地"
volcanic,"a. 火山的, 猛烈的
n. 火山岩"
particle,"n. 颗粒, 粒子, 质点, 极小量
"
settlement,"n. 安顿, 解决, 处理, 结算, 殖民, 殖民地, 沉降
"
introduce,"vt. 介绍, 引入, 采用, 输入
"
researcher,n. 研究人员
canal,"n. 运河, 水道, 管, 沟渠
vt. 开运河"
hypothesis,"n. 假设
"
crater,"n. 火山口, 环行山, 弹坑
"
survive,"vt. 比...活得长, 生存, 生还, 幸免于
vi. 活下来, 幸存"
transportation,"n. 运输, 输送, 交通车辆
"
rub,"n. 摩擦, 困难, 障碍, 磨损处
vt. 擦, 搓, 摩擦, 惹怒
vi. 摩擦, 擦破"
rural,"a. 乡下的, 田园的, 乡村风味的
"
civilization,"n. 文明, 教化
"
colony,"n. 殖民地, 移民队
"
eventually,"adv. 最后, 终于"
craft,"n. 技艺, 手艺, 诡计
vt. 精心制作"
addition,"n. 加法, 增加的人(或物)
"
particularly,"adv. 特别, 格外, 尤其, 详细地, 细致地"
infant,"n. 婴儿, 儿童, 初学者
a. 婴儿的, 幼稚的"
meteorite,"n. 陨星
"
extend,"v. 扩充, 延伸, 伸展, 扩大
"
emphasize,"vt. 强调, 加强语气, 着重"
represent,"vt. 表现, 表示, 描绘, 讲述, 代表, 象征, 回忆, 再赠送, 再上演
vi. 提出异议"
groundwater,n. 地下水
explanation,"n. 解释, 说明, 辩解, 表明
"
preserve,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
decline,"n. 衰退, 跌落, 下降
vt. 使降低, 婉谢
vi. 下降, 衰落, 偏斜"
composition,"n. 作文, 创作, 组成
"
commercial,"a. 商业的, 商用的, 商品化的
n. 商业广告节目"
terrestrial,"n. 地球上的人
a. 地球的, 陆生的, 陆地的, 人间的"
bacteria,"pl. 细菌
"
internal,"a. 内在的, 国内的
"
interior,"n. 内部, 内政
a. 内部的, 心灵的, 内地的, 内政的"
landscape,"n. 风景, 山水, 风景画
vi. 从事景观美化
vt. 美化...景观
"
evolution,"n. 进化, 发展, 进展, (气体)放出, 开方
"
imply,"vt. 暗示, 意味
"
estimate,"n. 估计, 判断
vt. 估计, 评价, 判断
vi. 估计"
substance,"n. 物质, 实质, 主旨, 资产, 本质, 牢固
"
yawn,"n. 哈欠
vi. 打哈欠, 裂开
vt. 打着哈欠说"
prey,"n. 被掠食者, 牺牲者
vi. 捕食"
galaxy,"n. 银河, 星系, 一群(显赫的人物)
"
recognize,"vt. 认出, 认可, 承认, 公认, 识别, 赏识
vi. 承认, 具结"
diversity,"n. 差异, 多样性
"
communication,"n. 交流, 交通, 通讯
"
gradually,adv. 逐渐地
observation,"n. 观察, 注意, 观测, 观察力
"
core,"n. 核心, 果心, 要点
vt. 挖...的核
"
concentration,"n. 集中, 专心
"
environmental,"a. 周围的, 环境的
"
colonial,"a. 殖民的, 殖民地的
"
reveal,"vt. 露出, 显示, 透露, 揭露, 泄露, (神)启示
n. 窗侧, 门侧"
ecosystem,"n. 生态系统
"
erosion,"n. 腐蚀, 冲蚀, 侵蚀
"
crystal,"n. 水晶, 水晶装饰品, 结晶
a. 水晶的, 水晶一样的, 透明的"
difficulty,"n. 困难, 难点"
demonstrate,"vt. 示范, 证明
vi. 示威"
extensive,"a. 广的, 广泛的, 多方面的
"
property,"n. 财产, 所有权, 性质, 属性
"
nutrient,"a. 营养的, 滋养的
n. 营养物, 滋养物"
cultural,"a. 文化的, 教养的, 修养的
"
shift,"n. 变化, 移动, 轮班, 手段, 应急办法, 移位
vt. 替换, 转移, 改变, 推卸, 变速
vi. 转换, 移动, 转变, 推托, 变速
"
generate,"vt. 产生, 发生, 导致
"
adaptation,"n. 适应, 改编, 改编本
"
vegetation,"n. 植物
"
glacial,"a. 冰的, 冰川的, 冰川时代的, 冰冷的
"
vessel,"n. 船, 容器, 脉管
"
abundance,"n. 丰富, 充足, 大量
"
dominate,"v. 支配, 占优势"
traditional,"a. 传统的, 惯例的
"
continental,"a. 大陆的, 洲的
n. 欧洲大陆人"
evolutionary,"a. 展开的, 进化论的, 进化的, 发展的
"
widely,adv. 广泛地
inhabitant,"n. 居民, 居住者
"
characterize,"vt. 描绘...的特性, 刻划...的性格"
trail,"n. 踪迹, 痕迹, 一串, 尾部, 小径, 持枪姿势
vt. 拖, 尾随, 追踪, 落后于, 开出路
vi. 拖曳, 垂下, 落后, 飘出, 蔓生"
tropical,"a. 热带的, 热情的
"
artistic,"a. 艺术的, 艺术家的, 富有艺术性的"
tradition,"n. 传说, 传统, 交付
"
crust,"n. 外壳, 坚硬外皮, 面包皮
vt. 盖以硬皮
vi. 结硬皮"
emerge,"vi. 浮现, 形成, 出现, (事实)显露"
raw,"n. 擦伤处, 半成品
a. 生的, 未加工的, 生疏的, 不成熟的, 阴冷的, 刺痛的, 擦掉皮的
vt. 擦伤
"
sequence,"n. 序列, 续发事件, 顺序, 连续
vt. 按顺序排好
"
similarity,"n. 类似, 类似处
"
manufacture,"n. 产品, 制造
vt. 制造, 假造
vi. 制造"
promote,"vt. 促进, 晋升, 创办, 推销
"
cultivate,"vt. 培养, 耕作"
cultivation,"n. 教化, 培养, 耕作
"
carve,"v. 雕刻, 切开"
aquifer,[化] 含水层
distinguish,"v. 区别, 辨别"
additional,"a. 附加的, 另外的, 额外的
"
military,"n. 军队
a. 军事的, 军人的, 适于战争的"
variation,"n. 变更, 变化, 变种, 变奏
"
reservoir,"n. 贮水池, 贮藏处, 贮备, 水库
vt. 储藏"
extremely,"adv. 极端地, 非常地"
architecture,"n. 建筑学, 建筑式样
"
archaeologist,n. 考古学家
dye,"n. 颜料, 染料
vt. 染, 染色
vi. 被着色"
completely,"adv. 完全地, 十分地, 圆满地"
opportunity,"n. 机会, 时机"
density,"n. 密度
"
accumulate,"v. 积聚, 堆积"
visible,"a. 看得见的, 明显的, 显然的
n. 可见物"
innovation,"n. 改革, 创新
"
selection,"n. 选择, 选文, 精选品
"
construct,"vt. 构造, 建造, 对...进行构思, 作图
n. 构成物"
drift,"n. 漂流物, 漂流, 动向
v. (使)漂流"
specialize,"vt. 使特殊化, 列举, 特别指明, 限定...的范围
vi. 成为专家, 专攻"
international,"a. 国际的
n. 国别设定
"
comparison,"n. 比较, 对照, 比喻
"
molecule,"n. 分子, 些微
"
radiation,"n. 辐射
"
irrigation,"n. 灌溉, 冲洗
"
phenomenon,"n. 现象, 迹象, 表现, 奇迹, 奇才
"
fungus,"n. 真菌, 真菌类植物
"
mechanical,"a. 机械的, 机械性的, 力学的
"
previously,"adv. 先, 先前, 以前, 前, (非正式)过早, 过急, 在前, 在...以前, 在先
"
stimulus,"n. 刺激, 激励, 刺激品
"
consequence,"n. 结果, 重要性
"
ritual,"n. 仪式, 典礼, 宗教仪式
a. 仪式的, 依仪式进行的"
disperse,"vt. 分散, 传播, 散开
vi. 分散
a. 分散的
"
compose,"vt. 组成, 写作, 作曲, 使平静
vi. 创作, 排字
"
archaeological,"a. 考古学的, 考古学上的"
climatic,a. 气候的
dominant,"a. 占优势的, 支配的
"
numerous,"a. 很多的, 数目众多的, 多数的
"
closely,adv. 接近地
increasingly,"adv. 逐渐地, 渐增地"
device,"n. 装置, 设计, 策略, 发明物, 设备
"
geological,"a. 地质学的, 地质的"
considerable,"a. 相当的, 可观的, 重要的"
motion,"n. 移动, 手势, 动作, 意向, 请求, 提议
v. 打手势"
dioxide,"n. 二氧化物
"
analysis,"n. 分析
"
volume,"n. 册, 卷, 体积, 容量, 大量, 许多, 份量, 音量
vi. 成团卷起
vt. 把...收集成卷
a. 大量的
"
operate,"v. 操作, 运转, 动手术, 活动"
concentrate,"n. 浓缩, 精选
v. 集中, 专心"
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
isolate,"vt. 使隔离, 使孤立, 使绝缘
n. 隔离种群"
geologic,"a. 地质的, 地质学的"
capable,"a. 有能力的, 能的, 能干的"
remarkable,"a. 不平常的, 值得注意的, 显著的"
rarely,"adv. 很少地, 罕有地"
commonly,"adv. 一般, 普通, 通常"
band,"n. 带子, 队, 乐队
v. 联合, 结合
"
plankton,"n. (总称)浮游生物
"
scale,"n. 刻度, 衡量, 比例, 比例尺, 数值范围, 等级, 规模, 天平, 秤, 鳞, 积垢
vt. 依比例决定, 攀登, 测量, 绘制, 刮鳞, 使生垢, 过秤
vi. 剥落, 生水垢, 重量为, 攀登, 衡量
"
architectural,"a. 有关建筑的, 建筑学的"
algae,"pl. 藻类, 海藻
"
vapor,"n. 汽, 蒸气
vi. 蒸发
vt. 使蒸发"
periodic,"a. 周期的, 定期的, 间歇(性)的, 循环的, 用完整句的, 高碘的
"
mantle,"n. 斗篷, 罩子, 披风
vt. 罩住, 覆盖
vi. 覆盖, 脸红"
cereal,"n. 谷类食品, 谷类植物
a. 谷类的"
stimulate,"vt. 刺激, 激励, 鼓舞
vi. 起刺激作用"
enormous,"a. 巨大的, 庞大的"
inner,"a. 内部的, 内心的
n. 内部"
apparently,"adv. 表面上, 清楚地, 显然地"
capacity,"n. 容量, 能力, 才能, 资格
"
availability,"n. 有效性, 可利用性, 可利用的人
"
ancestor,"n. 祖先, 祖宗"
despite,"n. 轻视, 憎恨
prep. 虽然, 尽管"
yield,"n. 生产量, 投资收益
vt. 出产, 给予, 让出, 放弃, 使屈服
vi. 出产, 屈服, 投降, 倒塌"
glide,"n. 滑动, 滑过, 流水
vi. 滑动, 滑翔, 溜走, 流逝
vt. 使滑动"
shed,"n. 车棚, 小屋, 脱落之物, 分水岭
vt. 使流出, 放射, 脱落, 散发, 摆脱
vi. 流出, 散布, 脱落"
extent,"n. 范围, 程度, 区域
"
interaction,"n. 交互作用, 交感
"
photography,"n. 摄影, 摄影术
"
ecologist,n. 生态学者
furthermore,"adv. 此外, 而且"
actually,"adv. 事实上, 竟然, 如今, 现在"
artisan,"n. 工匠, 技工
"
skeleton,"n. 骨骼, 骨瘦如柴的人, 梗概, 骨干, 残骸
a. 骨骼的, 概略的, 基层的, 骨干的
"
contemporary,"n. 同时代的人
a. 同时代的, 属于同一时期的"
resemble,"vt. 相似, 类似"
trace,"n. 痕迹, 踪迹, 微量, 迹线, 缰绳
vt. 追踪, 回溯, 描绘
vi. 追溯, 沿路走"
approximately,"adv. 大约, 大致, 近于
"
greatly,"adv. 很, 非常"
explosion,"n. 爆发, 激增, 爆炸(声)
"
comet,n. 彗星
instance,"n. 建议, 情况, 例子, 场合
vt. 引以为例, 举例说明"
stability,"n. 安定, 稳定性, 坚实, 巩固
"
fiber,"n. 纤维, 构造, 纤维制品
"
tectonic,"a. 构造的, 建筑的
"
coastal,"a. 海岸的, 沿海的, 沿岸的
"
prior,"a. 更重要的, 较早的, 在先的
n. 小隐修院院长, 大隐修院副院长"
significantly,adv. 值得注目地；意味深长地
pump,"n. 抽水机, 打气筒, 泵, 抽吸
vt. 用唧筒抽水, 打气, 盘问, 倾注, 使疲惫
vi. 抽水, 上下(或往复)运动"
moisture,"n. 湿气, 水分, 降雨
"
subpopulation,n. (从其他人口分出或构成总人口的)分组人口
elite,"n. 精华, 精锐, 中坚分子"
waterpower,"n. 水力, 水能"
microscope,"n. 显微镜
"
association,"n. 协会
"
propose,"vt. 计划, 打算, 建议, 提议, 求(婚)
vi. 打算, 求婚"
massive,"a. 大而重的, 宽大的, 宏伟的
"
continuous,"a. 连续的, 继续的, 连续不断的
"
ecological,"a. 生态学的, 主张生态保护的
"
dependent,"n. 依赖他人者
a. 依赖的, 从属的"
permanent,"a. 永久的, 不变的, 固定的, 持久的
n. 烫发
"
performance,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出
"
industrialization,"n. 工业化, 产业化
"
machinery,"n. 机器, 机械装置, 机构
"
ideal,"n. 理想, 典范, 观念, 思想, 最后目标
a. 理想的, 完美的, 空想的, 观念的, 唯心论的"
authority,"n. 权力, 当权者, 当局, 权威, 专家
"
dispersal,"n. 散布, 传播, 分散"
millennium,"n. 千禧年, 一千年"
derive,"vt. 得自
vi. 起源"
