accord,"n. 一致, 调和, 协定
vt. 给与, 使一致
vi. 相符合"
record,"n. 记录, 履历, 档案, 审判记录, 最高纪录, 唱片
vt. 记录, 记载, 标明, 将...录音
vi. 记录, 录音, 可被录音
a. 创纪录的
"
core,"n. 核心, 果心, 要点
vt. 挖...的核
"
take,"vt. 拿, 取, 抓, 带领, 获得, 就座, 接受, 吃, 吸引, 采取, 乘, 需要, 花费
vi. 吃掉对方棋子, 抓住, 起作用, 依法获得财产
n. 拿, 取, 收成, 奏效"
mistake,"n. 错误, 误会
vi. 犯错, 误认
vt. 误解, 弄错
"
use,"n. 使用, 习惯, 使用价值, 用法, 使用权
vt. 使用, 利用, 运用, 耗费
vi. 惯常"
misuse,"n. 误用, 滥用
vt. 误用, 滥用, 虐待"
example,"n. 例子, 样本, 实例
"
work,"n. 工作, 劳动, 职业, 行为, 功, 作品, 成果, 产品, 工程
vi. 工作, 劳动, 做, 运转, 起作用, 被加工
vt. 使工作, 使转动, 开动, 使用, 经营, 使逐渐变得, 造成"
workforce,"n. 劳动力；工人总数, 职工总数"
framework,"n. 结构, 骨架, 参照标准, 准则, 观点
"
network,"n. 网络, 广播网, 网状物
"
time,"n. 时间, 时侯, 时机, 时期, 期限, 次数, 节拍, 暂停, 规定时间
vt. 测定...的时间, 记录...的时间, 计时, 定时
a. 时间的, 记时的, 定时的, 定期的, 分期的
"
temporary,"a. 暂时的, 临时的
n. 临时工, 临时雇员
"
through,"adv. 穿越, 从头至尾, 到底, 因为
prep. 经过, 穿过
a. 对穿的, 直达的, 完结的"
give,"n. 弹性, 适应性
vt. 给, 授予, 供给, 产生, 发表, 付出, 献出, 让出
vi. 捐赠, 支持不住, 让步"
donate,v. 捐赠
suggest,"vt. 提议, 建议, 促成, 暗示, 启发, 使人想起
"
register,"n. 寄存器, 记录, 登记簿, 注册
vt. 记录, 注册, 提示, 表达, 把...挂号
vi. 登记, 注册, 挂号
"
author,"n. 作家, 作家的著作, 创始人
"
authority,"n. 权力, 当权者, 当局, 权威, 专家
"
authorize,"vt. 授权, 批准, 委托
"
social,"a. 社会的, 群居的, 社交的
n. 联欢会"
society,n. 社会；社交界；交往；社团
association,"n. 协会
"
associate,"n. 同伴, 伙伴, 关联的事物
vt. 使联合, 使发生联系
vi. 交往
"
just,"a. 正直的, 合理的, 正确的, 应得的
adv. 刚刚, 正好, 仅仅"
justice,"n. 正义, 公平, 公正, 正确, 司法, 审判"
justify,"vt. 替...辩护, 证明
vi. 证明合法
"
justification,"n. 辩护, 证明正当, 释罪
"
text,"n. 文本, 正文, 课文, 主题, 圣经文句, 乐谱
"
tissue,"n. 薄的织物, 薄纱, 棉纸, 组织, 一套
"
state,"n. 州, 状态, 情形, 国家, 政府, 领土, 国务, 社会地位
a. 国家的, 正式的, 礼仪用的, 州的
vt. 说明, 陈述, 规定
"
statesman,n. 政治家
result,"n. 结果, 成绩, 答案
vi. 产生, 结果, 致使
"
consult,"vi. 商讨, 商量, 协商, 会诊
vt. 向...请教, 查阅, 考虑"
idea,"n. 主意, 办法, 理想, 思想, 概念, 意见
"
ideal,"n. 理想, 典范, 观念, 思想, 最后目标
a. 理想的, 完美的, 空想的, 观念的, 唯心论的"
point,"n. 点, 小数点, 标点, 地点, 要点, 特点, 尖端, 分数, 得分, 穴位
vt. 弄尖, 强调, 指出, 加标点于, 瞄准
vi. 指, 指向, 表明"
appoint,"vt. 任命, 指定, 下令
"
part,"n. 部分, 局部, 零件, 要素, 等分, 职责, 角色, 部位
vt. 分开, 分离, 断绝, 区别, 分配
vi. 分开, 断裂, 分手
a. 部分的, 局部的
adv. 部分地, 有些"
party,"n. 宴会, 党, 政党, 团体, 当事人, 聚会
v. 举办聚会"
partly,"adv. 部分地, 在一定程度上"
counterpart,"n. 副本, 复本, 配对物, 相应物
"
depart,"vi. 离开, 出发, 背离, 违反, 去世"
departure,"n. 离开, 出发, 违背, 偏离
"
problem,"n. 问题, 难题
a. 成问题的, 难处理的"
require,"vt. 需要, 命令, 要求
"
acquire,"vt. 获得, 学到
"
inquire,"v. 询问, 问明, 查究"
request,"n. 请求, 需要, 申请书
vt. 请求, 要求, 邀请
"
believe,v. 相信
human,"n. 人, 人类
a. 人类的, 似人类的, 人性的, 有同情心的"
humanity,"n. 人性, 人类, 博爱"
limit,"n. 界限, 边界, 限度, 极限, 限制
vt. 限制, 限定"
eliminate,"vt. 除去, 排除, 剔除, 消除"
limitation,"n. 限制, 缺陷, 限额
"
preliminary,"n. 初步做法, 初步措施, 预试, 预选赛
a. 初步的, 开始的, 预备的"
view,"n. 视野, 风景, 见解, 视力, 观看, 视图, 指望, 意图, 印象
vt. 看, 考虑, 视察, 查看, 估量
"
review,"n. 检讨, 复习, 回顾, 检阅, 评论
vt. 温习, 检讨, 评论, 再检察, 复审
vi. 复习功课, 写评论"
interview,"n. 面谈, 访问, 接见, 面试
vt. 接见, 对...进行面谈(试)"
influence,"n. 影响力, 权力, 势力
vt. 影响, 改变"
influential,"a. 有影响的, 有势力的"
individual,"n. 人, 个人, 个体
a. 个别的, 个人的, 独特的"
call,"n. 呼叫, 访问, 打电话, 号召, 召集, 要求
vt. 呼叫, 召集, 打电话
vi. 叫喊, 访问, 叫牌
"
recall,"n. 回忆, 召回, 撤消
vt. 回想, 回忆, 召回, 撤消, 使恢复
"
public,"n. 公众, 民众
a. 公众的, 公共的, 公立的, 公用的"
publish,"vt. 出版, 发行, 公开, 发表, 宣传, 公布
vi. 出版, 发行"
lead,"n. 铅, 铅条, 领导, 超前量, 领引, 榜样, 主角, 导线
vt. 引导, 带领, 领导, 指挥, 致使, 加铅于, 用铅包
vi. 领导, 带头, 导致, 用测深锤测深, 被铅覆盖
a. 带头的, 最重要的"
leader,"n. 领导者, 社论, 指挥, 领袖, 领唱者, 前导字符
"
mislead,vt. 误导
different,"a. 不同的
"
offer,"n. 给予(物), 出价, 提议, 意图, 报价
vt. 提供, 出价, 奉献, 试图, 使出现, 演出
vi. 出现, 献祭, 提议, 求婚"
infer,"vt. 推论出, 推断
vi. 作推论"
refer,"vt. 提交, 归诸于, 把...提交, 使求助于
vi. 提到, 涉及, 查阅, 查询, 咨询"
reference,"n. 参考, 索引, 参照
vt. 给...加上参考资料
vt. 引用
vi. 引用
"
indifference,"n. 不重视, 无兴趣, 漠不关心
"
suffer,"vt. 遭受, 经历, 忍受
vi. 受痛苦, 受损害"
differentiate,"v. 区别, 区分"
confer,"vt. 授予, 带来
vi. 协商"
look,"n. 一看, 神色, 样子, 面容
vi. 看, 注意, 朝着, 显得
vt. 打量, 看上去与...一样, 以眼色(或脸色)显示, 期待"
back,"a. 后面的
vt. 使后退, 支持
vi. 倒退, 背靠
adv. 向后地
n. 背部, 后面"
background,"n. 背景, 背景资料
"
subject,"n. 科目, 主题, 臣民, 主语, 题目, (事物的)经受者, 学科, 受治疗者, 原因, 理由
a. 服从的, 易患...的, 隶属的, 受支配的
adv. 在...条件下
vt. 使隶属, 使受到
"
object,"n. 物体, 目标, 目的, 对象, 宾语, 客体
vi. 反对, 抱反感
vt. 提出...来反对
"
objective,"n. 目的, 目标, 宗旨, 宾格, 实物
a. 客观的, 如实的, 无偏见的, 宾格的"
objection,"n. 异议, 反对, 不喜欢, 缺点, 缺陷, 妨碍, 拒绝之理由
"
create,"vt. 创造, 建造, 引起, 任命"
creative,"a. 有创造力的, 创作的, 产生的"
concrete,"n. 凝结物, 混凝土
a. 具体的, 实在的, 混凝土的
v. (使)凝结, 用混凝土浇筑"
act,"n. 行动, 行为, 幕, 法案
vi. 行动, 表演, 假装, 见效, 表现, 担当
vt. 扮演, 装作
"
activity,"n. 活动, 行动, 活跃, 活力
"
active,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的
n. 主动语态, 积极分子"
reaction,"n. 反应, 反作用, 反动
"
agenda,"pl. 议程, 日常工作事项
"
consider,"v. 考虑, 思考, 认为"
considerable,"a. 相当的, 可观的, 重要的"
company,"n. 公司, 友伴, 交往, 连队, 朋友, 一群
vt. 陪伴
vi. 交往"
panel,"n. 嵌板, 仪表板, 专题讨论小组, 全体陪审员
vt. 嵌镶板"
improve,"vt. 改良, 提高...的价值, 改善, 利用
vi. 变得更好, 增加"
approval,"n. 赞成, 批准
"
value,"n. 价值, 价格, 购买力, 评价, 估价, 计算结果
vt. 评价, 估价, 重视
"
evaluate,"vt. 评估, 评价, 赋值"
valid,"a. 有确实根据的, 有法律效力的, 正当的, 正确的
"
child,"n. 孩子, 产物, 追随者
"
live,"a. 活的, 生动的, 精力充沛的, 实况转播的
vi. 活, 生存, 居住
vt. 过着, 度过, 经历
adv. 实况地"
alive,"a. 活着的, 活泼的, 敏感的, 热闹的"
survive,"vt. 比...活得长, 生存, 生还, 幸免于
vi. 活下来, 幸存"
decision,"n. 决定, 决心, 决断
"
precision,"n. 精密, 精确, 精确度, 精度
a. 精密的, 精确的
"
test,"n. 测试, 试验, 化验, 检验, 考验, 甲壳
vt. 测试, 试验, 化验
vi. 接受测验, 进行测试"
protest,"n. 抗议, 反对, 抗议书, 断言
v. 反对, 抗议, 断言"
contest,"n. 竞赛, 争论
vt. 竞争, 争取, 争辩
vi. 竞争"
start,"n. 惊起, 出发, 开端, 起点, 吃惊, 有利条件
vi. 开始, 出发, 启动, 跳起, 吃惊, 出现, 松动, 脱落, 起价, 参赛
vt. 使惊起, 开动, 发动, 启动, 开始, 创办, 提议, 使松动, 使脱落, 起用
"
startle,"n. 惊愕, 惊恐
vt. 吃惊, 使惊愕
vi. 惊起"
information,"n. 消息, 知识, 通知, 情报, 信息, 问讯处, 起诉
"
form,"n. 形状, 形体, 类型, 方式, 表格, 形式
v. 形成, 排列, (使)组成
n. 表单
"
formal,"a. 正式的, 形式的, 礼仪的, 拘于礼节的, 拘谨的
n. 正式的社交活动"
performance,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出
"
perform,"vt. 进行, 履行, 完成, 执行, 表演
vi. 行动, 工作, 执行, 演出"
common,"a. 通常的, 共同的, 通俗的, 公共的
"
community,"n. 社区, 公众, 共有, 共同体
"
communication,"n. 交流, 交通, 通讯
"
immune,"a. 免疫的, 免除的, 不受影响的
n. 免疫者"
process,"n. 程序, 进行, 过程
vt. 加工, 使...接受处理, 对...处置, 对...起诉
a. 经加工的, 有特殊光效的
"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
excessive,"a. 过度的, 过多的, 极端的
"
recession,"n. 后退, 凹处, 衰退, 归还
"
procedure,"n. 程序, 过程, 手续
"
title,"n. 头衔, 名称, 标题, 书名, 扉页, 权利, 资格, 冠军, 字幕
vt. 授予头衔, 加标题于
"
entitle,"vt. 给...权利, 取名为, 给予名称, 叫做
"
government,"n. 政府, 内阁
"
governor,"n. (美)州长, (英)总督, 统治者, 管理者, 理事
"
govern,"v. 统治, 支配, 管理"
pay,"n. 薪资, 付款, 补偿
vt. 支付, 付清, 补偿, 偿还, 对...有利, 为...涂防水物
vi. 付款, 付出代价, 偿还, 得到报应, 获得好处"
payment,"n. 付款, 支付的款项(或实物), 偿还, 报应, 惩罚
"
own,"n. 自己的
a. 自己的, 嫡亲的, 同胞的
vt. 拥有, 支配, 自认, 承认, 顺从于
vi. 承认, 供认"
owe,"vt. 亏欠, 负...债, 归功于, 怀有, 应给予, 感恩
vi. 欠钱"
law,"n. 法律, 法则, 定律, 法律的制约, 法学, 司法界, 诉讼
v. 起诉"
legitimate,"a. 合法的, 正当的, 婚生的
vt. 认为正当, 立为嫡嗣, 使合法"
legal,"a. 法律的, 法定的, 合法的
"
lawyer,"n. 律师
"
political,"a. 政治的, 政治上的, 政党的, 从事政治的
"
history,"n. 历史, 过去, 经历, 发展过程, 历史学, 过去的事, 历史记录
"
historical,"a. 历史的, 史实的, 历史上的
"
pressure,"n. 压, 榨, 按, 强制, 压力, 压迫, 压强
vt. 迫使, 使增压, 密封"
express,"n. 快车, 快递, 专使
a. 明确的, 丝毫不差的, 专门的, 快的
vt. 表达, 表示, 表露"
expression,"n. 表达, 表现, 词语, 措辞
"
impressive,"a. 给人深刻印象的, 威严的"
depression,"n. 不景气, 消沉, 沮丧, 洼地
"
benefit,"n. 利益
vt. 有益于
vi. 受益"
official,"n. 官员, 公务员, 职员
a. 公务的, 官方的, 正式的"
efficient,"a. 有效率的, 能干的"
efficiency,"n. 效率, 效能, 功效
"
sufficient,"a. 充分的, 足够的
"
profit,"n. 利润, 赢利, 利益
vi. 有益, 获利, 赚钱
vt. 有益于"
profitable,"a. 有利润的, 有利益的, 赚钱的
"
feature,"n. 面孔的一部分(如眼、口等), 特征, 容貌, 特色, 特写
vt. 是...的特色, 特写, 放映
vi. 起重要作用
"
allow,"vt. 允许, 同意给予, 承认
vi. 容许, 猜想
"
allowance,"n. 津贴, 零用钱, 限额, 折扣, 允许
vt. 定量供应"
place,"n. 地方, 地点, 位置, 住所, 座位, 地位, 处境, 特权, 空间, 余地, 职务, 位
vt. 放置, 寄予, 认出, 评定, 任命
vi. 名次列前"
replace,"vt. 代替, 替换, 放回, 归还
"
hold,"n. 把握, 把持力, 柄, 控制, 掌握, 监禁
vt. 保存, 握住, 拿住, 占据, 持有, 拥有
vi. 支持, 持续, 有效
n. 保留
"
shareholder,"n. 股东
"
uphold,"vt. 支撑, 赞成, 鼓励, 举起, 坚持
"
practice,"n. 实践, 练习, 实行, 惯例, 习惯, 开业
v. 实践, 实行, 练习, 实习, 业务"
practically,"adv. 几乎, 差不多, 事实上"
attention,"n. 注意, 注意力
"
attend,"vt. 参加, 照料, 伴随
vi. 专心于, 照顾, 服侍, 出席"
attendant,"n. 随从, 侍者, 出席者
a. 侍候的, 伴随的, 出席的, 在场的"
quality,"n. 品质, 特性, 才能, 质量
a. 优质的
"
qualification,"n. 资格, 条件, 限制
"
around,"prep. 包围, 在...周围, 四处
adv. 兜着圈子, 在附近, 到处"
surrounding,"n. 环境
a. 周围的"
roundabout,"a. 迂回的, 委婉的
n. 迂回路线"
surround,"vt. 包围, 环绕, 围绕
n. 围绕物"
turn,"n. 转弯, 转动, 旋转, 翻转, 一圈, 顺次, 改动, 变化, 性格, 特色, 形状, 转折
vt. 使旋转, 转弯, 转动, 使转向, 驱赶, 阻挡, 兑换, 改写, 使作对, 绕过, 使流通
vi. 转动, 转弯, 转向, 翻转, 回转, 改变, 转身, 变成, 变质, 晕眩, 易脱手"
overturn,"n. 倾覆, 破灭, 革命
vt. 推翻, 颠倒
vi. 翻倒"
turnover,"n. 翻倒, 翻转, 半圆酥饼, 营业额, 流通, 周转
a. 可翻转的"
promote,"vt. 促进, 晋升, 创办, 推销
"
motive,"n. 动机, 目的, 主题, 基调
a. 运动的, 成为动机的"
motivate,"vt. 给与动机, 刺激, 提高...的学习欲望, 促动
"
emotional,"a. 情绪的, 情感的
"
note,"n. 笔记, 记录, 注解, 票据, 符号, 显要, 注重, 便笺, 照会
vt. 记录, 注解, 注意"
notion,"n. 概念, 观念, 想法, 打算, 别致的小东西
"
especially,"adv. 尤其, 特别, 格外"
specific,"n. 特效药, 特性
a. 特殊的, 明确的, 具有特效的, 特定地, 具体地"
species,"n. 种, 类, 外形
"
condition,"n. 情况, 条件
vt. 使健康, 以...为条件, 决定, 使适应
"
unconditional,"a. 无条件的, 无限制的, 绝对的
"
appear,"vi. 出现, 显得, 来到
"
disappear,"vi. 消失, 不见"
apparent,"a. 清晰可见的, 显然的, 表面上的
"
rule,"n. 规则, 统治, 控制, 支配, 规律, 标准, 章程, 破折号, 铅线
vt. 规定, 统治, 管理, 控制, 支配, 裁决
vi. 统治, 管辖, 裁定
"
