abstract,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
"
abundance,"n. 丰富, 充足, 大量
"
abuse,"n. 滥用, 虐待, 恶习, 辱骂
vt. 滥用, 辱骂, 虐待"
baggage,"n. 行李
"
candidate,"n. 候选人, 投考者
"
canteen,"n. 水壶, 军中俱乐部, 临时流动餐馆, 小卖部"
capable,"a. 有能力的, 能的, 能干的"
capacity,"n. 容量, 能力, 才能, 资格
"
capital,"n. 首都, 大写字母, 资本
a. 首都的, 重要的"
data,"pl. 资料, 数据
"
date,"n. 日期, 约会, 枣椰树
vt. 约会, 定日期
vi. 注明日期, 过时"
economy,"n. 经济, 理财, 节约
"
edition,"n. 版本, 版, 翻版"
facilitate,"vt. 使容易, 促进, 帮助
"
facilities,"n. 工具, 设施, 设备"
gamble,"n. 赌博, 冒险
v. 赌博, 孤注一掷"
gang,"n. 队, 群, 帮
vi. 成群结队, 结成一伙
vt. 使成群结队"
hairdresser,"n. 美发师, 理发师"
identification,"n. 识别, 身份证明, 认同
"
identify,"vt. 识别, 认为...等同于, 确定, 使参与
vi. 一致, 认同"
idiom,"n. 习语, 成语, 惯用语法, 方言"
idle,"a. 懒惰的, 闲散的, 停顿的, 空闲的, 无用的
vi. 无所事事, 闲散, 浪费, 空转
vt. 虚度, 使闲散, 使空转
n. 空转, 空闲时间
"
jar,"n. 广口瓶, 震动, 刺耳声
vi. 震惊, 冲突, 发刺耳声, 不一致
vt. 震动, 刺激"
jealous,"a. 嫉妒的, 羡慕的, 留心的, 戒备的"
labour,"n. 劳动, 努力, 工作, 劳工, 分娩
vi. 劳动, 努力, 苦干
vt. 详细分析, 使厌烦"
lack,"n. 缺乏, 无, 不足
vt. 缺乏, 短少, 不足, 需要
vi. 缺乏"
magnify,"vt. 放大, 扩大, 赞美, 夸大
vi. 有放大能力"
naive,"a. 天真的, 纯真的, 幼稚的"
overview,"n. 概述, 概观, 总的看法
"
pension,"n. 养老金, 退休金, 津贴, 年金, 抚恤金, 膳宿学校, 膳宿费
vt. 发给退休金, 用津贴拉拢"
perceive,"v. 感觉; 认识, 理解; 察觉到, 意识到, 注意到"
percent,"n. 百分比, 百分数, 部分
"
percentage,"n. 百分比, 比率, 部分, 可能性
"
responsible,"a. 有责任的, 负责的, 责任重大的
"
restore,"vt. 回复, 恢复, 归还, 修补, 修复
vt. 还原
vi. 还原
"
restrain,"vt. 抑制, 阻止, 束缚
"
setback,"n. 挫折, 退步, 逆流"
severe,"a. 严格的, 尖锐的, 严肃的, 严重的, 严厉的, 朴素的
"
shabby,"a. 衣衫褴褛的, 低劣的, 破旧的, 吝啬的, 卑鄙的"
shallow,"n. 水浅的地方, 浅滩
a. 浅的, 肤浅的
v. (使)变浅"
yield,"n. 生产量, 投资收益
vt. 出产, 给予, 让出, 放弃, 使屈服
vi. 出产, 屈服, 投降, 倒塌"
youngster,"n. 小孩, 年轻人, 少年
"
abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
abnormal,"a. 反常的, 不规则的, 变态的, 畸形的
n. 畸形的人"
absorb,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担
"
bacteria,"pl. 细菌
"
badminton,n. 羽毛球运动
cafeteria,"n. 自助餐厅
"
calculate,"v. 计算, 预测, 计划, 打算"
calendar,"n. 日历, 日程表
vt. 列入表中
"
campus,"n. 校园, 大学生活"
cancel,"n. 取消, 撤消, 盖销(邮票)
vt. 取消, 删去, 抵销, 盖销
vi. 相互抵销
"
damage,"n. 损害, 伤害
v. 损害"
damp,"n. 潮湿, 湿气
a. 潮湿的
vt. 使潮湿, 使阻尼, 抑止
vi. 变潮湿, 衰减"
dash,"n. 冲撞, 破折号, 短跑
vi. 猛冲, 冲撞
vt. 泼溅, 使猛撞, 搀和, 使破灭, 使沮丧"
ease,"n. 安乐, 安逸, 悠闲
vt. 使安乐, 使安心, 减轻, 放松
vi. 减轻, 放松, 灵活地移动"
ecology,"n. 生态学, 社会生态学
"
fabric,"n. 织物, 布, 结构, 构造, 建筑物
"
fabulous,"a. 传说的, 寓言般的, 难以置信的"
gallery,"n. 走廊, 最高楼座, 画廊, 收集, 图库
"
habitat,"n. 栖息地, 居留地, 自生地, 聚集处
"
ideal,"n. 理想, 典范, 观念, 思想, 最后目标
a. 理想的, 完美的, 空想的, 观念的, 唯心论的"
idealism,"n. 唯心主义, 观念论, 唯心论, 理想主义"
identical,"a. 同一的, 恒等的, 完全相同的
"
jail,"n. 监牢, 监狱, 拘留所
vt. 监禁, 下狱"
jam,"n. 果酱, 拥塞之物, 堵塞, 困境
vt. 挤进, 使塞满, 混杂, 压碎, 使堵塞
vi. 堵塞, 轧住, 拥挤"
keen,"a. 锋利的, 敏锐的, 强烈的, 敏捷的, 热心的, 渴望的
n. 挽歌, 痛哭
v. 唱挽歌, 痛哭"
lab,"n. 实验室, 研究室
"
label,"n. 标签, 称号, 商标, 标志
vt. 贴标签于, 标注
"
magnet,"n. 磁铁, 有吸引力之人, 有吸引力之物
"
magnificent,"a. 华丽的, 高尚的, 宏伟的"
naked,"a. 裸体的, 无装饰的, 无保护的, 赤贫的
"
overseas,"a. 海外的, 国外的
adv. 在海外, 在国外"
oversee,"vt. 向下看, 了望, 监督, 偷看到
"
peer,"n. 同等的人, 匹敌, 贵族
vi. 凝视, 窥视, 费力地看, 隐现
vt. 与...同等, 封为贵族"
penalty,"n. 处罚, 刑罚, 罚款, 罚球, 报应, 不利结果, 妨碍
"
resort,"n. 度假胜地, 手段, 凭借, 常去之地
vi. 诉诸, 常去"
resource,"n. 资源, 财力, 办法, 策略, 急智, 消遣
"
response,"n. 反应, 回答, 响应
"
sequence,"n. 序列, 续发事件, 顺序, 连续
vt. 按顺序排好
"
series,"n. 串联, 序列, 连续, 系列, 丛书, 套, 级数, 组
"
session,"n. 期间, 开庭期, 会议, 学期
"
worship,"n. 崇拜, 礼拜, 尊敬
vi. 参加礼拜
vt. 崇拜, 尊敬"
wrap,"n. 外套, 围巾, 包裹物, 限制, 约束, 秘密, 换行
vt. 包装, 卷, 缠绕, 包, 裹, 覆盖, 遮蔽, 隐藏, 掩护
vi. 缠绕, 穿外衣, 包起来
"
academic,"a. 学院的, 学术的, 不切实际的
n. 大学生, 大学教师, 学者, 学会会员"
academy,"n. 学院, 院校, 学会"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
balance,"n. 平衡, 差额
vi. 平衡, 相等
vt. 称, 权衡, 比较, 使平衡, 结算, 抵消"
balcony,"n. 阳台, 戏院楼厅"
capture,"n. 抓取, 战利品, 捕获之物
vt. 抓取, 获得, 迷住
"
career,"n. 事业, 生涯, 成功
"
carve,"v. 雕刻, 切开"
cashier,"n. 出纳员
"
dawn,"n. 破晓, 黎明
vi. 破晓"
deadline,"n. 最后期限, 截止期限
"
dean,"n. 院长, 主持牧师
"
effect,"n. 结果, 影响, 效果, 印象
vt. 实行, 引起, 完成
"
efficient,"a. 有效率的, 能干的"
elaborate,"a. 精细的, 详尽的, 精心计划(或制作)的
vt. 详细地说明, 用心地制作, 发挥
vi. 变复杂, 作详细说明"
factor,"n. 因素, 因数, 系数, 基因, 代理人
"
faculty,"n. 才能, 能力, 全体教员, (大学的)系
"
gap,"n. 缝隙, 缺口, 间断, 间距, 通用汇编程序
vt. 打开缺口, 造成缝隙
vi. 豁开
"
garbage,"n. 垃圾, 废物
"
hall,"n. 门厅, 走廊, 会堂"
halt,"n. 停止, 立定, 休息
vt. 使停止, 使立定
vi. 立定, 停止, 蹒跚, 踌躇, 有缺点
"
ignorance,"n. 无知, 愚味
"
ignorant,"a. 无知识的, 不知道的, 由无知产生的
"
ignore,"vt. 不理睬, 忽视, 驳回, 忽略
"
lag,"n. 落后, 囚犯, 迟延, 桶板, 防护套
a. 最后的
vi. 落后, 蹒跚, 缓缓而行, 滞后
vt. 落后于, 押往监狱, 加上外套
"
maintain,"vt. 维持, 维修, 保持, 坚持, 供养, 主张
"
majesty,"n. 最高权威, 威严, 王权, 雄伟, 庄严"
major,"n. 主修课, 成年人, 陆军少校
a. 主要的, 较多的, 大部分的, 成年的, 严重的
vi. 主修
"
majority,"n. 多数, 大半
"
namely,"adv. 即, 就是, 换句话说"
overthrow,"n. 推翻, 瓦解, 倾覆
vt. 打倒, 推翻, 倾覆"
performance,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出
"
period,"n. 时期, 节段, 节, 句点, 学时, 周期
a. 当时特有的, 过去某段时期的
interj. 就是这话, 就是这么回事"
periodical,"n. 期刊
a. 定期出版的, (有关)期刊的, 间歇(性的), 周期的, 定期的"
permanent,"a. 永久的, 不变的, 固定的, 持久的
n. 烫发
"
permission,"n. 许可, 允许
"
restrict,"vt. 限制, 限定, 约束
"
result,"n. 结果, 成绩, 答案
vi. 产生, 结果, 致使
"
resume,"vt. 重新开始, 取回, 恢复
vi. 再开始
n. 摘要, 个人简历
"
shed,"n. 车棚, 小屋, 脱落之物, 分水岭
vt. 使流出, 放射, 脱落, 散发, 摆脱
vi. 流出, 散布, 脱落"
shelter,"n. 庇护所, 避难所, 庇护, 隐蔽处, 掩蔽
vt. 庇护, 保护, 隐匿
vi. 躲避"
shift,"n. 变化, 移动, 轮班, 手段, 应急办法, 移位
vt. 替换, 转移, 改变, 推卸, 变速
vi. 转换, 移动, 转变, 推托, 变速
"
accommodate,"vt. 使适应, 调和, 通融, 容纳, 向...提供
vi. 适应"
accommodation,"n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款
"
accompany,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱"
ban,"n. 禁令
vt. 禁止, 取缔"
barbecue,"n. 烤肉
vt. 烤肉, 烧烤"
catalogue,"n. 目录, 大学情况一览
vt. 编入目录"
category,"n. 种类, 类项
"
caution,"n. 小心, 慎重, 警示
vt. 警告
"
cease,"n. 停止
v. 停止, 终了"
celebrate,"v. 庆祝, 祝贺, 举行"
debate,"n. 辩论, 讨论
v. 争论, 辩论"
decade,"n. 十年, 十"
element,"n. 元件, 元素, 要素
"
elevate,"vt. 举起, 提拔, 鼓舞"
faint,"n. 昏厥, 昏倒
a. 模糊的, 微弱的, 无力的
vi. 昏倒, 变得微弱"
faith,"n. 信心, 信任, 忠实, 保证
"
garment,"n. 衣服, 衣装, 外表"
gather,"n. 集合, 聚集
vi. 聚集, 集合, 渐增
vt. 使聚集, 搜集, 积聚"
