polar,"a. 两极的, 极地的, 正好相反的, 极性的
n. 极线, 极面"
penguin,"n. 企鹅, 空军地勤人员"
explorer,"n. 探险家, 探测者, 勘探器
"
Antarctica,n. 南极洲
annual,"n. 年刊, 年报
a. 每年的, 一年一次的, 全年的, 一年生的"
rainfall,"n. 降雨, 降雨量
"
state,"n. 州, 状态, 情形, 国家, 政府, 领土, 国务, 社会地位
a. 国家的, 正式的, 礼仪用的, 州的
vt. 说明, 陈述, 规定
"
depth,"n. 深度, 深处, 深奥
"
gravity,"n. 地心引力, 重力
"
inhospitable,"a. 冷淡的, 不适于居住的, 不相容的"
extreme,"n. 极端, 末端
a. 极端的, 尽头的, 极度的, 偏激的"
flower,"n. 花, 开花植物, 精华, 盛时
vi. 开花, 发育, 旺盛, 成熟
vt. 用花装饰, 使开花"
moss,"n. 苔藓, 泥沼
vt. 使长满苔藓"
algae,"pl. 藻类, 海藻
"
lichen,"n. 青苔, 地衣, 苔藓病
"
adapt to,适应…;适合…
adapt,"vt. 使适应, 改编
vi. 适应"
trap,"n. 圈套, 陷阱, 诡计, 存水弯
vi. 设圈套, 设陷阱
vt. 诱捕, 诱骗, 抓住, 使受限制
"
meteorite,"n. 陨星
"
extraterrestrial,"a. 地球外的, 地球大气圈外的"
mass,"n. 块, 大多数, 质量, 大量, 群众, 弥撒
a. 群众的, 大规模的, 整个的
vt. 使集合, 集中
vi. 聚集"
balance,"n. 平衡, 差额
vi. 平衡, 相等
vt. 称, 权衡, 比较, 使平衡, 结算, 抵消"
exploration,"n. 探险, 踏勘, 探测
"
set foot on,踏上
rivalry,"n. 竞争, 对抗
"
treaty,"n. 条约, 谈判
"
commercial,"a. 商业的, 商用的, 商品化的
n. 商业广告节目"
nuclear,"a. 核子的, 原子能的, 核的, 中心的
"
test,"n. 测试, 试验, 化验, 检验, 考验, 甲壳
vt. 测试, 试验, 化验
vi. 接受测验, 进行测试"
radioactive,"a. 放射性的, 有放射能的
"
promote,"vt. 促进, 晋升, 创办, 推销
"
via,"prep. 经由, 经过, 通过
"
lifeboat,n. 救生艇
crew,"n. 全体人员, 一群人, 全体队员
crow的过去式"
voyage,"n. 航行, 航海, 航程, 旅行, 航空
vi. 航海, 航行
vt. 航行越过, 飞过"
drift,"n. 漂流物, 漂流, 动向
v. (使)漂流"
ceremonial,"n. 仪式
a. 正式的"
glacier,n. 冰川
