accuracy,"n. 精确, 正确
"
accurate,"a. 正确的, 精确的
"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
amend,"vt. 修改, 改善, 改良
vi. 改过自新"
assert,"vt. 主张, 坚称, 断言
"
asset,"n. 资产, 有益的东西"
avoid,"vt. 避免, 防止, 撤消
"
beneficial,"a. 有益的, 受益的
"
benefit,"n. 利益
vt. 有益于
vi. 受益"
capable,"a. 有能力的, 能的, 能干的"
capacity,"n. 容量, 能力, 才能, 资格
"
cheat,"n. 欺骗, 作弊, 骗子
v. 欺骗, 逃脱, 骗取"
coincide,"vi. 一致, 符合
"
coincidence,"n. 巧合, 同时发生
"
conclude,"vt. 结束, 作结论, 推断
vi. 结束, 推断"
conclusion,"n. 结论, 结尾, 推论
"
consist,"vi. 组成, 存在于, 一致"
consistent,"a. 一致的, 坚持的, 并立的, 坚固的"
convention,"n. 大会, 协定, 惯例, 约定
"
conventional,"a. 传统的, 习惯的, 约定的
"
cripple,"n. 跛者, 残废
vt. 使跛, 使成残废, 削弱
a. 跛的, 残废的"
deduct,"vt. 扣除, 减去
"
desolate,a. 荒凉的
discipline,"n. 训练, 纪律
vt. 训练, 惩罚"
dive,"n. 潜水, 跳水
vi. 跳水, 俯冲, 猛冲
vt. 把...突然伸入"
dwell,"vi. 居住, 居住(于), 存在(于)"
embark,"vi. 乘船, 着手, 从事, 上飞机
vt. 使上船, 使上飞机, 使从事"
enthusiastic,"a. 狂热的, 热心的, 热烈的"
flaw,"n. 缺点, 裂纹, 瑕疵, 一阵狂风
"
fragile,"a. 易碎的, 脆的
"
grin,"n. 露齿笑
v. 露齿而笑"
hedge,"n. 树篱, 障碍, 套头交易
vt. 用树篱围, 套期保值, 妨碍, 两面下注以防...的损失
vi. 筑树篱, 躲闪, 两面下注以防损失
a. 树篱的, 偷偷摸摸的"
howl,"n. 嗥叫, 吠声, 号叫
vi. 狂吠, 咆哮, 呼啸
vt. 对...吼叫, 狂喊着说"
imperative,"n. 命令, 必要的事, 规则, 祈使语气
a. 命令式的, 急需的, 势在必行的, 强制的"
industrial,"a. 工业的, 供工业用的, 工业高度发展的, 产业的
n. 工业工人, 工业股票"
inspire,"vt. 使感动, 激发, 启示, 吸入, 鼓舞, 产生, 使生灵感
vi. 吸入, 赋予灵感"
interval,"n. 间隔, 距离, 间歇, 间隙
"
kneel,vi. 跪下
likewise,"adv. 同样地, 也"
manifest,"n. 载货单, 运货单, 旅客名单
a. 显然的, 明白的
vi. 显示, 出现
vt. 表明, 表现, 证明"
militant,a. 好战的
nonetheless,"conj. 然而, 尽管, 不过
adv. 不过, 仍然, 尽管如此, 然而"
odd,"a. 奇数的, 古怪的, 剩余的, 零散的, 各种各样的, 少量的
n. 奇特的事物, 怪人
"
output,"n. 输出, 产品, 产量
"
passion,"n. 激情, 酷爱, 热爱, 强烈感情, 耶稣受难(故事)"
persist,"vi. 坚持, 固执, 持续, 坚称
"
pollute,"vt. 污染, 弄脏, 玷污
"
prejudice,"n. 偏见, 成见, 侵害
vt. 使存偏见, 使有成见, 侵害"
rage,"n. 愤怒, 情绪激动, 狂暴
vi. 大怒, 狂吹, 流行"
recollect,"vt. 回忆, 回想, 忆起
vi. 回忆"
relate,"vt. 讲, 叙述, 使互相关联
vi. 有关, 符合, 相处得好"
reservation,"n. 保留, 预定, 保留品, 保留地
"
reserve,"n. 储备品, 贮量, 后备军, 自然保护区, 保留, 拘谨, 节制, 储备金
vt. 保留, 保存, 预订, 延期, 推迟"
review,"n. 检讨, 复习, 回顾, 检阅, 评论
vt. 温习, 检讨, 评论, 再检察, 复审
vi. 复习功课, 写评论"
scatter,"n. 消散, 分散, 散播, 散射, 散布, 酒馆
vi. 散布, 散播, 消散
vt. 使消散, 使分散, 撒, 散布, 散播, 散射
"
sheer,"a. 绝对的, 全然的, 纯粹的, 透明的, 峻峭的
vi. 偏转, 偏航
vt. 使急转向, 使偏航
adv. 完全, 全然, 峻峭
n. 偏航"
slight,"n. 轻蔑, 怠慢
a. 轻微的, 纤细的, 脆弱的, 苗条的
vt. 轻视, 忽略, 怠慢"
spin,"n. 旋转, 自旋, 疾驰, 情绪低落
vt. 纺织, 纺, 使旋转, 编造
vi. 纺纱, 吐丝, 作茧, 结网, 旋转, 自旋, 疾驰"
stern,"n. 尾部, 船尾, 臀
a. 严厉的, 严格的, 坚定的, 坚决的"
substance,"n. 物质, 实质, 主旨, 资产, 本质, 牢固
"
substantial,"n. 重要材料(或事物), 有实际价值的东西
a. 实质上的, 物质的, 有内容的, 结实的"
suspect,"n. 被怀疑者, 嫌疑犯
a. 令人怀疑的, 不可信的, 可疑的
v. 怀疑, 猜想"
tedious,"a. 沉闷的, 冗长乏味的"
toast,"n. 吐司, 烤面包, 干杯
vt. 敬酒, 烤, 使暖和
vi. 烤, 烘"
triple,"n. 三倍数, 三个一组
a. 三倍的
vt. 使增至三倍
vi. 增至三倍"
unlike,"a. 不像的, 不同的
prep. 不像, 和...不同"
unlikely,a. 不太可能的
via,"prep. 经由, 经过, 通过
"
weep,"n. 哭, 哭泣
vi. 哭泣, 流泪, 哀悼, 滴落
vt. 哭着使..., 悲叹, 滴下"
abide,"vi. 停留, 遵守, 居留, 继续下去
vt. 忍受, 经受, 屈从于"
accuse,"vt. 指责, 控告, 归咎于
vi. 指责, 控告"
affect,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于
n. 自觉感情"
amiable,"a. 亲切的, 和蔼可亲的
"
assess,"vt. 估定, 对...征税, 评定
"
await,"vt. 等候
vi. 等待着"
benign,"a. 善良的, 良性的
"
bow,"n. 弓, 眼睛框
v. 用弓拉琴, 弯成弓形
n. 鞠躬, 屈服"
captive,"n. 俘虏, 迷恋者
a. 被俘的, 被迷住的"
cherish,"vt. 珍爱, 怀有, 爱护"
crisis,"n. 危机, 危险期, 紧要关头
"
deem,"v. 认为, 相信"
despair,"n. 绝望, 失望
vi. 绝望"
desperate,"a. 不顾一切的, 危急的, 令人绝望的, 极渴望的"
disclose,"vt. 揭露, 透露
"
diverse,"a. 不同的, 变化多的"
dye,"n. 颜料, 染料
vt. 染, 染色
vi. 被着色"
embarrass,"vt. 使困窘, 使局促不安, 阻碍"
entitle,"vt. 给...权利, 取名为, 给予名称, 叫做
"
exceed,"vt. 超过, 超越, 胜过
vi. 超过其他"
exceedingly,"adv. 极端地, 极度地, 非常"
expire,"vi. 期满, 呼气, 断气
vt. 呼出"
fare,"n. 费用, 旅客, 食物
vi. 进展, 进步, 经营, 过活"
flee,"vt. 逃避, 逃跑, 逃走
vi. 逃, 消失"
frame,"n. 框, 结构, 体格
vt. 构成, 设计, 制定, 使适合, 陷害
"
giant,"n. 巨人, 大力士, 巨大怪物
a. 庞大的, 巨大的"
grind,"n. 磨, 碾, 苦差, 摩擦声, 用功的学生
vt. 磨擦, 磨碎, 磨光, 折磨, 压榨
vi. 磨, 磨碎, 苦干"
heighten,"vt. 增高, 提高, 加强
vi. 升高, 变大"
huddle,"n. 杂乱一团, 混乱, 拥挤
vt. 把...挤在一起, 乱堆, 草率了事, 蜷曲
vi. 挤作一团, 蜷缩"
implement,"n. 工具, 器具, 手段
vt. 实现, 使生效, 执行"
inevitable,"a. 不可避免的, 必然的
"
instal,"vt. 任命, 使就任, 使就职, 安装, 装置, 设置, 安顿, 安置"
install,"vt. 安装, 安置, 使就职
"
intervene,"vi. 插入, 调停, 干涉
"
knit,"v. 编织, 结合"
limit,"n. 界限, 边界, 限度, 极限, 限制
vt. 限制, 限定"
limited,"a. 有限制的, 有限的, 有限责任的
n. 特别快车"
manipulate,"vt. 操纵, 利用, 操作, 巧妙地处理, 假造"
mingle,v. (使)混合
mount,"n. 乘骑用马, 框, 衬纸, 山
vi. 乘马, 爬上, 增长
vt. 爬上, 使上马, 装上, 装裱, 安放, 制作...的标本, 设置, 上演
"
notable,"n. 著名人士, 值得注意之事物
a. 值得注意的, 显著的"
noticeable,"a. 显而易见的, 显著的, 值得注意的"
notorious,"a. 声名狼藉的, 臭名昭著的, 众人皆知的"
offend,"v. 犯罪, 冒犯, 违反, 进攻"
offensive,"a. 令人不快的, 侮辱的, 攻击性的
"
outrage,"n. 暴行, 侮辱, 愤怒
vt. 凌辱, 虐待, 触犯"
passive,"a. 消极的, 被动的, 冷漠的, 顺从的, 无源的
"
ponder,"v. 沉思, 考虑"
preliminary,"n. 初步做法, 初步措施, 预试, 预选赛
a. 初步的, 开始的, 预备的"
proceed,"vi. 继续进行, 进行, 开始, 发出, 起诉
"
proceeding,"n. 进行, 程序, 行动, 诉讼程序, 事项
"
process,"n. 程序, 进行, 过程
vt. 加工, 使...接受处理, 对...处置, 对...起诉
a. 经加工的, 有特殊光效的
"
prosper,"vi. 繁荣, 兴隆, 成功
vt. 使成功, 使昌盛"
prosperity,"n. 繁荣, 茂盛, 成功
"
prosperous,"a. 成功的, 繁盛的, 幸运的
"
raid,"n. 袭击, 突袭, 搜捕
v. 奇袭, 搜捕
"
recommend,"vt. 推荐, 介绍, 劝告, 使受欢迎, 托付
"
relax,"vi. 放松, 松懈, 松弛, 变从容, 休息, 休养
vt. 使松弛, 缓和, 使松懈, 使休息"
revise,"n. 校订, 修正, 改样
vt. 校订, 修正, 校正"
schedule,"n. 时间表, 一览表, 计划表, 议事日程
vt. 预定, 编制目录, 制...表, 安排"
shelter,"n. 庇护所, 避难所, 庇护, 隐蔽处, 掩蔽
vt. 庇护, 保护, 隐匿
vi. 躲避"
slip,"n. 滑, 滑行, 事故, 溜, 差错, 滑台, 下降, 插条, 后裔, 板条, 瘦长的年轻人
vi. 滑动, 滑倒, 失足, 溜走, 滑落, 犯错, 变坏
vt. 使滑动, 滑过, 摆脱, 闪开, 塞入, 从...取接枝
a. 滑动的, 滑移的, 活络的, 有活结的
"
spiritual,"a. 精神上的, 神圣的, 崇高的, 高尚的, 鬼的, 招魂术的
n. 有关教会的事"
stimulate,"vt. 刺激, 激励, 鼓舞
vi. 起刺激作用"
suspend,"vt. 悬, 吊, 使悬浮, 暂停, 中止, 推迟
vi. 暂停, 中止, 悬浮, 停止偿付债务
"
telegraph,"n. 电报, 电报机
vi. 打电报
vt. 打电报给, 电汇, 流露, 显示出要...的样子"
token,"n. 表征, 记号, 代币
a. 象征的, 表意的
"
triumph,"n. 凯旋, 胜利, 欢欣
vi. 得胜, 成功"
vibrate,"vi. 振动, 颤动, 激动, 摇摆, 踌躇
vt. 使颤动, 使振动, 使摆动"
weld,"n. 焊接处, 焊接
vt. 焊接, 使密接, 使结合, 使成整体
vi. 焊牢"
ability,"n. 能力, 才干
"
accumulate,"v. 积聚, 堆积"
achieve,"vt. 完成, 达到
vi. 如愿以偿"
affiliate,"vt. 使紧密联系, 使附属, 接纳, 收养
vi. 发生联系, 参加"
amid,"prep. 在其间, 在其中
"
award,"n. 奖品, 裁定, 判决
vt. 授予, 给予"
boycott,"n. 联合抵制
vt. 联合抵制"
capture,"n. 抓取, 战利品, 捕获之物
vt. 抓取, 获得, 迷住
"
chip,"n. 屑片, 薄片, 碎片
vt. 削, 切, 削成碎片, 使摔倒, 凿
vi. 削下屑片
"
chop,"n. 肋条肉, 排骨, 砍, 戳记, 商标
vt. 剁碎, 砍, 切击, 割断
vi. 砍, 突然转向"
collaborate,"vi. 合作, 勾结
"
concrete,"n. 凝结物, 混凝土
a. 具体的, 实在的, 混凝土的
v. (使)凝结, 用混凝土浇筑"
conspicuous,"a. 显著的, 显眼的, 出众的"
convert,"n. 皈依者, 改变宗教信仰者
vt. 使改变信仰, 转换, 兑换, 倒置
vi. 皈依
"
critical,"a. 批评的, 决定性的, 危险的, 临界的
"
criticise,"v. 批评, 吹毛求疵, 非难"
criticism,"n. 批评, 评论, 非难
"
defect,"n. 缺点
"
discount,"n. 折扣, 贴现率
vt. 打折扣
vi. 贴现"
diversion,"n. 转移
"
divert,"vt. 转移, 使欢娱
vi. 转移"
dynamic,"a. 动态的, 有活力的, 有力的, 动力的, 不断变化的
n. 动力, 动态
"
dynamical,"a. 动力的, 动态的, 动力学的, (褒)有生气的, 有力的, 能动的, 精悍的, 机能上的
n. 动力, 动态, 原动力
"
embed,"vt. 使插入, 使嵌入, 使深留脑中
"
environment,"n. 环境, 外界, 围绕
"
excel,"vt. 胜过, 优于, 擅长
vi. 胜过其他"
explicit,"a. 详述的, 清楚的, 直言的"
fascinate,"vt. 令人入神, 使着迷
vi. 入迷"
fleet,"n. 舰队, 港湾, 小河
a. 快速的, 敏捷的, 浅的, 短暂的
adv. 浅
vi. 疾驰, 飞逝, 掠过
vt. 消磨, 变换船(或船员)的位置"
frank,"a. 坦白的, 率直的, 老实的
vt. 免费邮寄
n. 免费邮寄特权"
glamor,"n. 魅力, 迷人的美, 魔法
vt. 迷惑"
glamour,"n. 魅力, 迷人的美, 魔法
vt. 迷惑"
grip,"n. 紧握, 柄, 握力, 握手方式, 手提包, 掌握, 支配, 控制
vt. 抓紧, 抱住, 吸住, 掌握
vi. 握牢, 有吸引力"
helpful,"a. 有帮助的, 有益的, 有用的"
humanity,"n. 人性, 人类, 博爱"
implication,"n. 牵连, 含义, 暗示
"
infect,"vt. 传染, 感染
"
infectious,"a. 有传染性的, 易传染的
"
instance,"n. 建议, 情况, 例子, 场合
vt. 引以为例, 举例说明"
interview,"n. 面谈, 访问, 接见, 面试
vt. 接见, 对...进行面谈(试)"
label,"n. 标签, 称号, 商标, 标志
vt. 贴标签于, 标注
"
manner,"n. 样子, 礼貌, 风格
"
minimize,"vt. 将...减到最少
vt. 最小化
vi. 最小化
"
minimum,"a. 最小的, 最低的
n. 最小值
"
minor,"n. 未成年人, 副修科目
a. 较小的, 二流的, 未成年的
vi. 副修
"
mourn,"v. 哀悼, 忧伤, 服丧"
outset,"n. 着手, 开头, 最初"
passport,"n. 护照, 手段, 通行证
"
personality,"n. 个性, 人格, (团体、地方、国家)特有特性, 名人
"
personnel,"n. 人员, 人事部门, 人事科(处)
"
pop,"n. 砰然声, 枪击, 含气饮料, 流行音乐, 通俗艺术
a. 流行的, 热门的, 通俗的
vt. 使发出爆裂声, 开枪打, 突然伸出
vi. 发出爆裂声, 射击, 突然出现, 瞪大
adv. 突然, 砰地
"
premise,"n. 前提, 房屋连地基, 上述各项
vt. 预先提出, 引出, 作为...的前提
vi. 作出前提"
rally,"n. 重振旗鼓, 集合, 群众集会, 跌停回升
v. 重整旗鼓, 集合, 恢复精神, 团结, 挖苦, 嘲笑"
reconcile,"vt. 使和解, 调停, 使和谐, 使一致, 使听从
"
release,"n. 释放, 发泄, 豁免, 发行, 释放证书
vt. 释放, 解除, 放松, 豁免, 免除, 发布, 放弃, 让与
n. 发布
"
resign,"vt. 辞职, 放弃, 使顺从
vi. 辞职, 屈从"
revive,"vt. 使苏醒, 使复兴, 使振奋, 回想起, 重播
vi. 苏醒, 复活, 复兴, 恢复精神"
scope,"n. 范围, 机会, 广度, 眼界, 观察仪器, 导弹射程
"
shield,"n. 盾, 防卫物, 保护者, 屏蔽
vt. 保护, 遮蔽, 屏蔽, 庇护, 挡开, 避开
vi. 起保护作用"
slogan,"n. 呐喊声, 标语, 口号"
spit,"n. 唾液, 唾吐, 小雨, 炙叉, 一铲的深度
vt. 唾吐, 吐出, 降小雨, 用炙叉穿过
vi. 吐唾沫, 吐痰, 唾弃, 飘霏霏细雨"
stitch,"n. 一针, 疼痛, 针法, 碎布条, 针脚
v. 缝, 缝合, 装订"
substitute,"n. 代理, 代理人, 代用品, 代替者, 代替物
vt. 代替
vi. 替代, 取代, 代用
a. 代替的, 代用的, 代用品的
"
suspicion,"n. 怀疑, 觉察, 嫌疑
"
suspicious,"a. 可疑的, 多疑的, 怀疑的
"
temper,"n. (钢等的)硬度, 脾气, 心情, 中和剂, 倾向, 回火
vt. 使回火, 锻炼, 调和, 使缓和
vi. 回火"
tolerance,"n. 宽容, 忍受, 容忍, 容许量, 公差
"
trivial,"a. 琐碎的, 不重要的, 轻微的, 平常的"
upgrade,"n. 上坡, 升级, 上升
adv. 往上
vt. 使升级, 提升, 改良品种
vi. 升级
"
vice,"n. 恶习, 恶行, 罪恶, 堕落, 缺陷, 恶癖, 老虎钳
vt. 钳住
prep. 代替"
vicious,"a. 邪恶的, 堕落的, 品性不端的, 恶毒的, 恶性的, 有错误的
"
welfare,"n. 福利, 安宁, 幸福, 福利事业
a. 福利的"
abnormal,"a. 反常的, 不规则的, 变态的, 畸形的
n. 畸形的人"
acknowledge,"vt. 承认, 告知收悉, 答谢, 报偿
"
affirm,"v. 断言, 确认"
amount,"n. 总数, 总额
vi. 总计, 等同"
appoint,"vt. 任命, 指定, 下令
"
assign,"vt. 分配, 指派, 赋值
"
assignment,"n. 分配, 功课, 任务, 转让, 归因, 陈述
"
aware,"a. 知道的, 有觉悟的"
bet,"n. 打赌, 赌注
v. 打赌"
brace,"n. 支柱, 曲柄, 支撑, 一对
vt. 紧缚, 支撑, 激励
vi. 打起精神
"
cardinal,"n. 红衣主教, 鲜红色
a. 主要的, 深红色的"
choke,"vt. 窒息, 阻塞, 噎, 抑制
vi. 窒息, 阻塞, 噎
n. 窒息, 噎, 阻气门"
collapse,"n. 崩溃, 倒塌, 虚脱
vi. 倒塌, 崩溃, 瓦解
vt. 使倒塌, 折叠
"
compile,"vt. 编译, 编辑, 编纂, 收集
"
condemn,"vt. 判刑, 责备, 谴责
"
constant,"n. 常数, 恒量
a. 不变的, 一定的, 时常的
"
convey,"vt. 传达, 运输, 转让
"
deficiency,"n. 缺乏, 不足
"
despise,vt. 轻视
discourse,"n. 谈话, 演讲
vi. 谈话, 讲述"
earnest,"n. 定金, 诚挚, 认真
a. 认真的, 热心的, 重要的"
embody,"vt. 具体表达, 使具体化
"
envy,"n. 羡慕, 嫉妒
vt. 羡慕, 嫉妒"
exception,"n. 例外, 除外, 异议
"
exceptional,"a. 例外的, 异常的, 特别的"
