golden,"a. 金的, 含金的, 金色的, 贵重的, 繁盛的
"
crown,"n. 王冠, 王权, 顶点
vt. 使成王, 加冕, 居...之顶"
Olympics,n. 奥林匹克运动会
agreement,"n. 同意, 合约, 协议
"
confirmation,"n. 证实, 证明, 批准, 确认
"
pot,"n. 盆, 罐, 壶, 坩埚, 奖杯
vt. 装入盆中, 在锅中煮, 随手射击
vi. 随手射击"
doubt,"n. 怀疑, 疑惑
v. 怀疑, 不信"
real,"a. 真的, 真实的, 实际的, 实在的, 不动(产)的, 实数的
n. 实数, 现实
adv. 真正地"
truth,"n. 事实, 实情
"
seem,"vi. 象是, 似乎"
solve,"vt. 解决, 付给, 溶解
vt. 求解
vi. 求解
"
fill,"vt. 装满, 填充, 弥漫, 供给, 满足, 供应
vi. 充满, 变得沉重
n. 满足, 装满, 充分, 填方
vt. 填充
vi. 填充
"
bowl,"n. 碗, 木球, 大酒杯
v. 滚木球, 快而稳地行驶"
displace,"vt. 移置, 替换, 转移"
less,"n. 较少, 较小
a. 少的, 小的
adv. 较少, 较小, 较差
"
metal,"n. 金属, 金属制品, 合金, 本质, 质料
a. 金属制的
vt. 以金属覆盖"
certain,"a. 确定的, 某一个的, 必然的
"
prison,"n. 监狱, 监禁, 拘留所
vt. 监禁"
boxing,"n. 拳击
"
racing,"n. 赛马, 赛车
"
wrestling,n. 摔跤
hit,"n. 打击, 打, 冲撞, 讽刺
vt. 打, 打击, 碰撞, 打中, 袭击, 偶然碰上
vi. 打, 打中, 打击, 碰撞, 偶然碰上
"
brave,"a. 勇敢的, 美好的, 华丽的
n. 勇敢者
vt. 勇敢地面对"
punctuation,"n. 标点, 标点符号
"
correct,"a. 正确的, 合适的
vt. 改正, 订正"
mistake,"n. 错误, 误会
vi. 犯错, 误认
vt. 误解, 弄错
"
happy with,[网络] 乐意
be happy with,[网络] 对……感到满意；对…满意；高兴
fill ... with ...,"v. 充满
"
run over,"跑过去, 溢出, 超过限度, 扼要复述, 匆匆看, 辗过
"
send ... to prison,无
make sure,确定
mind,"n. 思想, 愿望, 智力, 记忆, 心理, 情绪, 理智, 主意, 心意
vi. 介意, 注意, 留心
vt. 注意, 留意, 专心于, 照看, 介意"
astronomer,n. 天文学家
genius,"n. 天才, 天赋, 精神, 神魔
"
consider,"v. 考虑, 思考, 认为"
sense,"n. 感应, 感觉, 感官, 意识, 观念, 情理, 知觉, 理智
vt. 感觉, 觉察, 检测
"
humour,"n. 幽默, 诙谐, 情绪, 体液
vt. 使满足, 迁就"
invitation,"n. 邀请, 请柬, 引诱
"
theory,"n. 理论, 学说, 原理, 意见, 推测
"
university,n. 大学
pleasure,"n. 快乐, 愉快, 令人高兴的事, 娱乐, 希望
v. (使)高兴"
avoid,"vt. 避免, 防止, 撤消
"
lecture,"n. 演讲, 谴责, 讲稿
vt. 演讲, 训诫, 说教
vi. 讲演"
tonight,"n. 今晚, 今夜
adv. 今晚, 今夜"
audience,"n. 听众, 观众, 读者
"
trust,"n. 信任, 信赖, 相信, 受托, 职责, 信心, 托拉斯
a. 信托的, 托拉斯的
vt. 信赖, 信任, 相信, 盼望, 赊卖给
vi. 相信, 信赖, 依靠
"
seat,"n. 座, 座位, 位子, 席位, 所在地
vt. 使坐下, 使就座, 为...设座于, 使就职
vi. 安装在底座上"
applause,"n. 鼓掌, 喝彩, 赞许"
pale,"n. 栅栏, 界线, 范围
a. 苍白的, 暗淡的, 无力的
vi. 变苍白, 变暗, 失色
vt. 使变苍白, 使失色, 用栅栏围"
achievement,"n. 完成, 成就, 功业"
universe,"n. 宇宙, 星系, (思想等)范围"
philosopher,"n. 哲学家, 哲人, 思想开创人, 达观的人
"
obey,"vt. 服从, 遵从, 顺从
vi. 服从"
reduce,"vt. 减少, 分解, 降低, 使衰退, 把...分解, 把...归纳
vi. 减少, 减肥, 缩小
"
exactly,"adv. 确切地, 精确地, 恰好, 完全地, 确实, 恰恰正是, 确实如此"
action,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼
vt. 对...起诉
"
sense of humour, 幽默感
let ... down,"na. 使失望；放下；丢面子
"
by heart,"凭记忆, 记住"
take a seat,坐下
without difficulty,"容易地, 毫不费力地"
join in,"参加, 加入"
have no idea, 不知道，不了解; 没谱儿
in trouble,"处于不幸中, 在监禁中"
be in trouble,"处于危险〔受罚, 痛苦〕之中"
play a joke on sb.,戏弄某人；对…恶作剧；开…的玩笑
turning point,"转折点
"
a series of,"一系列..., 一批..."
meal,"n. 一餐, 膳食, 粗粉
vi. 进餐"
share,"n. 部分, 参与, 一份, 参股, 份额
vt. 均分, 分担, 分享, 分配, 共有
vi. 分享
"
decision,"n. 决定, 决心, 决断
"
possessions,n. 所有物（possession的复数形式）；财产
expect,"vt. 预期, 盼望, 期待"
abroad,"adv. 往国外, 到室外, 到处
a. 往国外的, 在室外的, 广泛四散的"
business,"n. 生意, 事情, 业务, 商业, 商行, 职责
"
personal,"a. 私人的, 涉及隐私的, 有人性的, 人称的, 亲自的, 身体的
"
set,"n. 日落, 同伙, 组合, 集合, 装置
vt. 放, 安置, 放置, 设定, 使凝结, 点燃, 确定, 点缀, 使就位, 树立, 分配, 调整
vi. 日落, 凝固, 定型, 搁住, 结果, 适合
a. 决心的, 规定的, 故意的, 持久的, 固定的, 老套的, 准备好的
"
daughter,"n. 女儿
a. 女儿的"
mind,"n. 思想, 愿望, 智力, 记忆, 心理, 情绪, 理智, 主意, 心意
vi. 介意, 注意, 留心
vt. 注意, 留意, 专心于, 照看, 介意"
fashionable,"a. 时髦的, 上流社会的, 流行的"
fashion,"n. 流行, 风尚, 时样
vt. 形成, 造, 作"
out of date,"过时的, 废弃的
"
iron,"n. 铁, 熨斗, 铁器, 坚强, 烙铁, 镣铐
vt. 烫平, 熨, 用铁包
vi. 烫平"
event,"n. 事件, 结果, 事情的进程, 竞赛项目
"
suppose,"vt. 推想, 假设, 以为, 想像, 假定
vi. 料想"
either,"a. (两者之中)任一的, (两者之中)各一的
pron. (两者之中)任一
conj. 或, 要么"
relationship,"n. 关系, 关联
"
invite,"vt. 邀请, 请求, 引起, 招致
n. 邀请"
cost,"n. 代价, 价值, 费用
vi. 花费
vt. 使失去, 值, 使花费"
type,"n. 类型, 样式, 典型, 榜样, 标志, 符号, 型, 式
vi. 打字
vt. 作为代表, 测定类型, 用打字机打
"
help with,"v. 帮助
"
on business,因公
be on business,无
have no interest in,对…不[不太]感兴趣
online,[计] 联机
model,"n. 模型, 模范, 模特儿
a. 模范的, 作模型用的
vi. 做模型, 做模特儿
vt. 使模仿, 塑造
"
diet,"n. 日常饮食, 议会
vt. 照规定饮食
vi. 忌食"
though,"adv. 然而, 可是
conj. 虽然, 纵然"
awful,"a. 可怕的, 庄严的, 虔敬的"
regret,"n. 遗憾, 后悔, 悔恨, 抱歉, 歉意
vt. 为...感到遗憾, 后悔, 惋惜, 懊悔, 抱歉
vi. 感到抱歉"
ashamed,"a. 惭愧的, 羞耻的"
situation,"n. 情形, 境遇, 位置
"
braces,n. 背带
hate,"n. 憎恨, 恨, 厌恶
vt. 憎恨, 憎恶
vi. 仇恨"
advantage,"n. 优点, 便利, 好处, 优势
vt. 有助于"
embarrassed,a. 尴尬的；窘迫的
suggest,"vt. 提议, 建议, 促成, 暗示, 启发, 使人想起
"
mad,"a. 疯狂的, 发疯的, 生气的, 愚蠢的, 狂欢的
n. 狂怒"
mess,"n. 食堂, 伙食, 用膳, 一份食品, 混乱, 乱七八糟, 困境
vt. 将...弄糟, 妨碍, 使紊乱, 使就餐
vi. 陷入困境, 搞乱, 用膳"
annoying,"a. 恼人的, 讨厌的"
fail,"vi. 失败, 缺乏, 中断, 衰退, 失灵
vt. 忘记, 使...失望, 缺乏, 不及格
n. 不及格"
careless,"a. 粗心的, 不关心的, 无忧无虑的"
comment,"n. 注解, 批评, 评论, 备注
vi. 评论, 注解
"
request,"n. 请求, 需要, 申请书
vt. 请求, 要求, 邀请
"
polite,"a. 有礼貌的, 文雅的, 客气的, 有教养的"
none,"adv. 一点也不, 毫不
pron. 没有人, 无一物, 并无一个
a. 没有的"
exam,"n. 考试, 测验"
on a diet,"按规定进食,进规定的饮食"
be on a diet,"进规定的饮食, 节食"
laugh at,"嘲笑, 漠视, 因...发笑"
feel at,用手摸摸看
feel ashamed of,[网络] 对…感到惭愧；感到羞愧；对……感到羞愧
drive sb. mad,un. 变疯
make a mess,"制造混乱;拉屎,解大便"
out of place,"不在合适位置, 不合适"
none of one's business,无
hear from,"接到...的信, 受...批评"
praise,"n. 赞美, 称赞, 崇拜
vt. 称赞, 赞美
vi. 赞扬, 表扬"
view,"n. 视野, 风景, 见解, 视力, 观看, 视图, 指望, 意图, 印象
vt. 看, 考虑, 视察, 查看, 估量
"
script,"n. 手迹, 手稿, 正本, 手写体
vt. 改编为演出本
"
director,"n. 主管, 导演, 董事
"
