defensive,"a. 防卫的, 防备用的, 自卫的
n. 守势, 防卫姿势, 防卫物"
criticise,"v. 批评, 吹毛求疵, 非难"
apply,"vt. 涂, 应用
vi. 申请, 适用"
negative,"n. 否定, 否定语, 负数, 底片
a. 否定的, 消极的, 负的, 阴性的
n. 负数, 负值
"
stereotype,"n. 铅版, 陈规, 老套
vt. 使用铅版, 把...印制成盲文, 套用老套, 使一成不变"
boost,"n. 推进, 吹捧
vt. 推进, 提高, 宣扬, 促进"
esteem,"n. 尊敬, 尊重
vt. 尊敬, 尊重, 认为"
affirm,"v. 断言, 确认"
boast,"n. 吹牛
vi. 吹牛, 自夸
vt. 夸口说, 自恃有"
deliberate,"a. 深思熟虑的, 故意的, 从容的
v. 仔细考虑"
empirical,"a. 完全跟据经验的, 经验主义的
"
false,"a. 错误的, 虚伪的, 假的, 不老实的
adv. 不准确地, 欺诈地"
flatter,"vt. 奉承, 阿谀, 使高兴
"
genuine,"a. 真正的, 真实的, 诚恳的
"
identify,"vt. 识别, 认为...等同于, 确定, 使参与
vi. 一致, 认同"
intuition,"n. 直觉, 直觉的知识"
oversee,"vt. 向下看, 了望, 监督, 偷看到
"
paradise,"n. 天堂, 乐园, 伊甸园"
participant,"n. 参加者, 参与者
a. 有份的, 参加的, 参与的"
portray,"vt. 描绘, 描写, 描绘...的肖像"
profile,"n. 侧面, 轮廓, 传略
vt. 描绘...轮廓, 写...的传略
"
profound,"a. 极深的, 深厚的, 深刻的, 渊博的"
recognition,"n. 赞誉, 认得, 识别, 承认, 认可, 认识
"
reflection,"n. 反映, 沉思, 映像, 想法, 责难
"
scale,"n. 刻度, 衡量, 比例, 比例尺, 数值范围, 等级, 规模, 天平, 秤, 鳞, 积垢
vt. 依比例决定, 攀登, 测量, 绘制, 刮鳞, 使生垢, 过秤
vi. 剥落, 生水垢, 重量为, 攀登, 衡量
"
sense,"n. 感应, 感觉, 感官, 意识, 观念, 情理, 知觉, 理智
vt. 感觉, 觉察, 检测
"
superiority,"n. 优越, 高傲
"
vain,"a. 无价值的, 徒然的, 空虚的, 自负的, 愚蠢的"
complain,"v. 抱怨, 抗议, 控诉"
curse,"n. 咒骂, 诅咒
vt. 诅咒, 咒骂"
damn,"n. 一点, 诅咒, 丝毫
interj. 该死, 该死的
vt. 诅咒, 罚...下地狱
vi. 指责, 谴责, 骂...该死, 证明...有罪"
despise,vt. 轻视
humiliate,"vt. 使丢脸, 使蒙羞, 屈辱"
insult,"n. 侮辱, 无礼, 损害
vt. 损害, 侮辱, 攻击"
lash,"n. 鞭子, 鞭打, 睫毛, 责骂, 讽刺
vt. 鞭打, 摆动, 扎捆, 冲击, 讽刺, 煽动
vi. 冲洗, 鞭打, 责骂"
offend,"v. 犯罪, 冒犯, 违反, 进攻"
reproach,"n. 责备, 耻辱
vt. 责备, 申斥, 使丢脸"
scold,"n. 好骂街的人, 责骂
v. 责骂"
underestimate,"n. 低估
vt. 低估, 看轻"
devoted,"a. 投入的, 深爱的"
concertgoer,n. 常参加音乐会者
reply,"n. 答复, 回答, 答辩
vi. 答复, 回答, 回击, 反响, 答辩
vt. 回答
"
recording,"a. 记录的, 记录用的
n. 录音"
substitute,"n. 代理, 代理人, 代用品, 代替者, 代替物
vt. 代替
vi. 替代, 取代, 代用
a. 代替的, 代用的, 代用品的
"
live,"a. 活的, 生动的, 精力充沛的, 实况转播的
vi. 活, 生存, 居住
vt. 过着, 度过, 经历
adv. 实况地"
performance,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出
"
miss the point,"na. 抓不着要点；不得要领；不懂(俏皮话等的)妙处
"
abnormal,"a. 反常的, 不规则的, 变态的, 畸形的
n. 畸形的人"
accustomed,"a. 惯常的, 习惯了的"
activate,"vt. 使活动, 使激活, 正式建成
vi. 有活力"
announcement,"n. 公告, 发表, 告知
"
artistic,"a. 艺术的, 艺术家的, 富有艺术性的"
art-loving,爱好艺术的
attract,"vt. 吸引, 诱惑
vi. 有吸引力"
audience,"n. 听众, 观众, 读者
"
availability,"n. 有效性, 可利用性, 可利用的人
"
boot up, [计]引导，启动
brisk,"a. 强烈的, 寒冷而干燥的, 活泼的
vt. 使活泼
vi. 活跃起来"
classical music,n. 古典乐; 严肃音乐
comparatively,"adv. 比较地, 相对地"
conductor,"n. 领导者, 指挥者, 售票员, 向导
"
description,"n. 描述, 说明, 种类
"
divine,"a. 神的, 神圣的, 非凡的
n. 神学家"
ever since,从那时到现在
favorable,"a. 有利的, 赞许的, 良好的"
favourable,"a. 有用的, 良好的, 赞成的, 顺利的
"
formidable,"a. 巨大的, 优秀的, 可怕的, 艰难的"
hitherto,"adv. 迄今, 至今"
holy,"a. 神圣的, 圣洁的, 至善的
n. 神圣的东西"
impressive,"a. 给人深刻印象的, 威严的"
instrumentalist,n. 工具主义者；乐器演奏家
interesting,a. 有趣的
invisible,"a. 看不见的, 无形的
"
iTunes,n. 苹果公司最热门音乐软件（苹果公司开发的与iPod搭配的在电脑上使用的音乐播放器和音乐管理器）
listener,"n. 收听者, 听众"
markedly,"adv. 显著地, 醒目地, 明显地"
museum,n. 博物馆
music director,n. 音乐指挥；指挥家
musician,"n. 音乐家, 乐师, 作曲家"
mysterious,"a. 神秘的, 难解的, 不可思议的"
novelty,"n. 新奇, 新鲜, 新奇的事物"
opera house,n. 歌剧院
orchestra,"n. 管弦乐队, 乐队演奏处"
philharmonic,"a. 爱好音乐的, 交响乐团的, 爱乐团体的
n. 音乐爱好者, 音乐协会, 音乐会, 交响乐团"
quality,"n. 品质, 特性, 才能, 质量
a. 优质的
"
relay,"n. 驿马, 替班, 中继, 接力
vt. 分程传递, 转播, 使接替
vi. 接力传送, 转播"
retrospect,"n. 回顾, 追忆, 回溯
v. 回顾, 追忆"
sober,"a. 未醉的, 稳重的, 节制的, 严肃的, 不夸大的, 合理的, 朴素的
vt. 使醒酒, 使严肃
vi. 从醉里醒来, 变严肃"
solemn,"a. 严肃的, 郑重的, 庄严的"
troupe,"n. 团, 班, 一伙
vi. 巡回演出"
unpretentious,"a. 不铺张的, 不炫耀的, 不装模作样的, 不招摇的, 谦逊的, 质朴的"
vibrant,"a. 振动的, 战栗的, 响亮的, 活跃的"
ant,n. 蚂蚁
predatory,"a. 掠夺成性的, 捕食生物的, 掠夺的
"
insect,"n. 昆虫, 卑鄙的人
"
aphid,n. 蚜虫
spammer,n. 垃圾邮件制作者
inbox,[计] 入站
abuse,"n. 滥用, 虐待, 恶习, 辱骂
vt. 滥用, 辱骂, 虐待"
acquire,"vt. 获得, 学到
"
appear,"vi. 出现, 显得, 来到
"
astonish,vt. 使惊讶
chain,"n. 链, 枷锁, 束缚
vt. 用铁练锁住, 束缚, 囚禁"
clumsy,"a. 笨拙的, 不雅观的, 粗陋的"
commission,"n. 委任状, 任官令, 所委职责, 佣金, 犯, 委托, 所托之事
vt. 委任, 委托制作, 使服役"
compare,"vt. 比较, 比喻, 对照
vi. 相比
n. 比较
"
compete,"vi. 竞争, 对抗"
competition,"n. 竞争, 竞赛
"
consume,"vt. 消耗, 消费, 消灭
vi. 耗尽, 毁灭"
convert,"n. 皈依者, 改变宗教信仰者
vt. 使改变信仰, 转换, 兑换, 倒置
vi. 皈依
"
current,"n. 涌流, 趋势, 流
a. 流通的, 现在的, 当前的, 流行的
"
dominate,"v. 支配, 占优势"
enemy,"n. 敌人, 仇敌, 敌军
a. 敌人的"
giant,"n. 巨人, 大力士, 巨大怪物
a. 庞大的, 巨大的"
guarantee,"n. 担保, 抵押品, 保证书
vt. 保证, 担保"
identity,"n. 身份, 相同, 一致, 特性, 恒等式
"
imbalance,"n. 不平衡, 不均衡
"
incidentally,"adv. 伴随地, 偶然, 顺便"
incorporate,"a. 合并的, 组成公司的, 一体化的
vt. 吸收, 合并, 使组成公司, 体现
vi. 合并, 混合, 组成公司"
input,"n. 输入, 输入电路
vt. 输入
"
intricate,"a. 复杂的, 错综的, 缠结的, 难懂的"
liable,"a. 有义务的, 应负责的, 有...倾向的
"
notwithstanding,"adv. 虽然, 尽管
prep. 尽管
conj. 虽然"
pace,"n. 速度, 步调, 步法
vi. 踱步, 缓慢走
vt. 用步测, 踱步于"
prosperous,"a. 成功的, 繁盛的, 幸运的
"
purchase,"n. 购买, 购买品, 紧握, 绞辘
vt. 购买, 赢得, 努力取得, 用滑轮起(锚等)"
reciprocal,"a. 互惠的, 相互的, 相等的, 倒数的, 彼此相反的
n. 倒数, 互相起作用的事物"
record,"n. 记录, 履历, 档案, 审判记录, 最高纪录, 唱片
vt. 记录, 记载, 标明, 将...录音
vi. 记录, 录音, 可被录音
a. 创纪录的
"
repay,"v. 偿还, 报答, 报复"
replace,"vt. 代替, 替换, 放回, 归还
"
resort,"n. 度假胜地, 手段, 凭借, 常去之地
vi. 诉诸, 常去"
reveal,"vt. 露出, 显示, 透露, 揭露, 泄露, (神)启示
n. 窗侧, 门侧"
scheme,"n. 方案, 计划, 组合, 系统, 图解, 诡计, 阴谋
v. 计划, 设计, 图谋, 策划
"
undertake,"vt. 试图, 从事, 保证, 承担, 同意, 接受
"
update,"vt. 更新, 使现代化
n. 更新
"
utilize,vt. 利用
venture,"n. 冒险, 风险
vt. 敢于, 冒...的危险
vi. 冒险"
via,"prep. 经由, 经过, 通过
"
virtual,"a. 实际上起作用的, 虚的, 实质的, 有效的, 事实上生效的
"
whatsoever,pron. 无论什么
whip,"n. 鞭子, 抽打, 车夫, 搅拌器
vt. 鞭打, 搅拌, 煽动, 召集, 仓促制成
vi. 拍击, 急走, 抽打"
continue,"vi. 继续, 延续, 延长
vt. 使继续, 使延长"
treat,"n. 宴请, 款待
vt. 视为, 对待, 论述, 治疗, 款待
vi. 讨论, 谈判, 作东"
wholly,"adv. 完全地, 整个, 统统, 全部
"
control,"n. 控制, 管理, 克制, 控制器, 操纵装置
vt. 控制, 操纵, 抑制
"
unleash,"vt. 解开...的皮带, 发出, 发动"
necessity,"n. 需要, 必需品, 必然
"
adverse,"a. 不利的, 敌对的, 相反的, 逆的
"
agency,"n. 代理机构, 经销商, 中介
"
aggravate,"vt. 使恶化, 使更严重, 加重"
agony,"n. 极大的痛苦, 挣扎
"
annual,"n. 年刊, 年报
a. 每年的, 一年一次的, 全年的, 一年生的"
ash,"n. 灰, 灰烬
"
attack,"n. 攻击, 抨击
vt. 攻击, 抨击, 动手干
vi. 攻击"
billion,"num. 十亿, 十亿个"
blast,"n. 一阵风, 爆炸, 枯萎病
vt. 炸, 使枯萎
vi. 炸, 猛攻, 猛烈抨击, 枯萎"
blaze,"n. 火焰, 烈火, 光辉
vi. 燃烧, 发光
vt. 使燃烧, 宣布, 在树皮上刻痕"
burst,"n. 破裂, 突发, 爆发
v. 爆裂, 突发, 充满
"
casualty,"n. 意外事故, 伤亡, 受害者
"
catastrophe,"n. 大灾难, 大祸
"
clash,"n. 冲突, 撞击声, 抵触
vi. 冲突, 抵触
vt. 使发出撞击声
"
disperse,"vt. 分散, 传播, 散开
vi. 分散
a. 分散的
"
dissipate,"vt. 散失, 驱散, 浪费
vi. 消散, 放荡"
district,"n. 区域, 地方
"
ecology,"n. 生态学, 社会生态学
"
emergency,"n. 紧急状况, 紧急事件, 紧急需要
"
emission,"n. 发射, 射出, 发行
"
emit,"vt. 发出, 放射, 发表(意见等), 散发, 发行
"
enclosure,"n. 附件, 围墙, 围绕
"
evacuate,"v. 疏散, 撤出, 排泄"
expenditure,"n. 开支, 费用, 用光, 消费额
"
expense,"n. 费用, 代价, 开支, 损失
"
explode,"vi. 爆炸, 爆发, 激增
vt. 使爆炸"
extinguish,"vt. 熄灭, 使消亡, 压制, 使减色
"
fight,"n. 打架, 争吵, 斗志
v. 对抗, 打架"
flame,"n. 火焰, 火舌, 热情, 光辉
vt. 焚烧, 用火焰给...灭菌, 用火焰传送(信号), 点燃, 激动
vi. 燃烧, 爆发, 闪耀
"
frequency,"n. 频率, 频数
"
heap,"n. 堆, 许多, 累积
vt. 堆积, 装满
"
ignite,"vt. 点燃, 使灼热, 使兴奋"
incidence,"n. 发生, 发生率, 影响, 负担者, 入射, 倾角
"
incident,"n. 事件, 事变, 小事
a. 附带的, 易于发生的, 外来的, 入射的"
inclusive,"a. 包含的, 包括的"
leak,"n. 漏洞, 漏处, 漏出, 泄漏
vi. 漏, 泄漏
vt. 使渗漏"
magnify,"vt. 放大, 扩大, 赞美, 夸大
vi. 有放大能力"
percentage,"n. 百分比, 比率, 部分, 可能性
"
pile,"n. 堆, 大堆, 大厦, 建筑群, 电池, 大量, 桥桩, 软毛, 痔疮
vi. 堆起, 堆积, 积累, 挤, 猛烈攻击
vt. 堆于, 累积, 堆叠, 打桩于, 用桩支撑"
precaution,"n. 预防, 留心, 警戒
vt. 预先警告"
problem,"n. 问题, 难题
a. 成问题的, 难处理的"
quench,"vt. 熄灭, 结束, 使冷却, 将...淬火
vi. 熄灭, 平息"
roast,"n. 烤肉, 烘烤, 嘲笑
a. 烘烤的, 烤过的
vt. 烤, 炙, 烘焙, 嘲笑
vi. 烤, 炙, 烘焙"
simplify,"vt. 单一化, 简单化"
sparkle,"n. 闪耀, 火花, 活力, 发泡
vi. 闪耀, 冒火花
vt. 使闪耀"
specialist,"n. 专门医师, 专家
a. 专业的, 专家的"
spend,"vt. 花费, 浪费, 度过, 消耗, 消磨
vi. 花费, 用尽"
toward,"prep. 向, 对于, 为了
a. 即将来临的, 进行中的"
board,"n. 木板, 甲板, 膳食, 会议桌
vt. 乘船, 供膳食, 用板覆盖
vi. 搭伙
"
scrutinize,"vt.vi. 细看, 仔细检查, 审查, 细阅
"
succession,"n. 连续, 继承权, 继位, 演替, 地层次序
"
response,"n. 反应, 回答, 响应
"
shareholder,"n. 股东
"
pressure,"n. 压, 榨, 按, 强制, 压力, 压迫, 压强
vt. 迫使, 使增压, 密封"
executive,"n. 执行部门, 执行委员会, 执行者, 经理主管人员
a. 执行的, 善于执行的, 善于经营的
"
nod,"n. 点头, 打盹, 晃动
vi. 点头, 打盹
vt. 点头表示, 点(头)"
wish,"n. 希望, 愿望, 祝愿, 命令, 请求
vt. 愿, 想要, 希望, 祝愿
vi. 希望"
move on,继续前进
abound,"vi. 大量存在, 富于, 充满"
acceptable,"a. 可接受的, 合意的, 可忍受的"
adhere,"vi. 依附, 粘着, 坚持, 追随, 拥护
vt. 使粘附"
ambition,"n. 野心, 志向"
aspiration,"n. 热望, 志向, 渴望
"
aspiring,"a. 有抱负的, 有志气的"
broadcast,"n. 广播, 传播
a. 广播的
v. 广播
adv. 经广播, 四散地
"
business,"n. 生意, 事情, 业务, 商业, 商行, 职责
"
candidate,"n. 候选人, 投考者
"
cautious,"a. 谨慎的, 小心的"
chairman,"n. 主席, 会长
"
chief,"n. 领袖, 酋长, 长官, 主要部分
a. 主要的, 首位的"
cloak,"n. 斗蓬, 大氅, 掩护
vt. 遮掩, 隐匿, 使披斗蓬"
cloud,"n. 云, 阴暗, 烟雾, 疑团
vt. 以云遮敝, 笼罩, 使黯然
vi. 乌云密布, 阴沉"
commodity,"n. 农产品, 商品, 有用的物品
"
deputy,n. 副手，代理人
disgrace,"n. 耻辱, 不名誉
vt. 使受耻辱, 使失体面"
environment,"n. 环境, 外界, 围绕
"
excuse,"vt. 原谅, 申辩, 做为...的托辞
n. 致歉, 理由, 饶恕, 借口"
exit,"n. 出口, 退场, 离去, 去世
vi. 退出, 脱离, 去世
"
explanation,"n. 解释, 说明, 辩解, 表明
"
financial,"a. 财政的, 金融的
"
financial crisis,"[经] 财政危机, 金融危机"
goal,"n. 目标, 终点, 得分, 球门, 守门员
vi. 攻门, 射门得分"
headhunter,"n. (原始社会中)猎取人头者, 物色人才的人"
Internet-based,[网络] 以网络为基础的；网考；基于互联网
manager,"n. 经理, 管理员, 管理器
"
message,"n. 消息, 通讯, 讯息, 教训, 预言, 广告词
vt. 通知
vi. 通报, 报告, 报信
"
nervous,"a. 神经紧张的, 不安的, 神经的
"
poach,"vt. 水煮(蛋), 偷猎, 侵入, 窃取
vi. 偷猎, 陷入泥中"
president,"n. 总统, 总裁, 董事长, (学院)院长, (大学)校长, 主管人, 主持人
"
pronouncement,"n. 声明, 公告, 宣言, 宣告, 发表, 意见, 决定
"
pursue,"vt. 追赶, 追踪, 追随, 追求, 实行, 继续, 从事
vi. 追赶, 继续"
quit,"vi. 离开, 辞职, 停止
vt. 离开, 放弃, 使解除, 停止
n. 离开
"
recovery,"n. 恢复, 复原, 痊愈, 重获
"
recruiter,"n. 招聘人员, 征兵人员"
senior,"n. 年长者, 资深者, 毕业班学生
a. 年长的, 高级的, 资深的"
straight up,"真的,确实"
surprisingly,"adv. 使人惊奇, 出人意外, 惊人, 令人惊讶"
turbulent,"a. 狂暴的, 骚乱的, 紊乱的"
unconventional,"a. 不依惯例的, 非传统的, 非常规的"
usual,"a. 平常的, 通常的"
accordingly,"adv. 相应地, 因此, 于是"
adore,"vt. 崇拜, 爱慕, 喜爱
vi. 崇拜, 爱慕"
applaud,"v. 拍手喝彩, 称赞, 赞同"
applause,"n. 鼓掌, 喝彩, 赞许"
approve,"vt. 赞同, 核准, 为...提供证据
vi. 赞许"
commend,"vt. 嘉奖, 委托给, 推荐"
conform,"vt. 使一致, 使遵守, 使符合
vi. 一致, 符合, 适应"
consent,"n. 同意, 许可
vi. 同意, 赞同"
extra,"n. 额外的事物, 另外的收费
a. 额外的, 特别的
adv. 额外地, 特别地, 非常地"
contribution,"n. 捐助, 捐助之物, 贡献
"
stand out,"突出, 坚持抵抗"
abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
automation,"n. 自动化, 自动操作
"
batch,"n. 一次所烘的面包, 一次所制之量, 一组, 批, 成批, 分批
v. 成批, 分批处理
"
cotton,"n. 棉花
vi. 和谐, 有好感, 理解"
deficit,"n. 赤字, 不足额
"
discard,"vt. 丢弃, 抛弃
vi. 垫牌
n. 垫牌, 抛弃"
erase,"vt. 抹去, 擦掉
"
fluctuate,"vi. 变动, 起伏, 动摇
vt. 使波动, 使动摇"
foreign,"a. 外国的, 外交的, 外省的, 外来的, 不相关的
"
impair,"vt. 损害, 减少, 削弱
"
impetus,"n. 动力, 推动力, 动量
"
joke,"n. 笑话, 玩笑, 笑柄
v. 开玩笑, 取笑, 作弄"
machine,"n. 机器, 机械装置, 机构, 自动售货机, 机械般工作的人
vt. 以机器制造"
manufacture,"n. 产品, 制造
vt. 制造, 假造
vi. 制造"
