strategy,"n. 战略, 策略
"
means,"n. 方法, 手段, 工具, 财产, 收入
"
diligence,n. 勤奋
diligent,"a. 勤勉的, 用功的"
prolonged,"a. 延续的, 长时间的"
prolong,"vt. 延长, 拖延, 拖长
"
nevertheless,"adv. 然而, 虽然如此
conj. 然而"
command,"n. 命令, 指挥, 控制, 部队, 司令部
v. 命令, 指挥, 控制
"
sustained,"a. 持续的, 持久不变的, 持久的, 不懈的
"
sustain,"vt. 承受, 支持, 供养, 继续, 忍受, 蒙受, 证实, 准许
"
helpful,"a. 有帮助的, 有益的, 有用的"
complain,"v. 抱怨, 抗议, 控诉"
complaint,"n. 诉苦, 抱怨, 控诉
"
memorize,"vt. 记住, 熟记, 背熟"
cram,"vt. 塞满, 填满, 猛吃
vi. 贪吃
n. 极度拥挤, 死记硬背"
bound,"n. 跃, 回跳, 范围, 边界
a. 受约束的, 装有封面的, 有义务的, 关联的, 被束缚的, 准备去...的, 便秘的
vi. 跳跃, 弹起
vt. 使跳, 限制, 形成...的疆界
bind过去式和过去分词
"
constant,"n. 常数, 恒量
a. 不变的, 一定的, 时常的
"
commit,"vt. 委托(托付), 犯罪, 指派...作战, 使承担义务
"
acquaintance,"n. 认识, 相识者"
concentrate,"n. 浓缩, 精选
v. 集中, 专心"
concentrate on,"集中, 全神贯注于"
effective,"a. 有效的, 有力的, 实际的
n. 有生力量"
route,"n. 路径, 途径, 路线
vt. 确定路线, 按规定路线发送
"
enlarge,"vt. 扩大, 增大
vi. 扩大, 详述"
vocabulary,"n. 词汇(量), 词汇表
"
idiomatic,"a. 符合语言习惯的, 惯用的, 有许多习语的"
idiom,"n. 习语, 成语, 惯用语法, 方言"
usage,"n. 用法, 使用, 习惯, 惯用法, 习惯法
"
basis,"n. 基础, 主要成分
"
addition,"n. 加法, 增加的人(或物)
"
movie,n. 电影
repetition,"n. 重复, 背诵, 循环, 复制品, 副本
"
opportunity,"n. 机会, 时机"
communicate,"vt. 显露, 传达, 感染
vi. 通讯"
enjoyable,"a. 可从中得到乐趣的, 令人愉快的"
campus,"n. 校园, 大学生活"
rehearse,"vt. 预演, 排演, 使熟练掌握, 练习, 复述
vi. 排练, 练习, 演习"
rehearsal,"n. 预演, 排演, 练习, 叙述, 复述
"
partner,"n. 合伙人, 股东, 伙伴, 伴侣
vt. 与...合伙, 组成一对
vi. 做伙伴, 当助手"
instance,"n. 建议, 情况, 例子, 场合
vt. 引以为例, 举例说明"
detail,"n. 细节, 详情
vt. 详述, 选派
vi. 画详图
"
purchase,"n. 购买, 购买品, 紧握, 绞辘
vt. 购买, 赢得, 努力取得, 用滑轮起(锚等)"
environment,"n. 环境, 外界, 围绕
"
reliable,"a. 可靠的, 可信赖的
"
source,"n. 来源, 水源, 根源, 原始资料, 源
"
input,"n. 输入, 输入电路
vt. 输入
"
rely,"vi. 信赖, 依赖, 信任"
rely on,"依赖, 依靠"
handle,"n. 柄, 把手, 把柄, 柄状物, 手感
vt. 触摸, 运用, 买卖, 处理, 操作
vi. 搬运, 易于操纵
n. 句柄
"
apart,"adv. 成零碎, 成距离, 分别地, 分离着
a. 分离的"
assign,"vt. 分配, 指派, 赋值
"
assignment,"n. 分配, 功课, 任务, 转让, 归因, 陈述
"
pal,"n. 朋友, 伙伴, 同志, 同谋
vi. 交友, 结伴"
motivation,"n. 动机, 刺激, 推动
"
motivate,"vt. 给与动机, 刺激, 提高...的学习欲望, 促动
"
culture,"n. 文化, 修养, 耕种
vt. 耕种, 培养"
summarize,"v. 概述, 总结"
process,"n. 程序, 进行, 过程
vt. 加工, 使...接受处理, 对...处置, 对...起诉
a. 经加工的, 有特殊光效的
"
accumulation,"n. 积聚, 累积, 积聚物
"
accumulate,"v. 积聚, 堆积"
absorb,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担
"
by no means,决不
at fault,"感到困惑, 有故障"
at a time,"每次, 在某时"
be bound to,"肯定,必然,注定;保证做某事,有义务做某事"
commit to memory,"na. 记住
"
watch out for,"戒备, 提防, 密切注意"
learn of,"听说..., 获悉..."
learn about,"学习,听说,得悉,了解"
on a regular basis, 经常; 例行的; 有规律的
on a daily basis, 每天（指一起共事）
on a weekly basis,无
in addition to,"另外, 加之, 除…之外还"
over and over again,反复地; 再三地
seek out,"搜出, 挑出"
feel free,"感到自由, 无拘束; 〈非正〉随自己之意(做某事)"
for instance,"例如
"
in detail,详细地
act out,"v. 演出
"
apart from,除了...之外
put ... into practice,"na. 实行
"
intelligence,"n. 智力, 情报, 信息
"
necessarily,"adv. 必然地, 必须地, 必要地"
weekly,"n. 周刊, 周报
a. 每周的, 一周一次的, 周刊的
adv. 每周, 一周一次"
schedule,"n. 时间表, 一览表, 计划表, 议事日程
vt. 预定, 编制目录, 制...表, 安排"
chart,"n. 图表, 海图
vt. 制成图表
"
fill in,"na. 填充；填写；同“fill”
"
decide on,"决定,选定,确定…"
aside,"n. 小声说的话, 旁白
adv. 在一边, 离开, 另外"
set aside,"na. 搁置；拨出；驳回
"
occupy,"vt. 占领, 占(时间、空间等), 住进, 担任, 使从事, 使全神贯注
"
relaxation,"n. 松弛, 放松, 减轻, 缓和, 休息, 休养
"
entertainment,"n. 娱乐, 款待, 娱乐表演"
as well,也
solve,"vt. 解决, 付给, 溶解
vt. 求解
vi. 求解
"
aware,"a. 知道的, 有觉悟的"
furthermore,"adv. 此外, 而且"
enable,"vt. 使能够
"
activity,"n. 活动, 行动, 活跃, 活力
"
adequate,"a. 适当的, 足够的
"
skim,"vt. 撇取浮沫, 略读, 掠过
vi. 擦过, 浏览
n. 脱脂乳, 擦过, 表层物
a. 撇去浮沫的"
look over,"na. 浏览；检查；察看
"
organize,"vt. 组织, 有机化, 给予生机
vi. 组织起来"
portion,"n. 部分, 一份, 命运, 嫁妆
vt. 分配, 给...嫁妆"
comprehension,"n. 理解, 包含"
go over,"转变, 仔细检查, 润色, 复习"
confuse,"vt. 使混乱, 使狼狈, 使困惑
"
textbook,n. 教科书
performance,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出
"
attitude,"n. 态度, 看法, 姿势
"
permanent,"a. 永久的, 不变的, 固定的, 持久的
n. 烫发
"
single-handed,"adj. 单手的；单独的；能使用一只手的；可以单独做的
adv. 只手；单独
"
solo,"n. 独奏, 独唱, 单独表演
a. 单独的, 独奏的, 独唱的
vi. 放单飞"
transatlantic,"a. 横渡大西洋的, 大西洋彼岸的, 美国的"
lung,"n. 肺, 肺脏, 空地
"
cancer,"n. 癌, 恶性肿瘤
"
determined,"a. 坚决的, 已下决心的"
determine,"v. 决定, 决心"
determination,"n. 决心, 果断
"
retire,"n. 隐居
vi. 引退, 退役, 退休, 退去, 撤退, 退却
vt. 使...撤退, 辞退"
voyage,"n. 航行, 航海, 航程, 旅行, 航空
vi. 航海, 航行
vt. 航行越过, 飞过"
clipper,"n. 大剪刀
"
crew,"n. 全体人员, 一群人, 全体队员
crow的过去式"
steer,"vt. 引导, 驾驶, 航行, 控制
vi. 驾驶, 掌舵, 行驶
n. 驾驶指示, 劝告"
device,"n. 装置, 设计, 策略, 发明物, 设备
"
steering device,转向器
gale,"n. 狂风, 大风, 定期租金
"
cover,"n. 盖子, 封面, 藉口
vt. 覆盖, 掩饰, 保护, 掩护, 包括
vi. 覆盖"
previously,"adv. 先, 先前, 以前, 前, (非正式)过早, 过急, 在前, 在...以前, 在先
"
previous,"a. 早先的, 前面的, 过急的
"
Australian,"n. 澳大利亚人
a. 澳大利亚的, 澳洲的, 澳洲人的"
dissuade,"vt. 劝阻
"
treacherous,"a. 不可信任的, 危险的, 背叛的, 不可靠的
"
