accord,"n. 一致, 调和, 协定
vt. 给与, 使一致
vi. 相符合"
just,"a. 正直的, 合理的, 正确的, 应得的
adv. 刚刚, 正好, 仅仅"
justice,"n. 正义, 公平, 公正, 正确, 司法, 审判"
justify,"vt. 替...辩护, 证明
vi. 证明合法
"
justification,"n. 辩护, 证明正当, 释罪
"
justifiable,"a. 可辩解的, 可证明的, 有理的
"
following,"n. 下列各项, 部下, 追随者
a. 下列的, 其次的"
economic,"a. 经济上的, 实用的, 节省的
"
economist,"n. 经济学者, 经济家
"
economics,"n. 经济学
"
economically,"adv. 节约地, 不浪费地, 节省地, 节俭地, 在经济上, 在经济学上"
view,"n. 视野, 风景, 见解, 视力, 观看, 视图, 指望, 意图, 印象
vt. 看, 考虑, 视察, 查看, 估量
"
reviewer,"n. 评论者, 书评作者, 评论家, 剧评家, 报刊评论家"
interview,"n. 面谈, 访问, 接见, 面试
vt. 接见, 对...进行面谈(试)"
worldview,n. 看; 视力; 观点; 目的
data,"pl. 资料, 数据
"
database,"n. 数据库
"
court,"n. 法院, 庭院, 奉承
vt. 献殷勤, 追求, 招致
vi. 求爱"
keep,"n. 生计, 维持, 保持
vt. 保持, 保存, 遵守, 看守, 整理, 维持, 履行, 经营, 拘留, 记帐
vi. 保持, 继续不断"
process,"n. 程序, 进行, 过程
vt. 加工, 使...接受处理, 对...处置, 对...起诉
a. 经加工的, 有特殊光效的
"
system,"n. 系统, 体系, 制度, 方式, 秩序, 分类原则
"
systematic,"a. 有系统的, 分类上的, 体系的
"
supersystem,[计] 超级系统
ecosystem,"n. 生态系统
"
lead,"n. 铅, 铅条, 领导, 超前量, 领引, 榜样, 主角, 导线
vt. 引导, 带领, 领导, 指挥, 致使, 加铅于, 用铅包
vi. 领导, 带头, 导致, 用测深锤测深, 被铅覆盖
a. 带头的, 最重要的"
mislead,vt. 误导
leadership,"n. 领导能力, 领导阶层"
effect,"n. 结果, 影响, 效果, 印象
vt. 实行, 引起, 完成
"
effectively,"adv. 有效地, 有力地, 实际上"
effective,"a. 有效的, 有力的, 实际的
n. 有生力量"
ineffective,"a. 无效的
"
ineffectual,"a. 无效的, 无益的"
value,"n. 价值, 价格, 购买力, 评价, 估价, 计算结果
vt. 评价, 估价, 重视
"
evaluate,"vt. 评估, 评价, 赋值"
evaluation,"n. 评估, 估价, 求值
"
devalue,"vt.vi. 降低...的价值, 贬值, 降低价值, 使(货币)贬值
"
overvalue,"vt. 估价过高, 过分尊重, 估计过高"
undervalue,"vt. 低估...之价值, 低估, 看轻
"
federal,"a. 联邦的, 联合的, 同盟的
"
found,"vt. 建立, 创立, 铸造
find的过去式和过去分词"
finding,"n. 发现, 发现物, 决定, 裁决
"
founder,"n. 创立者, 建立者
vt. 使沉没, 使摔倒, 弄跛, 浸水, 破坏
vi. 沉没, 摔到, 变跛, 倒塌, 失败"
scientific,"a. 科学的, 系统的, 符合科学规律的
"
call,"n. 呼叫, 访问, 打电话, 号召, 召集, 要求
vt. 呼叫, 召集, 打电话
vi. 叫喊, 访问, 叫牌
"
power,"n. 力, 体力, 力量, 势力, 动力, 权力, 强国, 乘方, 强度, 幂, 功率
vt. 使...有力量, 供以动力, 激励
"
powerful,"a. 有力的, 有权力的, 强大的
"
manpower,"n. 人力
"
powerless,"a. 无力的, 无权的, 无效能的"
researcher,n. 研究人员
require,"vt. 需要, 命令, 要求
"
requirement,"n. 需求, 必要条件, 要求
"
enquire,v. 询问
enquiry,"n. 询问
"
prerequisite,"a. 先决条件的, 必要的
n. 先决条件, 必备条件"
political,"a. 政治的, 政治上的, 政党的, 从事政治的
"
politically,adv. 政治上
politics,"n. 政治, 政治学, 政见, 政治活动
"
politician,"n. 政客, 政治家, 从事党派政治的人
"
consumer,"n. 消费者
"
consume,"vt. 消耗, 消费, 消灭
vi. 耗尽, 毁灭"
consumerism,n. 保护消费者利益运动
consumption,"n. 消费, 消费量, 痨病
"
technology,"n. 技术, 工业技术, 术语
"
technological,"a. 技术的
"
technical,"a. 技术上的, 专门的, 工业的, 严格根据法律的
"
technique,"n. 技巧, 技术, 方法
"
technically,"adv. 技术上, 学术上, 专门地"
growth,"n. 生长, 栽培, 增长
"
outgrow,"vt. 过大而不适于, 长得比...高(或大、快), 成长得不再具有..."
tend,"vi. 走向, 有某种的倾向, 易于, 照顾, 注意
vt. 照料, 护理"
fund,"n. 基金, 资金, 存款, 财源, 贮藏
vt. 提供资金, 积累"
tendency,"n. 趋向, 倾向
"
individual,"n. 人, 个人, 个体
a. 个别的, 个人的, 独特的"
journal,"n. 日记, 杂志, 日报
"
journalist,"n. 新闻记者, 从事新闻杂志业的人"
journalism,"n. 新闻业, 报章杂志
"
journalistic,"a. 新闻业的, 新闻工作者的, 报刊特有的, 新闻工作的"
lose,"vt. 遗失, 损失, 丢失, 使失去, 错过, 浪费, 迷失, 使迷路, 输去, 使沉溺于
vi. 受损失, 失败"
loss,"n. 损失, 遗失, 失败, 输, 错过, 伤亡
"
intellectual,"n. 有知识者, 知识分子, 凭理智做事者
a. 智力的, 用脑力的, 聪明的"
intellect,"n. 智力, 出众的才华, 知识分子
"
AI,"n. 【动】三趾树懒；【女名】女子名
int. 唉
"
Artificial Intelligence,[计] 人工智能
intelligent,"a. 聪明的, 智能的, 了解的"
intellectualism,"n. 智力活动, 唯理智论"
intellectualize,vt. 赋于理智
likely,"a. 有可能的, 合适的, 前途有望的
adv. 或许, 可能"
unlikely,a. 不太可能的
likewise,"adv. 同样地, 也"
alike,"a. 相似的, 同样的
adv. 一样, 以同样的方式"
likeability,[网络] 好感度；性；喜好度
likelihood,"n. 可能, 可能性"
liken,"vt. 比喻, 比拟"
theory,"n. 理论, 学说, 原理, 意见, 推测
"
theoretical,"a. 理论的, 理论上的, 假设的, 推理的
"
financial,"a. 财政的, 金融的
"
financially,adv. 金融上；财政上
professional,"n. 专业人才
a. 专业的, 职业的"
profession,"n. 职业, 表白, 声明
"
professor,n. 教授
professionalization, 职业化; 专业化
professionalism,"n. 职业特性, 专业技巧, 职业行为, 职业作风, (褒)专业人员的特质, 职业化
"
profess,"vt. 声称, 以...为业, 伪称, 讲授
vi. 表白, 承认, 当教授"
thought,"n. 想法, 思想, 思维, 关心, 挂念
think的过去式和过去分词"
thoughtful,"a. 深思的, 体贴的"
thoughtless,"a. 欠考虑的, 无深虑的, 轻率的"
site,"n. 位置, 场所, 地点
vt. 给...择址"
publish,"vt. 出版, 发行, 公开, 发表, 宣传, 公布
vi. 出版, 发行"
publication,"n. 出版物, 出版, 公布
"
publisher,"n. 出版者, 发行人
"
republican,"n. 共和主义者, 共和党员
a. 共和政体的, 共和国的, 共和主义的"
publicly,"adv. 公然地, 以公众名义"
publicize,vt. 宣传
publicity,"n. 名声, 宣传, 公开场合
"
limit,"n. 界限, 边界, 限度, 极限, 限制
vt. 限制, 限定"
limitation,"n. 限制, 缺陷, 限额
"
argument,"n. 争论, 论证, 论据, 自变量
"
decade,"n. 十年, 十"
attitude,"n. 态度, 看法, 姿势
"
class,"n. 班级, 阶级, 种类, 课
vt. 分类
"
classical,"a. 古典的, 正统派的, 经典的
"
measure,"n. 尺寸, 量度器, 量度标准, 测量, 量具, 程度, 范围, 限度, 分寸, 措施, 方法
vt. 测量, 测度, 估量, 权衡, 调节, 拿(自己或自己的力量等)作较量
vi. 度量"
measurable,"a. 可测量的, 不久的, 重要的"
product,"n. 产品, 结果, 乘积
"
produce,"n. 生产品, 物产, 后代
vt. 产生, 生产, 提出, 出示
vi. 生产, 制造"
productivity,"n. 生产力
"
production,"n. 制造, 生产, 产物
"
productive,"a. 能生产的, 有生产价值的, 多产的
"
by-product, 副产品，副产物
reproductive,"a. 生殖的, 再生的, 复制的
"
program,"n. 节目, 节目单, 程序, 纲要, 大纲, 计划
vt. 规划, 拟...计划
vi. 安排节目, 编程序
"
programme,"n. 节目, 节目单, 程序, 纲要, 大纲, 计划
vt. 规划, 拟...计划
vi. 安排节目, 编程序"
moral,"n. 道德, 品行, 寓意
a. 道德的, 品性端正的, 精神上的"
immoral,"a. 不道德的, 邪恶的, 放荡的
"
morally,"adv. 道德上, 德性上, 有道德地"
demoralization,"n. 道德败坏, 堕落, 士气低落
"
morality,"n. 道德, 教训, 品行
"
policy,"n. 政策, 方针, 策略, 保险单
"
policymaker,n. 政策制定者；决策人
infer,"vt. 推论出, 推断
vi. 作推论"
inference,"n. 推论
"
involve,"vt. 包括, 使陷于, 潜心于, 包围
"
involvement,"n. 卷入, 牵连, 包含, 困窘
"
legal,"a. 法律的, 法定的, 合法的
"
illegal,"a. 违法的, 不合规定的
"
legally,"adv. 法律上, 合法地
"
legislation,"n. 立法, 法律
"
legislative,"n. 立法机构
a. 立法的, 有立法权的"
legitimate,"a. 合法的, 正当的, 婚生的
vt. 认为正当, 立为嫡嗣, 使合法"
legitimacy,"n. 合法, 正统, 正当
"
legislature,"n. 立法机关, 议会, 立法院
"
sense,"n. 感应, 感觉, 感官, 意识, 观念, 情理, 知觉, 理智
vt. 感觉, 觉察, 检测
"
sensitive,"a. 敏感的, 易感的, 灵敏的, 感光的
"
sentiment,"n. 感情, 感伤, 情操, 情绪, 感想, 意见
"
insensitive,"a. 对...没有感觉的, 感觉迟钝的
"
insensitivity,n. 感觉迟钝；不灵敏性；昏迷
sensible,"a. 有感觉的, 敏感的, 明智的
"
sensory,"a. 知觉的, 感觉的, 传递感觉的
"
sensational,"a. 使人感动的, 非常好的"
sentimental,"a. 感伤的, 感情用事的"
unite,"vi. 联合, 接合, 混合
vt. 使联合, 统一, 使粘合, 使结合"
unity,"n. 一致, 联合, 单一(性), 个体
"
decline,"n. 衰退, 跌落, 下降
vt. 使降低, 婉谢
vi. 下降, 衰落, 偏斜"
demand,"n. 要求, 需求, 需要
v. 要求, 查询"
major,"n. 主修课, 成年人, 陆军少校
a. 主要的, 较多的, 大部分的, 成年的, 严重的
vi. 主修
"
majority,"n. 多数, 大半
"
structure,"n. 结构, 构造, 建筑物
vt. 构成, 组织"
infrastructure,"n. 基础结构, 基础设施
"
restructure,"vt. 更改结构, 重建, 调整"
structural,"a. 结构的, 建筑的
"
avoid,"vt. 避免, 防止, 撤消
"
expect,"vt. 预期, 盼望, 期待"
expectation,"n. 期待, 指望, 展望
"
expectancy,"n. 期待, 期望的事物, 嘱望, 希望, 期望, 预期
"
firm,"n. 公司, 商号
a. 坚定的, 坚强的, 牢固的, 结实的, 坚硬的, 坚挺的, 严格的, 确定的
vt. 使牢固, 使坚定
vi. 变稳固, 变坚实
adv. 稳固地"
peer,"n. 同等的人, 匹敌, 贵族
vi. 凝视, 窥视, 费力地看, 隐现
vt. 与...同等, 封为贵族"
seek,"vt. 寻求, 寻找, 探索, 追求, 搜索, 请求
vi. 寻找, 搜索
"
jobseeker,n. 求职者
mental,"a. 心智的, 精神病的, 心理的, 颏的
n. 精神病患者"
mentally,"adv. 心理上, 精神上, 智力上
"
quality,"n. 品质, 特性, 才能, 质量
a. 优质的
"
qualify,"vi. 取得资格, 有资格
vt. 使有资格, 使合格, 限定, 限制, 准予"
qualification,"n. 资格, 条件, 限制
"
qualified,"a. 有资格的
"
recent,"a. 最近的, 近代的, 最新的
"
reduce,"vt. 减少, 分解, 降低, 使衰退, 把...分解, 把...归纳
vi. 减少, 减肥, 缩小
"
reduction,"n. 减少, 缩影, 变化
"
lawyer,"n. 律师
"
lawsuit,"n. 诉讼
"
lawful,"a. 法律许可的, 守法的, 合法的
"
official,"n. 官员, 公务员, 职员
a. 公务的, 官方的, 正式的"
practice,"n. 实践, 练习, 实行, 惯例, 习惯, 开业
v. 实践, 实行, 练习, 实习, 业务"
practical,"a. 实际的, 现实的, 实用性的
"
practically,"adv. 几乎, 差不多, 事实上"
practitioner,"n. 从业者, 开业者
"
impractical,"a. 不切实际的, 不能实行的, 不现实的, 不合情理的"
malpractice,"n. 不当治疗, 不端行为, 渎职
"
security,"n. 安全, 安全性, 防护物, 保安, 可靠性, 担保人, 抵押品, 保证金
"
insecurity,"n. 不安全, 不安全感
"
focus,"n. 焦点, 焦距
vi. 聚焦, 注视
vt. 使聚焦, 调焦, 集中
"
inflation,"n. 胀大, 夸张, 通货膨胀
"
inflate,"vt. 使膨胀, 使得意, 使通货膨胀, 使充气
vi. 充气, 膨胀"
inflationary,"a. 通货膨胀的, 通货膨胀倾向的"
living,"n. 生活, 生计, 生存
a. 活的, 逼真的, 现存的"
livelihood,"n. 生计, 营生, 生活"
liveliness,"n. 活泼, 快活, 热闹"
outlive,"vt. 比...经久, 比...活得长, 度过(风暴)而健在"
patent,"n. 专利权, 许可证, 执照, 专利品, 素质
a. 专利的, 特许的, 显著的, 新奇的
vt. 取得...的专利权, 请准专利"
reform,"n. 改革, 改正, 改造
vt. 改革, 改过, 革新, 重整
vi. 革新, 改过"
transform,"vt. 使转换, 改变, 改造, 使...变形
vi. 改变, 转化, 变换
"
formation,"n. 形成, 构造, 编队
"
conformity,"n. 遵照, 适合, 一致, 相似
"
conform,"vt. 使一致, 使遵守, 使符合
vi. 一致, 符合, 适应"
uniformly,"adv. 一样, 一致, 相同, 一直不变, 一贯, 始终如一, 均质, 一律, 均匀
"
format,"n. 开本, 版式, 形式, 格式
vt. 格式化
"
base,"n. 底部, 垒, 基础, 基地
vt. 以...作基础
a. 卑鄙的, 低劣的
"
basis,"n. 基础, 主要成分
"
baseline,"n. 基线, 基准
"
