speak to,"对...说话, 说到, 责备, 证明"
mobile phone, 移动电话
phone call,n. 电话
make a phone call,[网络] 打电话；打个电话；打电话号码
Internet,[网络] 互联网；因特网；网际网路
go on the Internet,无
send,"vt. 发送, 使进入, 寄, 派遣, 发射, 使陷于
vi. 寄信, 派人, 播送
n. (船的)上升运动
"
send a message, （含蓄或通过行动）表达重要意思
read an e-book,无
e-mail, 电子函政
send an e-mail,无
out,"a. 外面的, 熄灭的, 结束的
adv. 在外, 熄灭, 出现
prep. 出自, 离去, 向"
take a message, 捎个口信
think about,"考虑, 回想"
a bowl of,[网络] 一碗；一大碗；一篓-一桶
plate,"n. 碟, 盘子, 盆中物, 金属板, 图版, 金银餐具, 印版, 金属牌(照)
vt. 镀金, 电镀, 用金属板固定, 给...装钢板, 为...制印版"
a plate of,[网络] 一盘；一盘子；一碟
a glass of, 一杯
a bottle of, 一瓶
a cup of,一杯…
a piece of,"一块..., 一片..."
anything,pron. 任何事
else,"a. 别的, 其他的
adv. 另外, 否则, 不然"
take up,"na. 拿起；举起；拾起；给搭(火车等)
"
address,"n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
"
pupil,"n. 学生, 门生, 未成年人, 瞳孔
"
actor,"n. 男演员, 行动者
"
singer,n. 歌手
reporter,"n. 记者, 报告者
"
scientist,"n. 科学家
"
police,"n. 警察, 警察当局, 治安
vt. 维持治安, 管辖"
police officer,n. 警察
player,"n. 竞赛者, 上场队员, 游戏者, 演员
"
set up,"na. 建立；创立；发起；开办
"
a hope school,无
past,"n. 过去, 昔时, 往事, 早年经历, 过去时
a. 过去的, 结束的, 卸任的, 过去时的
prep. 越过, 晚于, 超越, 超出...的可能性(能力、范围等)
pass的过去分词"
grassland,"n. 牧草地, 草原"
age,"n. 年龄, 老年, 成年, 寿命, 时代, 时期
v. 变老, 成熟"
at the age of,在…年龄的时候
lose,"vt. 遗失, 损失, 丢失, 使失去, 错过, 浪费, 迷失, 使迷路, 输去, 使沉溺于
vi. 受损失, 失败"
difficult,a. 困难的
meeting,"n. 会议, 会面
"
have a sports meeting,无
throwing,n. 投掷
meter,"n. 米, 公尺, 仪表, 计量器
vt. 以仪表计量"
race,"n. 种族, 人种, 赛跑, 比赛, 急流, 人类, 同道, 姜根
vi. 赛跑, 竞赛, 疾走
vt. 与...赛跑, 使疾走, 使猛转
"
100-meter race,无
long jump, 跳远
high,"n. 高度, 高处
a. 高的, 高级的, 主要的, 高尚的, 高原的, 高音的, 昂贵的, 傲慢的
adv. 高度地, 奢侈地"
high jump, 跳高
running race, [体]赛跑
take part in,"参与, 参加
"
anyway,"adv. 无论如何, 至少"
guess,"n. 猜测, 臆测
v. 猜测, 臆测"
wish,"n. 希望, 愿望, 祝愿, 命令, 请求
vt. 愿, 想要, 希望, 祝愿
vi. 希望"
clever,"a. 聪明的, 精明的"
outgoing,"n. 外出, 开支, 流出
a. 喜欢外出的, 即将离职的, 乐于助人的"
shy,"n. 惊跳, 惊避
a. 胆怯的, 畏缩的, 迟疑的, 羞怯的
vi. 惊退, 乱投, 乱掷, 厌恶, 避开
vt. 乱投, 乱掷"
kind,"n. 种类, 性质, 方式
a. 亲切的, 仁慈的, 和蔼的"
friendly,"a. 友好的, 亲切的, 互助的
adv. 友善地, 温和地"
hard-working,辛勤工作的
serious,"a. 严肃的, 认真的, 重要的, 严重的
"
lazy,"a. 懒惰的, 怠惰的, 缓慢的
vi. 懒散"
easy,"a. 容易的, 缓缓的, 舒适的, 从容的, 宽容的, 流畅的, 随便的, 自在的, 疲软的
adv. 容易地, 慢慢地"
understand,"vt. 理解, 了解, 领会, 听说, 懂
vi. 懂得, 认为"
Ms.,"abbr. 多发性硬化
n. “M”的复数
"
teach,"vt. 教, 讲授, 教导, 教育
vi. 教书, 教学, 可以教"
without,"prep. 没有, 不, 在...之外
adv. 在外面, 户外
n. 外面, 外部"
Mrs.,n. 先生
smile,"n. 微笑, 喜色, 笑容
vi. 微笑, 觉得好笑
vt. 微笑着表示"
get,"vt. 得到, 获得, 变成, 使得, 收获, 接通, 抓住, 染上
vi. 到达, 成为, 变得
n. (网球等)救球, 生殖, 幼兽
"
sale,"n. 出售, 卖, 拍卖, 销售额, 廉价出售
"
notebook,"n. 笔记本, 手册, 期票簿"
magazine,"n. 杂志, 仓库, 弹盒, 胶卷盒
"
glue,"n. 胶, 粘性物
vt. 粘合, 胶合"
story book,"na. 故事书
"
model plane, 模型飞机
toy car,n. 玩具车
scissors,"pl. 剪刀
"
sell,"vt. 卖, 背叛, 销售, 出卖
vi. 卖, 销售
n. 卖, 推销术, 失望"
money,"n. 金钱, 一笔款, 财富, 货币, 金额
"
before,"prep. 在...之前
conj. 在...之前
adv. 在前"
bring,"vt. 带来, 产生, 促使, 提出
vi. 生产"
and so on,等等
southeast,"n. 东南, 东南地区
a. 东南的, 向东南的, 来自东南的
adv. 往东南, 来自东南"
north,"n. 北方, 北
a. 北的, 北方的
adv. 向北方, 在北方"
northwest,"n. 西北, 西北方
a. 西北的, 在西北的, 来自西北的
adv. 向西北"
northeast,"n. 东北
a. 东北的, 向东北的, 来自东北的
adv. 向东北, 来自东北"
west,"n. 西方, 西部
a. 西方的, 向西的
adv. 向西, 自西方, 在西方"
east,"n. 东方, 东
a. 东方的, 向东的
adv. 向东方, 朝东方"
