able,"a. 能干的, 能够的"
about,"prep. 在...周围, 大约, 有关, 关于
adv. 大约, 四处, 在附近, 周围"
beside,prep. 在旁边
near,"a. 近的, 近亲的, 近似的
adv. 接近, 亲近
prep. 靠近, 近似于
v. 接近, 走近"
around,"prep. 包围, 在...周围, 四处
adv. 兜着圈子, 在附近, 到处"
surroundings,"n. 环境, 周围的事物
"
environment,"n. 环境, 外界, 围绕
"
advantage,"n. 优点, 便利, 好处, 优势
vt. 有助于"
above,"prep. 在上方, 超出
adv. 在上面
a. 上述的, 上面的"
over,"adv. 结束, 越过, 从头到尾
prep. 在...之上, 遍于...之上, 越过
a. 上面的
vt. 越过"
onto,prep. 在...之上
under,"prep. 在...之下, 低于
a. 下面的, 从属的
adv. 在下面"
below,"prep. 在下面
adv. 在下面"
down,"a. 向下的
adv. 下, 下去, 降下
prep. 往下, 沿着
n. 丘陵, 软毛, 开阔的高地
"
ago,adv. 以前
before,"prep. 在...之前
conj. 在...之前
adv. 在前"
front,"n. 前面, 开头, 前线, 阵线, 态度
vt. 面对, 朝向, 对抗
vi. 朝向"
ahead,"a. 领先的, 预先的, 向前的
adv. 领先, 预先, 向前, 胜于, 在前面, 在将来"
forward,"a. 向前的, 早的, 迅速的, 在前的, 进步的
vt. 促进...的生长, 转寄, 运送
adv. 向前地
"
after,"prep. 在...之后, 由于
conj. 在...之后
adv. 后来"
back,"a. 后面的
vt. 使后退, 支持
vi. 倒退, 背靠
adv. 向后地
n. 背部, 后面"
behind,"adv. 在后地
prep. 在...背后"
left,"a. 左边的, 左倾的, 左侧的, 左派的
adv. 在左面
n. 左, 左面, 左派
leave的过去式和过去分词"
right,"n. 权利, 右边, 正义, 右派, 公正
a. 正确的, 对的, 恰当的, 正常的, 正直的, 正面的, 右方的
adv. 正确地, 以有利结果, 一直, 直接, 向右
vt. 扶直, 整理, 纠正, 伸冤, 使昭雪
vi. 恢复平衡
"
amid,"prep. 在其间, 在其中
"
among,prep. 在...之中
between,prep. 在...之间
center,"n. 中心, 中心点, 中锋
a. 中央的, 位在正中的
vt. 集中, 定中心
vi. 居中
"
middle,"n. 中央, 中间, 腰部
a. 中央的, 中庸的, 中间的"
accept,"vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍
vi. 同意"
receive,"vt. 收到, 接到, 得到, 接待, 迎接, 承受
vi. 收到, 会客
"
admit,"vt. 承认, 接受, 允许进入, 容许
vi. 开向, 容许, 承认"
refuse,"vt. 拒绝, 谢绝
vi. 拒绝
n. 废物
a. 扔掉的, 无用的"
ache,"n. 疼痛
vi. 痛, 哀怜, 渴望"
pain,"n. 痛苦, 疼痛, 辛苦
vt. 使痛苦, 痛苦
vi. 作痛, 疼"
bitter,"a. 苦的, 痛苦的, 怀恨的
adv. 刺骨
v. (使)变苦"
across,"prep. 越过, 穿过, 与...相交叉, 在...的对面
adv. 交叉, 到另一边, 在对面, 成十字"
through,"adv. 穿越, 从头至尾, 到底, 因为
prep. 经过, 穿过
a. 对穿的, 直达的, 完结的"
via,"prep. 经由, 经过, 通过
"
active,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的
n. 主动语态, 积极分子"
lively,"a. 活泼的, 鲜明的, 生动的"
actual,"a. 真实的, 实际的, 现行的
"
real,"a. 真的, 真实的, 实际的, 实在的, 不动(产)的, 实数的
n. 实数, 现实
adv. 真正地"
fact,"n. 事实, 真实性, 真相, 细节, 论据"
admire,"vt. 赞美, 钦佩, 爱慕
vi. 称赞, 惊奇"
praise,"n. 赞美, 称赞, 崇拜
vt. 称赞, 赞美
vi. 赞扬, 表扬"
adult,"n. 成人, 成虫
a. 成年的, 成熟的"
old,"n. 以前, 往昔
a. 老的, 旧的, 古老的, 年长的, 老练的"
teenager,n. 十三岁到十九岁的少年
young,"a. 年轻的, 无经验的, 朝气蓬勃的
n. 青年们, 幼小动物, 崽"
child,"n. 孩子, 产物, 追随者
"
kid,"n. 小山羊, 小山羊肉, 小孩, 欺骗
a. 小山羊皮制的
v. 哄骗, 嘲弄"
baby,"n. 婴孩
"
adventure,"n. 冒险, 冒险经历
v. 冒险"
risk,"n. 冒险, 危险, 保险额
vt. 冒...的危险, 冒险干"
danger,"n. 危险, 威胁
"
safe,"n. 保险箱, 冷藏室
a. 安全的, 可靠的, 平安的, 稳健的, 有把握的"
advertise,"vt. 做广告, 通知, 公布
vi. 做广告"
advice,"n. 忠告, 劝告, 意见, 报道, 通知
"
afraid,"a. 害怕的, 恐怕的, 遗憾的"
