fiction,"n. 小说, 虚构故事
"
science fiction," 科幻, 科学幻想小说; 科幻小说"
sci-fi,"adj. 同“science fiction”
"
test out,"na. 同“test”
"
bonus,"n. 奖金, 红利
"
more like,"大约,差不多,更接近…"
ridiculous,"a. 荒谬的, 可笑的"
integrity,"n. 正直, 廉正, 完整
"
dignity,"n. 尊严, 高贵
"
salary,"n. 薪水
vt. 给...加薪"
absurd,"a. 荒谬的, 不合理的, 可笑的
n. 荒诞"
appointment,"n. 约会, 委任的职位, 委派
"
nail,"n. 钉子, 指甲
vt. 用钉钉牢, 使固定, 截住, 揭露"
saleswoman,"n. 女售货员, 女店员"
guilty,"a. 犯罪的, 有过失的, 自觉有错的, 心虚的
"
suspend,"vt. 悬, 吊, 使悬浮, 暂停, 中止, 推迟
vi. 暂停, 中止, 悬浮, 停止偿付债务
"
ladder,"n. 梯, 梯状物, 发迹的途径
vi. 袜子抽丝, 成名"
dismiss,"vt. 解散, 开除, 解职
vi. 解散
"
declare,"v. 宣布, 声明, 申报, 断言"
whereas,"conj. 然而, 鉴于
"
rumour,"n. 谣言, 传闻
vt. 谣传"
presume,"vt. 假定, 推测, 擅自, 意味着
vi. 擅自行动, 相信"
fare,"n. 费用, 旅客, 食物
vi. 进展, 进步, 经营, 过活"
weekly,"n. 周刊, 周报
a. 每周的, 一周一次的, 周刊的
adv. 每周, 一周一次"
on a ... basis,无
calculate,"v. 计算, 预测, 计划, 打算"
chairwoman,"n. 女主席, 女议长"
gramme,"n. 克
"
gram,"n. 克, 绿豆, 鹰嘴豆
"
flour,"n. 面粉, 粉沫, 碎粉
"
venue,"n. 犯罪地点, 审判地, 发生地点"
salesman,"n. 售货员, 推销员
"
alien,"n. 外国人, 外侨
a. 外国的, 相异的"
pros and cons,n. 利弊; 正反两方面; 优缺点; 赞成和反对的理由
blurred,a. 模糊不清的；被弄污的
superior,"n. 长者, 占优势的人, 上级
a. 上级的, 出众的, 高傲的"
superior to, [医]adj.优于，胜于
take over,"na. 接管；继承
"
inaction,"n. 不活动, 无为, 怠惰, 迟钝
"
conflict with,"战斗, 冲突"
labour,"n. 劳动, 努力, 工作, 劳工, 分娩
vi. 劳动, 努力, 苦干
vt. 详细分析, 使厌烦"
leather,"n. 皮革, 皮制品, 马镫的皮带
vt. 覆以皮革, 鞭苔, 抽打
a. 皮革的, 皮制的"
lever,"n. 杠杆, 似杠杆之工具
vt. 撬开
vi. 使用杠杆"
panel,"n. 嵌板, 仪表板, 专题讨论小组, 全体陪审员
vt. 嵌镶板"
inch,"n. 英寸, 身高, 小岛
vi. 慢慢前进, 慢慢移动
vt. 使缓慢地移动"
backwards,adv. 向后
backward,"adv. 向后地, 相反地
a. 向后的, 相反的
"
grip,"n. 紧握, 柄, 握力, 握手方式, 手提包, 掌握, 支配, 控制
vt. 抓紧, 抱住, 吸住, 掌握
vi. 握牢, 有吸引力"
hazy,"a. 朦胧的, 模糊的, 烟雾弥漫的"
niece,"n. 侄女, 甥女"
fetch,"n. 取得, 拿, 诡计, 魂
vt. 接来, 取来, 售得, 带来, 推出, 引出, 杀死, 吸引, 到达
vi. 取物, 前进
"
handkerchief,"n. 手帕, 头巾, 围巾"
lamp,"n. 灯
vt. 照亮
"
turn out,"v. 证明；原来；到场
"
pace,"n. 速度, 步调, 步法
vi. 踱步, 缓慢走
vt. 用步测, 踱步于"
