enable,"vt. 使能够
"
encourage,"vt. 鼓励, 支持, 激励
"
entitle,"vt. 给...权利, 取名为, 给予名称, 叫做
"
disable,"vt. 使失去能力, 使残废, (律)使无资格
"
lame,"a. 跛足的, 僵痛的, 不完全的, 金属薄板, 不知内情的人
vi. 变跛
vt. 使成残废, 使无用"
blame,"n. 过失, 责备
vt. 责备, 归咎于"
action,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼
vt. 对...起诉
"
active,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的
n. 主动语态, 积极分子"
activate,"vt. 使活动, 使激活, 正式建成
vi. 有活力"
activity,"n. 活动, 行动, 活跃, 活力
"
actual,"a. 真实的, 实际的, 现行的
"
react,"vi. 起反应, 起作用, 反攻
"
reaction,"n. 反应, 反作用, 反动
"
exact,"a. 精确的, 准确的, 精密的
vt. 强求, 急需"
interact,"vi. 互相影响, 交互作用
n. 幕间剧, 幕间休息"
transaction,"n. 交易, 办理, 学报, 和解协议
"
agent,"n. 代理商, 政府代表, 动原, 媒介
"
agency,"n. 代理机构, 经销商, 中介
"
agenda,"pl. 议程, 日常工作事项
"
acute,"a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的
"
massacre,"n. 大屠杀
vt. 大屠杀, 残杀"
assassinate,"vt. 暗杀, 行刺
"
alter,v. 改变
alternate,"a. 交替的, 轮流的, 间隔的
v. 轮流, (使)交替"
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
"
auction,"n. 拍卖
vt. 拍卖"
augment,"v. 增加, 增长
"
ample,"a. 大量的, 充足的, 丰富的"
amplify,"vt. 增强, 放大, 扩大, 详述
vi. 引伸"
audio,"a. 音频的, 声音的
"
audience,"n. 听众, 观众, 读者
"
audit,"n. 审计, 查帐
vt. 查(帐), 旁听
vi. 查账
"
aural,"a. 耳的, 听觉的, 气氛的, 气味的, 光环的
"
oral,"n. 口试
a. 口头的, 口述的, 口部的"
author,"n. 作家, 作家的著作, 创始人
"
authority,"n. 权力, 当权者, 当局, 权威, 专家
"
authorize,"vt. 授权, 批准, 委托
"
authentic,"a. 可靠的, 可信的, 真正的
"
abolish,"vt. 废止, 革除, 消灭
"
absurd,"a. 荒谬的, 不合理的, 可笑的
n. 荒诞"
abuse,"n. 滥用, 虐待, 恶习, 辱骂
vt. 滥用, 辱骂, 虐待"
academy,"n. 学院, 院校, 学会"
academic,"a. 学院的, 学术的, 不切实际的
n. 大学生, 大学教师, 学者, 学会会员"
accelerate,"v. 加速, 促进"
accompany,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱"
accumulate,"v. 积聚, 堆积"
accuse,"vt. 指责, 控告, 归咎于
vi. 指责, 控告"
acknowledge,"vt. 承认, 告知收悉, 答谢, 报偿
"
acquaintance,"n. 认识, 相识者"
admire,"vt. 赞美, 钦佩, 爱慕
vi. 称赞, 惊奇"
advisable,"a. 适当的, 明智的"
agony,"n. 极大的痛苦, 挣扎
"
alarm,"n. 惊恐, 警报, 警钟
vt. 使惊恐, 警告
"
alert,"a. 警觉的, 灵敏的, 留心的
n. 警报
vt. 使警觉, 通知, 使意识到"
ambitious,"a. 有野心的, 抱负不凡的, 雄心勃勃的"
amount,"n. 总数, 总额
vi. 总计, 等同"
anguish,"n. 剧痛, 痛苦
vt. 使极痛苦
vi. 感到痛苦"
annoy,"vt. 使恼怒, 骚扰"
annual,"n. 年刊, 年报
a. 每年的, 一年一次的, 全年的, 一年生的"
anxious,"a. 忧虑的, 发愁的, 渴望的"
anxiety,"n. 焦虑, 忧虑, 令人焦虑的事
"
apparent,"a. 清晰可见的, 显然的, 表面上的
"
appoint,"vt. 任命, 指定, 下令
"
appointment,"n. 约会, 委任的职位, 委派
"
disappoint,vt. 使失望
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
appropriate,"a. 适当的
"
assault,"n. 攻击, 袭击
vt. 袭击, 攻击
vi. 发动攻击"
asset,"n. 资产, 有益的东西"
assess,"vt. 估定, 对...征税, 评定
"
astonishing,a. 令人惊讶的
award,"n. 奖品, 裁定, 判决
vt. 授予, 给予"
reward,"n. 报酬, 酬谢, 赏金
vt. 奖赏, 酬谢, 给...应有报应"
awkward,"a. 笨拙的, 棘手的"
band,"n. 带子, 队, 乐队
v. 联合, 结合
"
bind,"vt. 绑, 约束, 装订, 包扎, 使结合
vi. 凝固, 有约束力
"
bound,"n. 跃, 回跳, 范围, 边界
a. 受约束的, 装有封面的, 有义务的, 关联的, 被束缚的, 准备去...的, 便秘的
vi. 跳跃, 弹起
vt. 使跳, 限制, 形成...的疆界
bind过去式和过去分词
"
abound,"vi. 大量存在, 富于, 充满"
abundant,"a. 丰富的, 充分的, 大量的"
abundance,"n. 丰富, 充足, 大量
"
abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
combine,"v. (使)联合, (使)结合
n. (企业的)联合, 联合收割机"
battle,"n. 战役
v. 战斗"
combat,"n. 争斗, 战斗
vi. 战斗, 争斗
vt. 与...战斗, 与...斗争"
debate,"n. 辩论, 讨论
v. 争论, 辩论"
balance,"n. 平衡, 差额
vi. 平衡, 相等
vt. 称, 权衡, 比较, 使平衡, 结算, 抵消"
bargain,"n. 交易, 买卖协定, 特价商品
v. 讲价, 交易"
behalf,"n. 利益, 方面"
beneath,"prep. 在...下方
adv. 在...下方"
benefit,"n. 利益
vt. 有益于
vi. 受益"
beneficial,"a. 有益的, 受益的
"
blank,"n. 空格, 空白
a. 空白的, 空虚的, 完全的, 无色的
vi. 消失, 成为空白
vt. 使无效, 取消, 封锁
"
blunt,"a. 钝的, 坦率的, 麻痹的"
blunder,"n. 大错, 大失策
vi. 失策, 跌跌撞撞地走, 犯错
vt. 做错"
board,"n. 木板, 甲板, 膳食, 会议桌
vt. 乘船, 供膳食, 用板覆盖
vi. 搭伙
"
aboard,"adv. 在船上, 在火车上, 在飞机上
prep. 在...之上"
broad,"a. 宽广的, 辽阔的, 广大的, 显著的
adv. 宽阔地
n. 宽阔部分"
abroad,"adv. 往国外, 到室外, 到处
a. 往国外的, 在室外的, 广泛四散的"
boast,"n. 吹牛
vi. 吹牛, 自夸
vt. 夸口说, 自恃有"
boost,"n. 推进, 吹捧
vt. 推进, 提高, 宣扬, 促进"
boom,"n. 繁荣, 隆隆声
vi. 急速发展, 发隆隆声
vt. 使兴旺, 发隆隆声"
burden,"n. 负担, 重载, 担子, 责任
vt. 装货于, 烦扰, 使负担"
camp,"n. 露营, 帐篷
vi. 露营, 扎营
vt. 使扎营"
campaign,"n. 战役, 运动, 竞选运动
vi. 参加运动, 作战"
campus,"n. 校园, 大学生活"
chamber,"n. 室, 房间, 枪膛
vt. 装(弹药), 把...关在室内
a. 室内的"
capable,"a. 有能力的, 能的, 能干的"
capability,"n. 能力, 性能, 约束力
"
captain,"n. 船长, 指挥官, 海军上校, 首领
vt. 率领, 指挥"
capital,"n. 首都, 大写字母, 资本
a. 首都的, 重要的"
capture,"n. 抓取, 战利品, 捕获之物
vt. 抓取, 获得, 迷住
"
captive,"n. 俘虏, 迷恋者
a. 被俘的, 被迷住的"
