the,art. 那
be,"v. 是, 表示, 在
"
and,"conj. 和, 与
"
of,"prep. 的, 属于"
a,"第一个字母 A; 一个; 第一的
art. "
in,"prep. 在...期间, 在...之内, 处于...之中, 从事于, 按照, 穿着
adv. 进入, 朝里, 在里面, 在屋里
a. 在里面的, 在朝的
n. 执政者, 交情"
to,"prep. 到, 向, 趋于
adv. 向前"
have,"vt. 有, 怀有, 拿, 进行
aux. 已经"
it,"pron. 它
"
I,"pron. 我
n. 英语字母表的第9个字母；（罗马数字）1
abbr. 岛，群岛
"
that,"a. 那, 那个
conj. 以致, 因为
pron. 那
adv. 那么, 那样"
for,"prep. 为, 因为, 至于
conj. 因为
"
you,"pron. 你, 你们"
he,"pron. 他
n. 男孩, 男人, 雄性动物"
with,"prep. 和...在一起, 以, 由于"
on,"prep. 在...之上
adv. ...上去
a. 正起作用的
"
do,"v. 做, 进行, 完成"
say,"vt. 说, 讲, 念, 说明, 指明
vi. 说, 讲
n. 意见, 发言权"
this,"pron. 这, 本
a. 这, 本
adv. 这么"
they,"pron. 他们, 它们"
at,"prep. 在, 向, 对
"
but,"prep. 除了
conj. 但是
adv. 仅仅"
we,pron. 我们
his,"pron. 他的
"
from,"prep. 从, 来自, 根据"
not,"adv. 不, 非, 未
"
by,"prep. 被, 经, 由, 在...之旁
adv. 经过, 在近处"
she,pron. 她
or,"conj. 或, 或者
"
as,"adv. 同样地, 例如
prep. 做为, 当作
conj. 当...之时, 以...的方式, 像...一样, 因为
"
what,"pron. 什么
interj. 怎么, 多么
a. 什么的
adv. 到什么程度"
go,"vi. 去, 走, 达到, 运转, 查阅, 消失, 结束, 放弃, 花费, 流传, 趋于, 打算, 剩下
vt. 以...打赌, 对付, 忍受, 出产, 为被捕者出(保释金)
n. 去, 尝试, 进行"
their,pron. 他们的
can,"vt. 装罐
n. 罐头, 容器
aux. 能, 可以
"
who,pron. 谁
get,"vt. 得到, 获得, 变成, 使得, 收获, 接通, 抓住, 染上
vi. 到达, 成为, 变得
n. (网球等)救球, 生殖, 幼兽
"
if,"conj. 如果, 是否, 无论何时, 假设, 即使
n. 条件
"
would,"aux. 将, 愿意"
her,"pron. 她的, 她"
all,"a. 所有的, 全部的, 一切的
adv. 全部, 全然
pron. 全部
n. 全部"
my,"pron. 我的
"
make,"vt. 制造, 安排, 创造, 构成, 使得, 产生, 造成, 整理, 布置, 引起, 到达, 进行
vi. 开始, 前进, 增大, 被制造, 被处理
n. 制造, 构造, 性情"
about,"prep. 在...周围, 大约, 有关, 关于
adv. 大约, 四处, 在附近, 周围"
know,"v. 知道, 了解, 认识, 确信"
will,"n. 意志, 决心, 意愿, 意向, 干劲, 遗嘱
vt. 用意志的力量驱使, 决意, 愿意, 立遗嘱
vi. 下决心, 愿意
aux. 将, 愿意, 必须"
up,"a. 向上的, 起床的, 涨的
adv. 向上, 上涨
prep. 在...上面, 向...的较高处"
one,"n. 一(个)
pron. 一, 任何人
num. 一, 一个
a. 一致的, 完整的"
time,"n. 时间, 时侯, 时机, 时期, 期限, 次数, 节拍, 暂停, 规定时间
vt. 测定...的时间, 记录...的时间, 计时, 定时
a. 时间的, 记时的, 定时的, 定期的, 分期的
"
there,adv. 在那里
year,"n. 年, 年度, 年龄
"
so,"adv. 如此, 如是, 如...那样
conj. 所以, 因此
pron. 这样"
think,"vt. 想, 考虑, 想起, 想像, 打算, 认为
vi. 思考, 料想
n. 想法
a. 思想的"
when,"conj. 当...的时候
adv. 何时, 什么时候
pron. 什么时侯
n. 时间"
which,"pron. 哪一个, 那一个"
them,"pron. 他们, 她们, 它们"
some,"pron. 一些, 一部分, 若干
adv. 大约
a. 一些的, 少许的, 某一的"
me,pron. 我
people,"n. 人, 人民, 民族, 平民
vt. 使住满人, 居住于"
take,"vt. 拿, 取, 抓, 带领, 获得, 就座, 接受, 吃, 吸引, 采取, 乘, 需要, 花费
vi. 吃掉对方棋子, 抓住, 起作用, 依法获得财产
n. 拿, 取, 收成, 奏效"
out,"a. 外面的, 熄灭的, 结束的
adv. 在外, 熄灭, 出现
prep. 出自, 离去, 向"
into,"prep. 进入...之内, 朝..., 深入...之中, 成为...状况"
just,"a. 正直的, 合理的, 正确的, 应得的
adv. 刚刚, 正好, 仅仅"
