look,"n. 一看, 神色, 样子, 面容
vi. 看, 注意, 朝着, 显得
vt. 打量, 看上去与...一样, 以眼色(或脸色)显示, 期待"
cashier,"n. 出纳员
"
cola,"结肠, 冒号, 科朗
"
dollar,"n. 美元, 元(加、澳等国货币单位)
"
cent,"n. 分
"
enjoy,"vt. 享受, 喜欢, 欣赏
"
careful,"a. 小心的, 谨慎的"
Be careful!,[网络] 小心；当心；注意
later,"adv. 以后, 随后"
to go,"剩下, 还有"
duck,"n. 鸭子
vi. 没入水中, 闪避
vt. 猛按...入水, 躲避"
pond,"n. 池塘
v. 筑成池塘"
cloud,"n. 云, 阴暗, 烟雾, 疑团
vt. 以云遮敝, 笼罩, 使黯然
vi. 乌云密布, 阴沉"
dry,"a. 干的, 无酒的, 枯燥无味的, 干燥的
vt. 把...弄干
vi. 变干
n. 干, 干涸"
like,"a. 相似的, 同样的
vt. 喜欢, 愿意, 想
vi. 喜欢, 希望
n. 爱好, 同样的人(或物)
prep. 象, 如同
adv. 可能"
look like, 看起来与（某人或某物）相像[相似]; 很可能出现[引起]（某事、做某事）; 伣; 似
stay,"n. 停留, 逗留, 制止, 延缓, 停止, 支柱, 支撑物, 支索
vt. 制止, 延缓, 坚持, 支持, 支撑, 用支索固定
vi. 停留, 逗留, 暂停, 坚持, 中止"
shine,"n. 光泽, 阳光
vt. 使发光
vi. 照耀, 发光, 发亮"
cry,"n. 叫声, 哭声, 大叫
vi. 哭, 叫, 喊
vt. 叫喊, 大声说, 哭出"
everyone,"pron. 每个人, 人人
"
fly away,"离开, 飞离"
just,"a. 正直的, 合理的, 正确的, 应得的
adv. 刚刚, 正好, 仅仅"
cow,"n. 母牛, 母兽
vt. 威胁"
blow,"n. 吹, 打击, 殴打, 花开
v. 吹, 风吹, 吹响, 开花"
rabbit,"n. 兔子
vi. 猎兔
vt. 让...见鬼去"
balloon,"n. 气球
vt. 使成气球状
vi. 膨胀如气球, 激增"
stairs,n. 楼梯
mess,"n. 食堂, 伙食, 用膳, 一份食品, 混乱, 乱七八糟, 困境
vt. 将...弄糟, 妨碍, 使紊乱, 使就餐
vi. 陷入困境, 搞乱, 用膳"
play,"n. 游戏, 游玩, 玩笑, 运动, 比赛, 赌博, 跳动, 表演, 剧本
v. 玩, 游戏, 假装, 开玩笑, 比赛, 扮演, 演奏, 演戏, 传摇曳, (使)跳动
"
third,"num. 第三, 三分之一
"
time,"n. 时间, 时侯, 时机, 时期, 期限, 次数, 节拍, 暂停, 规定时间
vt. 测定...的时间, 记录...的时间, 计时, 定时
a. 时间的, 记时的, 定时的, 定期的, 分期的
"
bark,"n. 树皮, 吠声
vi. 吠, 叫骂
vt. 喊出, 剥树皮"
loudly,"adv. 高声地, 大声地, 吵闹地"
nothing,"n. 无, 不关紧要之事, 零
adv. 毫不, 决不
interj. 什么也没有, 无"
home,"n. 家, 避难所, 故乡
a. 家庭的, 国内的, 打中目标的
adv. 在家, 在本国, 打中目标地
"
got,"get的过去式和过去分词
"
get,"vt. 得到, 获得, 变成, 使得, 收获, 接通, 抓住, 染上
vi. 到达, 成为, 变得
n. (网球等)救球, 生殖, 幼兽
"
space,"n. 位置, 空间, 距离, 太空, 空白, 间隔, (期刊等的)篇幅
vt. 隔开, 分隔
vi. 留间隔
"
interested,"a. 感兴趣的
"
spaceship,n. 宇宙飞船
finish,"n. 完成, 结束, 末道漆, 磨光, 完美
vt. 完成, 结束, 用完, 毁掉
vi. 结束
"
decide,"v. 决定, 判决"
paper,"n. 纸, 文件, 文章, 报纸, 证券, 证件
vt. 用纸糊, 贴壁纸于, 用纸包装
vi. 贴壁纸
a. 纸做的, 纸上的"
brought,bring的过去式和过去分词
bring,"vt. 带来, 产生, 促使, 提出
vi. 生产"
bring back,"na. 送回；使恢复；使回忆起
"
model,"n. 模型, 模范, 模特儿
a. 模范的, 作模型用的
vi. 做模型, 做模特儿
vt. 使模仿, 塑造
"
taikonaut,n. 中国太空人
first,"adv. 首先, 第一, 优先
a. 第一的
num. 第一
n. 开始, 第一"
national,"a. 国家的, 国立的, 全国性的, 民族的
"
seed,"n. 种子, 籽, 萌芽, 子孙, 精液
vt. 在...播种, 催...发育, 脱...籽
vi. 结实, 播种"
spent,"a. 用尽的, 精疲力竭的
spend的过去式和过去分词"
about,"prep. 在...周围, 大约, 有关, 关于
adv. 大约, 四处, 在附近, 周围"
flew,fly的过去式
fly,"n. 苍蝇, 两翼昆虫, 飞行
vi. 飞, 飞翔, 飘扬, 逃走
vt. 飞, 飞越, 使飘扬, 逃出
a. 敏捷的"
October,n. 十月
video,"n. 影像, 电视
a. 图像的, 电视的"
proud,"a. 骄傲的, 自大的, 自豪的, 辉煌的, 壮丽的"
someday,adv. 有一天
