sincere,"a. 诚实的, 正直的, 真挚的, 纯净的"
mood,"n. 心情, 气氛, 生气, 基调
"
static,"n. 静电, 静电干扰
a. 静态的, 静止的, 固有的, 静电的"
senator,"n. 参议员, (某些大学的)理事
"
hobby,"n. 嗜好, 癖好, 爱好"
lad,"n. 青年, 家伙, 少年, 情人"
equip,"vt. 装备, 配备
"
frown,"n. 皱眉
vi. 皱眉头
vt. 皱眉表示"
fasten,"vt. 拴紧, 使固定, 系, 集中于, 强加于
vi. 扣紧"
software,"n. 软件
"
stir,"n. 骚动, 轰动, 搅动, 监狱
vt. 移动, 摇动, 激起, 惹起, 搅拌
vi. 走动, 传播, 搅拌"
distribution,"n. 分配
"
flexible,"a. 易曲的, 灵活的, 柔顺的, 能变形的, 可通融的
"
solution,"n. 解决, 解答, 溶液
"
panel,"n. 嵌板, 仪表板, 专题讨论小组, 全体陪审员
vt. 嵌镶板"
ministry,"n. 部, 内阁, 服务
"
supreme,"n. 至高, 霸权
a. 至高的, 终极的, 极端的, 最大的"
describe,"vt. 描述, 描绘, 画"
limb,"n. 四肢, 枝干, 翼, 边缘
vt. 切断...之手足"
circumstance,"n. 环境, 状况, 事件"
core,"n. 核心, 果心, 要点
vt. 挖...的核
"
assistant,"n. 助手, 助理, 助教
a. 有帮助的, 辅助的, 助理的"
mess,"n. 食堂, 伙食, 用膳, 一份食品, 混乱, 乱七八糟, 困境
vt. 将...弄糟, 妨碍, 使紊乱, 使就餐
vi. 陷入困境, 搞乱, 用膳"
minus,"n. 负号, 不足
a. 减的, 负的, 阴性的
prep. 减, 缺
"
statistic,"n. 统计量
a. 统计的, 统计学的"
pregnant,"a. 怀孕的, 充满的, 思想丰富的, 成果丰硕的
"
sector,"n. 扇形, 部门, 部分, 函数尺, 象限仪, 段, 区段
vt. 把...分成扇形
"
detection,"n. 发现, 察觉, 探测
"
statue,"vt. 以雕像装饰
n. 雕像"
bride,n. 新娘
cycle,"n. 周期, 循环, 自行车, 一段时间, 整套
vi. 循环, 轮转, 骑自行车
vt. 使循环, 使轮转
"
skillful,"a. 熟练的, 巧妙的
"
civilization,"n. 文明, 教化
"
overhead,"n. 经常开支, 普通用费, 天花板
a. 在头上的, 高架的
adv. 在头顶上, 在空中, 在高处, 从头到脚全部没入地
"
clash,"n. 冲突, 撞击声, 抵触
vi. 冲突, 抵触
vt. 使发出撞击声
"
grant,"n. 授予, 授予物, 允许
vt. 允许, 承认, 授与
"
bond,"n. 捆绑物, 结合, 债券, 契约, 粘合剂, 保证人, 键, 关栈保留
vt. 存入关栈, 使黏合
vi. 结合"
staff,"n. 全体人员, 工作班子, 棍棒, 杆, 拐杖, 支柱, 权杖
a. 职员的, 雇员的, 参谋的
vt. 为...配备人员"
intermediate,"n. 中间物, 调停者, 中级
a. 中间的, 中级的
vi. 起媒介作用
"
guitar,n. 吉他
comprehensive,"a. 广泛的, 有理解力的, 综合的
"
presence,"n. 出席, 面前, 存在, 仪态, 风度
"
appliance,"n. 器械, 用具, 应用
"
cushion,"n. 垫子, 橡皮软垫
vt. 加垫褥, 缓冲, 掩盖"
emergency,"n. 紧急状况, 紧急事件, 紧急需要
"
solve,"vt. 解决, 付给, 溶解
vt. 求解
vi. 求解
"
label,"n. 标签, 称号, 商标, 标志
vt. 贴标签于, 标注
"
slim,"a. 瘦的, 苗条的, 微小的, 稀少的, 微薄的
vi. 变苗条
vt. 使苗条"
status,"n. 状态, 情形, 地位, 要人身份
"
steady,"a. 稳定的, 不动摇的, 沉着的, 稳固的, 坚定的, 经常的
vt. 使稳定, 使坚定
vi. 变为沉着, 稳固"
include,"vt. 包括, 把...算入, 包住
"
resistance,"n. 抵抗力, 反抗, 耐力, 阻力, 电阻
"
prime,"n. 最佳部分, 初期, 全盛期
a. 主要的, 最初的, 根本的
v. 加油启动, 灌注, 填装"
ambassador,"n. 大使
"
derive,"vt. 得自
vi. 起源"
sponsor,"n. 保证人, 赞助者, 发起者, 倡议者, 教父
vt. 发起, 赞助, 倡议"
proportion,"n. 比例, 比率, 均衡, 部分, 面积
vt. 使成比例, 使均衡"
mental,"a. 心智的, 精神病的, 心理的, 颏的
n. 精神病患者"
punch,"n. 打洞器, 钻孔机, 冲压机, 冲床, 潘趣酒
vt. 以拳重击, 开洞, 冲压
vi. 用拳猛击"
result,"n. 结果, 成绩, 答案
vi. 产生, 结果, 致使
"
client,"n. 客户, 顾客, 委托人
"
steamer,"n. 汽船, 蒸汽机
"
option,"n. 选择权, 挑选, 选项
"
dormitory,n. 宿舍
attitude,"n. 态度, 看法, 姿势
"
steep,"n. 浸渍, 悬崖
a. 险峻的, 陡峭的, 急剧升降的, 夸大的
v. 浸, 泡"
agency,"n. 代理机构, 经销商, 中介
"
steer,"vt. 引导, 驾驶, 航行, 控制
vi. 驾驶, 掌舵, 行驶
n. 驾驶指示, 劝告"
scandal,"n. 丑闻, 中伤, 耻辱, 反感, 流言蜚语
"
definite,"a. 明确的, 一定的
"
cautious,"a. 谨慎的, 小心的"
prayer,"n. 祈祷, 恳求, 祷辞, 祈祷者"
